# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
	🧍🏾;stojaci človek: stredne tmavý tón pleti;postoj|stáť|státie|stojaci človek|stojaci človek: stredne tmavý tón pleti|stredne tmavý tón pleti
	🧍🏿;stojaci človek: tmavý tón pleti;postoj|stáť|státie|stojaci človek|stojaci človek: tmavý tón pleti|tmavý tón pleti
🧍‍♂️;stojaci muž;muž|postoj|státie|stojaci
	🧍🏻‍♂️;stojaci muž: svetlý tón pleti;muž|postoj|státie|stojaci|stojaci muž: svetlý tón pleti|svetlý tón pleti
	🧍🏼‍♂️;stojaci muž: stredne svetlý tón pleti;muž|postoj|státie|stojaci|stojaci muž: stredne svetlý tón pleti|stredne svetlý tón pleti
	🧍🏽‍♂️;stojaci muž: stredný tón pleti;muž|postoj|státie|stojaci|stojaci muž: stredný tón pleti|stredný tón pleti
	🧍🏾‍♂️;stojaci muž: stredne tmavý tón pleti;muž|postoj|státie|stojaci|stojaci muž: stredne tmavý tón pleti|stredne tmavý tón pleti
	🧍🏿‍♂️;stojaci muž: tmavý tón pleti;muž|postoj|státie|stojaci|stojaci muž: tmavý tón pleti|tmavý tón pleti
🧍‍♀️;stojaca žena;postoj|státie|stojaca|žena
	🧍🏻‍♀️;stojaca žena: svetlý tón pleti;postoj|státie|stojaca|stojaca žena: svetlý tón pleti|svetlý tón pleti|žena
	🧍🏼‍♀️;stojaca žena: stredne svetlý tón pleti;postoj|státie|stojaca|stojaca žena: stredne svetlý tón pleti|stredne svetlý tón pleti|žena
	🧍🏽‍♀️;stojaca žena: stredný tón pleti;postoj|státie|stojaca|stojaca žena: stredný tón pleti|stredný tón pleti|žena
	🧍🏾‍♀️;stojaca žena: stredne tmavý tón pleti;postoj|státie|stojaca|stojaca žena: stredne tmavý tón pleti|stredne tmavý tón pleti|žena
	🧍🏿‍♀️;stojaca žena: tmavý tón pleti;postoj|státie|stojaca|stojaca žena: tmavý tón pleti|tmavý tón pleti|žena
🧎;kľačiaci človek;kľačanie|kľačať|kľačiaci človek|kľak|pokľak
	🧎🏻;kľačiaci človek: svetlý tón pleti;kľačanie|kľačať|kľačiaci človek|kľačiaci človek: svetlý tón pleti|kľak|pokľak|svetlý tón pleti
	🧎🏼;kľačiaci človek: stredne svetlý tón pleti;kľačanie|kľačať|kľačiaci človek|kľačiaci človek: stredne svetlý tón pleti|kľak|pokľak|stredne svetlý tón pleti
	🧎🏽;kľačiaci človek: stredný tón pleti;kľačanie|kľačať|kľačiaci človek|kľačiaci človek: stredný tón pleti|kľak|pokľak|stredný tón pleti
	🧎🏾;kľačiaci človek: stredne tmavý tón pleti;kľačanie|kľačať|kľačiaci človek|kľačiaci človek: stredne tmavý tón pleti|kľak|pokľak|stredne tmavý tón pleti
	🧎🏿;kľačiaci človek: tmavý tón pleti;kľačanie|kľačať|kľačiaci človek|kľačiaci človek: tmavý tón pleti|kľak|pokľak|tmavý tón pleti
🧎‍♂️;kľačiaci muž;kľačať|kľačiaci|kľak|muž|pokľak
	🧎🏻‍♂️;kľačiaci muž: svetlý tón pleti;kľačať|kľačiaci|kľačiaci muž: svetlý tón pleti|kľak|muž|pokľak|svetlý tón pleti
	🧎🏼‍♂️;kľačiaci muž: stredne svetlý tón pleti;kľačať|kľačiaci|kľačiaci muž: stredne svetlý tón pleti|kľak|muž|pokľak|stredne svetlý tón pleti
	🧎🏽‍♂️;kľačiaci muž: stredný tón pleti;kľačať|kľačiaci|kľačiaci muž: stredný tón pleti|kľak|muž|pokľak|stredný tón pleti
	🧎🏾‍♂️;kľačiaci muž: stredne tmavý tón pleti;kľačať|kľačiaci|kľačiaci muž: stredne tmavý tón pleti|kľak|muž|pokľak|stredne tmavý tón pleti
	🧎🏿‍♂️;kľačiaci muž: tmavý tón pleti;kľačať|kľačiaci|kľačiaci muž: tmavý tón pleti|kľak|muž|pokľak|tmavý tón pleti
🧎‍♀️;kľačiaca žena;kľačať|kľačiaca|kľak|pokľak|žena
	🧎🏻‍♀️;kľačiaca žena: svetlý tón pleti;kľačať|kľačiaca|kľačiaca žena: svetlý tón pleti|kľak|pokľak|svetlý tón pleti|žena
	🧎🏼‍♀️;kľačiaca žena: stredne svetlý tón pleti;kľačať|kľačiaca|kľačiaca žena: stredne svetlý tón pleti|kľak|pokľak|stredne svetlý tón pleti|žena
	🧎🏽‍♀️;kľačiaca žena: stredný tón pleti;kľačať|kľačiaca|kľačiaca žena: stredný tón pleti|kľak|pokľak|stredný tón pleti|žena
	🧎🏾‍♀️;kľačiaca žena: stredne tmavý tón pleti;kľačať|kľačiaca|kľačiaca žena: stredne tmavý tón pleti|kľak|pokľak|stredne tmavý tón pleti|žena
	🧎🏿‍♀️;kľačiaca žena: tmavý tón pleti;kľačať|kľačiaca|kľačiaca žena: tmavý tón pleti|kľak|pokľak|tmavý tón pleti|žena
🧎‍➡️;kľačiaci človek smerom doprava;kľačanie|kľačať|kľačiaci človek|kľačiaci človek smerom doprava|kľak|pokľak
	🧎🏻‍➡️;kľačiaci človek smerom doprava;kľačanie|kľačať|kľačiaci človek|kľačiaci človek smerom doprava|kľak|pokľak
	🧎🏼‍➡️;kľačiaci človek smerom doprava;kľačanie|kľačať|kľačiaci človek|kľačiaci človek smerom doprava|kľak|pokľak
	🧎🏽‍➡️;kľačiaci človek smerom doprava;kľačanie|kľačať|kľačiaci človek|kľačiaci človek smerom doprava|kľak|pokľak
	🧎🏾‍➡️;kľačiaci človek smerom doprava;kľačanie|kľačať|kľačiaci človek|kľačiaci človek smerom doprava|kľak|pokľak
	🧎🏿‍➡️;kľačiaci človek smerom doprava;kľačanie|kľačať|kľačiaci človek|kľačiaci človek smerom doprava|kľak|pokľak
🧎‍♀️‍➡️;kľačiaca žena smerom doprava;kľačať|kľačiaca|kľačiaca žena smerom doprava|kľak|pokľak|žena
	🧎🏻‍♀️‍➡️;kľačiaca žena smerom doprava;kľačať|kľačiaca|kľačiaca žena smerom doprava|kľak|pokľak|žena
	🧎🏼‍♀️‍➡️;kľačiaca žena smerom doprava;kľačať|kľačiaca|kľačiaca žena smerom doprava|kľak|pokľak|žena
	🧎🏽‍♀️‍➡️;kľačiaca žena smerom doprava;kľačať|kľačiaca|kľačiaca žena smerom doprava|kľak|pokľak|žena
	🧎🏾‍♀️‍➡️;kľačiaca žena smerom doprava;kľačať|kľačiaca|kľačiaca žena smerom doprava|kľak|pokľak|žena
	🧎🏿‍♀️‍➡️;kľačiaca žena smerom doprava;kľačať|kľačiaca|kľačiaca žena smerom doprava|kľak|pokľak|žena
🧎‍♂️‍➡️;kľačiaci muž smerom doprava;kľačať|kľačiaci|kľačiaci muž smerom doprava|kľak|muž|pokľak
	🧎🏻‍♂️‍➡️;kľačiaci muž smerom doprava;kľačať|kľačiaci|kľačiaci muž smerom doprava|kľak|muž|pokľak
	🧎🏼‍♂️‍➡️;kľačiaci muž smerom doprava;kľačať|kľačiaci|kľačiaci muž smerom doprava|kľak|muž|pokľak
	🧎🏽‍♂️‍➡️;kľačiaci muž smerom doprava;kľačať|kľačiaci|kľačiaci muž smerom doprava|kľak|muž|pokľak
	🧎🏾‍♂️‍➡️;kľačiaci muž smerom doprava;kľačať|kľačiaci|kľačiaci muž smerom doprava|kľak|muž|pokľak
	🧎🏿‍♂️‍➡️;kľačiaci muž smerom doprava;kľačať|kľačiaci|kľačiaci muž smerom doprava|kľak|muž|pokľak
🧑‍🦯;človek s bielou palicou;človek s bielou palicou|handicap|hendikep|pomôcka|postihnutie
	🧑🏻‍🦯;človek s bielou palicou: svetlý tón pleti;človek s bielou palicou|človek s bielou palicou: svetlý tón pleti|handicap|hendikep|pomôcka|postihnutie|svetlý tón pleti
	🧑🏼‍🦯;človek s bielou palicou: stredne svetlý tón pleti;človek s bielou palicou|človek s bielou palicou: stredne svetlý tón pleti|handicap|hendikep|pomôcka|postihnutie|stredne svetlý tón pleti
	🧑🏽‍🦯;človek s bielou palicou: stredný tón pleti;človek s bielou palicou|človek s bielou palicou: stredný tón pleti|handicap|hendikep|pomôcka|postihnutie|stredný tón pleti
	🧑🏾‍🦯;človek s bielou palicou: stredne tmavý tón pleti;človek s bielou palicou|človek s bielou palicou: stredne tmavý tón pleti|handicap|hendikep|pomôcka|postihnutie|stredne tmavý tón pleti
	🧑🏿‍🦯;človek s bielou palicou: tmavý tón pleti;človek s bielou palicou|človek s bielou palicou: tmavý tón pleti|handicap|hendikep|pomôcka|postihnutie|tmavý tón pleti
🧑‍🦯‍➡️;človek s bielou palicou smerom doprava;človek s bielou palicou|človek s bielou palicou smerom doprava|handicap|hendikep|pomôcka|postihnutie
	🧑🏻‍🦯‍➡️;človek s bielou palicou smerom doprava;človek s bielou palicou|človek s bielou palicou smerom doprava|handicap|hendikep|pomôcka|postihnutie
	🧑🏼‍🦯‍➡️;človek s bielou palicou smerom doprava;človek s bielou palicou|človek s bielou palicou smerom doprava|handicap|hendikep|pomôcka|postihnutie
	🧑🏽‍🦯‍➡️;človek s bielou palicou smerom doprava;človek s bielou palicou|človek s bielou palicou smerom doprava|handicap|hendikep|pomôcka|postihnutie
	🧑🏾‍🦯‍➡️;človek s bielou palicou smerom doprava;človek s bielou palicou|človek s bielou palicou smerom doprava|handicap|hendikep|pomôcka|postihnutie
	🧑🏿‍🦯‍➡️;človek s bielou palicou smerom doprava;človek s bielou palicou|človek s bielou palicou smerom doprava|handicap|hendikep|pomôcka|postihnutie
👨‍🦯;muž s bielou palicou;handicap|hendikep|muž s bielou palicou|muž so slepeckou palicou|pomôcka|postihnutie|slepý
	👨🏻‍🦯;muž s bielou palicou: svetlý tón pleti;handicap|hendikep|muž s bielou palicou|muž s bielou palicou: svetlý tón pleti|muž so slepeckou palicou|pomôcka|postihnutie|slepý|svetlý tón pleti
	👨🏼‍🦯;muž s bielou palicou: stredne svetlý tón pleti;handicap|hendikep|muž s bielou palicou|muž s bielou palicou: stredne svetlý tón pleti|muž so slepeckou palicou|pomôcka|postihnutie|slepý|stredne svetlý tón pleti
	👨🏽‍🦯;muž s bielou palicou: stredný tón pleti;handicap|hendikep|muž s bielou palicou|muž s bielou palicou: stredný tón pleti|muž so slepeckou palicou|pomôcka|postihnutie|slepý|stredný tón pleti
	👨🏾‍🦯;muž s bielou palicou: stredne tmavý tón pleti;handicap|hendikep|muž s bielou palicou|muž s bielou palicou: stredne tmavý tón pleti|muž so slepeckou palicou|pomôcka|postihnutie|slepý|stredne tmavý tón pleti
	👨🏿‍🦯;muž s bielou palicou: tmavý tón pleti;handicap|hendikep|muž s bielou palicou|muž s bielou palicou: tmavý tón pleti|muž so slepeckou palicou|pomôcka|postihnutie|slepý|tmavý tón pleti
👨‍🦯‍➡️;muž s bielou palicou smerom doprava;handicap|hendikep|muž s bielou palicou|muž s bielou palicou smerom doprava|muž so slepeckou palicou|pomôcka|postihnutie|slepý
	👨🏻‍🦯‍➡️;muž s bielou palicou smerom doprava;handicap|hendikep|muž s bielou palicou|muž s bielou palicou smerom doprava|muž so slepeckou palicou|pomôcka|postihnutie|slepý
	👨🏼‍🦯‍➡️;muž s bielou palicou smerom doprava;handicap|hendikep|muž s bielou palicou|muž s bielou palicou smerom doprava|muž so slepeckou palicou|pomôcka|postihnutie|slepý
	👨🏽‍🦯‍➡️;muž s bielou palicou smerom doprava;handicap|hendikep|muž s bielou palicou|muž s bielou palicou smerom doprava|muž so slepeckou palicou|pomôcka|postihnutie|slepý
	👨🏾‍🦯‍➡️;muž s bielou palicou smerom doprava;handicap|hendikep|muž s bielou palicou|muž s bielou palicou smerom doprava|muž so slepeckou palicou|pomôcka|postihnutie|slepý
	👨🏿‍🦯‍➡️;muž s bielou palicou smerom doprava;handicap|hendikep|muž s bielou palicou|muž s bielou palicou smerom doprava|muž so slepeckou palicou|pomôcka|postihnutie|slepý
👩‍🦯;žena so slepeckou palicou;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou
	👩🏻‍🦯;žena so slepeckou palicou: svetlý tón pleti;handicap|hendikep|pomôcka|postihnutie|slepá|svetlý tón pleti|žena so slepeckou palicou|žena so slepeckou palicou: svetlý tón pleti
	👩🏼‍🦯;žena so slepeckou palicou: stredne svetlý tón pleti;handicap|hendikep|pomôcka|postihnutie|slepá|stredne svetlý tón pleti|žena so slepeckou palicou|žena so slepeckou palicou: stredne svetlý tón pleti
	👩🏽‍🦯;žena so slepeckou palicou: stredný tón pleti;handicap|hendikep|pomôcka|postihnutie|slepá|stredný tón pleti|žena so slepeckou palicou|žena so slepeckou palicou: stredný tón pleti
	👩🏾‍🦯;žena so slepeckou palicou: stredne tmavý tón pleti;handicap|hendikep|pomôcka|postihnutie|slepá|stredne tmavý tón pleti|žena so slepeckou palicou|žena so slepeckou palicou: stredne tmavý tón pleti
	👩🏿‍🦯;žena so slepeckou palicou: tmavý tón pleti;handicap|hendikep|pomôcka|postihnutie|slepá|tmavý tón pleti|žena so slepeckou palicou|žena so slepeckou palicou: tmavý tón pleti
👩‍🦯‍➡️;žena so slepeckou palicou smerom doprava;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou|žena so slepeckou palicou smerom doprava
	👩🏻‍🦯‍➡️;žena so slepeckou palicou smerom doprava;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou|žena so slepeckou palicou smerom doprava
	👩🏼‍🦯‍➡️;žena so slepeckou palicou smerom doprava;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou|žena so slepeckou palicou smerom doprava
	👩🏽‍🦯‍➡️;žena so slepeckou palicou smerom doprava;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou|žena so slepeckou palicou smerom doprava
	👩🏾‍🦯‍➡️;žena so slepeckou palicou smerom doprava;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou|žena so slepeckou palicou smerom doprava
	👩🏿‍🦯‍➡️;žena so slepeckou palicou smerom doprava;handicap|hendikep|pomôcka|postihnutie|slepá|žena so slepeckou palicou|žena so slepeckou palicou smerom doprava
🧑‍🦼;človek na elektrickom invalidnom vozíku;človek na elektrickom invalidnom vozíku|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏻‍🦼;človek na elektrickom invalidnom vozíku: svetlý tón pleti;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku: svetlý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|svetlý tón pleti|vozík
	🧑🏼‍🦼;človek na elektrickom invalidnom vozíku: stredne svetlý tón pleti;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku: stredne svetlý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|stredne svetlý tón pleti|vozík
	🧑🏽‍🦼;človek na elektrickom invalidnom vozíku: stredný tón pleti;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku: stredný tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|stredný tón pleti|vozík
	🧑🏾‍🦼;človek na elektrickom invalidnom vozíku: stredne tmavý tón pleti;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku: stredne tmavý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|stredne tmavý tón pleti|vozík
	🧑🏿‍🦼;človek na elektrickom invalidnom vozíku: tmavý tón pleti;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku: tmavý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|tmavý tón pleti|vozík
🧑‍🦼‍➡️;človek na elektrickom invalidnom vozíku smerom doprava;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏻‍🦼‍➡️;človek na elektrickom invalidnom vozíku smerom doprava;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏼‍🦼‍➡️;človek na elektrickom invalidnom vozíku smerom doprava;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏽‍🦼‍➡️;človek na elektrickom invalidnom vozíku smerom doprava;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏾‍🦼‍➡️;človek na elektrickom invalidnom vozíku smerom doprava;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏿‍🦼‍➡️;človek na elektrickom invalidnom vozíku smerom doprava;človek na elektrickom invalidnom vozíku|človek na elektrickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
👨‍🦼;muž na elektrickom invalidnom vozíku;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|pomôcka|postihnutie|vozík
	👨🏻‍🦼;muž na elektrickom invalidnom vozíku: svetlý tón pleti;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku: svetlý tón pleti|pomôcka|postihnutie|svetlý tón pleti|vozík
	👨🏼‍🦼;muž na elektrickom invalidnom vozíku: stredne svetlý tón pleti;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku: stredne svetlý tón pleti|pomôcka|postihnutie|stredne svetlý tón pleti|vozík
	👨🏽‍🦼;muž na elektrickom invalidnom vozíku: stredný tón pleti;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku: stredný tón pleti|pomôcka|postihnutie|stredný tón pleti|vozík
	👨🏾‍🦼;muž na elektrickom invalidnom vozíku: stredne tmavý tón pleti;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku: stredne tmavý tón pleti|pomôcka|postihnutie|stredne tmavý tón pleti|vozík
	👨🏿‍🦼;muž na elektrickom invalidnom vozíku: tmavý tón pleti;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku: tmavý tón pleti|pomôcka|postihnutie|tmavý tón pleti|vozík
👨‍🦼‍➡️;muž na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏻‍🦼‍➡️;muž na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏼‍🦼‍➡️;muž na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏽‍🦼‍➡️;muž na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏾‍🦼‍➡️;muž na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏿‍🦼‍➡️;muž na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na elektrickom invalidnom vozíku|muž na elektrickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
👩‍🦼;žena na elektrickom invalidnom vozíku;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku
	👩🏻‍🦼;žena na elektrickom invalidnom vozíku: svetlý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|svetlý tón pleti|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku: svetlý tón pleti
	👩🏼‍🦼;žena na elektrickom invalidnom vozíku: stredne svetlý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|stredne svetlý tón pleti|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku: stredne svetlý tón pleti
	👩🏽‍🦼;žena na elektrickom invalidnom vozíku: stredný tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|stredný tón pleti|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku: stredný tón pleti
	👩🏾‍🦼;žena na elektrickom invalidnom vozíku: stredne tmavý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|stredne tmavý tón pleti|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku: stredne tmavý tón pleti
	👩🏿‍🦼;žena na elektrickom invalidnom vozíku: tmavý tón pleti;handicap|hendikep|invalidný|pomôcka|postihnutie|tmavý tón pleti|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku: tmavý tón pleti
👩‍🦼‍➡️;žena na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku smerom doprava
	👩🏻‍🦼‍➡️;žena na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku smerom doprava
	👩🏼‍🦼‍➡️;žena na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku smerom doprava
	👩🏽‍🦼‍➡️;žena na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku smerom doprava
	👩🏾‍🦼‍➡️;žena na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku smerom doprava
	👩🏿‍🦼‍➡️;žena na elektrickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|pomôcka|postihnutie|vozík|žena na elektrickom invalidnom vozíku|žena na elektrickom invalidnom vozíku smerom doprava
🧑‍🦽;človek na mechanickom invalidnom vozíku;človek na mechanickom invalidnom vozíku|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏻‍🦽;človek na mechanickom invalidnom vozíku: svetlý tón pleti;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku: svetlý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|svetlý tón pleti|vozík
	🧑🏼‍🦽;človek na mechanickom invalidnom vozíku: stredne svetlý tón pleti;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku: stredne svetlý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|stredne svetlý tón pleti|vozík
	🧑🏽‍🦽;človek na mechanickom invalidnom vozíku: stredný tón pleti;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku: stredný tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|stredný tón pleti|vozík
	🧑🏾‍🦽;človek na mechanickom invalidnom vozíku: stredne tmavý tón pleti;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku: stredne tmavý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|stredne tmavý tón pleti|vozík
	🧑🏿‍🦽;človek na mechanickom invalidnom vozíku: tmavý tón pleti;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku: tmavý tón pleti|handicap|hendikep|invalidný|pomôcka|postihnutie|tmavý tón pleti|vozík
🧑‍🦽‍➡️;človek na mechanickom invalidnom vozíku smerom doprava;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏻‍🦽‍➡️;človek na mechanickom invalidnom vozíku smerom doprava;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏼‍🦽‍➡️;človek na mechanickom invalidnom vozíku smerom doprava;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏽‍🦽‍➡️;človek na mechanickom invalidnom vozíku smerom doprava;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏾‍🦽‍➡️;človek na mechanickom invalidnom vozíku smerom doprava;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
	🧑🏿‍🦽‍➡️;človek na mechanickom invalidnom vozíku smerom doprava;človek na mechanickom invalidnom vozíku|človek na mechanickom invalidnom vozíku smerom doprava|handicap|hendikep|invalidný|pomôcka|postihnutie|vozík
👨‍🦽;muž na mechanickom invalidnom vozíku;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|pomôcka|postihnutie|vozík
	👨🏻‍🦽;muž na mechanickom invalidnom vozíku: svetlý tón pleti;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku: svetlý tón pleti|pomôcka|postihnutie|svetlý tón pleti|vozík
	👨🏼‍🦽;muž na mechanickom invalidnom vozíku: stredne svetlý tón pleti;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku: stredne svetlý tón pleti|pomôcka|postihnutie|stredne svetlý tón pleti|vozík
	👨🏽‍🦽;muž na mechanickom invalidnom vozíku: stredný tón pleti;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku: stredný tón pleti|pomôcka|postihnutie|stredný tón pleti|vozík
	👨🏾‍🦽;muž na mechanickom invalidnom vozíku: stredne tmavý tón pleti;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku: stredne tmavý tón pleti|pomôcka|postihnutie|stredne tmavý tón pleti|vozík
	👨🏿‍🦽;muž na mechanickom invalidnom vozíku: tmavý tón pleti;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku: tmavý tón pleti|pomôcka|postihnutie|tmavý tón pleti|vozík
👨‍🦽‍➡️;muž na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏻‍🦽‍➡️;muž na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏼‍🦽‍➡️;muž na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏽‍🦽‍➡️;muž na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
	👨🏾‍🦽‍➡️;muž na mechanickom invalidnom vozíku smerom doprava;handicap|hendikep|invalidný|muž na mechanickom invalidnom vozíku|muž na mechanickom invalidnom vozíku smerom doprava|pomôcka|postihnutie|vozík
