# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
	👰🏽;घूंघट वाला व्यक्ति: गेहुँआ त्वचा;गेहुँआ त्वचा|घूंघट|घूंघट वाला व्यक्ति|घूंघट वाला व्यक्ति: गेहुँआ त्वचा|दुल्हन|पर्दे वाली दुल्हन|लोग|विवाह|शादी
	👰🏾;घूंघट वाला व्यक्ति: हल्की साँवली त्वचा;घूंघट|घूंघट वाला व्यक्ति|घूंघट वाला व्यक्ति: हल्की साँवली त्वचा|दुल्हन|पर्दे वाली दुल्हन|लोग|विवाह|शादी|हल्की साँवली त्वचा
	👰🏿;घूंघट वाला व्यक्ति: साँवली त्वचा;घूंघट|घूंघट वाला व्यक्ति|घूंघट वाला व्यक्ति: साँवली त्वचा|दुल्हन|पर्दे वाली दुल्हन|लोग|विवाह|शादी|साँवली त्वचा
👰‍♂️;पर्दे वाला आदमी;आदमी|पर्दा|पर्दे वाला आदमी
	👰🏻‍♂️;पर्दे वाला आदमी: गोरी त्वचा;आदमी|गोरी त्वचा|पर्दा|पर्दे वाला आदमी|पर्दे वाला आदमी: गोरी त्वचा
	👰🏼‍♂️;पर्दे वाला आदमी: हल्की गोरी त्वचा;आदमी|पर्दा|पर्दे वाला आदमी|पर्दे वाला आदमी: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	👰🏽‍♂️;पर्दे वाला आदमी: गेहुँआ त्वचा;आदमी|गेहुँआ त्वचा|पर्दा|पर्दे वाला आदमी|पर्दे वाला आदमी: गेहुँआ त्वचा
	👰🏾‍♂️;पर्दे वाला आदमी: हल्की साँवली त्वचा;आदमी|पर्दा|पर्दे वाला आदमी|पर्दे वाला आदमी: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	👰🏿‍♂️;पर्दे वाला आदमी: साँवली त्वचा;आदमी|पर्दा|पर्दे वाला आदमी|पर्दे वाला आदमी: साँवली त्वचा|साँवली त्वचा
👰‍♀️;घूंघट वाली महिला;घूंघट|घूंघट वाली महिला|महि‍ला
	👰🏻‍♀️;घूंघट वाली महिला: गोरी त्वचा;गोरी त्वचा|घूंघट|घूंघट वाली महिला|घूंघट वाली महिला: गोरी त्वचा|महि‍ला
	👰🏼‍♀️;घूंघट वाली महिला: हल्की गोरी त्वचा;घूंघट|घूंघट वाली महिला|घूंघट वाली महिला: हल्की गोरी त्वचा|महि‍ला|हल्की गोरी त्वचा
	👰🏽‍♀️;घूंघट वाली महिला: गेहुँआ त्वचा;गेहुँआ त्वचा|घूंघट|घूंघट वाली महिला|घूंघट वाली महिला: गेहुँआ त्वचा|महि‍ला
	👰🏾‍♀️;घूंघट वाली महिला: हल्की साँवली त्वचा;घूंघट|घूंघट वाली महिला|घूंघट वाली महिला: हल्की साँवली त्वचा|महि‍ला|हल्की साँवली त्वचा
	👰🏿‍♀️;घूंघट वाली महिला: साँवली त्वचा;घूंघट|घूंघट वाली महिला|घूंघट वाली महिला: साँवली त्वचा|महि‍ला|साँवली त्वचा
🤰;गर्भवती महिला;गर्भवती|महिला
	🤰🏻;गर्भवती महिला: गोरी त्वचा;गर्भवती|गर्भवती महिला: गोरी त्वचा|गोरी त्वचा|महिला
	🤰🏼;गर्भवती महिला: हल्की गोरी त्वचा;गर्भवती|गर्भवती महिला: हल्की गोरी त्वचा|महिला|हल्की गोरी त्वचा
	🤰🏽;गर्भवती महिला: गेहुँआ त्वचा;गर्भवती|गर्भवती महिला: गेहुँआ त्वचा|गेहुँआ त्वचा|महिला
	🤰🏾;गर्भवती महिला: हल्की साँवली त्वचा;गर्भवती|गर्भवती महिला: हल्की साँवली त्वचा|महिला|हल्की साँवली त्वचा
	🤰🏿;गर्भवती महिला: साँवली त्वचा;गर्भवती|गर्भवती महिला: साँवली त्वचा|महिला|साँवली त्वचा
🫃;गर्भवती पुरुष;गर्भवती|गर्भवती पुरुष|पेट|फूला हुआ|भरा हुआ
	🫃🏻;गर्भवती पुरुष: गोरी त्वचा;गर्भवती|गर्भवती पुरुष|गर्भवती पुरुष: गोरी त्वचा|गोरी त्वचा|पेट|फूला हुआ|भरा हुआ
	🫃🏼;गर्भवती पुरुष: हल्की गोरी त्वचा;गर्भवती|गर्भवती पुरुष|गर्भवती पुरुष: हल्की गोरी त्वचा|पेट|फूला हुआ|भरा हुआ|हल्की गोरी त्वचा
	🫃🏽;गर्भवती पुरुष: गेहुँआ त्वचा;गर्भवती|गर्भवती पुरुष|गर्भवती पुरुष: गेहुँआ त्वचा|गेहुँआ त्वचा|पेट|फूला हुआ|भरा हुआ
	🫃🏾;गर्भवती पुरुष: हल्की साँवली त्वचा;गर्भवती|गर्भवती पुरुष|गर्भवती पुरुष: हल्की साँवली त्वचा|पेट|फूला हुआ|भरा हुआ|हल्की साँवली त्वचा
	🫃🏿;गर्भवती पुरुष: साँवली त्वचा;गर्भवती|गर्भवती पुरुष|गर्भवती पुरुष: साँवली त्वचा|पेट|फूला हुआ|भरा हुआ|साँवली त्वचा
🫄;गर्भवती;गर्भवती|पूर्ण|पेट|फूला हुआ
	🫄🏻;गर्भवती: गोरी त्वचा;गर्भवती|गर्भवती: गोरी त्वचा|गोरी त्वचा|पूर्ण|पेट|फूला हुआ
	🫄🏼;गर्भवती: हल्की गोरी त्वचा;गर्भवती|गर्भवती: हल्की गोरी त्वचा|पूर्ण|पेट|फूला हुआ|हल्की गोरी त्वचा
	🫄🏽;गर्भवती: गेहुँआ त्वचा;गर्भवती|गर्भवती: गेहुँआ त्वचा|गेहुँआ त्वचा|पूर्ण|पेट|फूला हुआ
	🫄🏾;गर्भवती: हल्की साँवली त्वचा;गर्भवती|गर्भवती: हल्की साँवली त्वचा|पूर्ण|पेट|फूला हुआ|हल्की साँवली त्वचा
	🫄🏿;गर्भवती: साँवली त्वचा;गर्भवती|गर्भवती: साँवली त्वचा|पूर्ण|पेट|फूला हुआ|साँवली त्वचा
🤱;स्तनपान;शिशु|शिशु को दूध पिलाना|स्तन|स्तनपान
	🤱🏻;स्तनपान: गोरी त्वचा;गोरी त्वचा|शिशु|शिशु को दूध पिलाना|स्तन|स्तनपान|स्तनपान: गोरी त्वचा
	🤱🏼;स्तनपान: हल्की गोरी त्वचा;शिशु|शिशु को दूध पिलाना|स्तन|स्तनपान|स्तनपान: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🤱🏽;स्तनपान: गेहुँआ त्वचा;गेहुँआ त्वचा|शिशु|शिशु को दूध पिलाना|स्तन|स्तनपान|स्तनपान: गेहुँआ त्वचा
	🤱🏾;स्तनपान: हल्की साँवली त्वचा;शिशु|शिशु को दूध पिलाना|स्तन|स्तनपान|स्तनपान: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🤱🏿;स्तनपान: साँवली त्वचा;शिशु|शिशु को दूध पिलाना|साँवली त्वचा|स्तन|स्तनपान|स्तनपान: साँवली त्वचा
👩‍🍼;शिशु को दूध पिला रही महिला;दूध पिलाना|महिला|शिशु|शिशु को दूध पिला रही महिला
	👩🏻‍🍼;शिशु को दूध पिला रही महिला: गोरी त्वचा;गोरी त्वचा|दूध पिलाना|महिला|शिशु|शिशु को दूध पिला रही महिला|शिशु को दूध पिला रही महिला: गोरी त्वचा
	👩🏼‍🍼;शिशु को दूध पिला रही महिला: हल्की गोरी त्वचा;दूध पिलाना|महिला|शिशु|शिशु को दूध पिला रही महिला|शिशु को दूध पिला रही महिला: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	👩🏽‍🍼;शिशु को दूध पिला रही महिला: गेहुँआ त्वचा;गेहुँआ त्वचा|दूध पिलाना|महिला|शिशु|शिशु को दूध पिला रही महिला|शिशु को दूध पिला रही महिला: गेहुँआ त्वचा
	👩🏾‍🍼;शिशु को दूध पिला रही महिला: हल्की साँवली त्वचा;दूध पिलाना|महिला|शिशु|शिशु को दूध पिला रही महिला|शिशु को दूध पिला रही महिला: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	👩🏿‍🍼;शिशु को दूध पिला रही महिला: साँवली त्वचा;दूध पिलाना|महिला|शिशु|शिशु को दूध पिला रही महिला|शिशु को दूध पिला रही महिला: साँवली त्वचा|साँवली त्वचा
👨‍🍼;शिशु को दूध पिला रहा आदमी;आदमी|दूध पिलाना|शिशु|शिशु को दूध पिला रहा आदमी
	👨🏻‍🍼;शिशु को दूध पिला रहा आदमी: गोरी त्वचा;आदमी|गोरी त्वचा|दूध पिलाना|शिशु|शिशु को दूध पिला रहा आदमी|शिशु को दूध पिला रहा आदमी: गोरी त्वचा
	👨🏼‍🍼;शिशु को दूध पिला रहा आदमी: हल्की गोरी त्वचा;आदमी|दूध पिलाना|शिशु|शिशु को दूध पिला रहा आदमी|शिशु को दूध पिला रहा आदमी: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	👨🏽‍🍼;शिशु को दूध पिला रहा आदमी: गेहुँआ त्वचा;आदमी|गेहुँआ त्वचा|दूध पिलाना|शिशु|शिशु को दूध पिला रहा आदमी|शिशु को दूध पिला रहा आदमी: गेहुँआ त्वचा
	👨🏾‍🍼;शिशु को दूध पिला रहा आदमी: हल्की साँवली त्वचा;आदमी|दूध पिलाना|शिशु|शिशु को दूध पिला रहा आदमी|शिशु को दूध पिला रहा आदमी: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	👨🏿‍🍼;शिशु को दूध पिला रहा आदमी: साँवली त्वचा;आदमी|दूध पिलाना|शिशु|शिशु को दूध पिला रहा आदमी|शिशु को दूध पिला रहा आदमी: साँवली त्वचा|साँवली त्वचा
🧑‍🍼;शिशु को दूध पिलाने वाली/वाला;दूध पिलाना|व्यक्ति|शिशु|शिशु को दूध पिलाने वाली/वाला|स्तनपान
	🧑🏻‍🍼;शिशु को दूध पिलाने वाली/वाला: गोरी त्वचा;गोरी त्वचा|दूध पिलाना|व्यक्ति|शिशु|शिशु को दूध पिलाने वाली/वाला|शिशु को दूध पिलाने वाली/वाला: गोरी त्वचा|स्तनपान
	🧑🏼‍🍼;शिशु को दूध पिलाने वाली/वाला: हल्की गोरी त्वचा;दूध पिलाना|व्यक्ति|शिशु|शिशु को दूध पिलाने वाली/वाला|शिशु को दूध पिलाने वाली/वाला: हल्की गोरी त्वचा|स्तनपान|हल्की गोरी त्वचा
	🧑🏽‍🍼;शिशु को दूध पिलाने वाली/वाला: गेहुँआ त्वचा;गेहुँआ त्वचा|दूध पिलाना|व्यक्ति|शिशु|शिशु को दूध पिलाने वाली/वाला|शिशु को दूध पिलाने वाली/वाला: गेहुँआ त्वचा|स्तनपान
	🧑🏾‍🍼;शिशु को दूध पिलाने वाली/वाला: हल्की साँवली त्वचा;दूध पिलाना|व्यक्ति|शिशु|शिशु को दूध पिलाने वाली/वाला|शिशु को दूध पिलाने वाली/वाला: हल्की साँवली त्वचा|स्तनपान|हल्की साँवली त्वचा
	🧑🏿‍🍼;शिशु को दूध पिलाने वाली/वाला: साँवली त्वचा;दूध पिलाना|व्यक्ति|शिशु|शिशु को दूध पिलाने वाली/वाला|शिशु को दूध पिलाने वाली/वाला: साँवली त्वचा|साँवली त्वचा|स्तनपान
👼;नन्ही परी;चेहरा|नन्ही परी|नन्हीं परी|परी|फैंटेसी|बच्ची
	👼🏻;नन्ही परी: गोरी त्वचा;गोरी त्वचा|चेहरा|नन्ही परी|नन्हीं परी|नन्ही परी: गोरी त्वचा|परी|फैंटेसी|बच्ची
	👼🏼;नन्ही परी: हल्की गोरी त्वचा;चेहरा|नन्ही परी|नन्हीं परी|नन्ही परी: हल्की गोरी त्वचा|परी|फैंटेसी|बच्ची|हल्की गोरी त्वचा
	👼🏽;नन्ही परी: गेहुँआ त्वचा;गेहुँआ त्वचा|चेहरा|नन्ही परी|नन्हीं परी|नन्ही परी: गेहुँआ त्वचा|परी|फैंटेसी|बच्ची
	👼🏾;नन्ही परी: हल्की साँवली त्वचा;चेहरा|नन्ही परी|नन्हीं परी|नन्ही परी: हल्की साँवली त्वचा|परी|फैंटेसी|बच्ची|हल्की साँवली त्वचा
	👼🏿;नन्ही परी: साँवली त्वचा;चेहरा|नन्ही परी|नन्हीं परी|नन्ही परी: साँवली त्वचा|परी|फैंटेसी|बच्ची|साँवली त्वचा
🎅;सैंटा क्लॉज़;क्रिसमस|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज|सैंटा क्लॉज़
	🎅🏻;सैंटा क्लॉज़: गोरी त्वचा;क्रिसमस|गोरी त्वचा|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज|सैंटा क्लॉज़|सैंटा क्लॉज़: गोरी त्वचा
	🎅🏼;सैंटा क्लॉज़: हल्की गोरी त्वचा;क्रिसमस|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज|सैंटा क्लॉज़|सैंटा क्लॉज़: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🎅🏽;सैंटा क्लॉज़: गेहुँआ त्वचा;क्रिसमस|गेहुँआ त्वचा|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज|सैंटा क्लॉज़|सैंटा क्लॉज़: गेहुँआ त्वचा
	🎅🏾;सैंटा क्लॉज़: हल्की साँवली त्वचा;क्रिसमस|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज|सैंटा क्लॉज़|सैंटा क्लॉज़: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🎅🏿;सैंटा क्लॉज़: साँवली त्वचा;क्रिसमस|फ़ादर क्रिसमस|समारोह|सांता|सांता क्लाज|साँवली त्वचा|सैंटा क्लॉज़|सैंटा क्लॉज़: साँवली त्वचा
🤶;मिसेज़ क्लाज;Mrs.क्लॉस|क्रिस्मस|मां|मिसेज़ क्लाज
	🤶🏻;मिसेज़ क्लाज: गोरी त्वचा;Mrs.क्लॉस|क्रिस्मस|गोरी त्वचा|मां|मिसेज़ क्लाज|मिसेज़ क्लाज: गोरी त्वचा
	🤶🏼;मिसेज़ क्लाज: हल्की गोरी त्वचा;Mrs.क्लॉस|क्रिस्मस|मां|मिसेज़ क्लाज|मिसेज़ क्लाज: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🤶🏽;मिसेज़ क्लाज: गेहुँआ त्वचा;Mrs.क्लॉस|क्रिस्मस|गेहुँआ त्वचा|मां|मिसेज़ क्लाज|मिसेज़ क्लाज: गेहुँआ त्वचा
	🤶🏾;मिसेज़ क्लाज: हल्की साँवली त्वचा;Mrs.क्लॉस|क्रिस्मस|मां|मिसेज़ क्लाज|मिसेज़ क्लाज: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🤶🏿;मिसेज़ क्लाज: साँवली त्वचा;Mrs.क्लॉस|क्रिस्मस|मां|मिसेज़ क्लाज|मिसेज़ क्लाज: साँवली त्वचा|साँवली त्वचा
🧑‍🎄;एम एक्स क्लाॅॅॅॅज़;एम एक्स क्लाॅॅॅॅज़|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़
	🧑🏻‍🎄;एम एक्स क्लाॅॅॅॅज़: गोरी त्वचा;एम एक्स क्लाॅॅॅॅज़|एम एक्स क्लाॅॅॅॅज़: गोरी त्वचा|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़|गोरी त्वचा
	🧑🏼‍🎄;एम एक्स क्लाॅॅॅॅज़: हल्की गोरी त्वचा;एम एक्स क्लाॅॅॅॅज़|एम एक्स क्लाॅॅॅॅज़: हल्की गोरी त्वचा|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़|हल्की गोरी त्वचा
	🧑🏽‍🎄;एम एक्स क्लाॅॅॅॅज़: गेहुँआ त्वचा;एम एक्स क्लाॅॅॅॅज़|एम एक्स क्लाॅॅॅॅज़: गेहुँआ त्वचा|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़|गेहुँआ त्वचा
	🧑🏾‍🎄;एम एक्स क्लाॅॅॅॅज़: हल्की साँवली त्वचा;एम एक्स क्लाॅॅॅॅज़|एम एक्स क्लाॅॅॅॅज़: हल्की साँवली त्वचा|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़|हल्की साँवली त्वचा
	🧑🏿‍🎄;एम एक्स क्लाॅॅॅॅज़: साँवली त्वचा;एम एक्स क्लाॅॅॅॅज़|एम एक्स क्लाॅॅॅॅज़: साँवली त्वचा|एम एक्स क्लॉज़|क्रिसमस|क्लाॅॅॅॅज़|साँवली त्वचा
🦸;सुपरहीरो;बढ़िया|सुपरपॉवर|सुपरहीरो|हीरो|हीरोइन
	🦸🏻;सुपरहीरो: गोरी त्वचा;गोरी त्वचा|बढ़िया|सुपरपॉवर|सुपरहीरो|सुपरहीरो: गोरी त्वचा|हीरो|हीरोइन
	🦸🏼;सुपरहीरो: हल्की गोरी त्वचा;बढ़िया|सुपरपॉवर|सुपरहीरो|सुपरहीरो: हल्की गोरी त्वचा|हल्की गोरी त्वचा|हीरो|हीरोइन
	🦸🏽;सुपरहीरो: गेहुँआ त्वचा;गेहुँआ त्वचा|बढ़िया|सुपरपॉवर|सुपरहीरो|सुपरहीरो: गेहुँआ त्वचा|हीरो|हीरोइन
	🦸🏾;सुपरहीरो: हल्की साँवली त्वचा;बढ़िया|सुपरपॉवर|सुपरहीरो|सुपरहीरो: हल्की साँवली त्वचा|हल्की साँवली त्वचा|हीरो|हीरोइन
	🦸🏿;सुपरहीरो: साँवली त्वचा;बढ़िया|साँवली त्वचा|सुपरपॉवर|सुपरहीरो|सुपरहीरो: साँवली त्वचा|हीरो|हीरोइन
🦸‍♂️;पुरुष सुपरहीरो;पुरुष|पुरुष सुपरहीरो|बढ़िया|सुपरपॉवर|हीरो
	🦸🏻‍♂️;पुरुष सुपरहीरो: गोरी त्वचा;गोरी त्वचा|पुरुष|पुरुष सुपरहीरो|पुरुष सुपरहीरो: गोरी त्वचा|बढ़िया|सुपरपॉवर|हीरो
	🦸🏼‍♂️;पुरुष सुपरहीरो: हल्की गोरी त्वचा;पुरुष|पुरुष सुपरहीरो|पुरुष सुपरहीरो: हल्की गोरी त्वचा|बढ़िया|सुपरपॉवर|हल्की गोरी त्वचा|हीरो
	🦸🏽‍♂️;पुरुष सुपरहीरो: गेहुँआ त्वचा;गेहुँआ त्वचा|पुरुष|पुरुष सुपरहीरो|पुरुष सुपरहीरो: गेहुँआ त्वचा|बढ़िया|सुपरपॉवर|हीरो
	🦸🏾‍♂️;पुरुष सुपरहीरो: हल्की साँवली त्वचा;पुरुष|पुरुष सुपरहीरो|पुरुष सुपरहीरो: हल्की साँवली त्वचा|बढ़िया|सुपरपॉवर|हल्की साँवली त्वचा|हीरो
	🦸🏿‍♂️;पुरुष सुपरहीरो: साँवली त्वचा;पुरुष|पुरुष सुपरहीरो|पुरुष सुपरहीरो: साँवली त्वचा|बढ़िया|साँवली त्वचा|सुपरपॉवर|हीरो
🦸‍♀️;महिला सुपरहीरो;बढ़िया|महिला|महिला सुपरहीरो|सुपरपॉवर|हीरो|हीरोइन
	🦸🏻‍♀️;महिला सुपरहीरो: गोरी त्वचा;गोरी त्वचा|बढ़िया|महिला|महिला सुपरहीरो|महिला सुपरहीरो: गोरी त्वचा|सुपरपॉवर|हीरो|हीरोइन
	🦸🏼‍♀️;महिला सुपरहीरो: हल्की गोरी त्वचा;बढ़िया|महिला|महिला सुपरहीरो|महिला सुपरहीरो: हल्की गोरी त्वचा|सुपरपॉवर|हल्की गोरी त्वचा|हीरो|हीरोइन
	🦸🏽‍♀️;महिला सुपरहीरो: गेहुँआ त्वचा;गेहुँआ त्वचा|बढ़िया|महिला|महिला सुपरहीरो|महिला सुपरहीरो: गेहुँआ त्वचा|सुपरपॉवर|हीरो|हीरोइन
	🦸🏾‍♀️;महिला सुपरहीरो: हल्की साँवली त्वचा;बढ़िया|महिला|महिला सुपरहीरो|महिला सुपरहीरो: हल्की साँवली त्वचा|सुपरपॉवर|हल्की साँवली त्वचा|हीरो|हीरोइन
	🦸🏿‍♀️;महिला सुपरहीरो: साँवली त्वचा;बढ़िया|महिला|महिला सुपरहीरो|महिला सुपरहीरो: साँवली त्वचा|साँवली त्वचा|सुपरपॉवर|हीरो|हीरोइन
🦹;सुपरविलेन;अपराधी|बुराई|विलेन|सुपरपॉवर|सुपरविलेन
	🦹🏻;सुपरविलेन: गोरी त्वचा;अपराधी|गोरी त्वचा|बुराई|विलेन|सुपरपॉवर|सुपरविलेन|सुपरविलेन: गोरी त्वचा
	🦹🏼;सुपरविलेन: हल्की गोरी त्वचा;अपराधी|बुराई|विलेन|सुपरपॉवर|सुपरविलेन|सुपरविलेन: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🦹🏽;सुपरविलेन: गेहुँआ त्वचा;अपराधी|गेहुँआ त्वचा|बुराई|विलेन|सुपरपॉवर|सुपरविलेन|सुपरविलेन: गेहुँआ त्वचा
	🦹🏾;सुपरविलेन: हल्की साँवली त्वचा;अपराधी|बुराई|विलेन|सुपरपॉवर|सुपरविलेन|सुपरविलेन: हल्की साँवली त्वचा|हल्की साँवली त्वचा
	🦹🏿;सुपरविलेन: साँवली त्वचा;अपराधी|बुराई|विलेन|साँवली त्वचा|सुपरपॉवर|सुपरविलेन|सुपरविलेन: साँवली त्वचा
🦹‍♂️;पुरुष सुपरविलेन;अपराधी|पुरुष|पुरुष सुपरविलेन|बुराई|विलेन|सुपरपॉवर
	🦹🏻‍♂️;पुरुष सुपरविलेन: गोरी त्वचा;अपराधी|गोरी त्वचा|पुरुष|पुरुष सुपरविलेन|पुरुष सुपरविलेन: गोरी त्वचा|बुराई|विलेन|सुपरपॉवर
	🦹🏼‍♂️;पुरुष सुपरविलेन: हल्की गोरी त्वचा;अपराधी|पुरुष|पुरुष सुपरविलेन|पुरुष सुपरविलेन: हल्की गोरी त्वचा|बुराई|विलेन|सुपरपॉवर|हल्की गोरी त्वचा
	🦹🏽‍♂️;पुरुष सुपरविलेन: गेहुँआ त्वचा;अपराधी|गेहुँआ त्वचा|पुरुष|पुरुष सुपरविलेन|पुरुष सुपरविलेन: गेहुँआ त्वचा|बुराई|विलेन|सुपरपॉवर
	🦹🏾‍♂️;पुरुष सुपरविलेन: हल्की साँवली त्वचा;अपराधी|पुरुष|पुरुष सुपरविलेन|पुरुष सुपरविलेन: हल्की साँवली त्वचा|बुराई|विलेन|सुपरपॉवर|हल्की साँवली त्वचा
	🦹🏿‍♂️;पुरुष सुपरविलेन: साँवली त्वचा;अपराधी|पुरुष|पुरुष सुपरविलेन|पुरुष सुपरविलेन: साँवली त्वचा|बुराई|विलेन|साँवली त्वचा|सुपरपॉवर
🦹‍♀️;महिला सुपरविलेन;अपराधी|बुराई|महिला|महिला सुपरविलेन|विलेन|सुपरपॉवर
	🦹🏻‍♀️;महिला सुपरविलेन: गोरी त्वचा;अपराधी|गोरी त्वचा|बुराई|महिला|महिला सुपरविलेन|महिला सुपरविलेन: गोरी त्वचा|विलेन|सुपरपॉवर
	🦹🏼‍♀️;महिला सुपरविलेन: हल्की गोरी त्वचा;अपराधी|बुराई|महिला|महिला सुपरविलेन|महिला सुपरविलेन: हल्की गोरी त्वचा|विलेन|सुपरपॉवर|हल्की गोरी त्वचा
	🦹🏽‍♀️;महिला सुपरविलेन: गेहुँआ त्वचा;अपराधी|गेहुँआ त्वचा|बुराई|महिला|महिला सुपरविलेन|महिला सुपरविलेन: गेहुँआ त्वचा|विलेन|सुपरपॉवर
	🦹🏾‍♀️;महिला सुपरविलेन: हल्की साँवली त्वचा;अपराधी|बुराई|महिला|महिला सुपरविलेन|महिला सुपरविलेन: हल्की साँवली त्वचा|विलेन|सुपरपॉवर|हल्की साँवली त्वचा
	🦹🏿‍♀️;महिला सुपरविलेन: साँवली त्वचा;अपराधी|बुराई|महिला|महिला सुपरविलेन|महिला सुपरविलेन: साँवली त्वचा|विलेन|साँवली त्वचा|सुपरपॉवर
🧙;जादूगर, करामाती;करामाती|जादूगर|जादूगर, करामाती|जादूगरनी|भूतसाधक|भूतसाधिका
	🧙🏻;जादूगर, करामाती: गोरी त्वचा;करामाती|गोरी त्वचा|जादूगर|जादूगर, करामाती|जादूगर, करामाती: गोरी त्वचा|जादूगरनी|भूतसाधक|भूतसाधिका
	🧙🏼;जादूगर, करामाती: हल्की गोरी त्वचा;करामाती|जादूगर|जादूगर, करामाती|जादूगर, करामाती: हल्की गोरी त्वचा|जादूगरनी|भूतसाधक|भूतसाधिका|हल्की गोरी त्वचा
	🧙🏽;जादूगर, करामाती: गेहुँआ त्वचा;करामाती|गेहुँआ त्वचा|जादूगर|जादूगर, करामाती|जादूगर, करामाती: गेहुँआ त्वचा|जादूगरनी|भूतसाधक|भूतसाधिका
	🧙🏾;जादूगर, करामाती: हल्की साँवली त्वचा;करामाती|जादूगर|जादूगर, करामाती|जादूगर, करामाती: हल्की साँवली त्वचा|जादूगरनी|भूतसाधक|भूतसाधिका|हल्की साँवली त्वचा
	🧙🏿;जादूगर, करामाती: साँवली त्वचा;करामाती|जादूगर|जादूगर, करामाती|जादूगर, करामाती: साँवली त्वचा|जादूगरनी|भूतसाधक|भूतसाधिका|साँवली त्वचा
🧙‍♂️;करामाती पुरुष;करामाती पुरुष|जादूगर|भूतसाधक
	🧙🏻‍♂️;करामाती पुरुष: गोरी त्वचा;करामाती पुरुष|करामाती पुरुष: गोरी त्वचा|गोरी त्वचा|जादूगर|भूतसाधक
	🧙🏼‍♂️;करामाती पुरुष: हल्की गोरी त्वचा;करामाती पुरुष|करामाती पुरुष: हल्की गोरी त्वचा|जादूगर|भूतसाधक|हल्की गोरी त्वचा
	🧙🏽‍♂️;करामाती पुरुष: गेहुँआ त्वचा;करामाती पुरुष|करामाती पुरुष: गेहुँआ त्वचा|गेहुँआ त्वचा|जादूगर|भूतसाधक
	🧙🏾‍♂️;करामाती पुरुष: हल्की साँवली त्वचा;करामाती पुरुष|करामाती पुरुष: हल्की साँवली त्वचा|जादूगर|भूतसाधक|हल्की साँवली त्वचा
	🧙🏿‍♂️;करामाती पुरुष: साँवली त्वचा;करामाती पुरुष|करामाती पुरुष: साँवली त्वचा|जादूगर|भूतसाधक|साँवली त्वचा
🧙‍♀️;करामाती महिला;करामाती महिला|जादूगरनी|भूतसाधिका
	🧙🏻‍♀️;करामाती महिला: गोरी त्वचा;करामाती महिला|करामाती महिला: गोरी त्वचा|गोरी त्वचा|जादूगरनी|भूतसाधिका
	🧙🏼‍♀️;करामाती महिला: हल्की गोरी त्वचा;करामाती महिला|करामाती महिला: हल्की गोरी त्वचा|जादूगरनी|भूतसाधिका|हल्की गोरी त्वचा
	🧙🏽‍♀️;करामाती महिला: गेहुँआ त्वचा;करामाती महिला|करामाती महिला: गेहुँआ त्वचा|गेहुँआ त्वचा|जादूगरनी|भूतसाधिका
	🧙🏾‍♀️;करामाती महिला: हल्की साँवली त्वचा;करामाती महिला|करामाती महिला: हल्की साँवली त्वचा|जादूगरनी|भूतसाधिका|हल्की साँवली त्वचा
	🧙🏿‍♀️;करामाती महिला: साँवली त्वचा;करामाती महिला|करामाती महिला: साँवली त्वचा|जादूगरनी|भूतसाधिका|साँवली त्वचा
🧚;परी;ऑबेरॉन|टाइटैनिया|पक|परी
	🧚🏻;परी: गोरी त्वचा;ऑबेरॉन|गोरी त्वचा|टाइटैनिया|पक|परी|परी: गोरी त्वचा
	🧚🏼;परी: हल्की गोरी त्वचा;ऑबेरॉन|टाइटैनिया|पक|परी|परी: हल्की गोरी त्वचा|हल्की गोरी त्वचा
	🧚🏽;परी: गेहुँआ त्वचा;ऑबेरॉन|गेहुँआ त्वचा|टाइटैनिया|पक|परी|परी: गेहुँआ त्वचा
