# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
	🧍🏾‍♀️;seisev naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|naine|seisev|seisev naine: keskmiselt tume nahatoon|seismine
	🧍🏿‍♀️;seisev naine: tume nahatoon;naine|seisev|seisev naine: tume nahatoon|seismine|tume nahatoon
🧎;põlvitav inimene;inimene|põlvili|põlvitav
	🧎🏻;põlvitav inimene: hele nahatoon;hele nahatoon|inimene|põlvili|põlvitav|põlvitav inimene: hele nahatoon
	🧎🏼;põlvitav inimene: keskmiselt hele nahatoon;inimene|keskmiselt hele nahatoon|põlvili|põlvitav|põlvitav inimene: keskmiselt hele nahatoon
	🧎🏽;põlvitav inimene: keskmine nahatoon;inimene|keskmine nahatoon|põlvili|põlvitav|põlvitav inimene: keskmine nahatoon
	🧎🏾;põlvitav inimene: keskmiselt tume nahatoon;inimene|keskmiselt tume nahatoon|põlvili|põlvitav|põlvitav inimene: keskmiselt tume nahatoon
	🧎🏿;põlvitav inimene: tume nahatoon;inimene|põlvili|põlvitav|põlvitav inimene: tume nahatoon|tume nahatoon
🧎‍♂️;põlvitav mees;mees|põlvili|põlvitav
	🧎🏻‍♂️;põlvitav mees: hele nahatoon;hele nahatoon|mees|põlvili|põlvitav|põlvitav mees: hele nahatoon
	🧎🏼‍♂️;põlvitav mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|mees|põlvili|põlvitav|põlvitav mees: keskmiselt hele nahatoon
	🧎🏽‍♂️;põlvitav mees: keskmine nahatoon;keskmine nahatoon|mees|põlvili|põlvitav|põlvitav mees: keskmine nahatoon
	🧎🏾‍♂️;põlvitav mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|mees|põlvili|põlvitav|põlvitav mees: keskmiselt tume nahatoon
	🧎🏿‍♂️;põlvitav mees: tume nahatoon;mees|põlvili|põlvitav|põlvitav mees: tume nahatoon|tume nahatoon
🧎‍♀️;põlvitav naine;naine|põlvili|põlvitav
	🧎🏻‍♀️;põlvitav naine: hele nahatoon;hele nahatoon|naine|põlvili|põlvitav|põlvitav naine: hele nahatoon
	🧎🏼‍♀️;põlvitav naine: keskmiselt hele nahatoon;keskmiselt hele nahatoon|naine|põlvili|põlvitav|põlvitav naine: keskmiselt hele nahatoon
	🧎🏽‍♀️;põlvitav naine: keskmine nahatoon;keskmine nahatoon|naine|põlvili|põlvitav|põlvitav naine: keskmine nahatoon
	🧎🏾‍♀️;põlvitav naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|naine|põlvili|põlvitav|põlvitav naine: keskmiselt tume nahatoon
	🧎🏿‍♀️;põlvitav naine: tume nahatoon;naine|põlvili|põlvitav|põlvitav naine: tume nahatoon|tume nahatoon
🧎‍➡️;põlvitav inimene suunaga paremale;inimene|põlvili|põlvitav|põlvitav inimene suunaga paremale
	🧎🏻‍➡️;põlvitav inimene suunaga paremale;inimene|põlvili|põlvitav|põlvitav inimene suunaga paremale
	🧎🏼‍➡️;põlvitav inimene suunaga paremale;inimene|põlvili|põlvitav|põlvitav inimene suunaga paremale
	🧎🏽‍➡️;põlvitav inimene suunaga paremale;inimene|põlvili|põlvitav|põlvitav inimene suunaga paremale
	🧎🏾‍➡️;põlvitav inimene suunaga paremale;inimene|põlvili|põlvitav|põlvitav inimene suunaga paremale
	🧎🏿‍➡️;põlvitav inimene suunaga paremale;inimene|põlvili|põlvitav|põlvitav inimene suunaga paremale
🧎‍♀️‍➡️;põlvitav naine suunaga paremale;naine|põlvili|põlvitav|põlvitav naine suunaga paremale
	🧎🏻‍♀️‍➡️;põlvitav naine suunaga paremale;naine|põlvili|põlvitav|põlvitav naine suunaga paremale
	🧎🏼‍♀️‍➡️;põlvitav naine suunaga paremale;naine|põlvili|põlvitav|põlvitav naine suunaga paremale
	🧎🏽‍♀️‍➡️;põlvitav naine suunaga paremale;naine|põlvili|põlvitav|põlvitav naine suunaga paremale
	🧎🏾‍♀️‍➡️;põlvitav naine suunaga paremale;naine|põlvili|põlvitav|põlvitav naine suunaga paremale
	🧎🏿‍♀️‍➡️;põlvitav naine suunaga paremale;naine|põlvili|põlvitav|põlvitav naine suunaga paremale
🧎‍♂️‍➡️;põlvitav mees suunaga paremale;mees|põlvili|põlvitav|põlvitav mees suunaga paremale
	🧎🏻‍♂️‍➡️;põlvitav mees suunaga paremale;mees|põlvili|põlvitav|põlvitav mees suunaga paremale
	🧎🏼‍♂️‍➡️;põlvitav mees suunaga paremale;mees|põlvili|põlvitav|põlvitav mees suunaga paremale
	🧎🏽‍♂️‍➡️;põlvitav mees suunaga paremale;mees|põlvili|põlvitav|põlvitav mees suunaga paremale
	🧎🏾‍♂️‍➡️;põlvitav mees suunaga paremale;mees|põlvili|põlvitav|põlvitav mees suunaga paremale
	🧎🏿‍♂️‍➡️;põlvitav mees suunaga paremale;mees|põlvili|põlvitav|põlvitav mees suunaga paremale
🧑‍🦯;valge kepiga inimene;ligipääs|pime|valge kepiga inimene
	🧑🏻‍🦯;valge kepiga inimene: hele nahatoon;hele nahatoon|ligipääs|pime|valge kepiga inimene|valge kepiga inimene: hele nahatoon
	🧑🏼‍🦯;valge kepiga inimene: keskmiselt hele nahatoon;keskmiselt hele nahatoon|ligipääs|pime|valge kepiga inimene|valge kepiga inimene: keskmiselt hele nahatoon
	🧑🏽‍🦯;valge kepiga inimene: keskmine nahatoon;keskmine nahatoon|ligipääs|pime|valge kepiga inimene|valge kepiga inimene: keskmine nahatoon
	🧑🏾‍🦯;valge kepiga inimene: keskmiselt tume nahatoon;keskmiselt tume nahatoon|ligipääs|pime|valge kepiga inimene|valge kepiga inimene: keskmiselt tume nahatoon
	🧑🏿‍🦯;valge kepiga inimene: tume nahatoon;ligipääs|pime|tume nahatoon|valge kepiga inimene|valge kepiga inimene: tume nahatoon
🧑‍🦯‍➡️;valge kepiga inimene suunaga paremale;ligipääs|pime|valge kepiga inimene|valge kepiga inimene suunaga paremale
	🧑🏻‍🦯‍➡️;valge kepiga inimene suunaga paremale;ligipääs|pime|valge kepiga inimene|valge kepiga inimene suunaga paremale
	🧑🏼‍🦯‍➡️;valge kepiga inimene suunaga paremale;ligipääs|pime|valge kepiga inimene|valge kepiga inimene suunaga paremale
	🧑🏽‍🦯‍➡️;valge kepiga inimene suunaga paremale;ligipääs|pime|valge kepiga inimene|valge kepiga inimene suunaga paremale
	🧑🏾‍🦯‍➡️;valge kepiga inimene suunaga paremale;ligipääs|pime|valge kepiga inimene|valge kepiga inimene suunaga paremale
	🧑🏿‍🦯‍➡️;valge kepiga inimene suunaga paremale;ligipääs|pime|valge kepiga inimene|valge kepiga inimene suunaga paremale
👨‍🦯;valge kepiga mees;ligipääs|mees|pime|valge kepiga mees
	👨🏻‍🦯;valge kepiga mees: hele nahatoon;hele nahatoon|ligipääs|mees|pime|valge kepiga mees|valge kepiga mees: hele nahatoon
	👨🏼‍🦯;valge kepiga mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|ligipääs|mees|pime|valge kepiga mees|valge kepiga mees: keskmiselt hele nahatoon
	👨🏽‍🦯;valge kepiga mees: keskmine nahatoon;keskmine nahatoon|ligipääs|mees|pime|valge kepiga mees|valge kepiga mees: keskmine nahatoon
	👨🏾‍🦯;valge kepiga mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|ligipääs|mees|pime|valge kepiga mees|valge kepiga mees: keskmiselt tume nahatoon
	👨🏿‍🦯;valge kepiga mees: tume nahatoon;ligipääs|mees|pime|tume nahatoon|valge kepiga mees|valge kepiga mees: tume nahatoon
👨‍🦯‍➡️;valge kepiga mees suunaga paremale;ligipääs|mees|pime|valge kepiga mees|valge kepiga mees suunaga paremale
	👨🏻‍🦯‍➡️;valge kepiga mees suunaga paremale;ligipääs|mees|pime|valge kepiga mees|valge kepiga mees suunaga paremale
	👨🏼‍🦯‍➡️;valge kepiga mees suunaga paremale;ligipääs|mees|pime|valge kepiga mees|valge kepiga mees suunaga paremale
	👨🏽‍🦯‍➡️;valge kepiga mees suunaga paremale;ligipääs|mees|pime|valge kepiga mees|valge kepiga mees suunaga paremale
	👨🏾‍🦯‍➡️;valge kepiga mees suunaga paremale;ligipääs|mees|pime|valge kepiga mees|valge kepiga mees suunaga paremale
	👨🏿‍🦯‍➡️;valge kepiga mees suunaga paremale;ligipääs|mees|pime|valge kepiga mees|valge kepiga mees suunaga paremale
👩‍🦯;valge kepiga naine;ligipääs|naine|pime|valge kepiga naine
	👩🏻‍🦯;valge kepiga naine: hele nahatoon;hele nahatoon|ligipääs|naine|pime|valge kepiga naine|valge kepiga naine: hele nahatoon
	👩🏼‍🦯;valge kepiga naine: keskmiselt hele nahatoon;keskmiselt hele nahatoon|ligipääs|naine|pime|valge kepiga naine|valge kepiga naine: keskmiselt hele nahatoon
	👩🏽‍🦯;valge kepiga naine: keskmine nahatoon;keskmine nahatoon|ligipääs|naine|pime|valge kepiga naine|valge kepiga naine: keskmine nahatoon
	👩🏾‍🦯;valge kepiga naine: keskmiselt tume nahatoon;keskmiselt tume nahatoon|ligipääs|naine|pime|valge kepiga naine|valge kepiga naine: keskmiselt tume nahatoon
	👩🏿‍🦯;valge kepiga naine: tume nahatoon;ligipääs|naine|pime|tume nahatoon|valge kepiga naine|valge kepiga naine: tume nahatoon
👩‍🦯‍➡️;valge kepiga naine suunaga paremale;ligipääs|naine|pime|valge kepiga naine|valge kepiga naine suunaga paremale
	👩🏻‍🦯‍➡️;valge kepiga naine suunaga paremale;ligipääs|naine|pime|valge kepiga naine|valge kepiga naine suunaga paremale
	👩🏼‍🦯‍➡️;valge kepiga naine suunaga paremale;ligipääs|naine|pime|valge kepiga naine|valge kepiga naine suunaga paremale
	👩🏽‍🦯‍➡️;valge kepiga naine suunaga paremale;ligipääs|naine|pime|valge kepiga naine|valge kepiga naine suunaga paremale
	👩🏾‍🦯‍➡️;valge kepiga naine suunaga paremale;ligipääs|naine|pime|valge kepiga naine|valge kepiga naine suunaga paremale
	👩🏿‍🦯‍➡️;valge kepiga naine suunaga paremale;ligipääs|naine|pime|valge kepiga naine|valge kepiga naine suunaga paremale
🧑‍🦼;elektrilises ratastoolis inimene;elektrilises ratastoolis inimene|ligipääsetavus|ratastool
	🧑🏻‍🦼;elektrilises ratastoolis inimene: hele nahatoon;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene: hele nahatoon|hele nahatoon|ligipääsetavus|ratastool
	🧑🏼‍🦼;elektrilises ratastoolis inimene: keskmiselt hele nahatoon;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene: keskmiselt hele nahatoon|keskmiselt hele nahatoon|ligipääsetavus|ratastool
	🧑🏽‍🦼;elektrilises ratastoolis inimene: keskmine nahatoon;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene: keskmine nahatoon|keskmine nahatoon|ligipääsetavus|ratastool
	🧑🏾‍🦼;elektrilises ratastoolis inimene: keskmiselt tume nahatoon;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene: keskmiselt tume nahatoon|keskmiselt tume nahatoon|ligipääsetavus|ratastool
	🧑🏿‍🦼;elektrilises ratastoolis inimene: tume nahatoon;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene: tume nahatoon|ligipääsetavus|ratastool|tume nahatoon
🧑‍🦼‍➡️;elektrilises ratastoolis inimene suunaga paremale;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene suunaga paremale|ligipääsetavus|ratastool
	🧑🏻‍🦼‍➡️;elektrilises ratastoolis inimene suunaga paremale;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene suunaga paremale|ligipääsetavus|ratastool
	🧑🏼‍🦼‍➡️;elektrilises ratastoolis inimene suunaga paremale;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene suunaga paremale|ligipääsetavus|ratastool
	🧑🏽‍🦼‍➡️;elektrilises ratastoolis inimene suunaga paremale;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene suunaga paremale|ligipääsetavus|ratastool
	🧑🏾‍🦼‍➡️;elektrilises ratastoolis inimene suunaga paremale;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene suunaga paremale|ligipääsetavus|ratastool
	🧑🏿‍🦼‍➡️;elektrilises ratastoolis inimene suunaga paremale;elektrilises ratastoolis inimene|elektrilises ratastoolis inimene suunaga paremale|ligipääsetavus|ratastool
👨‍🦼;elektriratastoolis olev mees;elektriratastoolis mees|elektriratastoolis olev mees|ligipääs|mees|ratastool
	👨🏻‍🦼;elektriratastoolis olev mees: hele nahatoon;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees: hele nahatoon|hele nahatoon|ligipääs|mees|ratastool
	👨🏼‍🦼;elektriratastoolis olev mees: keskmiselt hele nahatoon;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees: keskmiselt hele nahatoon|keskmiselt hele nahatoon|ligipääs|mees|ratastool
	👨🏽‍🦼;elektriratastoolis olev mees: keskmine nahatoon;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees: keskmine nahatoon|keskmine nahatoon|ligipääs|mees|ratastool
	👨🏾‍🦼;elektriratastoolis olev mees: keskmiselt tume nahatoon;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees: keskmiselt tume nahatoon|keskmiselt tume nahatoon|ligipääs|mees|ratastool
	👨🏿‍🦼;elektriratastoolis olev mees: tume nahatoon;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees: tume nahatoon|ligipääs|mees|ratastool|tume nahatoon
👨‍🦼‍➡️;elektriratastoolis olev mees suunaga paremale;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees suunaga paremale|ligipääs|mees|ratastool
	👨🏻‍🦼‍➡️;elektriratastoolis olev mees suunaga paremale;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees suunaga paremale|ligipääs|mees|ratastool
	👨🏼‍🦼‍➡️;elektriratastoolis olev mees suunaga paremale;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees suunaga paremale|ligipääs|mees|ratastool
	👨🏽‍🦼‍➡️;elektriratastoolis olev mees suunaga paremale;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees suunaga paremale|ligipääs|mees|ratastool
	👨🏾‍🦼‍➡️;elektriratastoolis olev mees suunaga paremale;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees suunaga paremale|ligipääs|mees|ratastool
	👨🏿‍🦼‍➡️;elektriratastoolis olev mees suunaga paremale;elektriratastoolis mees|elektriratastoolis olev mees|elektriratastoolis olev mees suunaga paremale|ligipääs|mees|ratastool
👩‍🦼;elektriratastoolis olev naine;elektriratastoolis naine|elektriratastoolis olev naine|ligipääs|naine|ratastool
	👩🏻‍🦼;elektriratastoolis olev naine: hele nahatoon;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine: hele nahatoon|hele nahatoon|ligipääs|naine|ratastool
	👩🏼‍🦼;elektriratastoolis olev naine: keskmiselt hele nahatoon;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine: keskmiselt hele nahatoon|keskmiselt hele nahatoon|ligipääs|naine|ratastool
	👩🏽‍🦼;elektriratastoolis olev naine: keskmine nahatoon;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine: keskmine nahatoon|keskmine nahatoon|ligipääs|naine|ratastool
	👩🏾‍🦼;elektriratastoolis olev naine: keskmiselt tume nahatoon;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine: keskmiselt tume nahatoon|keskmiselt tume nahatoon|ligipääs|naine|ratastool
	👩🏿‍🦼;elektriratastoolis olev naine: tume nahatoon;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine: tume nahatoon|ligipääs|naine|ratastool|tume nahatoon
👩‍🦼‍➡️;elektriratastoolis olev naine suunaga paremale;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine suunaga paremale|ligipääs|naine|ratastool
	👩🏻‍🦼‍➡️;elektriratastoolis olev naine suunaga paremale;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine suunaga paremale|ligipääs|naine|ratastool
	👩🏼‍🦼‍➡️;elektriratastoolis olev naine suunaga paremale;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine suunaga paremale|ligipääs|naine|ratastool
	👩🏽‍🦼‍➡️;elektriratastoolis olev naine suunaga paremale;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine suunaga paremale|ligipääs|naine|ratastool
	👩🏾‍🦼‍➡️;elektriratastoolis olev naine suunaga paremale;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine suunaga paremale|ligipääs|naine|ratastool
	👩🏿‍🦼‍➡️;elektriratastoolis olev naine suunaga paremale;elektriratastoolis naine|elektriratastoolis olev naine|elektriratastoolis olev naine suunaga paremale|ligipääs|naine|ratastool
🧑‍🦽;manuaalses ratastoolis inimene;ligipääsetavus|manuaalses ratastoolis inimene|ratastool
	🧑🏻‍🦽;manuaalses ratastoolis inimene: hele nahatoon;hele nahatoon|ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene: hele nahatoon|ratastool
	🧑🏼‍🦽;manuaalses ratastoolis inimene: keskmiselt hele nahatoon;keskmiselt hele nahatoon|ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene: keskmiselt hele nahatoon|ratastool
	🧑🏽‍🦽;manuaalses ratastoolis inimene: keskmine nahatoon;keskmine nahatoon|ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene: keskmine nahatoon|ratastool
	🧑🏾‍🦽;manuaalses ratastoolis inimene: keskmiselt tume nahatoon;keskmiselt tume nahatoon|ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene: keskmiselt tume nahatoon|ratastool
	🧑🏿‍🦽;manuaalses ratastoolis inimene: tume nahatoon;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene: tume nahatoon|ratastool|tume nahatoon
🧑‍🦽‍➡️;manuaalses ratastoolis inimene suunaga paremale;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene suunaga paremale|ratastool
	🧑🏻‍🦽‍➡️;manuaalses ratastoolis inimene suunaga paremale;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene suunaga paremale|ratastool
	🧑🏼‍🦽‍➡️;manuaalses ratastoolis inimene suunaga paremale;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene suunaga paremale|ratastool
	🧑🏽‍🦽‍➡️;manuaalses ratastoolis inimene suunaga paremale;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene suunaga paremale|ratastool
	🧑🏾‍🦽‍➡️;manuaalses ratastoolis inimene suunaga paremale;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene suunaga paremale|ratastool
	🧑🏿‍🦽‍➡️;manuaalses ratastoolis inimene suunaga paremale;ligipääsetavus|manuaalses ratastoolis inimene|manuaalses ratastoolis inimene suunaga paremale|ratastool
👨‍🦽;manuaalratastoolis olev mees;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|mees|ratastool
	👨🏻‍🦽;manuaalratastoolis olev mees: hele nahatoon;hele nahatoon|ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees: hele nahatoon|mees|ratastool
	👨🏼‍🦽;manuaalratastoolis olev mees: keskmiselt hele nahatoon;keskmiselt hele nahatoon|ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees: keskmiselt hele nahatoon|mees|ratastool
	👨🏽‍🦽;manuaalratastoolis olev mees: keskmine nahatoon;keskmine nahatoon|ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees: keskmine nahatoon|mees|ratastool
	👨🏾‍🦽;manuaalratastoolis olev mees: keskmiselt tume nahatoon;keskmiselt tume nahatoon|ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees: keskmiselt tume nahatoon|mees|ratastool
	👨🏿‍🦽;manuaalratastoolis olev mees: tume nahatoon;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees: tume nahatoon|mees|ratastool|tume nahatoon
👨‍🦽‍➡️;manuaalratastoolis olev mees suunaga paremale;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees suunaga paremale|mees|ratastool
	👨🏻‍🦽‍➡️;manuaalratastoolis olev mees suunaga paremale;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees suunaga paremale|mees|ratastool
	👨🏼‍🦽‍➡️;manuaalratastoolis olev mees suunaga paremale;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees suunaga paremale|mees|ratastool
	👨🏽‍🦽‍➡️;manuaalratastoolis olev mees suunaga paremale;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees suunaga paremale|mees|ratastool
	👨🏾‍🦽‍➡️;manuaalratastoolis olev mees suunaga paremale;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees suunaga paremale|mees|ratastool
	👨🏿‍🦽‍➡️;manuaalratastoolis olev mees suunaga paremale;ligipääs|manuaalratastoolis mees|manuaalratastoolis olev mees|manuaalratastoolis olev mees suunaga paremale|mees|ratastool
👩‍🦽;manuaalratastoolis olev naine;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|naine|ratastool
	👩🏻‍🦽;manuaalratastoolis olev naine: hele nahatoon;hele nahatoon|juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine: hele nahatoon|naine|ratastool
	👩🏼‍🦽;manuaalratastoolis olev naine: keskmiselt hele nahatoon;juurdepääs|keskmiselt hele nahatoon|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine: keskmiselt hele nahatoon|naine|ratastool
	👩🏽‍🦽;manuaalratastoolis olev naine: keskmine nahatoon;juurdepääs|keskmine nahatoon|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine: keskmine nahatoon|naine|ratastool
	👩🏾‍🦽;manuaalratastoolis olev naine: keskmiselt tume nahatoon;juurdepääs|keskmiselt tume nahatoon|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine: keskmiselt tume nahatoon|naine|ratastool
	👩🏿‍🦽;manuaalratastoolis olev naine: tume nahatoon;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine: tume nahatoon|naine|ratastool|tume nahatoon
👩‍🦽‍➡️;manuaalratastoolis olev naine suunaga paremale;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine suunaga paremale|naine|ratastool
	👩🏻‍🦽‍➡️;manuaalratastoolis olev naine suunaga paremale;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine suunaga paremale|naine|ratastool
	👩🏼‍🦽‍➡️;manuaalratastoolis olev naine suunaga paremale;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine suunaga paremale|naine|ratastool
	👩🏽‍🦽‍➡️;manuaalratastoolis olev naine suunaga paremale;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine suunaga paremale|naine|ratastool
	👩🏾‍🦽‍➡️;manuaalratastoolis olev naine suunaga paremale;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine suunaga paremale|naine|ratastool
	👩🏿‍🦽‍➡️;manuaalratastoolis olev naine suunaga paremale;juurdepääs|manuaalratastoolis naine|manuaalratastoolis olev naine|manuaalratastoolis olev naine suunaga paremale|naine|ratastool
🏃;jooksja;jooks|jooksja|maraton
	🏃🏻;jooksja: hele nahatoon;hele nahatoon|jooks|jooksja|jooksja: hele nahatoon|maraton
	🏃🏼;jooksja: keskmiselt hele nahatoon;jooks|jooksja|jooksja: keskmiselt hele nahatoon|keskmiselt hele nahatoon|maraton
	🏃🏽;jooksja: keskmine nahatoon;jooks|jooksja|jooksja: keskmine nahatoon|keskmine nahatoon|maraton
	🏃🏾;jooksja: keskmiselt tume nahatoon;jooks|jooksja|jooksja: keskmiselt tume nahatoon|keskmiselt tume nahatoon|maraton
	🏃🏿;jooksja: tume nahatoon;jooks|jooksja|jooksja: tume nahatoon|maraton|tume nahatoon
🏃‍♂️;jooksev mees;jooksev mees|jooksja|maraton|mees|võistlus
	🏃🏻‍♂️;jooksev mees: hele nahatoon;hele nahatoon|jooksev mees|jooksev mees: hele nahatoon|jooksja|maraton|mees|võistlus
	🏃🏼‍♂️;jooksev mees: keskmiselt hele nahatoon;jooksev mees|jooksev mees: keskmiselt hele nahatoon|jooksja|keskmiselt hele nahatoon|maraton|mees|võistlus
	🏃🏽‍♂️;jooksev mees: keskmine nahatoon;jooksev mees|jooksev mees: keskmine nahatoon|jooksja|keskmine nahatoon|maraton|mees|võistlus
	🏃🏾‍♂️;jooksev mees: keskmiselt tume nahatoon;jooksev mees|jooksev mees: keskmiselt tume nahatoon|jooksja|keskmiselt tume nahatoon|maraton|mees|võistlus
	🏃🏿‍♂️;jooksev mees: tume nahatoon;jooksev mees|jooksev mees: tume nahatoon|jooksja|maraton|mees|tume nahatoon|võistlus
🏃‍♀️;jooksev naine;jooksev naine|jooksja|maraton|naine|võistlus
	🏃🏻‍♀️;jooksev naine: hele nahatoon;hele nahatoon|jooksev naine|jooksev naine: hele nahatoon|jooksja|maraton|naine|võistlus
	🏃🏼‍♀️;jooksev naine: keskmiselt hele nahatoon;jooksev naine|jooksev naine: keskmiselt hele nahatoon|jooksja|keskmiselt hele nahatoon|maraton|naine|võistlus
	🏃🏽‍♀️;jooksev naine: keskmine nahatoon;jooksev naine|jooksev naine: keskmine nahatoon|jooksja|keskmine nahatoon|maraton|naine|võistlus
	🏃🏾‍♀️;jooksev naine: keskmiselt tume nahatoon;jooksev naine|jooksev naine: keskmiselt tume nahatoon|jooksja|keskmiselt tume nahatoon|maraton|naine|võistlus
	🏃🏿‍♀️;jooksev naine: tume nahatoon;jooksev naine|jooksev naine: tume nahatoon|jooksja|maraton|naine|tume nahatoon|võistlus
🏃‍➡️;jooksja suunaga paremale;jooks|jooksja|jooksja suunaga paremale|maraton
	🏃🏻‍➡️;jooksja suunaga paremale;jooks|jooksja|jooksja suunaga paremale|maraton
	🏃🏼‍➡️;jooksja suunaga paremale;jooks|jooksja|jooksja suunaga paremale|maraton
	🏃🏽‍➡️;jooksja suunaga paremale;jooks|jooksja|jooksja suunaga paremale|maraton
	🏃🏾‍➡️;jooksja suunaga paremale;jooks|jooksja|jooksja suunaga paremale|maraton
	🏃🏿‍➡️;jooksja suunaga paremale;jooks|jooksja|jooksja suunaga paremale|maraton
🏃‍♀️‍➡️;jooksev naine suunaga paremale;jooksev naine|jooksev naine suunaga paremale|jooksja|maraton|naine|võistlus
	🏃🏻‍♀️‍➡️;jooksev naine suunaga paremale;jooksev naine|jooksev naine suunaga paremale|jooksja|maraton|naine|võistlus
	🏃🏼‍♀️‍➡️;jooksev naine suunaga paremale;jooksev naine|jooksev naine suunaga paremale|jooksja|maraton|naine|võistlus
	🏃🏽‍♀️‍➡️;jooksev naine suunaga paremale;jooksev naine|jooksev naine suunaga paremale|jooksja|maraton|naine|võistlus
