# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	🧜🏿;دریامردمان: پوست آبنوسی;بالاتنه انسان پایین‌تنه ماهی|پری دریایی|پوست آبنوسی|دریازن|دریامردمان|دریامردمان: پوست آبنوسی
🧜‍♂️;دریامرد;تریتون|دریامرد
	🧜🏻‍♂️;دریامرد: پوست سفید;پوست سفید|تریتون|دریامرد|دریامرد: پوست سفید
	🧜🏼‍♂️;دریامرد: پوست روشن;پوست روشن|تریتون|دریامرد|دریامرد: پوست روشن
	🧜🏽‍♂️;دریامرد: پوست طلایی;پوست طلایی|تریتون|دریامرد|دریامرد: پوست طلایی
	🧜🏾‍♂️;دریامرد: پوست گندمی;پوست گندمی|تریتون|دریامرد|دریامرد: پوست گندمی
	🧜🏿‍♂️;دریامرد: پوست آبنوسی;پوست آبنوسی|تریتون|دریامرد|دریامرد: پوست آبنوسی
🧜‍♀️;پری دریایی;پری دریایی|دریازن
	🧜🏻‍♀️;پری دریایی: پوست سفید;پری دریایی|پری دریایی: پوست سفید|پوست سفید|دریازن
	🧜🏼‍♀️;پری دریایی: پوست روشن;پری دریایی|پری دریایی: پوست روشن|پوست روشن|دریازن
	🧜🏽‍♀️;پری دریایی: پوست طلایی;پری دریایی|پری دریایی: پوست طلایی|پوست طلایی|دریازن
	🧜🏾‍♀️;پری دریایی: پوست گندمی;پری دریایی|پری دریایی: پوست گندمی|پوست گندمی|دریازن
	🧜🏿‍♀️;پری دریایی: پوست آبنوسی;پری دریایی|پری دریایی: پوست آبنوسی|پوست آبنوسی|دریازن
🧝;اِلف;اِلف|جادویی|سحرآمیز
	🧝🏻;اِلف: پوست سفید;اِلف|اِلف: پوست سفید|پوست سفید|جادویی|سحرآمیز
	🧝🏼;اِلف: پوست روشن;اِلف|اِلف: پوست روشن|پوست روشن|جادویی|سحرآمیز
	🧝🏽;اِلف: پوست طلایی;اِلف|اِلف: پوست طلایی|پوست طلایی|جادویی|سحرآمیز
	🧝🏾;اِلف: پوست گندمی;اِلف|اِلف: پوست گندمی|پوست گندمی|جادویی|سحرآمیز
	🧝🏿;اِلف: پوست آبنوسی;اِلف|اِلف: پوست آبنوسی|پوست آبنوسی|جادویی|سحرآمیز
🧝‍♂️;اِلف مرد;اِلف مرد|جادویی|سحرآمیز
	🧝🏻‍♂️;اِلف مرد: پوست سفید;اِلف مرد|اِلف مرد: پوست سفید|پوست سفید|جادویی|سحرآمیز
	🧝🏼‍♂️;اِلف مرد: پوست روشن;اِلف مرد|اِلف مرد: پوست روشن|پوست روشن|جادویی|سحرآمیز
	🧝🏽‍♂️;اِلف مرد: پوست طلایی;اِلف مرد|اِلف مرد: پوست طلایی|پوست طلایی|جادویی|سحرآمیز
	🧝🏾‍♂️;اِلف مرد: پوست گندمی;اِلف مرد|اِلف مرد: پوست گندمی|پوست گندمی|جادویی|سحرآمیز
	🧝🏿‍♂️;اِلف مرد: پوست آبنوسی;اِلف مرد|اِلف مرد: پوست آبنوسی|پوست آبنوسی|جادویی|سحرآمیز
🧝‍♀️;اِلف زن;اِلف زن|جادویی|سحرآمیز
	🧝🏻‍♀️;اِلف زن: پوست سفید;اِلف زن|اِلف زن: پوست سفید|پوست سفید|جادویی|سحرآمیز
	🧝🏼‍♀️;اِلف زن: پوست روشن;اِلف زن|اِلف زن: پوست روشن|پوست روشن|جادویی|سحرآمیز
	🧝🏽‍♀️;اِلف زن: پوست طلایی;اِلف زن|اِلف زن: پوست طلایی|پوست طلایی|جادویی|سحرآمیز
	🧝🏾‍♀️;اِلف زن: پوست گندمی;اِلف زن|اِلف زن: پوست گندمی|پوست گندمی|جادویی|سحرآمیز
	🧝🏿‍♀️;اِلف زن: پوست آبنوسی;اِلف زن|اِلف زن: پوست آبنوسی|پوست آبنوسی|جادویی|سحرآمیز
🧞;جن;جن|غول چراغ
🧞‍♂️;مرد جن;جن|جن مرد|غول چراغ|مرد جن
🧞‍♀️;زن جن;جن|جن زن|زن جن|غول چراغ
🧟;مرده متحرک;جسد متحرک|زامبی|مرده متحرک
🧟‍♂️;مرده متحرک مرد;جسد متحرک|زامبی زن|مرده متحرک زن|مرده متحرک مرد
🧟‍♀️;مرده متحرک زن;جسد متحرک|زامبی مرد|مرده متحرک زن|مرده متحرک مرد
🧌;غول;افسانه|تخیلی|غول|هیولا
💆;ماساژ صورت;سالن|ماساژ|ماساژ صورت
	💆🏻;ماساژ صورت: پوست سفید;پوست سفید|سالن|ماساژ|ماساژ صورت|ماساژ صورت: پوست سفید
	💆🏼;ماساژ صورت: پوست روشن;پوست روشن|سالن|ماساژ|ماساژ صورت|ماساژ صورت: پوست روشن
	💆🏽;ماساژ صورت: پوست طلایی;پوست طلایی|سالن|ماساژ|ماساژ صورت|ماساژ صورت: پوست طلایی
	💆🏾;ماساژ صورت: پوست گندمی;پوست گندمی|سالن|ماساژ|ماساژ صورت|ماساژ صورت: پوست گندمی
	💆🏿;ماساژ صورت: پوست آبنوسی;پوست آبنوسی|سالن|ماساژ|ماساژ صورت|ماساژ صورت: پوست آبنوسی
💆‍♂️;ماساژ صورت مرد;سالن ماساژ|ماساژ|ماساژ صورت برای آقایان|ماساژ صورت مرد
	💆🏻‍♂️;ماساژ صورت مرد: پوست سفید;پوست سفید|سالن ماساژ|ماساژ|ماساژ صورت برای آقایان|ماساژ صورت مرد|ماساژ صورت مرد: پوست سفید
	💆🏼‍♂️;ماساژ صورت مرد: پوست روشن;پوست روشن|سالن ماساژ|ماساژ|ماساژ صورت برای آقایان|ماساژ صورت مرد|ماساژ صورت مرد: پوست روشن
	💆🏽‍♂️;ماساژ صورت مرد: پوست طلایی;پوست طلایی|سالن ماساژ|ماساژ|ماساژ صورت برای آقایان|ماساژ صورت مرد|ماساژ صورت مرد: پوست طلایی
	💆🏾‍♂️;ماساژ صورت مرد: پوست گندمی;پوست گندمی|سالن ماساژ|ماساژ|ماساژ صورت برای آقایان|ماساژ صورت مرد|ماساژ صورت مرد: پوست گندمی
	💆🏿‍♂️;ماساژ صورت مرد: پوست آبنوسی;پوست آبنوسی|سالن ماساژ|ماساژ|ماساژ صورت برای آقایان|ماساژ صورت مرد|ماساژ صورت مرد: پوست آبنوسی
💆‍♀️;ماساژ صورت زن;سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها|ماساژ صورت زن
	💆🏻‍♀️;ماساژ صورت زن: پوست سفید;پوست سفید|سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها|ماساژ صورت زن|ماساژ صورت زن: پوست سفید
	💆🏼‍♀️;ماساژ صورت زن: پوست روشن;پوست روشن|سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها|ماساژ صورت زن|ماساژ صورت زن: پوست روشن
	💆🏽‍♀️;ماساژ صورت زن: پوست طلایی;پوست طلایی|سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها|ماساژ صورت زن|ماساژ صورت زن: پوست طلایی
	💆🏾‍♀️;ماساژ صورت زن: پوست گندمی;پوست گندمی|سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها|ماساژ صورت زن|ماساژ صورت زن: پوست گندمی
	💆🏿‍♀️;ماساژ صورت زن: پوست آبنوسی;پوست آبنوسی|سالن ماساژ|ماساژ|ماساژ صورت برای خانم‌ها|ماساژ صورت زن|ماساژ صورت زن: پوست آبنوسی
💇;آرایشگاه;آرایشگاه|آرایشگر|زیبایی
	💇🏻;آرایشگاه: پوست سفید;آرایشگاه|آرایشگاه: پوست سفید|آرایشگر|پوست سفید|زیبایی
	💇🏼;آرایشگاه: پوست روشن;آرایشگاه|آرایشگاه: پوست روشن|آرایشگر|پوست روشن|زیبایی
	💇🏽;آرایشگاه: پوست طلایی;آرایشگاه|آرایشگاه: پوست طلایی|آرایشگر|پوست طلایی|زیبایی
	💇🏾;آرایشگاه: پوست گندمی;آرایشگاه|آرایشگاه: پوست گندمی|آرایشگر|پوست گندمی|زیبایی
	💇🏿;آرایشگاه: پوست آبنوسی;آرایشگاه|آرایشگاه: پوست آبنوسی|آرایشگر|پوست آبنوسی|زیبایی
💇‍♂️;مرد مو کوتاه می‌کند;آرایشگاه|آرایشگر|کوتاه کردن مو|مرد مو کوتاه می‌کند|مو
	💇🏻‍♂️;مرد مو کوتاه می‌کند: پوست سفید;آرایشگاه|آرایشگر|پوست سفید|کوتاه کردن مو|مرد مو کوتاه می‌کند|مرد مو کوتاه می‌کند: پوست سفید|مو
	💇🏼‍♂️;مرد مو کوتاه می‌کند: پوست روشن;آرایشگاه|آرایشگر|پوست روشن|کوتاه کردن مو|مرد مو کوتاه می‌کند|مرد مو کوتاه می‌کند: پوست روشن|مو
	💇🏽‍♂️;مرد مو کوتاه می‌کند: پوست طلایی;آرایشگاه|آرایشگر|پوست طلایی|کوتاه کردن مو|مرد مو کوتاه می‌کند|مرد مو کوتاه می‌کند: پوست طلایی|مو
	💇🏾‍♂️;مرد مو کوتاه می‌کند: پوست گندمی;آرایشگاه|آرایشگر|پوست گندمی|کوتاه کردن مو|مرد مو کوتاه می‌کند|مرد مو کوتاه می‌کند: پوست گندمی|مو
	💇🏿‍♂️;مرد مو کوتاه می‌کند: پوست آبنوسی;آرایشگاه|آرایشگر|پوست آبنوسی|کوتاه کردن مو|مرد مو کوتاه می‌کند|مرد مو کوتاه می‌کند: پوست آبنوسی|مو
💇‍♀️;زن مو کوتاه می‌کند;آرایشگاه|آرایشگر|زن مو کوتاه می‌کند|کوتاه کردن مو|مو
	💇🏻‍♀️;زن مو کوتاه می‌کند: پوست سفید;آرایشگاه|آرایشگر|پوست سفید|زن مو کوتاه می‌کند|زن مو کوتاه می‌کند: پوست سفید|کوتاه کردن مو|مو
	💇🏼‍♀️;زن مو کوتاه می‌کند: پوست روشن;آرایشگاه|آرایشگر|پوست روشن|زن مو کوتاه می‌کند|زن مو کوتاه می‌کند: پوست روشن|کوتاه کردن مو|مو
	💇🏽‍♀️;زن مو کوتاه می‌کند: پوست طلایی;آرایشگاه|آرایشگر|پوست طلایی|زن مو کوتاه می‌کند|زن مو کوتاه می‌کند: پوست طلایی|کوتاه کردن مو|مو
	💇🏾‍♀️;زن مو کوتاه می‌کند: پوست گندمی;آرایشگاه|آرایشگر|پوست گندمی|زن مو کوتاه می‌کند|زن مو کوتاه می‌کند: پوست گندمی|کوتاه کردن مو|مو
	💇🏿‍♀️;زن مو کوتاه می‌کند: پوست آبنوسی;آرایشگاه|آرایشگر|پوست آبنوسی|زن مو کوتاه می‌کند|زن مو کوتاه می‌کند: پوست آبنوسی|کوتاه کردن مو|مو
🚶;عابر پیاده;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده
	🚶🏻;عابر پیاده: پوست سفید;پوست سفید|پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده: پوست سفید
	🚶🏼;عابر پیاده: پوست روشن;پوست روشن|پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده: پوست روشن
	🚶🏽;عابر پیاده: پوست طلایی;پوست طلایی|پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده: پوست طلایی
	🚶🏾;عابر پیاده: پوست گندمی;پوست گندمی|پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده: پوست گندمی
	🚶🏿;عابر پیاده: پوست آبنوسی;پوست آبنوسی|پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده: پوست آبنوسی
🚶‍♂️;مرد پیاده‌روی می‌کند;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند
	🚶🏻‍♂️;مرد پیاده‌روی می‌کند: پوست سفید;پوست سفید|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند: پوست سفید
	🚶🏼‍♂️;مرد پیاده‌روی می‌کند: پوست روشن;پوست روشن|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند: پوست روشن
	🚶🏽‍♂️;مرد پیاده‌روی می‌کند: پوست طلایی;پوست طلایی|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند: پوست طلایی
	🚶🏾‍♂️;مرد پیاده‌روی می‌کند: پوست گندمی;پوست گندمی|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند: پوست گندمی
	🚶🏿‍♂️;مرد پیاده‌روی می‌کند: پوست آبنوسی;پوست آبنوسی|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند: پوست آبنوسی
🚶‍♀️;زن پیاده‌روی می‌کند;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند
	🚶🏻‍♀️;زن پیاده‌روی می‌کند: پوست سفید;پوست سفید|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند: پوست سفید
	🚶🏼‍♀️;زن پیاده‌روی می‌کند: پوست روشن;پوست روشن|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند: پوست روشن
	🚶🏽‍♀️;زن پیاده‌روی می‌کند: پوست طلایی;پوست طلایی|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند: پوست طلایی
	🚶🏾‍♀️;زن پیاده‌روی می‌کند: پوست گندمی;پوست گندمی|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند: پوست گندمی
	🚶🏿‍♀️;زن پیاده‌روی می‌کند: پوست آبنوسی;پوست آبنوسی|پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند: پوست آبنوسی
🚶‍➡️;عابر پیاده به سمت راست;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده به سمت راست
	🚶🏻‍➡️;عابر پیاده به سمت راست;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده به سمت راست
	🚶🏼‍➡️;عابر پیاده به سمت راست;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده به سمت راست
	🚶🏽‍➡️;عابر پیاده به سمت راست;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده به سمت راست
	🚶🏾‍➡️;عابر پیاده به سمت راست;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده به سمت راست
	🚶🏿‍➡️;عابر پیاده به سمت راست;پیاده|پیاده‌روی|پیاده‌گردی|راه رفتن|عابر پیاده|عابر پیاده به سمت راست
🚶‍♀️‍➡️;زن پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند به سمت راست
	🚶🏻‍♀️‍➡️;زن پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند به سمت راست
	🚶🏼‍♀️‍➡️;زن پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند به سمت راست
	🚶🏽‍♀️‍➡️;زن پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند به سمت راست
	🚶🏾‍♀️‍➡️;زن پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند به سمت راست
	🚶🏿‍♀️‍➡️;زن پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|زن پیاده‌روی می‌کند|زن پیاده‌روی می‌کند به سمت راست
🚶‍♂️‍➡️;مرد پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند به سمت راست
	🚶🏻‍♂️‍➡️;مرد پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند به سمت راست
	🚶🏼‍♂️‍➡️;مرد پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند به سمت راست
	🚶🏽‍♂️‍➡️;مرد پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند به سمت راست
	🚶🏾‍♂️‍➡️;مرد پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند به سمت راست
	🚶🏿‍♂️‍➡️;مرد پیاده‌روی می‌کند به سمت راست;پیاده گشتن|پیاده‌روی|راه رفتن|راه‌پیمایی|مرد پیاده‌روی می‌کند|مرد پیاده‌روی می‌کند به سمت راست
🧍;آدم ایستاده;آدم ایستاده|ایستادن|ایستاده
	🧍🏻;آدم ایستاده: پوست سفید;آدم ایستاده|آدم ایستاده: پوست سفید|ایستادن|ایستاده|پوست سفید
	🧍🏼;آدم ایستاده: پوست روشن;آدم ایستاده|آدم ایستاده: پوست روشن|ایستادن|ایستاده|پوست روشن
	🧍🏽;آدم ایستاده: پوست طلایی;آدم ایستاده|آدم ایستاده: پوست طلایی|ایستادن|ایستاده|پوست طلایی
	🧍🏾;آدم ایستاده: پوست گندمی;آدم ایستاده|آدم ایستاده: پوست گندمی|ایستادن|ایستاده|پوست گندمی
	🧍🏿;آدم ایستاده: پوست آبنوسی;آدم ایستاده|آدم ایستاده: پوست آبنوسی|ایستادن|ایستاده|پوست آبنوسی
🧍‍♂️;مرد ایستاده;ایستاده|مرد
	🧍🏻‍♂️;مرد ایستاده: پوست سفید;ایستاده|پوست سفید|مرد|مرد ایستاده: پوست سفید
	🧍🏼‍♂️;مرد ایستاده: پوست روشن;ایستاده|پوست روشن|مرد|مرد ایستاده: پوست روشن
	🧍🏽‍♂️;مرد ایستاده: پوست طلایی;ایستاده|پوست طلایی|مرد|مرد ایستاده: پوست طلایی
	🧍🏾‍♂️;مرد ایستاده: پوست گندمی;ایستاده|پوست گندمی|مرد|مرد ایستاده: پوست گندمی
	🧍🏿‍♂️;مرد ایستاده: پوست آبنوسی;ایستاده|پوست آبنوسی|مرد|مرد ایستاده: پوست آبنوسی
🧍‍♀️;زن ایستاده;ایستاده|زن
	🧍🏻‍♀️;زن ایستاده: پوست سفید;ایستاده|پوست سفید|زن|زن ایستاده: پوست سفید
	🧍🏼‍♀️;زن ایستاده: پوست روشن;ایستاده|پوست روشن|زن|زن ایستاده: پوست روشن
	🧍🏽‍♀️;زن ایستاده: پوست طلایی;ایستاده|پوست طلایی|زن|زن ایستاده: پوست طلایی
	🧍🏾‍♀️;زن ایستاده: پوست گندمی;ایستاده|پوست گندمی|زن|زن ایستاده: پوست گندمی
	🧍🏿‍♀️;زن ایستاده: پوست آبنوسی;ایستاده|پوست آبنوسی|زن|زن ایستاده: پوست آبنوسی
🧎;آدم زانوزده;آدم زانوزده|زانو زدن|زانوزده
	🧎🏻;آدم زانوزده: پوست سفید;آدم زانوزده|آدم زانوزده: پوست سفید|پوست سفید|زانو زدن|زانوزده
	🧎🏼;آدم زانوزده: پوست روشن;آدم زانوزده|آدم زانوزده: پوست روشن|پوست روشن|زانو زدن|زانوزده
	🧎🏽;آدم زانوزده: پوست طلایی;آدم زانوزده|آدم زانوزده: پوست طلایی|پوست طلایی|زانو زدن|زانوزده
	🧎🏾;آدم زانوزده: پوست گندمی;آدم زانوزده|آدم زانوزده: پوست گندمی|پوست گندمی|زانو زدن|زانوزده
	🧎🏿;آدم زانوزده: پوست آبنوسی;آدم زانوزده|آدم زانوزده: پوست آبنوسی|پوست آبنوسی|زانو زدن|زانوزده
🧎‍♂️;مرد زانوزده;زانوزده|مرد
	🧎🏻‍♂️;مرد زانوزده: پوست سفید;پوست سفید|زانوزده|مرد|مرد زانوزده: پوست سفید
	🧎🏼‍♂️;مرد زانوزده: پوست روشن;پوست روشن|زانوزده|مرد|مرد زانوزده: پوست روشن
	🧎🏽‍♂️;مرد زانوزده: پوست طلایی;پوست طلایی|زانوزده|مرد|مرد زانوزده: پوست طلایی
	🧎🏾‍♂️;مرد زانوزده: پوست گندمی;پوست گندمی|زانوزده|مرد|مرد زانوزده: پوست گندمی
	🧎🏿‍♂️;مرد زانوزده: پوست آبنوسی;پوست آبنوسی|زانوزده|مرد|مرد زانوزده: پوست آبنوسی
🧎‍♀️;زن زانوزده;زانوزده|زن
	🧎🏻‍♀️;زن زانوزده: پوست سفید;پوست سفید|زانوزده|زن|زن زانوزده: پوست سفید
	🧎🏼‍♀️;زن زانوزده: پوست روشن;پوست روشن|زانوزده|زن|زن زانوزده: پوست روشن
	🧎🏽‍♀️;زن زانوزده: پوست طلایی;پوست طلایی|زانوزده|زن|زن زانوزده: پوست طلایی
	🧎🏾‍♀️;زن زانوزده: پوست گندمی;پوست گندمی|زانوزده|زن|زن زانوزده: پوست گندمی
	🧎🏿‍♀️;زن زانوزده: پوست آبنوسی;پوست آبنوسی|زانوزده|زن|زن زانوزده: پوست آبنوسی
🧎‍➡️;آدم زانوزده به سمت راست;آدم زانوزده|آدم زانوزده به سمت راست|زانو زدن|زانوزده
	🧎🏻‍➡️;آدم زانوزده به سمت راست;آدم زانوزده|آدم زانوزده به سمت راست|زانو زدن|زانوزده
	🧎🏼‍➡️;آدم زانوزده به سمت راست;آدم زانوزده|آدم زانوزده به سمت راست|زانو زدن|زانوزده
	🧎🏽‍➡️;آدم زانوزده به سمت راست;آدم زانوزده|آدم زانوزده به سمت راست|زانو زدن|زانوزده
	🧎🏾‍➡️;آدم زانوزده به سمت راست;آدم زانوزده|آدم زانوزده به سمت راست|زانو زدن|زانوزده
	🧎🏿‍➡️;آدم زانوزده به سمت راست;آدم زانوزده|آدم زانوزده به سمت راست|زانو زدن|زانوزده
🧎‍♀️‍➡️;زن زانوزده به سمت راست;زانوزده|زن|زن زانوزده به سمت راست
	🧎🏻‍♀️‍➡️;زن زانوزده به سمت راست;زانوزده|زن|زن زانوزده به سمت راست
	🧎🏼‍♀️‍➡️;زن زانوزده به سمت راست;زانوزده|زن|زن زانوزده به سمت راست
	🧎🏽‍♀️‍➡️;زن زانوزده به سمت راست;زانوزده|زن|زن زانوزده به سمت راست
	🧎🏾‍♀️‍➡️;زن زانوزده به سمت راست;زانوزده|زن|زن زانوزده به سمت راست
	🧎🏿‍♀️‍➡️;زن زانوزده به سمت راست;زانوزده|زن|زن زانوزده به سمت راست
🧎‍♂️‍➡️;مرد زانوزده به سمت راست;زانوزده|مرد|مرد زانوزده به سمت راست
	🧎🏻‍♂️‍➡️;مرد زانوزده به سمت راست;زانوزده|مرد|مرد زانوزده به سمت راست
	🧎🏼‍♂️‍➡️;مرد زانوزده به سمت راست;زانوزده|مرد|مرد زانوزده به سمت راست
	🧎🏽‍♂️‍➡️;مرد زانوزده به سمت راست;زانوزده|مرد|مرد زانوزده به سمت راست
	🧎🏾‍♂️‍➡️;مرد زانوزده به سمت راست;زانوزده|مرد|مرد زانوزده به سمت راست
	🧎🏿‍♂️‍➡️;مرد زانوزده به سمت راست;زانوزده|مرد|مرد زانوزده به سمت راست
🧑‍🦯;شخصی با عصای راهنما;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای سفید|نابینا
	🧑🏻‍🦯;شخصی با عصای راهنما: پوست سفید;پوست سفید|دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما: پوست سفید|شخصی با عصای سفید|نابینا
	🧑🏼‍🦯;شخصی با عصای راهنما: پوست روشن;پوست روشن|دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما: پوست روشن|شخصی با عصای سفید|نابینا
	🧑🏽‍🦯;شخصی با عصای راهنما: پوست طلایی;پوست طلایی|دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما: پوست طلایی|شخصی با عصای سفید|نابینا
	🧑🏾‍🦯;شخصی با عصای راهنما: پوست گندمی;پوست گندمی|دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما: پوست گندمی|شخصی با عصای سفید|نابینا
	🧑🏿‍🦯;شخصی با عصای راهنما: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما: پوست آبنوسی|شخصی با عصای سفید|نابینا
🧑‍🦯‍➡️;شخصی با عصای راهنما به سمت راست;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما به سمت راست|شخصی با عصای سفید|نابینا
	🧑🏻‍🦯‍➡️;شخصی با عصای راهنما به سمت راست;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما به سمت راست|شخصی با عصای سفید|نابینا
	🧑🏼‍🦯‍➡️;شخصی با عصای راهنما به سمت راست;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما به سمت راست|شخصی با عصای سفید|نابینا
	🧑🏽‍🦯‍➡️;شخصی با عصای راهنما به سمت راست;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما به سمت راست|شخصی با عصای سفید|نابینا
	🧑🏾‍🦯‍➡️;شخصی با عصای راهنما به سمت راست;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما به سمت راست|شخصی با عصای سفید|نابینا
	🧑🏿‍🦯‍➡️;شخصی با عصای راهنما به سمت راست;دسترس‌پذیری|شخصی با عصای راهنما|شخصی با عصای راهنما به سمت راست|شخصی با عصای سفید|نابینا
👨‍🦯;مرد با عصای سفید;دسترس‌پذیری|مرد|مرد با عصای سفید|نابینا
	👨🏻‍🦯;مرد با عصای سفید: پوست سفید;پوست سفید|دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید: پوست سفید|نابینا
	👨🏼‍🦯;مرد با عصای سفید: پوست روشن;پوست روشن|دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید: پوست روشن|نابینا
	👨🏽‍🦯;مرد با عصای سفید: پوست طلایی;پوست طلایی|دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید: پوست طلایی|نابینا
	👨🏾‍🦯;مرد با عصای سفید: پوست گندمی;پوست گندمی|دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید: پوست گندمی|نابینا
	👨🏿‍🦯;مرد با عصای سفید: پوست آبنوسی;پوست آبنوسی|دسترس‌پذیری|مرد|مرد با عصای سفید|مرد با عصای سفید: پوست آبنوسی|نابینا
