# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;დაკრეჭილი სახე;დაკრეჭა|დაკრეჭილი|სახე
	⛹🏾‍♂️;კაცი ბურთით: საშუალოდან მუქამდე კანის ტონალობა;ბურთი|კაცი|კაცი ბურთით|კაცი ბურთით: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა
	⛹🏿‍♂️;კაცი ბურთით: კანის მუქი ტონალობა;ბურთი|კანის მუქი ტონალობა|კაცი|კაცი ბურთით|კაცი ბურთით: კანის მუქი ტონალობა
⛹️‍♀️;ქალი ბურთით;ბურთი|ქალი|ქალი ბურთით
	⛹🏻‍♀️;ქალი ბურთით: კანის ღია ტონალობა;ბურთი|კანის ღია ტონალობა|ქალი|ქალი ბურთით|ქალი ბურთით: კანის ღია ტონალობა
	⛹🏼‍♀️;ქალი ბურთით: ღიადან საშუალომდე კანის ტონალობა;ბურთი|ქალი|ქალი ბურთით|ქალი ბურთით: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	⛹🏽‍♀️;ქალი ბურთით: კანის საშუალო ტონალობა;ბურთი|კანის საშუალო ტონალობა|ქალი|ქალი ბურთით|ქალი ბურთით: კანის საშუალო ტონალობა
	⛹🏾‍♀️;ქალი ბურთით: საშუალოდან მუქამდე კანის ტონალობა;ბურთი|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი ბურთით|ქალი ბურთით: საშუალოდან მუქამდე კანის ტონალობა
	⛹🏿‍♀️;ქალი ბურთით: კანის მუქი ტონალობა;ბურთი|კანის მუქი ტონალობა|ქალი|ქალი ბურთით|ქალი ბურთით: კანის მუქი ტონალობა
🏋️;ძალოსანი;ძალოსანი|წონა
	🏋🏻;ძალოსანი: კანის ღია ტონალობა;კანის ღია ტონალობა|ძალოსანი|ძალოსანი: კანის ღია ტონალობა|წონა
	🏋🏼;ძალოსანი: ღიადან საშუალომდე კანის ტონალობა;ღიადან საშუალომდე კანის ტონალობა|ძალოსანი|ძალოსანი: ღიადან საშუალომდე კანის ტონალობა|წონა
	🏋🏽;ძალოსანი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|ძალოსანი|ძალოსანი: კანის საშუალო ტონალობა|წონა
	🏋🏾;ძალოსანი: საშუალოდან მუქამდე კანის ტონალობა;საშუალოდან მუქამდე კანის ტონალობა|ძალოსანი|ძალოსანი: საშუალოდან მუქამდე კანის ტონალობა|წონა
	🏋🏿;ძალოსანი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|ძალოსანი|ძალოსანი: კანის მუქი ტონალობა|წონა
🏋️‍♂️;ძალოსანი კაცი;კაცი|ძალოსანი კაცი|ძალოსნობა
	🏋🏻‍♂️;ძალოსანი კაცი: კანის ღია ტონალობა;კანის ღია ტონალობა|კაცი|ძალოსანი კაცი|ძალოსანი კაცი: კანის ღია ტონალობა|ძალოსნობა
	🏋🏼‍♂️;ძალოსანი კაცი: ღიადან საშუალომდე კანის ტონალობა;კაცი|ღიადან საშუალომდე კანის ტონალობა|ძალოსანი კაცი|ძალოსანი კაცი: ღიადან საშუალომდე კანის ტონალობა|ძალოსნობა
	🏋🏽‍♂️;ძალოსანი კაცი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კაცი|ძალოსანი კაცი|ძალოსანი კაცი: კანის საშუალო ტონალობა|ძალოსნობა
	🏋🏾‍♂️;ძალოსანი კაცი: საშუალოდან მუქამდე კანის ტონალობა;კაცი|საშუალოდან მუქამდე კანის ტონალობა|ძალოსანი კაცი|ძალოსანი კაცი: საშუალოდან მუქამდე კანის ტონალობა|ძალოსნობა
	🏋🏿‍♂️;ძალოსანი კაცი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|კაცი|ძალოსანი კაცი|ძალოსანი კაცი: კანის მუქი ტონალობა|ძალოსნობა
🏋️‍♀️;ძალოსანი ქალი;ქალი|ძალოსანი ქალი|ძალოსნობა
	🏋🏻‍♀️;ძალოსანი ქალი: კანის ღია ტონალობა;კანის ღია ტონალობა|ქალი|ძალოსანი ქალი|ძალოსანი ქალი: კანის ღია ტონალობა|ძალოსნობა
	🏋🏼‍♀️;ძალოსანი ქალი: ღიადან საშუალომდე კანის ტონალობა;ქალი|ღიადან საშუალომდე კანის ტონალობა|ძალოსანი ქალი|ძალოსანი ქალი: ღიადან საშუალომდე კანის ტონალობა|ძალოსნობა
	🏋🏽‍♀️;ძალოსანი ქალი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|ქალი|ძალოსანი ქალი|ძალოსანი ქალი: კანის საშუალო ტონალობა|ძალოსნობა
	🏋🏾‍♀️;ძალოსანი ქალი: საშუალოდან მუქამდე კანის ტონალობა;საშუალოდან მუქამდე კანის ტონალობა|ქალი|ძალოსანი ქალი|ძალოსანი ქალი: საშუალოდან მუქამდე კანის ტონალობა|ძალოსნობა
	🏋🏿‍♀️;ძალოსანი ქალი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|ქალი|ძალოსანი ქალი|ძალოსანი ქალი: კანის მუქი ტონალობა|ძალოსნობა
🚴;ველოსიპედისტი;ველოსიპედი|ველოსიპედისტი
	🚴🏻;ველოსიპედისტი: კანის ღია ტონალობა;ველოსიპედი|ველოსიპედისტი|ველოსიპედისტი: კანის ღია ტონალობა|კანის ღია ტონალობა
	🚴🏼;ველოსიპედისტი: ღიადან საშუალომდე კანის ტონალობა;ველოსიპედი|ველოსიპედისტი|ველოსიპედისტი: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	🚴🏽;ველოსიპედისტი: კანის საშუალო ტონალობა;ველოსიპედი|ველოსიპედისტი|ველოსიპედისტი: კანის საშუალო ტონალობა|კანის საშუალო ტონალობა
	🚴🏾;ველოსიპედისტი: საშუალოდან მუქამდე კანის ტონალობა;ველოსიპედი|ველოსიპედისტი|ველოსიპედისტი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა
	🚴🏿;ველოსიპედისტი: კანის მუქი ტონალობა;ველოსიპედი|ველოსიპედისტი|ველოსიპედისტი: კანის მუქი ტონალობა|კანის მუქი ტონალობა
🚴‍♂️;კაცი ველოსიპედით;ველოსიპედი|კაცი|კაცი ველოსიპედით
	🚴🏻‍♂️;კაცი ველოსიპედით: კანის ღია ტონალობა;ველოსიპედი|კანის ღია ტონალობა|კაცი|კაცი ველოსიპედით|კაცი ველოსიპედით: კანის ღია ტონალობა
	🚴🏼‍♂️;კაცი ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა;ველოსიპედი|კაცი|კაცი ველოსიპედით|კაცი ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	🚴🏽‍♂️;კაცი ველოსიპედით: კანის საშუალო ტონალობა;ველოსიპედი|კანის საშუალო ტონალობა|კაცი|კაცი ველოსიპედით|კაცი ველოსიპედით: კანის საშუალო ტონალობა
	🚴🏾‍♂️;კაცი ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა;ველოსიპედი|კაცი|კაცი ველოსიპედით|კაცი ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა
	🚴🏿‍♂️;კაცი ველოსიპედით: კანის მუქი ტონალობა;ველოსიპედი|კანის მუქი ტონალობა|კაცი|კაცი ველოსიპედით|კაცი ველოსიპედით: კანის მუქი ტონალობა
🚴‍♀️;ქალი ველოსიპედით;ველოსიპედი|ქალი|ქალი ველოსიპედით
	🚴🏻‍♀️;ქალი ველოსიპედით: კანის ღია ტონალობა;ველოსიპედი|კანის ღია ტონალობა|ქალი|ქალი ველოსიპედით|ქალი ველოსიპედით: კანის ღია ტონალობა
	🚴🏼‍♀️;ქალი ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა;ველოსიპედი|ქალი|ქალი ველოსიპედით|ქალი ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	🚴🏽‍♀️;ქალი ველოსიპედით: კანის საშუალო ტონალობა;ველოსიპედი|კანის საშუალო ტონალობა|ქალი|ქალი ველოსიპედით|ქალი ველოსიპედით: კანის საშუალო ტონალობა
	🚴🏾‍♀️;ქალი ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა;ველოსიპედი|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი ველოსიპედით|ქალი ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა
	🚴🏿‍♀️;ქალი ველოსიპედით: კანის მუქი ტონალობა;ველოსიპედი|კანის მუქი ტონალობა|ქალი|ქალი ველოსიპედით|ქალი ველოსიპედით: კანის მუქი ტონალობა
🚵;მთის ველოსიპედისტი;ველოსიპედი|ველოსიპედისტი|მთა|მთის ველოსიპედისტი
	🚵🏻;მთის ველოსიპედისტი: კანის ღია ტონალობა;ველოსიპედი|ველოსიპედისტი|კანის ღია ტონალობა|მთა|მთის ველოსიპედისტი|მთის ველოსიპედისტი: კანის ღია ტონალობა
	🚵🏼;მთის ველოსიპედისტი: ღიადან საშუალომდე კანის ტონალობა;ველოსიპედი|ველოსიპედისტი|მთა|მთის ველოსიპედისტი|მთის ველოსიპედისტი: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	🚵🏽;მთის ველოსიპედისტი: კანის საშუალო ტონალობა;ველოსიპედი|ველოსიპედისტი|კანის საშუალო ტონალობა|მთა|მთის ველოსიპედისტი|მთის ველოსიპედისტი: კანის საშუალო ტონალობა
	🚵🏾;მთის ველოსიპედისტი: საშუალოდან მუქამდე კანის ტონალობა;ველოსიპედი|ველოსიპედისტი|მთა|მთის ველოსიპედისტი|მთის ველოსიპედისტი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა
	🚵🏿;მთის ველოსიპედისტი: კანის მუქი ტონალობა;ველოსიპედი|ველოსიპედისტი|კანის მუქი ტონალობა|მთა|მთის ველოსიპედისტი|მთის ველოსიპედისტი: კანის მუქი ტონალობა
🚵‍♂️;კაცი სამთო ველოსიპედით;კაცი|კაცი სამთო ველოსიპედით|სამთო ველოსიპედი
	🚵🏻‍♂️;კაცი სამთო ველოსიპედით: კანის ღია ტონალობა;კანის ღია ტონალობა|კაცი|კაცი სამთო ველოსიპედით|კაცი სამთო ველოსიპედით: კანის ღია ტონალობა|სამთო ველოსიპედი
	🚵🏼‍♂️;კაცი სამთო ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა;კაცი|კაცი სამთო ველოსიპედით|კაცი სამთო ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა|სამთო ველოსიპედი|ღიადან საშუალომდე კანის ტონალობა
	🚵🏽‍♂️;კაცი სამთო ველოსიპედით: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კაცი|კაცი სამთო ველოსიპედით|კაცი სამთო ველოსიპედით: კანის საშუალო ტონალობა|სამთო ველოსიპედი
	🚵🏾‍♂️;კაცი სამთო ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა;კაცი|კაცი სამთო ველოსიპედით|კაცი სამთო ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა|სამთო ველოსიპედი|საშუალოდან მუქამდე კანის ტონალობა
	🚵🏿‍♂️;კაცი სამთო ველოსიპედით: კანის მუქი ტონალობა;კანის მუქი ტონალობა|კაცი|კაცი სამთო ველოსიპედით|კაცი სამთო ველოსიპედით: კანის მუქი ტონალობა|სამთო ველოსიპედი
🚵‍♀️;ქალი სამთო ველოსიპედით;სამთო ველოსიპედი|ქალი|ქალი სამთო ველოსიპედით
	🚵🏻‍♀️;ქალი სამთო ველოსიპედით: კანის ღია ტონალობა;კანის ღია ტონალობა|სამთო ველოსიპედი|ქალი|ქალი სამთო ველოსიპედით|ქალი სამთო ველოსიპედით: კანის ღია ტონალობა
	🚵🏼‍♀️;ქალი სამთო ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა;სამთო ველოსიპედი|ქალი|ქალი სამთო ველოსიპედით|ქალი სამთო ველოსიპედით: ღიადან საშუალომდე კანის ტონალობა|ღიადან საშუალომდე კანის ტონალობა
	🚵🏽‍♀️;ქალი სამთო ველოსიპედით: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|სამთო ველოსიპედი|ქალი|ქალი სამთო ველოსიპედით|ქალი სამთო ველოსიპედით: კანის საშუალო ტონალობა
	🚵🏾‍♀️;ქალი სამთო ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა;სამთო ველოსიპედი|საშუალოდან მუქამდე კანის ტონალობა|ქალი|ქალი სამთო ველოსიპედით|ქალი სამთო ველოსიპედით: საშუალოდან მუქამდე კანის ტონალობა
	🚵🏿‍♀️;ქალი სამთო ველოსიპედით: კანის მუქი ტონალობა;კანის მუქი ტონალობა|სამთო ველოსიპედი|ქალი|ქალი სამთო ველოსიპედით|ქალი სამთო ველოსიპედით: კანის მუქი ტონალობა
🤸;აკრობატული ილეთი;ადამიანი|აკრობატიკა|აკრობატული ილეთი|სპორტი|ტანვარჯიში
	🤸🏻;აკრობატული ილეთი: კანის ღია ტონალობა;ადამიანი|აკრობატიკა|აკრობატული ილეთი|აკრობატული ილეთი: კანის ღია ტონალობა|კანის ღია ტონალობა|სპორტი|ტანვარჯიში
	🤸🏼;აკრობატული ილეთი: ღიადან საშუალომდე კანის ტონალობა;ადამიანი|აკრობატიკა|აკრობატული ილეთი|აკრობატული ილეთი: ღიადან საშუალომდე კანის ტონალობა|სპორტი|ტანვარჯიში|ღიადან საშუალომდე კანის ტონალობა
	🤸🏽;აკრობატული ილეთი: კანის საშუალო ტონალობა;ადამიანი|აკრობატიკა|აკრობატული ილეთი|აკრობატული ილეთი: კანის საშუალო ტონალობა|კანის საშუალო ტონალობა|სპორტი|ტანვარჯიში
	🤸🏾;აკრობატული ილეთი: საშუალოდან მუქამდე კანის ტონალობა;ადამიანი|აკრობატიკა|აკრობატული ილეთი|აკრობატული ილეთი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|ტანვარჯიში
	🤸🏿;აკრობატული ილეთი: კანის მუქი ტონალობა;ადამიანი|აკრობატიკა|აკრობატული ილეთი|აკრობატული ილეთი: კანის მუქი ტონალობა|კანის მუქი ტონალობა|სპორტი|ტანვარჯიში
🤸‍♂️;აკრობატი კაცი;აკრობატი|კაცი|სპორტი
	🤸🏻‍♂️;აკრობატი კაცი: კანის ღია ტონალობა;აკრობატი|აკრობატი კაცი: კანის ღია ტონალობა|კანის ღია ტონალობა|კაცი|სპორტი
	🤸🏼‍♂️;აკრობატი კაცი: ღიადან საშუალომდე კანის ტონალობა;აკრობატი|აკრობატი კაცი: ღიადან საშუალომდე კანის ტონალობა|კაცი|სპორტი|ღიადან საშუალომდე კანის ტონალობა
	🤸🏽‍♂️;აკრობატი კაცი: კანის საშუალო ტონალობა;აკრობატი|აკრობატი კაცი: კანის საშუალო ტონალობა|კანის საშუალო ტონალობა|კაცი|სპორტი
	🤸🏾‍♂️;აკრობატი კაცი: საშუალოდან მუქამდე კანის ტონალობა;აკრობატი|აკრობატი კაცი: საშუალოდან მუქამდე კანის ტონალობა|კაცი|საშუალოდან მუქამდე კანის ტონალობა|სპორტი
	🤸🏿‍♂️;აკრობატი კაცი: კანის მუქი ტონალობა;აკრობატი|აკრობატი კაცი: კანის მუქი ტონალობა|კანის მუქი ტონალობა|კაცი|სპორტი
🤸‍♀️;აკრობატი ქალი;აკრობატი|სპორტი|ქალი
	🤸🏻‍♀️;აკრობატი ქალი: კანის ღია ტონალობა;აკრობატი|აკრობატი ქალი: კანის ღია ტონალობა|კანის ღია ტონალობა|სპორტი|ქალი
	🤸🏼‍♀️;აკრობატი ქალი: ღიადან საშუალომდე კანის ტონალობა;აკრობატი|აკრობატი ქალი: ღიადან საშუალომდე კანის ტონალობა|სპორტი|ქალი|ღიადან საშუალომდე კანის ტონალობა
	🤸🏽‍♀️;აკრობატი ქალი: კანის საშუალო ტონალობა;აკრობატი|აკრობატი ქალი: კანის საშუალო ტონალობა|კანის საშუალო ტონალობა|სპორტი|ქალი
	🤸🏾‍♀️;აკრობატი ქალი: საშუალოდან მუქამდე კანის ტონალობა;აკრობატი|აკრობატი ქალი: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|ქალი
	🤸🏿‍♀️;აკრობატი ქალი: კანის მუქი ტონალობა;აკრობატი|აკრობატი ქალი: კანის მუქი ტონალობა|კანის მუქი ტონალობა|სპორტი|ქალი
🤼;მოჭიდავეები;მოჭიდავე|მოჭიდავეები|პირი|სპორტი|ჭიდაობა
🤼‍♂️;მოჭიდავე კაცები;კაცი|მოჭიდავე კაცები|სპორტი|ჭიდაობა
🤼‍♀️;მოჭიდავე ქალები;მოჭიდავე ქალები|სპორტი|ქალი|ჭიდაობა
🤽;წყალბურთი;ადამიანი|სპორტი|წყალბურთი|წყალი
	🤽🏻;წყალბურთი: კანის ღია ტონალობა;ადამიანი|კანის ღია ტონალობა|სპორტი|წყალბურთი|წყალბურთი: კანის ღია ტონალობა|წყალი
	🤽🏼;წყალბურთი: ღიადან საშუალომდე კანის ტონალობა;ადამიანი|სპორტი|ღიადან საშუალომდე კანის ტონალობა|წყალბურთი|წყალბურთი: ღიადან საშუალომდე კანის ტონალობა|წყალი
	🤽🏽;წყალბურთი: კანის საშუალო ტონალობა;ადამიანი|კანის საშუალო ტონალობა|სპორტი|წყალბურთი|წყალბურთი: კანის საშუალო ტონალობა|წყალი
	🤽🏾;წყალბურთი: საშუალოდან მუქამდე კანის ტონალობა;ადამიანი|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|წყალბურთი|წყალბურთი: საშუალოდან მუქამდე კანის ტონალობა|წყალი
	🤽🏿;წყალბურთი: კანის მუქი ტონალობა;ადამიანი|კანის მუქი ტონალობა|სპორტი|წყალბურთი|წყალბურთი: კანის მუქი ტონალობა|წყალი
🤽‍♂️;წყალბურთელი კაცი;კაცი|სპორტი|წყალბურთელი კაცი|წყალბურთი|წყალი
	🤽🏻‍♂️;წყალბურთელი კაცი: კანის ღია ტონალობა;კანის ღია ტონალობა|კაცი|სპორტი|წყალბურთელი კაცი|წყალბურთელი კაცი: კანის ღია ტონალობა|წყალბურთი|წყალი
	🤽🏼‍♂️;წყალბურთელი კაცი: ღიადან საშუალომდე კანის ტონალობა;კაცი|სპორტი|ღიადან საშუალომდე კანის ტონალობა|წყალბურთელი კაცი|წყალბურთელი კაცი: ღიადან საშუალომდე კანის ტონალობა|წყალბურთი|წყალი
	🤽🏽‍♂️;წყალბურთელი კაცი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|კაცი|სპორტი|წყალბურთელი კაცი|წყალბურთელი კაცი: კანის საშუალო ტონალობა|წყალბურთი|წყალი
	🤽🏾‍♂️;წყალბურთელი კაცი: საშუალოდან მუქამდე კანის ტონალობა;კაცი|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|წყალბურთელი კაცი|წყალბურთელი კაცი: საშუალოდან მუქამდე კანის ტონალობა|წყალბურთი|წყალი
	🤽🏿‍♂️;წყალბურთელი კაცი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|კაცი|სპორტი|წყალბურთელი კაცი|წყალბურთელი კაცი: კანის მუქი ტონალობა|წყალბურთი|წყალი
🤽‍♀️;წყალბურთელი ქალი;სპორტი|ქალი|წყალბურთელი ქალი|წყალბურთი|წყალი
	🤽🏻‍♀️;წყალბურთელი ქალი: კანის ღია ტონალობა;კანის ღია ტონალობა|სპორტი|ქალი|წყალბურთელი ქალი|წყალბურთელი ქალი: კანის ღია ტონალობა|წყალბურთი|წყალი
	🤽🏼‍♀️;წყალბურთელი ქალი: ღიადან საშუალომდე კანის ტონალობა;სპორტი|ქალი|ღიადან საშუალომდე კანის ტონალობა|წყალბურთელი ქალი|წყალბურთელი ქალი: ღიადან საშუალომდე კანის ტონალობა|წყალბურთი|წყალი
	🤽🏽‍♀️;წყალბურთელი ქალი: კანის საშუალო ტონალობა;კანის საშუალო ტონალობა|სპორტი|ქალი|წყალბურთელი ქალი|წყალბურთელი ქალი: კანის საშუალო ტონალობა|წყალბურთი|წყალი
	🤽🏾‍♀️;წყალბურთელი ქალი: საშუალოდან მუქამდე კანის ტონალობა;საშუალოდან მუქამდე კანის ტონალობა|სპორტი|ქალი|წყალბურთელი ქალი|წყალბურთელი ქალი: საშუალოდან მუქამდე კანის ტონალობა|წყალბურთი|წყალი
	🤽🏿‍♀️;წყალბურთელი ქალი: კანის მუქი ტონალობა;კანის მუქი ტონალობა|სპორტი|ქალი|წყალბურთელი ქალი|წყალბურთელი ქალი: კანის მუქი ტონალობა|წყალბურთი|წყალი
🤾;ხელბურთი;ადამიანი|ბურთი|სპორტი|ხელბურთი
	🤾🏻;ხელბურთი: კანის ღია ტონალობა;ადამიანი|ბურთი|კანის ღია ტონალობა|სპორტი|ხელბურთი|ხელბურთი: კანის ღია ტონალობა
	🤾🏼;ხელბურთი: ღიადან საშუალომდე კანის ტონალობა;ადამიანი|ბურთი|სპორტი|ღიადან საშუალომდე კანის ტონალობა|ხელბურთი|ხელბურთი: ღიადან საშუალომდე კანის ტონალობა
	🤾🏽;ხელბურთი: კანის საშუალო ტონალობა;ადამიანი|ბურთი|კანის საშუალო ტონალობა|სპორტი|ხელბურთი|ხელბურთი: კანის საშუალო ტონალობა
	🤾🏾;ხელბურთი: საშუალოდან მუქამდე კანის ტონალობა;ადამიანი|ბურთი|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|ხელბურთი|ხელბურთი: საშუალოდან მუქამდე კანის ტონალობა
	🤾🏿;ხელბურთი: კანის მუქი ტონალობა;ადამიანი|ბურთი|კანის მუქი ტონალობა|სპორტი|ხელბურთი|ხელბურთი: კანის მუქი ტონალობა
🤾‍♂️;ხელბურთელი კაცი;ბურთი|კაცი|სპორტი|ხელბურთელი კაცი|ხელბურთი
	🤾🏻‍♂️;ხელბურთელი კაცი: კანის ღია ტონალობა;ბურთი|კანის ღია ტონალობა|კაცი|სპორტი|ხელბურთელი კაცი|ხელბურთელი კაცი: კანის ღია ტონალობა|ხელბურთი
	🤾🏼‍♂️;ხელბურთელი კაცი: ღიადან საშუალომდე კანის ტონალობა;ბურთი|კაცი|სპორტი|ღიადან საშუალომდე კანის ტონალობა|ხელბურთელი კაცი|ხელბურთელი კაცი: ღიადან საშუალომდე კანის ტონალობა|ხელბურთი
	🤾🏽‍♂️;ხელბურთელი კაცი: კანის საშუალო ტონალობა;ბურთი|კანის საშუალო ტონალობა|კაცი|სპორტი|ხელბურთელი კაცი|ხელბურთელი კაცი: კანის საშუალო ტონალობა|ხელბურთი
	🤾🏾‍♂️;ხელბურთელი კაცი: საშუალოდან მუქამდე კანის ტონალობა;ბურთი|კაცი|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|ხელბურთელი კაცი|ხელბურთელი კაცი: საშუალოდან მუქამდე კანის ტონალობა|ხელბურთი
	🤾🏿‍♂️;ხელბურთელი კაცი: კანის მუქი ტონალობა;ბურთი|კანის მუქი ტონალობა|კაცი|სპორტი|ხელბურთელი კაცი|ხელბურთელი კაცი: კანის მუქი ტონალობა|ხელბურთი
🤾‍♀️;ხელბურთელი ქალი;ბურთი|სპორტი|ქალი|ხელბურთელი ქალი|ხელბურთი
	🤾🏻‍♀️;ხელბურთელი ქალი: კანის ღია ტონალობა;ბურთი|კანის ღია ტონალობა|სპორტი|ქალი|ხელბურთელი ქალი|ხელბურთელი ქალი: კანის ღია ტონალობა|ხელბურთი
	🤾🏼‍♀️;ხელბურთელი ქალი: ღიადან საშუალომდე კანის ტონალობა;ბურთი|სპორტი|ქალი|ღიადან საშუალომდე კანის ტონალობა|ხელბურთელი ქალი|ხელბურთელი ქალი: ღიადან საშუალომდე კანის ტონალობა|ხელბურთი
	🤾🏽‍♀️;ხელბურთელი ქალი: კანის საშუალო ტონალობა;ბურთი|კანის საშუალო ტონალობა|სპორტი|ქალი|ხელბურთელი ქალი|ხელბურთელი ქალი: კანის საშუალო ტონალობა|ხელბურთი
	🤾🏾‍♀️;ხელბურთელი ქალი: საშუალოდან მუქამდე კანის ტონალობა;ბურთი|საშუალოდან მუქამდე კანის ტონალობა|სპორტი|ქალი|ხელბურთელი ქალი|ხელბურთელი ქალი: საშუალოდან მუქამდე კანის ტონალობა|ხელბურთი
	🤾🏿‍♀️;ხელბურთელი ქალი: კანის მუქი ტონალობა;ბურთი|კანის მუქი ტონალობა|სპორტი|ქალი|ხელბურთელი ქალი|ხელბურთელი ქალი: კანის მუქი ტონალობა|ხელბურთი
🤹;ჟონგლიორობა;ბალანსი|პარალელური ქმედება|ჟონგლიორობა|უნარი
	🤹🏻;ჟონგლიორობა: კანის ღია ტონალობა;ბალანსი|კანის ღია ტონალობა|პარალელური ქმედება|ჟონგლიორობა|ჟონგლიორობა: კანის ღია ტონალობა|უნარი
	🤹🏼;ჟონგლიორობა: ღიადან საშუალომდე კანის ტონალობა;ბალანსი|პარალელური ქმედება|ჟონგლიორობა|ჟონგლიორობა: ღიადან საშუალომდე კანის ტონალობა|უნარი|ღიადან საშუალომდე კანის ტონალობა
	🤹🏽;ჟონგლიორობა: კანის საშუალო ტონალობა;ბალანსი|კანის საშუალო ტონალობა|პარალელური ქმედება|ჟონგლიორობა|ჟონგლიორობა: კანის საშუალო ტონალობა|უნარი
	🤹🏾;ჟონგლიორობა: საშუალოდან მუქამდე კანის ტონალობა;ბალანსი|პარალელური ქმედება|ჟონგლიორობა|ჟონგლიორობა: საშუალოდან მუქამდე კანის ტონალობა|საშუალოდან მუქამდე კანის ტონალობა|უნარი
	🤹🏿;ჟონგლიორობა: კანის მუქი ტონალობა;ბალანსი|კანის მუქი ტონალობა|პარალელური ქმედება|ჟონგლიორობა|ჟონგლიორობა: კანის მუქი ტონალობა|უნარი
