# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
🚣‍♀️;veslačica;čoln na vesla|dekle|veslačica|veslanje|ženska
	🚣🏻‍♀️;veslačica: svetel ten kože;čoln na vesla|dekle|svetel ten kože|veslačica|veslačica: svetel ten kože|veslanje|ženska
	🚣🏼‍♀️;veslačica: srednje svetel ten kože;čoln na vesla|dekle|srednje svetel ten kože|veslačica|veslačica: srednje svetel ten kože|veslanje|ženska
	🚣🏽‍♀️;veslačica: srednji ten kože;čoln na vesla|dekle|srednji ten kože|veslačica|veslačica: srednji ten kože|veslanje|ženska
	🚣🏾‍♀️;veslačica: srednje temen ten kože;čoln na vesla|dekle|srednje temen ten kože|veslačica|veslačica: srednje temen ten kože|veslanje|ženska
	🚣🏿‍♀️;veslačica: temen ten kože;čoln na vesla|dekle|temen ten kože|veslačica|veslačica: temen ten kože|veslanje|ženska
🏊;oseba plava;oseba plava|plavati
	🏊🏻;oseba plava: svetel ten kože;oseba plava|oseba plava: svetel ten kože|plavati|svetel ten kože
	🏊🏼;oseba plava: srednje svetel ten kože;oseba plava|oseba plava: srednje svetel ten kože|plavati|srednje svetel ten kože
	🏊🏽;oseba plava: srednji ten kože;oseba plava|oseba plava: srednji ten kože|plavati|srednji ten kože
	🏊🏾;oseba plava: srednje temen ten kože;oseba plava|oseba plava: srednje temen ten kože|plavati|srednje temen ten kože
	🏊🏿;oseba plava: temen ten kože;oseba plava|oseba plava: temen ten kože|plavati|temen ten kože
🏊‍♂️;plavalec;fant|moški|plavalec|plavanje
	🏊🏻‍♂️;plavalec: svetel ten kože;fant|moški|plavalec|plavalec: svetel ten kože|plavanje|svetel ten kože
	🏊🏼‍♂️;plavalec: srednje svetel ten kože;fant|moški|plavalec|plavalec: srednje svetel ten kože|plavanje|srednje svetel ten kože
	🏊🏽‍♂️;plavalec: srednji ten kože;fant|moški|plavalec|plavalec: srednji ten kože|plavanje|srednji ten kože
	🏊🏾‍♂️;plavalec: srednje temen ten kože;fant|moški|plavalec|plavalec: srednje temen ten kože|plavanje|srednje temen ten kože
	🏊🏿‍♂️;plavalec: temen ten kože;fant|moški|plavalec|plavalec: temen ten kože|plavanje|temen ten kože
🏊‍♀️;plavalka;dekle|plavalka|plavanje|ženska
	🏊🏻‍♀️;plavalka: svetel ten kože;dekle|plavalka|plavalka: svetel ten kože|plavanje|svetel ten kože|ženska
	🏊🏼‍♀️;plavalka: srednje svetel ten kože;dekle|plavalka|plavalka: srednje svetel ten kože|plavanje|srednje svetel ten kože|ženska
	🏊🏽‍♀️;plavalka: srednji ten kože;dekle|plavalka|plavalka: srednji ten kože|plavanje|srednji ten kože|ženska
	🏊🏾‍♀️;plavalka: srednje temen ten kože;dekle|plavalka|plavalka: srednje temen ten kože|plavanje|srednje temen ten kože|ženska
	🏊🏿‍♀️;plavalka: temen ten kože;dekle|plavalka|plavalka: temen ten kože|plavanje|temen ten kože|ženska
⛹️;oseba z žogo;oseba z žogo|žoga
	⛹🏻;oseba z žogo: svetel ten kože;oseba z žogo|oseba z žogo: svetel ten kože|svetel ten kože|žoga
	⛹🏼;oseba z žogo: srednje svetel ten kože;oseba z žogo|oseba z žogo: srednje svetel ten kože|srednje svetel ten kože|žoga
	⛹🏽;oseba z žogo: srednji ten kože;oseba z žogo|oseba z žogo: srednji ten kože|srednji ten kože|žoga
	⛹🏾;oseba z žogo: srednje temen ten kože;oseba z žogo|oseba z žogo: srednje temen ten kože|srednje temen ten kože|žoga
	⛹🏿;oseba z žogo: temen ten kože;oseba z žogo|oseba z žogo: temen ten kože|temen ten kože|žoga
⛹️‍♂️;moški z žogo;fant|moški|moški z žogo|žoga
	⛹🏻‍♂️;moški z žogo: svetel ten kože;fant|moški|moški z žogo|moški z žogo: svetel ten kože|svetel ten kože|žoga
	⛹🏼‍♂️;moški z žogo: srednje svetel ten kože;fant|moški|moški z žogo|moški z žogo: srednje svetel ten kože|srednje svetel ten kože|žoga
	⛹🏽‍♂️;moški z žogo: srednji ten kože;fant|moški|moški z žogo|moški z žogo: srednji ten kože|srednji ten kože|žoga
	⛹🏾‍♂️;moški z žogo: srednje temen ten kože;fant|moški|moški z žogo|moški z žogo: srednje temen ten kože|srednje temen ten kože|žoga
	⛹🏿‍♂️;moški z žogo: temen ten kože;fant|moški|moški z žogo|moški z žogo: temen ten kože|temen ten kože|žoga
⛹️‍♀️;ženska z žogo;dekle|ženska|ženska z žogo|žoga
	⛹🏻‍♀️;ženska z žogo: svetel ten kože;dekle|svetel ten kože|ženska|ženska z žogo|ženska z žogo: svetel ten kože|žoga
	⛹🏼‍♀️;ženska z žogo: srednje svetel ten kože;dekle|srednje svetel ten kože|ženska|ženska z žogo|ženska z žogo: srednje svetel ten kože|žoga
	⛹🏽‍♀️;ženska z žogo: srednji ten kože;dekle|srednji ten kože|ženska|ženska z žogo|ženska z žogo: srednji ten kože|žoga
	⛹🏾‍♀️;ženska z žogo: srednje temen ten kože;dekle|srednje temen ten kože|ženska|ženska z žogo|ženska z žogo: srednje temen ten kože|žoga
	⛹🏿‍♀️;ženska z žogo: temen ten kože;dekle|temen ten kože|ženska|ženska z žogo|ženska z žogo: temen ten kože|žoga
🏋️;oseba dviga uteži;dvigalec|oseba dviga uteži|utež
	🏋🏻;oseba dviga uteži: svetel ten kože;dvigalec|oseba dviga uteži|oseba dviga uteži: svetel ten kože|svetel ten kože|utež
	🏋🏼;oseba dviga uteži: srednje svetel ten kože;dvigalec|oseba dviga uteži|oseba dviga uteži: srednje svetel ten kože|srednje svetel ten kože|utež
	🏋🏽;oseba dviga uteži: srednji ten kože;dvigalec|oseba dviga uteži|oseba dviga uteži: srednji ten kože|srednji ten kože|utež
	🏋🏾;oseba dviga uteži: srednje temen ten kože;dvigalec|oseba dviga uteži|oseba dviga uteži: srednje temen ten kože|srednje temen ten kože|utež
	🏋🏿;oseba dviga uteži: temen ten kože;dvigalec|oseba dviga uteži|oseba dviga uteži: temen ten kože|temen ten kože|utež
🏋️‍♂️;dvigovalec uteži;dvigovalec uteži|fant|moški
	🏋🏻‍♂️;dvigovalec uteži: svetel ten kože;dvigovalec uteži|dvigovalec uteži: svetel ten kože|fant|moški|svetel ten kože
	🏋🏼‍♂️;dvigovalec uteži: srednje svetel ten kože;dvigovalec uteži|dvigovalec uteži: srednje svetel ten kože|fant|moški|srednje svetel ten kože
	🏋🏽‍♂️;dvigovalec uteži: srednji ten kože;dvigovalec uteži|dvigovalec uteži: srednji ten kože|fant|moški|srednji ten kože
	🏋🏾‍♂️;dvigovalec uteži: srednje temen ten kože;dvigovalec uteži|dvigovalec uteži: srednje temen ten kože|fant|moški|srednje temen ten kože
	🏋🏿‍♂️;dvigovalec uteži: temen ten kože;dvigovalec uteži|dvigovalec uteži: temen ten kože|fant|moški|temen ten kože
🏋️‍♀️;dvigovalka uteži;dekle|dvigovalka uteži|ženska
	🏋🏻‍♀️;dvigovalka uteži: svetel ten kože;dekle|dvigovalka uteži|dvigovalka uteži: svetel ten kože|svetel ten kože|ženska
	🏋🏼‍♀️;dvigovalka uteži: srednje svetel ten kože;dekle|dvigovalka uteži|dvigovalka uteži: srednje svetel ten kože|srednje svetel ten kože|ženska
	🏋🏽‍♀️;dvigovalka uteži: srednji ten kože;dekle|dvigovalka uteži|dvigovalka uteži: srednji ten kože|srednji ten kože|ženska
	🏋🏾‍♀️;dvigovalka uteži: srednje temen ten kože;dekle|dvigovalka uteži|dvigovalka uteži: srednje temen ten kože|srednje temen ten kože|ženska
	🏋🏿‍♀️;dvigovalka uteži: temen ten kože;dekle|dvigovalka uteži|dvigovalka uteži: temen ten kože|temen ten kože|ženska
🚴;oseba na kolesu;kolesar|kolesarjenje|kolo|oseba na kolesu
	🚴🏻;oseba na kolesu: svetel ten kože;kolesar|kolesarjenje|kolo|oseba na kolesu|oseba na kolesu: svetel ten kože|svetel ten kože
	🚴🏼;oseba na kolesu: srednje svetel ten kože;kolesar|kolesarjenje|kolo|oseba na kolesu|oseba na kolesu: srednje svetel ten kože|srednje svetel ten kože
	🚴🏽;oseba na kolesu: srednji ten kože;kolesar|kolesarjenje|kolo|oseba na kolesu|oseba na kolesu: srednji ten kože|srednji ten kože
	🚴🏾;oseba na kolesu: srednje temen ten kože;kolesar|kolesarjenje|kolo|oseba na kolesu|oseba na kolesu: srednje temen ten kože|srednje temen ten kože
	🚴🏿;oseba na kolesu: temen ten kože;kolesar|kolesarjenje|kolo|oseba na kolesu|oseba na kolesu: temen ten kože|temen ten kože
🚴‍♂️;kolesar;fant|kolesar|kolesarjenje|kolo|moški
	🚴🏻‍♂️;kolesar: svetel ten kože;fant|kolesar|kolesar: svetel ten kože|kolesarjenje|kolo|moški|svetel ten kože
	🚴🏼‍♂️;kolesar: srednje svetel ten kože;fant|kolesar|kolesar: srednje svetel ten kože|kolesarjenje|kolo|moški|srednje svetel ten kože
	🚴🏽‍♂️;kolesar: srednji ten kože;fant|kolesar|kolesar: srednji ten kože|kolesarjenje|kolo|moški|srednji ten kože
	🚴🏾‍♂️;kolesar: srednje temen ten kože;fant|kolesar|kolesar: srednje temen ten kože|kolesarjenje|kolo|moški|srednje temen ten kože
	🚴🏿‍♂️;kolesar: temen ten kože;fant|kolesar|kolesar: temen ten kože|kolesarjenje|kolo|moški|temen ten kože
🚴‍♀️;kolesarka;dekle|kolesarjenje|kolesarka|kolo|ženska
	🚴🏻‍♀️;kolesarka: svetel ten kože;dekle|kolesarjenje|kolesarka|kolesarka: svetel ten kože|kolo|svetel ten kože|ženska
	🚴🏼‍♀️;kolesarka: srednje svetel ten kože;dekle|kolesarjenje|kolesarka|kolesarka: srednje svetel ten kože|kolo|srednje svetel ten kože|ženska
	🚴🏽‍♀️;kolesarka: srednji ten kože;dekle|kolesarjenje|kolesarka|kolesarka: srednji ten kože|kolo|srednji ten kože|ženska
	🚴🏾‍♀️;kolesarka: srednje temen ten kože;dekle|kolesarjenje|kolesarka|kolesarka: srednje temen ten kože|kolo|srednje temen ten kože|ženska
	🚴🏿‍♀️;kolesarka: temen ten kože;dekle|kolesarjenje|kolesarka|kolesarka: temen ten kože|kolo|temen ten kože|ženska
🚵;gorski kolesar;gora|gorski kolesar|kolesar|kolo
	🚵🏻;gorski kolesar: svetel ten kože;gora|gorski kolesar|gorski kolesar: svetel ten kože|kolesar|kolo|svetel ten kože
	🚵🏼;gorski kolesar: srednje svetel ten kože;gora|gorski kolesar|gorski kolesar: srednje svetel ten kože|kolesar|kolo|srednje svetel ten kože
	🚵🏽;gorski kolesar: srednji ten kože;gora|gorski kolesar|gorski kolesar: srednji ten kože|kolesar|kolo|srednji ten kože
	🚵🏾;gorski kolesar: srednje temen ten kože;gora|gorski kolesar|gorski kolesar: srednje temen ten kože|kolesar|kolo|srednje temen ten kože
	🚵🏿;gorski kolesar: temen ten kože;gora|gorski kolesar|gorski kolesar: temen ten kože|kolesar|kolo|temen ten kože
🚵‍♂️;moško gorsko kolesarjenje;fant|gora|gorsko|kolesar|kolo|moški|moško gorsko kolesarjenje
	🚵🏻‍♂️;moško gorsko kolesarjenje: svetel ten kože;fant|gora|gorsko|kolesar|kolo|moški|moško gorsko kolesarjenje|moško gorsko kolesarjenje: svetel ten kože|svetel ten kože
	🚵🏼‍♂️;moško gorsko kolesarjenje: srednje svetel ten kože;fant|gora|gorsko|kolesar|kolo|moški|moško gorsko kolesarjenje|moško gorsko kolesarjenje: srednje svetel ten kože|srednje svetel ten kože
	🚵🏽‍♂️;moško gorsko kolesarjenje: srednji ten kože;fant|gora|gorsko|kolesar|kolo|moški|moško gorsko kolesarjenje|moško gorsko kolesarjenje: srednji ten kože|srednji ten kože
	🚵🏾‍♂️;moško gorsko kolesarjenje: srednje temen ten kože;fant|gora|gorsko|kolesar|kolo|moški|moško gorsko kolesarjenje|moško gorsko kolesarjenje: srednje temen ten kože|srednje temen ten kože
	🚵🏿‍♂️;moško gorsko kolesarjenje: temen ten kože;fant|gora|gorsko|kolesar|kolo|moški|moško gorsko kolesarjenje|moško gorsko kolesarjenje: temen ten kože|temen ten kože
🚵‍♀️;žensko gorsko kolesarjenje;dekle|gora|gorsko|kolesarka|kolo|ženska|žensko gorsko kolesarjenje
	🚵🏻‍♀️;žensko gorsko kolesarjenje: svetel ten kože;dekle|gora|gorsko|kolesarka|kolo|svetel ten kože|ženska|žensko gorsko kolesarjenje|žensko gorsko kolesarjenje: svetel ten kože
	🚵🏼‍♀️;žensko gorsko kolesarjenje: srednje svetel ten kože;dekle|gora|gorsko|kolesarka|kolo|srednje svetel ten kože|ženska|žensko gorsko kolesarjenje|žensko gorsko kolesarjenje: srednje svetel ten kože
	🚵🏽‍♀️;žensko gorsko kolesarjenje: srednji ten kože;dekle|gora|gorsko|kolesarka|kolo|srednji ten kože|ženska|žensko gorsko kolesarjenje|žensko gorsko kolesarjenje: srednji ten kože
	🚵🏾‍♀️;žensko gorsko kolesarjenje: srednje temen ten kože;dekle|gora|gorsko|kolesarka|kolo|srednje temen ten kože|ženska|žensko gorsko kolesarjenje|žensko gorsko kolesarjenje: srednje temen ten kože
	🚵🏿‍♀️;žensko gorsko kolesarjenje: temen ten kože;dekle|gora|gorsko|kolesarka|kolo|temen ten kože|ženska|žensko gorsko kolesarjenje|žensko gorsko kolesarjenje: temen ten kože
🤸;oseba izvaja kolo;gimnastika|kolo|oseba izvaja kolo|šport
	🤸🏻;oseba izvaja kolo: svetel ten kože;gimnastika|kolo|oseba izvaja kolo|oseba izvaja kolo: svetel ten kože|šport|svetel ten kože
	🤸🏼;oseba izvaja kolo: srednje svetel ten kože;gimnastika|kolo|oseba izvaja kolo|oseba izvaja kolo: srednje svetel ten kože|šport|srednje svetel ten kože
	🤸🏽;oseba izvaja kolo: srednji ten kože;gimnastika|kolo|oseba izvaja kolo|oseba izvaja kolo: srednji ten kože|šport|srednji ten kože
	🤸🏾;oseba izvaja kolo: srednje temen ten kože;gimnastika|kolo|oseba izvaja kolo|oseba izvaja kolo: srednje temen ten kože|šport|srednje temen ten kože
	🤸🏿;oseba izvaja kolo: temen ten kože;gimnastika|kolo|oseba izvaja kolo|oseba izvaja kolo: temen ten kože|šport|temen ten kože
🤸‍♂️;moški, ki dela premet vstran;fant|gimnastika|ki dela premet vstran|kolo|moški|moški, ki dela premet vstran|oseba|premet vstran|šport
	🤸🏻‍♂️;moški, ki dela premet vstran: svetel ten kože;fant|gimnastika|ki dela premet vstran|kolo|moški|moški, ki dela premet vstran|moški, ki dela premet vstran: svetel ten kože|oseba|premet vstran|šport|svetel ten kože
	🤸🏼‍♂️;moški, ki dela premet vstran: srednje svetel ten kože;fant|gimnastika|ki dela premet vstran|kolo|moški|moški, ki dela premet vstran|moški, ki dela premet vstran: srednje svetel ten kože|oseba|premet vstran|šport|srednje svetel ten kože
	🤸🏽‍♂️;moški, ki dela premet vstran: srednji ten kože;fant|gimnastika|ki dela premet vstran|kolo|moški|moški, ki dela premet vstran|moški, ki dela premet vstran: srednji ten kože|oseba|premet vstran|šport|srednji ten kože
	🤸🏾‍♂️;moški, ki dela premet vstran: srednje temen ten kože;fant|gimnastika|ki dela premet vstran|kolo|moški|moški, ki dela premet vstran|moški, ki dela premet vstran: srednje temen ten kože|oseba|premet vstran|šport|srednje temen ten kože
	🤸🏿‍♂️;moški, ki dela premet vstran: temen ten kože;fant|gimnastika|ki dela premet vstran|kolo|moški|moški, ki dela premet vstran|moški, ki dela premet vstran: temen ten kože|oseba|premet vstran|šport|temen ten kože
🤸‍♀️;ženska, ki dela premet vstran;dekle|gimnastika|ki dela premet vstran|kolo|oseba|premet vstran|šport|ženska|ženska, ki dela premet vstran
	🤸🏻‍♀️;ženska, ki dela premet vstran: svetel ten kože;dekle|gimnastika|ki dela premet vstran|kolo|oseba|premet vstran|šport|svetel ten kože|ženska|ženska, ki dela premet vstran|ženska, ki dela premet vstran: svetel ten kože
	🤸🏼‍♀️;ženska, ki dela premet vstran: srednje svetel ten kože;dekle|gimnastika|ki dela premet vstran|kolo|oseba|premet vstran|šport|srednje svetel ten kože|ženska|ženska, ki dela premet vstran|ženska, ki dela premet vstran: srednje svetel ten kože
	🤸🏽‍♀️;ženska, ki dela premet vstran: srednji ten kože;dekle|gimnastika|ki dela premet vstran|kolo|oseba|premet vstran|šport|srednji ten kože|ženska|ženska, ki dela premet vstran|ženska, ki dela premet vstran: srednji ten kože
	🤸🏾‍♀️;ženska, ki dela premet vstran: srednje temen ten kože;dekle|gimnastika|ki dela premet vstran|kolo|oseba|premet vstran|šport|srednje temen ten kože|ženska|ženska, ki dela premet vstran|ženska, ki dela premet vstran: srednje temen ten kože
	🤸🏿‍♀️;ženska, ki dela premet vstran: temen ten kože;dekle|gimnastika|ki dela premet vstran|kolo|oseba|premet vstran|šport|temen ten kože|ženska|ženska, ki dela premet vstran|ženska, ki dela premet vstran: temen ten kože
🤼;rokoborba;rokoborba|šport
🤼‍♂️;moška rokoborba;fant|moška rokoborba|moški|oseba|rokoborba|šport
🤼‍♀️;ženska rokoborba;dekleta|oseba|rokoborba|šport|ženska
🤽;vaterpolo;bazen|šport|vaterpolo|žoga
	🤽🏻;vaterpolo: svetel ten kože;bazen|šport|svetel ten kože|vaterpolo|vaterpolo: svetel ten kože|žoga
	🤽🏼;vaterpolo: srednje svetel ten kože;bazen|šport|srednje svetel ten kože|vaterpolo|vaterpolo: srednje svetel ten kože|žoga
	🤽🏽;vaterpolo: srednji ten kože;bazen|šport|srednji ten kože|vaterpolo|vaterpolo: srednji ten kože|žoga
	🤽🏾;vaterpolo: srednje temen ten kože;bazen|šport|srednje temen ten kože|vaterpolo|vaterpolo: srednje temen ten kože|žoga
	🤽🏿;vaterpolo: temen ten kože;bazen|šport|temen ten kože|vaterpolo|vaterpolo: temen ten kože|žoga
🤽‍♂️;moški vaterpolo;fant|moški|šport|vaterpolo
	🤽🏻‍♂️;moški vaterpolo: svetel ten kože;fant|moški|moški vaterpolo: svetel ten kože|šport|svetel ten kože|vaterpolo
	🤽🏼‍♂️;moški vaterpolo: srednje svetel ten kože;fant|moški|moški vaterpolo: srednje svetel ten kože|šport|srednje svetel ten kože|vaterpolo
	🤽🏽‍♂️;moški vaterpolo: srednji ten kože;fant|moški|moški vaterpolo: srednji ten kože|šport|srednji ten kože|vaterpolo
	🤽🏾‍♂️;moški vaterpolo: srednje temen ten kože;fant|moški|moški vaterpolo: srednje temen ten kože|šport|srednje temen ten kože|vaterpolo
	🤽🏿‍♂️;moški vaterpolo: temen ten kože;fant|moški|moški vaterpolo: temen ten kože|šport|temen ten kože|vaterpolo
🤽‍♀️;ženski vaterpolo;dekle|šport|vaterpolo|ženska|ženski vaterpolo
	🤽🏻‍♀️;ženski vaterpolo: svetel ten kože;dekle|šport|svetel ten kože|vaterpolo|ženska|ženski vaterpolo|ženski vaterpolo: svetel ten kože
	🤽🏼‍♀️;ženski vaterpolo: srednje svetel ten kože;dekle|šport|srednje svetel ten kože|vaterpolo|ženska|ženski vaterpolo|ženski vaterpolo: srednje svetel ten kože
	🤽🏽‍♀️;ženski vaterpolo: srednji ten kože;dekle|šport|srednji ten kože|vaterpolo|ženska|ženski vaterpolo|ženski vaterpolo: srednji ten kože
	🤽🏾‍♀️;ženski vaterpolo: srednje temen ten kože;dekle|šport|srednje temen ten kože|vaterpolo|ženska|ženski vaterpolo|ženski vaterpolo: srednje temen ten kože
	🤽🏿‍♀️;ženski vaterpolo: temen ten kože;dekle|šport|temen ten kože|vaterpolo|ženska|ženski vaterpolo|ženski vaterpolo: temen ten kože
🤾;rokomet;rokomet|šport|žoga
	🤾🏻;rokomet: svetel ten kože;rokomet|rokomet: svetel ten kože|šport|svetel ten kože|žoga
	🤾🏼;rokomet: srednje svetel ten kože;rokomet|rokomet: srednje svetel ten kože|šport|srednje svetel ten kože|žoga
	🤾🏽;rokomet: srednji ten kože;rokomet|rokomet: srednji ten kože|šport|srednji ten kože|žoga
	🤾🏾;rokomet: srednje temen ten kože;rokomet|rokomet: srednje temen ten kože|šport|srednje temen ten kože|žoga
	🤾🏿;rokomet: temen ten kože;rokomet|rokomet: temen ten kože|šport|temen ten kože|žoga
🤾‍♂️;rokometaš;fant|moški|rokomet|rokometaš|šport
	🤾🏻‍♂️;rokometaš: svetel ten kože;fant|moški|rokomet|rokometaš|rokometaš: svetel ten kože|šport|svetel ten kože
	🤾🏼‍♂️;rokometaš: srednje svetel ten kože;fant|moški|rokomet|rokometaš|rokometaš: srednje svetel ten kože|šport|srednje svetel ten kože
	🤾🏽‍♂️;rokometaš: srednji ten kože;fant|moški|rokomet|rokometaš|rokometaš: srednji ten kože|šport|srednji ten kože
	🤾🏾‍♂️;rokometaš: srednje temen ten kože;fant|moški|rokomet|rokometaš|rokometaš: srednje temen ten kože|šport|srednje temen ten kože
	🤾🏿‍♂️;rokometaš: temen ten kože;fant|moški|rokomet|rokometaš|rokometaš: temen ten kože|šport|temen ten kože
🤾‍♀️;rokometašica;dekle|rokomet|rokometašica|šport|ženske
	🤾🏻‍♀️;rokometašica: svetel ten kože;dekle|rokomet|rokometašica|rokometašica: svetel ten kože|šport|svetel ten kože|ženske
	🤾🏼‍♀️;rokometašica: srednje svetel ten kože;dekle|rokomet|rokometašica|rokometašica: srednje svetel ten kože|šport|srednje svetel ten kože|ženske
	🤾🏽‍♀️;rokometašica: srednji ten kože;dekle|rokomet|rokometašica|rokometašica: srednji ten kože|šport|srednji ten kože|ženske
	🤾🏾‍♀️;rokometašica: srednje temen ten kože;dekle|rokomet|rokometašica|rokometašica: srednje temen ten kože|šport|srednje temen ten kože|ženske
	🤾🏿‍♀️;rokometašica: temen ten kože;dekle|rokomet|rokometašica|rokometašica: temen ten kože|šport|temen ten kože|ženske
🤹;žongliranje;ravnotežje|spretnost|večopravilnost|žongliranje
	🤹🏻;žongliranje: svetel ten kože;ravnotežje|spretnost|svetel ten kože|večopravilnost|žongliranje|žongliranje: svetel ten kože
	🤹🏼;žongliranje: srednje svetel ten kože;ravnotežje|spretnost|srednje svetel ten kože|večopravilnost|žongliranje|žongliranje: srednje svetel ten kože
	🤹🏽;žongliranje: srednji ten kože;ravnotežje|spretnost|srednji ten kože|večopravilnost|žongliranje|žongliranje: srednji ten kože
	🤹🏾;žongliranje: srednje temen ten kože;ravnotežje|spretnost|srednje temen ten kože|večopravilnost|žongliranje|žongliranje: srednje temen ten kože
	🤹🏿;žongliranje: temen ten kože;ravnotežje|spretnost|temen ten kože|večopravilnost|žongliranje|žongliranje: temen ten kože
🤹‍♂️;žongler;fant|moški|spretnost|večopravilnost|žongler|žongliranje
	🤹🏻‍♂️;žongler: svetel ten kože;fant|moški|spretnost|svetel ten kože|večopravilnost|žongler|žongler: svetel ten kože|žongliranje
	🤹🏼‍♂️;žongler: srednje svetel ten kože;fant|moški|spretnost|srednje svetel ten kože|večopravilnost|žongler|žongler: srednje svetel ten kože|žongliranje
	🤹🏽‍♂️;žongler: srednji ten kože;fant|moški|spretnost|srednji ten kože|večopravilnost|žongler|žongler: srednji ten kože|žongliranje
	🤹🏾‍♂️;žongler: srednje temen ten kože;fant|moški|spretnost|srednje temen ten kože|večopravilnost|žongler|žongler: srednje temen ten kože|žongliranje
	🤹🏿‍♂️;žongler: temen ten kože;fant|moški|spretnost|temen ten kože|večopravilnost|žongler|žongler: temen ten kože|žongliranje
🤹‍♀️;žonglerka;dekle|spretnost|večopravilnost|ženska|žonglerka|žongliranje
	🤹🏻‍♀️;žonglerka: svetel ten kože;dekle|spretnost|svetel ten kože|večopravilnost|ženska|žonglerka|žonglerka: svetel ten kože|žongliranje
	🤹🏼‍♀️;žonglerka: srednje svetel ten kože;dekle|spretnost|srednje svetel ten kože|večopravilnost|ženska|žonglerka|žonglerka: srednje svetel ten kože|žongliranje
	🤹🏽‍♀️;žonglerka: srednji ten kože;dekle|spretnost|srednji ten kože|večopravilnost|ženska|žonglerka|žonglerka: srednji ten kože|žongliranje
	🤹🏾‍♀️;žonglerka: srednje temen ten kože;dekle|spretnost|srednje temen ten kože|večopravilnost|ženska|žonglerka|žonglerka: srednje temen ten kože|žongliranje
	🤹🏿‍♀️;žonglerka: temen ten kože;dekle|spretnost|temen ten kože|večopravilnost|ženska|žonglerka|žonglerka: temen ten kože|žongliranje
🧘;oseba v lotusovem položaju;joga|meditacija|oseba v lotusovem položaju
	🧘🏻;oseba v lotusovem položaju: svetel ten kože;joga|meditacija|oseba v lotusovem položaju|oseba v lotusovem položaju: svetel ten kože|svetel ten kože
	🧘🏼;oseba v lotusovem položaju: srednje svetel ten kože;joga|meditacija|oseba v lotusovem položaju|oseba v lotusovem položaju: srednje svetel ten kože|srednje svetel ten kože
	🧘🏽;oseba v lotusovem položaju: srednji ten kože;joga|meditacija|oseba v lotusovem položaju|oseba v lotusovem položaju: srednji ten kože|srednji ten kože
	🧘🏾;oseba v lotusovem položaju: srednje temen ten kože;joga|meditacija|oseba v lotusovem položaju|oseba v lotusovem položaju: srednje temen ten kože|srednje temen ten kože
	🧘🏿;oseba v lotusovem položaju: temen ten kože;joga|meditacija|oseba v lotusovem položaju|oseba v lotusovem položaju: temen ten kože|temen ten kože
🧘‍♂️;moški v lotusovem položaju;joga|meditacija|moški v lotusovem položaju
	🧘🏻‍♂️;moški v lotusovem položaju: svetel ten kože;joga|meditacija|moški v lotusovem položaju|moški v lotusovem položaju: svetel ten kože|svetel ten kože
	🧘🏼‍♂️;moški v lotusovem položaju: srednje svetel ten kože;joga|meditacija|moški v lotusovem položaju|moški v lotusovem položaju: srednje svetel ten kože|srednje svetel ten kože
	🧘🏽‍♂️;moški v lotusovem položaju: srednji ten kože;joga|meditacija|moški v lotusovem položaju|moški v lotusovem položaju: srednji ten kože|srednji ten kože
	🧘🏾‍♂️;moški v lotusovem položaju: srednje temen ten kože;joga|meditacija|moški v lotusovem položaju|moški v lotusovem položaju: srednje temen ten kože|srednje temen ten kože
	🧘🏿‍♂️;moški v lotusovem položaju: temen ten kože;joga|meditacija|moški v lotusovem položaju|moški v lotusovem položaju: temen ten kože|temen ten kože
🧘‍♀️;ženska v lotusovem položaju;joga|meditacija|ženska v lotusovem položaju
	🧘🏻‍♀️;ženska v lotusovem položaju: svetel ten kože;joga|meditacija|svetel ten kože|ženska v lotusovem položaju|ženska v lotusovem položaju: svetel ten kože
	🧘🏼‍♀️;ženska v lotusovem položaju: srednje svetel ten kože;joga|meditacija|srednje svetel ten kože|ženska v lotusovem položaju|ženska v lotusovem položaju: srednje svetel ten kože
	🧘🏽‍♀️;ženska v lotusovem položaju: srednji ten kože;joga|meditacija|srednji ten kože|ženska v lotusovem položaju|ženska v lotusovem položaju: srednji ten kože
	🧘🏾‍♀️;ženska v lotusovem položaju: srednje temen ten kože;joga|meditacija|srednje temen ten kože|ženska v lotusovem položaju|ženska v lotusovem položaju: srednje temen ten kože
	🧘🏿‍♀️;ženska v lotusovem položaju: temen ten kože;joga|meditacija|temen ten kože|ženska v lotusovem položaju|ženska v lotusovem položaju: temen ten kože
🛀;oseba, ki se kopa;kad|ki se kopa|kopel|oseba|oseba, ki se kopa
	🛀🏻;oseba, ki se kopa: svetel ten kože;kad|ki se kopa|kopel|oseba|oseba, ki se kopa|oseba, ki se kopa: svetel ten kože|svetel ten kože
	🛀🏼;oseba, ki se kopa: srednje svetel ten kože;kad|ki se kopa|kopel|oseba|oseba, ki se kopa|oseba, ki se kopa: srednje svetel ten kože|srednje svetel ten kože
	🛀🏽;oseba, ki se kopa: srednji ten kože;kad|ki se kopa|kopel|oseba|oseba, ki se kopa|oseba, ki se kopa: srednji ten kože|srednji ten kože
