# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
	🚵🏿;ορεινή ποδηλασία: σκούρος τόνος δέρματος;βουνό|ορεινή ποδηλασία|ορεινή ποδηλασία: σκούρος τόνος δέρματος|ποδηλάτης|ποδήλατο|σκούρος τόνος δέρματος
🚵‍♂️;ορεινός ποδηλάτης;άντρας|βουνό|ορεινός ποδηλάτης|ποδηλασία
	🚵🏻‍♂️;ορεινός ποδηλάτης: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άντρας|βουνό|ορεινός ποδηλάτης|ορεινός ποδηλάτης: ανοιχτόχρωμος τόνος δέρματος|ποδηλασία
	🚵🏼‍♂️;ορεινός ποδηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άντρας|βουνό|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ορεινός ποδηλάτης|ορεινός ποδηλάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ποδηλασία
	🚵🏽‍♂️;ορεινός ποδηλάτης: μεσαίος τόνος δέρματος;άντρας|βουνό|μεσαίος τόνος δέρματος|ορεινός ποδηλάτης|ορεινός ποδηλάτης: μεσαίος τόνος δέρματος|ποδηλασία
	🚵🏾‍♂️;ορεινός ποδηλάτης: μεσαίος-σκούρος τόνος δέρματος;άντρας|βουνό|μεσαίος-σκούρος τόνος δέρματος|ορεινός ποδηλάτης|ορεινός ποδηλάτης: μεσαίος-σκούρος τόνος δέρματος|ποδηλασία
	🚵🏿‍♂️;ορεινός ποδηλάτης: σκούρος τόνος δέρματος;άντρας|βουνό|ορεινός ποδηλάτης|ορεινός ποδηλάτης: σκούρος τόνος δέρματος|ποδηλασία|σκούρος τόνος δέρματος
🚵‍♀️;ορεινή ποδηλάτισσα;βουνό|γυναίκα|ορεινή ποδηλάτισσα|ποδηλασία
	🚵🏻‍♀️;ορεινή ποδηλάτισσα: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|βουνό|γυναίκα|ορεινή ποδηλάτισσα|ορεινή ποδηλάτισσα: ανοιχτόχρωμος τόνος δέρματος|ποδηλασία
	🚵🏼‍♀️;ορεινή ποδηλάτισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;βουνό|γυναίκα|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ορεινή ποδηλάτισσα|ορεινή ποδηλάτισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ποδηλασία
	🚵🏽‍♀️;ορεινή ποδηλάτισσα: μεσαίος τόνος δέρματος;βουνό|γυναίκα|μεσαίος τόνος δέρματος|ορεινή ποδηλάτισσα|ορεινή ποδηλάτισσα: μεσαίος τόνος δέρματος|ποδηλασία
	🚵🏾‍♀️;ορεινή ποδηλάτισσα: μεσαίος-σκούρος τόνος δέρματος;βουνό|γυναίκα|μεσαίος-σκούρος τόνος δέρματος|ορεινή ποδηλάτισσα|ορεινή ποδηλάτισσα: μεσαίος-σκούρος τόνος δέρματος|ποδηλασία
	🚵🏿‍♀️;ορεινή ποδηλάτισσα: σκούρος τόνος δέρματος;βουνό|γυναίκα|ορεινή ποδηλάτισσα|ορεινή ποδηλάτισσα: σκούρος τόνος δέρματος|ποδηλασία|σκούρος τόνος δέρματος
🤸;άτομο κάνει ρόδα;ακροβατικά|άτομο|άτομο κάνει ρόδα|ροντάτ|σπορ
	🤸🏻;άτομο κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος;ακροβατικά|ανοιχτόχρωμος τόνος δέρματος|άτομο|άτομο κάνει ρόδα|άτομο κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος|ροντάτ|σπορ
	🤸🏼;άτομο κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;ακροβατικά|άτομο|άτομο κάνει ρόδα|άτομο κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ροντάτ|σπορ
	🤸🏽;άτομο κάνει ρόδα: μεσαίος τόνος δέρματος;ακροβατικά|άτομο|άτομο κάνει ρόδα|άτομο κάνει ρόδα: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|ροντάτ|σπορ
	🤸🏾;άτομο κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος;ακροβατικά|άτομο|άτομο κάνει ρόδα|άτομο κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|ροντάτ|σπορ
	🤸🏿;άτομο κάνει ρόδα: σκούρος τόνος δέρματος;ακροβατικά|άτομο|άτομο κάνει ρόδα|άτομο κάνει ρόδα: σκούρος τόνος δέρματος|ροντάτ|σκούρος τόνος δέρματος|σπορ
🤸‍♂️;άντρας κάνει ρόδα;άντρας|άντρας κάνει ρόδα|γυμναστική|ρόδα
	🤸🏻‍♂️;άντρας κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας κάνει ρόδα|άντρας κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος|γυμναστική|ρόδα
	🤸🏼‍♂️;άντρας κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άντρας|άντρας κάνει ρόδα|άντρας κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|γυμναστική|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ρόδα
	🤸🏽‍♂️;άντρας κάνει ρόδα: μεσαίος τόνος δέρματος;άντρας|άντρας κάνει ρόδα|άντρας κάνει ρόδα: μεσαίος τόνος δέρματος|γυμναστική|μεσαίος τόνος δέρματος|ρόδα
	🤸🏾‍♂️;άντρας κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος;άντρας|άντρας κάνει ρόδα|άντρας κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος|γυμναστική|μεσαίος-σκούρος τόνος δέρματος|ρόδα
	🤸🏿‍♂️;άντρας κάνει ρόδα: σκούρος τόνος δέρματος;άντρας|άντρας κάνει ρόδα|άντρας κάνει ρόδα: σκούρος τόνος δέρματος|γυμναστική|ρόδα|σκούρος τόνος δέρματος
🤸‍♀️;γυναίκα κάνει ρόδα;γυμναστική|γυναίκα|γυναίκα κάνει ρόδα|ρόδα
	🤸🏻‍♀️;γυναίκα κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|γυμναστική|γυναίκα|γυναίκα κάνει ρόδα|γυναίκα κάνει ρόδα: ανοιχτόχρωμος τόνος δέρματος|ρόδα
	🤸🏼‍♀️;γυναίκα κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;γυμναστική|γυναίκα|γυναίκα κάνει ρόδα|γυναίκα κάνει ρόδα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ρόδα
	🤸🏽‍♀️;γυναίκα κάνει ρόδα: μεσαίος τόνος δέρματος;γυμναστική|γυναίκα|γυναίκα κάνει ρόδα|γυναίκα κάνει ρόδα: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|ρόδα
	🤸🏾‍♀️;γυναίκα κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος;γυμναστική|γυναίκα|γυναίκα κάνει ρόδα|γυναίκα κάνει ρόδα: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|ρόδα
	🤸🏿‍♀️;γυναίκα κάνει ρόδα: σκούρος τόνος δέρματος;γυμναστική|γυναίκα|γυναίκα κάνει ρόδα|γυναίκα κάνει ρόδα: σκούρος τόνος δέρματος|ρόδα|σκούρος τόνος δέρματος
🤼;πάλη;άτομο|παλαιστής|πάλη|σπορ
🤼‍♂️;παλαιστές;άθλημα|άντρες|παλαιστές|πάλη
🤼‍♀️;παλαίστριες;άθλημα|γυναίκες|παλαίστριες|πάλη
🤽;πόλο;άτομο|νερό|πόλο|σπορ
	🤽🏻;πόλο: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομο|νερό|πόλο|πόλο: ανοιχτόχρωμος τόνος δέρματος|σπορ
	🤽🏼;πόλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομο|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νερό|πόλο|πόλο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σπορ
	🤽🏽;πόλο: μεσαίος τόνος δέρματος;άτομο|μεσαίος τόνος δέρματος|νερό|πόλο|πόλο: μεσαίος τόνος δέρματος|σπορ
	🤽🏾;πόλο: μεσαίος-σκούρος τόνος δέρματος;άτομο|μεσαίος-σκούρος τόνος δέρματος|νερό|πόλο|πόλο: μεσαίος-σκούρος τόνος δέρματος|σπορ
	🤽🏿;πόλο: σκούρος τόνος δέρματος;άτομο|νερό|πόλο|πόλο: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|σπορ
🤽‍♂️;πολίστας;άντρας|νερό|πολίστας|πόλο
	🤽🏻‍♂️;πολίστας: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άντρας|νερό|πολίστας|πολίστας: ανοιχτόχρωμος τόνος δέρματος|πόλο
	🤽🏼‍♂️;πολίστας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άντρας|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νερό|πολίστας|πολίστας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πόλο
	🤽🏽‍♂️;πολίστας: μεσαίος τόνος δέρματος;άντρας|μεσαίος τόνος δέρματος|νερό|πολίστας|πολίστας: μεσαίος τόνος δέρματος|πόλο
	🤽🏾‍♂️;πολίστας: μεσαίος-σκούρος τόνος δέρματος;άντρας|μεσαίος-σκούρος τόνος δέρματος|νερό|πολίστας|πολίστας: μεσαίος-σκούρος τόνος δέρματος|πόλο
	🤽🏿‍♂️;πολίστας: σκούρος τόνος δέρματος;άντρας|νερό|πολίστας|πολίστας: σκούρος τόνος δέρματος|πόλο|σκούρος τόνος δέρματος
🤽‍♀️;πολίστρια;γυναίκα|νερό|πολίστρια|πόλο
	🤽🏻‍♀️;πολίστρια: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|νερό|πολίστρια|πολίστρια: ανοιχτόχρωμος τόνος δέρματος|πόλο
	🤽🏼‍♀️;πολίστρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;γυναίκα|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νερό|πολίστρια|πολίστρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πόλο
	🤽🏽‍♀️;πολίστρια: μεσαίος τόνος δέρματος;γυναίκα|μεσαίος τόνος δέρματος|νερό|πολίστρια|πολίστρια: μεσαίος τόνος δέρματος|πόλο
	🤽🏾‍♀️;πολίστρια: μεσαίος-σκούρος τόνος δέρματος;γυναίκα|μεσαίος-σκούρος τόνος δέρματος|νερό|πολίστρια|πολίστρια: μεσαίος-σκούρος τόνος δέρματος|πόλο
	🤽🏿‍♀️;πολίστρια: σκούρος τόνος δέρματος;γυναίκα|νερό|πολίστρια|πολίστρια: σκούρος τόνος δέρματος|πόλο|σκούρος τόνος δέρματος
🤾;χάντμπολ;άτομο|μπάλα|σπορ|χάντμπολ
	🤾🏻;χάντμπολ: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομο|μπάλα|σπορ|χάντμπολ|χάντμπολ: ανοιχτόχρωμος τόνος δέρματος
	🤾🏼;χάντμπολ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομο|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μπάλα|σπορ|χάντμπολ|χάντμπολ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🤾🏽;χάντμπολ: μεσαίος τόνος δέρματος;άτομο|μεσαίος τόνος δέρματος|μπάλα|σπορ|χάντμπολ|χάντμπολ: μεσαίος τόνος δέρματος
	🤾🏾;χάντμπολ: μεσαίος-σκούρος τόνος δέρματος;άτομο|μεσαίος-σκούρος τόνος δέρματος|μπάλα|σπορ|χάντμπολ|χάντμπολ: μεσαίος-σκούρος τόνος δέρματος
	🤾🏿;χάντμπολ: σκούρος τόνος δέρματος;άτομο|μπάλα|σκούρος τόνος δέρματος|σπορ|χάντμπολ|χάντμπολ: σκούρος τόνος δέρματος
🤾‍♂️;άντρας παίζει χάντμπολ;άθλημα|άντρας|άντρας παίζει χάντμπολ|χάντμπολ|χειροσφαίριση
	🤾🏻‍♂️;άντρας παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος;άθλημα|ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας παίζει χάντμπολ|άντρας παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏼‍♂️;άντρας παίζει χάντμπολ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άθλημα|άντρας|άντρας παίζει χάντμπολ|άντρας παίζει χάντμπολ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏽‍♂️;άντρας παίζει χάντμπολ: μεσαίος τόνος δέρματος;άθλημα|άντρας|άντρας παίζει χάντμπολ|άντρας παίζει χάντμπολ: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏾‍♂️;άντρας παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος;άθλημα|άντρας|άντρας παίζει χάντμπολ|άντρας παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏿‍♂️;άντρας παίζει χάντμπολ: σκούρος τόνος δέρματος;άθλημα|άντρας|άντρας παίζει χάντμπολ|άντρας παίζει χάντμπολ: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|χάντμπολ|χειροσφαίριση
🤾‍♀️;γυναίκα παίζει χάντμπολ;άθλημα|γυναίκα|γυναίκα παίζει χάντμπολ|χάντμπολ|χειροσφαίριση
	🤾🏻‍♀️;γυναίκα παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος;άθλημα|ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα παίζει χάντμπολ|γυναίκα παίζει χάντμπολ: ανοιχτόχρωμος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏼‍♀️;γυναίκα παίζει χάντμπολ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άθλημα|γυναίκα|γυναίκα παίζει χάντμπολ|γυναίκα παίζει χάντμπολ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏽‍♀️;γυναίκα παίζει χάντμπολ: μεσαίος τόνος δέρματος;άθλημα|γυναίκα|γυναίκα παίζει χάντμπολ|γυναίκα παίζει χάντμπολ: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏾‍♀️;γυναίκα παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος;άθλημα|γυναίκα|γυναίκα παίζει χάντμπολ|γυναίκα παίζει χάντμπολ: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|χάντμπολ|χειροσφαίριση
	🤾🏿‍♀️;γυναίκα παίζει χάντμπολ: σκούρος τόνος δέρματος;άθλημα|γυναίκα|γυναίκα παίζει χάντμπολ|γυναίκα παίζει χάντμπολ: σκούρος τόνος δέρματος|σκούρος τόνος δέρματος|χάντμπολ|χειροσφαίριση
🤹;ζογκλέρ;δεξιότητα|ζογκλέρ|ισορροπία
	🤹🏻;ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|δεξιότητα|ζογκλέρ|ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος|ισορροπία
	🤹🏼;ζογκλέρ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;δεξιότητα|ζογκλέρ|ζογκλέρ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ισορροπία|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🤹🏽;ζογκλέρ: μεσαίος τόνος δέρματος;δεξιότητα|ζογκλέρ|ζογκλέρ: μεσαίος τόνος δέρματος|ισορροπία|μεσαίος τόνος δέρματος
	🤹🏾;ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος;δεξιότητα|ζογκλέρ|ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος|ισορροπία|μεσαίος-σκούρος τόνος δέρματος
	🤹🏿;ζογκλέρ: σκούρος τόνος δέρματος;δεξιότητα|ζογκλέρ|ζογκλέρ: σκούρος τόνος δέρματος|ισορροπία|σκούρος τόνος δέρματος
🤹‍♂️;άντρας ζογκλέρ;άντρας|ζογκλέρ|κόλπα
	🤹🏻‍♂️;άντρας ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άντρας|άντρας ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος|ζογκλέρ|κόλπα
	🤹🏼‍♂️;άντρας ζογκλέρ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άντρας|άντρας ζογκλέρ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζογκλέρ|κόλπα|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🤹🏽‍♂️;άντρας ζογκλέρ: μεσαίος τόνος δέρματος;άντρας|άντρας ζογκλέρ: μεσαίος τόνος δέρματος|ζογκλέρ|κόλπα|μεσαίος τόνος δέρματος
	🤹🏾‍♂️;άντρας ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος;άντρας|άντρας ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος|ζογκλέρ|κόλπα|μεσαίος-σκούρος τόνος δέρματος
	🤹🏿‍♂️;άντρας ζογκλέρ: σκούρος τόνος δέρματος;άντρας|άντρας ζογκλέρ: σκούρος τόνος δέρματος|ζογκλέρ|κόλπα|σκούρος τόνος δέρματος
🤹‍♀️;γυναίκα ζογκλέρ;γυναίκα|ζογκλέρ|κόλπα
	🤹🏻‍♀️;γυναίκα ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|γυναίκα|γυναίκα ζογκλέρ: ανοιχτόχρωμος τόνος δέρματος|ζογκλέρ|κόλπα
	🤹🏼‍♀️;γυναίκα ζογκλέρ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;γυναίκα|γυναίκα ζογκλέρ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ζογκλέρ|κόλπα|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🤹🏽‍♀️;γυναίκα ζογκλέρ: μεσαίος τόνος δέρματος;γυναίκα|γυναίκα ζογκλέρ: μεσαίος τόνος δέρματος|ζογκλέρ|κόλπα|μεσαίος τόνος δέρματος
	🤹🏾‍♀️;γυναίκα ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος;γυναίκα|γυναίκα ζογκλέρ: μεσαίος-σκούρος τόνος δέρματος|ζογκλέρ|κόλπα|μεσαίος-σκούρος τόνος δέρματος
	🤹🏿‍♀️;γυναίκα ζογκλέρ: σκούρος τόνος δέρματος;γυναίκα|γυναίκα ζογκλέρ: σκούρος τόνος δέρματος|ζογκλέρ|κόλπα|σκούρος τόνος δέρματος
🧘;άτομο σε θέση λωτού;άτομο σε θέση λωτού|γιόγκα|διαλογισμός
	🧘🏻;άτομο σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομο σε θέση λωτού|άτομο σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος|γιόγκα|διαλογισμός
	🧘🏼;άτομο σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άτομο σε θέση λωτού|άτομο σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|γιόγκα|διαλογισμός|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧘🏽;άτομο σε θέση λωτού: μεσαίος τόνος δέρματος;άτομο σε θέση λωτού|άτομο σε θέση λωτού: μεσαίος τόνος δέρματος|γιόγκα|διαλογισμός|μεσαίος τόνος δέρματος
	🧘🏾;άτομο σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος;άτομο σε θέση λωτού|άτομο σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος|γιόγκα|διαλογισμός|μεσαίος-σκούρος τόνος δέρματος
	🧘🏿;άτομο σε θέση λωτού: σκούρος τόνος δέρματος;άτομο σε θέση λωτού|άτομο σε θέση λωτού: σκούρος τόνος δέρματος|γιόγκα|διαλογισμός|σκούρος τόνος δέρματος
🧘‍♂️;άντρας σε θέση λωτού;άντρας σε θέση λωτού|γιόγκα|διαλογισμός
	🧘🏻‍♂️;άντρας σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άντρας σε θέση λωτού|άντρας σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος|γιόγκα|διαλογισμός
	🧘🏼‍♂️;άντρας σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άντρας σε θέση λωτού|άντρας σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|γιόγκα|διαλογισμός|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧘🏽‍♂️;άντρας σε θέση λωτού: μεσαίος τόνος δέρματος;άντρας σε θέση λωτού|άντρας σε θέση λωτού: μεσαίος τόνος δέρματος|γιόγκα|διαλογισμός|μεσαίος τόνος δέρματος
	🧘🏾‍♂️;άντρας σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος;άντρας σε θέση λωτού|άντρας σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος|γιόγκα|διαλογισμός|μεσαίος-σκούρος τόνος δέρματος
	🧘🏿‍♂️;άντρας σε θέση λωτού: σκούρος τόνος δέρματος;άντρας σε θέση λωτού|άντρας σε θέση λωτού: σκούρος τόνος δέρματος|γιόγκα|διαλογισμός|σκούρος τόνος δέρματος
🧘‍♀️;γυναίκα σε θέση λωτού;γιόγκα|γυναίκα σε θέση λωτού|διαλογισμός
	🧘🏻‍♀️;γυναίκα σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|γιόγκα|γυναίκα σε θέση λωτού|γυναίκα σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος|διαλογισμός
	🧘🏼‍♀️;γυναίκα σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;γιόγκα|γυναίκα σε θέση λωτού|γυναίκα σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|διαλογισμός|μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🧘🏽‍♀️;γυναίκα σε θέση λωτού: μεσαίος τόνος δέρματος;γιόγκα|γυναίκα σε θέση λωτού|γυναίκα σε θέση λωτού: μεσαίος τόνος δέρματος|διαλογισμός|μεσαίος τόνος δέρματος
	🧘🏾‍♀️;γυναίκα σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος;γιόγκα|γυναίκα σε θέση λωτού|γυναίκα σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος|διαλογισμός|μεσαίος-σκούρος τόνος δέρματος
	🧘🏿‍♀️;γυναίκα σε θέση λωτού: σκούρος τόνος δέρματος;γιόγκα|γυναίκα σε θέση λωτού|γυναίκα σε θέση λωτού: σκούρος τόνος δέρματος|διαλογισμός|σκούρος τόνος δέρματος
🛀;άνθρωπος που κάνει μπάνιο;άνθρωπος που κάνει μπάνιο|μπανιέρα|μπάνιο
	🛀🏻;άνθρωπος που κάνει μπάνιο: ανοιχτόχρωμος τόνος δέρματος;άνθρωπος που κάνει μπάνιο|άνθρωπος που κάνει μπάνιο: ανοιχτόχρωμος τόνος δέρματος|ανοιχτόχρωμος τόνος δέρματος|μπανιέρα|μπάνιο
	🛀🏼;άνθρωπος που κάνει μπάνιο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άνθρωπος που κάνει μπάνιο|άνθρωπος που κάνει μπάνιο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μπανιέρα|μπάνιο
	🛀🏽;άνθρωπος που κάνει μπάνιο: μεσαίος τόνος δέρματος;άνθρωπος που κάνει μπάνιο|άνθρωπος που κάνει μπάνιο: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|μπανιέρα|μπάνιο
	🛀🏾;άνθρωπος που κάνει μπάνιο: μεσαίος-σκούρος τόνος δέρματος;άνθρωπος που κάνει μπάνιο|άνθρωπος που κάνει μπάνιο: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|μπανιέρα|μπάνιο
	🛀🏿;άνθρωπος που κάνει μπάνιο: σκούρος τόνος δέρματος;άνθρωπος που κάνει μπάνιο|άνθρωπος που κάνει μπάνιο: σκούρος τόνος δέρματος|μπανιέρα|μπάνιο|σκούρος τόνος δέρματος
🛌;άνθρωπος σε κρεβάτι;άνθρωπος σε κρεβάτι|ξενοδοχείο|ύπνος
	🛌🏻;άνθρωπος σε κρεβάτι: ανοιχτόχρωμος τόνος δέρματος;άνθρωπος σε κρεβάτι|άνθρωπος σε κρεβάτι: ανοιχτόχρωμος τόνος δέρματος|ανοιχτόχρωμος τόνος δέρματος|ξενοδοχείο|ύπνος
	🛌🏼;άνθρωπος σε κρεβάτι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;άνθρωπος σε κρεβάτι|άνθρωπος σε κρεβάτι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ξενοδοχείο|ύπνος
	🛌🏽;άνθρωπος σε κρεβάτι: μεσαίος τόνος δέρματος;άνθρωπος σε κρεβάτι|άνθρωπος σε κρεβάτι: μεσαίος τόνος δέρματος|μεσαίος τόνος δέρματος|ξενοδοχείο|ύπνος
	🛌🏾;άνθρωπος σε κρεβάτι: μεσαίος-σκούρος τόνος δέρματος;άνθρωπος σε κρεβάτι|άνθρωπος σε κρεβάτι: μεσαίος-σκούρος τόνος δέρματος|μεσαίος-σκούρος τόνος δέρματος|ξενοδοχείο|ύπνος
	🛌🏿;άνθρωπος σε κρεβάτι: σκούρος τόνος δέρματος;άνθρωπος σε κρεβάτι|άνθρωπος σε κρεβάτι: σκούρος τόνος δέρματος|ξενοδοχείο|σκούρος τόνος δέρματος|ύπνος
🧑‍🤝‍🧑;άτομα πιασμένα χέρι-χέρι;άτομα|άτομα πιασμένα χέρι-χέρι|ζευγάρι|κρατώ|πιασμένοι χέρι-χέρι|χέρι
	🧑🏻‍🤝‍🧑🏻;άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|άτομα|άτομα πιασμένα χέρι-χέρι|άτομα πιασμένα χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος|ζευγάρι|κρατώ|πιασμένοι χέρι-χέρι|χέρι
