# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
	🧎🏿‍♀️;ဒူးထောက်နေသူ အမျိုးသမီး − အသားမည်းရောင်;ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|အမျိုးသမီး|အသားမည်းရောင်
🧎‍➡️;ဒူးထောက်ထားသူ − ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူး|ဒူးထောက်ခြင်း|ဒူးထောက်ထားသူ|မျက်နှာမူ
	🧎🏻‍➡️;ဒူးထောက်ထားသူ − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူး|ဒူးထောက်ခြင်း|ဒူးထောက်ထားသူ|မျက်နှာမူ|အသားဖြူရောင်
	🧎🏼‍➡️;ဒူးထောက်ထားသူ − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူး|ဒူးထောက်ခြင်း|ဒူးထောက်ထားသူ|မျက်နှာမူ|အသားနုရောင်
	🧎🏽‍➡️;ဒူးထောက်ထားသူ − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူး|ဒူးထောက်ခြင်း|ဒူးထောက်ထားသူ|မျက်နှာမူ|အသားလတ်ရောင်
	🧎🏾‍➡️;ဒူးထောက်ထားသူ − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူး|ဒူးထောက်ခြင်း|ဒူးထောက်ထားသူ|မျက်နှာမူ|အသားညိုရောင်
	🧎🏿‍➡️;ဒူးထောက်ထားသူ − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူး|ဒူးထောက်ခြင်း|ဒူးထောက်ထားသူ|မျက်နှာမူ|အသားမည်းရောင်
🧎‍♀️‍➡️;ဒူးထောက်နေသူ အမျိုးသမီး − ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|မျက်နှာမူ|အမျိုးသမီး
	🧎🏻‍♀️‍➡️;ဒူးထောက်နေသူ အမျိုးသမီး − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|မျက်နှာမူ|အမျိုးသမီး|အသားဖြူရောင်
	🧎🏼‍♀️‍➡️;ဒူးထောက်နေသူ အမျိုးသမီး − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|မျက်နှာမူ|အမျိုးသမီး|အသားနုရောင်
	🧎🏽‍♀️‍➡️;ဒူးထောက်နေသူ အမျိုးသမီး − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|မျက်နှာမူ|အမျိုးသမီး|အသားလတ်ရောင်
	🧎🏾‍♀️‍➡️;ဒူးထောက်နေသူ အမျိုးသမီး − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|မျက်နှာမူ|အမျိုးသမီး|အသားညိုရောင်
	🧎🏿‍♀️‍➡️;ဒူးထောက်နေသူ အမျိုးသမီး − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသမီး|မျက်နှာမူ|အမျိုးသမီး|အသားမည်းရောင်
🧎‍♂️‍➡️;ဒူးထောက်နေသူ အမျိုးသား − ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသား|မျက်နှာမူ|အမျိုးသား
	🧎🏻‍♂️‍➡️;ဒူးထောက်နေသူ အမျိုးသား − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသား|မျက်နှာမူ|အမျိုးသား|အသားဖြူရောင်
	🧎🏼‍♂️‍➡️;ဒူးထောက်နေသူ အမျိုးသား − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသား|မျက်နှာမူ|အမျိုးသား|အသားနုရောင်
	🧎🏽‍♂️‍➡️;ဒူးထောက်နေသူ အမျိုးသား − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသား|မျက်နှာမူ|အမျိုးသား|အသားလတ်ရောင်
	🧎🏾‍♂️‍➡️;ဒူးထောက်နေသူ အမျိုးသား − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသား|မျက်နှာမူ|အမျိုးသား|အသားညိုရောင်
	🧎🏿‍♂️‍➡️;ဒူးထောက်နေသူ အမျိုးသား − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|ဒူးထောက်ခြင်း|ဒူးထောက်နေသူ အမျိုးသား|မျက်နှာမူ|အမျိုးသား|အသားမည်းရောင်
🧑‍🦯;တုတ်ကောက်နှင့်လူ;တုတ်ကောက်နှင့်လူ|မျက်မမြင်|အများသုံးနိုင်မှု
	🧑🏻‍🦯;တုတ်ကောက်နှင့်လူ − အသားဖြူရောင်;တုတ်ကောက်နှင့်လူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားဖြူရောင်
	🧑🏼‍🦯;တုတ်ကောက်နှင့်လူ − အသားနုရောင်;တုတ်ကောက်နှင့်လူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားနုရောင်
	🧑🏽‍🦯;တုတ်ကောက်နှင့်လူ − အသားလတ်ရောင်;တုတ်ကောက်နှင့်လူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားလတ်ရောင်
	🧑🏾‍🦯;တုတ်ကောက်နှင့်လူ − အသားညိုရောင်;တုတ်ကောက်နှင့်လူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားညိုရောင်
	🧑🏿‍🦯;တုတ်ကောက်နှင့်လူ − အသားမည်းရောင်;တုတ်ကောက်နှင့်လူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားမည်းရောင်
🧑‍🦯‍➡️;တုတ်ကောက်နှင့်လူ − ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့်လူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးနိုင်မှု
	🧑🏻‍🦯‍➡️;တုတ်ကောက်နှင့်လူ − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့်လူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားဖြူရောင်
	🧑🏼‍🦯‍➡️;တုတ်ကောက်နှင့်လူ − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့်လူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားနုရောင်
	🧑🏽‍🦯‍➡️;တုတ်ကောက်နှင့်လူ − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့်လူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားလတ်ရောင်
	🧑🏾‍🦯‍➡️;တုတ်ကောက်နှင့်လူ − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့်လူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားညိုရောင်
	🧑🏿‍🦯‍➡️;တုတ်ကောက်နှင့်လူ − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့်လူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးနိုင်မှု|အသားမည်းရောင်
👨‍🦯;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား
	👨🏻‍🦯;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားဖြူရောင်;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားဖြူရောင်
	👨🏼‍🦯;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားနုရောင်;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားနုရောင်
	👨🏽‍🦯;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားလတ်ရောင်;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားလတ်ရောင်
	👨🏾‍🦯;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားညိုရောင်;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားညိုရောင်
	👨🏿‍🦯;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားမည်းရောင်;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားမည်းရောင်
👨‍🦯‍➡️;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား
	👨🏻‍🦯‍➡️;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားဖြူရောင်
	👨🏼‍🦯‍➡️;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားနုရောင်
	👨🏽‍🦯‍➡️;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားလတ်ရောင်
	👨🏾‍🦯‍➡️;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားညိုရောင်
	👨🏿‍🦯‍➡️;တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် လမ်းလျှောက်နေသူ|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားမည်းရောင်
👩‍🦯;တုတ်ကောက်နှင့် အမျိုးသမီး;တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး
	👩🏻‍🦯;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားဖြူရောင်;တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားဖြူရောင်
	👩🏼‍🦯;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားနုရောင်;တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားနုရောင်
	👩🏽‍🦯;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားလတ်ရောင်;တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားလတ်ရောင်
	👩🏾‍🦯;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားညိုရောင်;တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားညိုရောင်
	👩🏿‍🦯;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားမည်းရောင်;တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားမည်းရောင်
👩‍🦯‍➡️;တုတ်ကောက်နှင့် အမျိုးသမီး − ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး
	👩🏻‍🦯‍➡️;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားဖြူရောင်
	👩🏼‍🦯‍➡️;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားနုရောင်
	👩🏽‍🦯‍➡️;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားလတ်ရောင်
	👩🏾‍🦯‍➡️;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားညိုရောင်
	👩🏿‍🦯‍➡️;တုတ်ကောက်နှင့် အမျိုးသမီး − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;ညာဘက်|တုတ်ကောက်နှင့် အမျိုးသမီး|မျက်နှာမူ|မျက်မမြင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားမည်းရောင်
🧑‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|အများသုံးနိုင်မှု
	🧑🏻‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားဖြူရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|အများသုံးနိုင်မှု|အသားဖြူရောင်
	🧑🏼‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားနုရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|အများသုံးနိုင်မှု|အသားနုရောင်
	🧑🏽‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားလတ်ရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|အများသုံးနိုင်မှု|အသားလတ်ရောင်
	🧑🏾‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားညိုရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|အများသုံးနိုင်မှု|အသားညိုရောင်
	🧑🏿‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားမည်းရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|အများသုံးနိုင်မှု|အသားမည်းရောင်
🧑‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|ညာဘက်|မျက်နှာမူ|အများသုံးနိုင်မှု
	🧑🏻‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|ညာဘက်|မျက်နှာမူ|အများသုံးနိုင်မှု|အသားဖြူရောင်
	🧑🏼‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|ညာဘက်|မျက်နှာမူ|အများသုံးနိုင်မှု|အသားနုရောင်
	🧑🏽‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|ညာဘက်|မျက်နှာမူ|အများသုံးနိုင်မှု|အသားလတ်ရောင်
	🧑🏾‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|ညာဘက်|မျက်နှာမူ|အများသုံးနိုင်မှု|အသားညိုရောင်
	🧑🏿‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီးနေသူ|ညာဘက်|မျက်နှာမူ|အများသုံးနိုင်မှု|အသားမည်းရောင်
👨‍🦼;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား
	👨🏻‍🦼;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားဖြူရောင်;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားဖြူရောင်
	👨🏼‍🦼;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားနုရောင်;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားနုရောင်
	👨🏽‍🦼;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားလတ်ရောင်;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားလတ်ရောင်
	👨🏾‍🦼;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားညိုရောင်;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားညိုရောင်
	👨🏿‍🦼;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားမည်းရောင်;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားမည်းရောင်
👨‍🦼‍➡️;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − ညာဘက် မျက်နှာမူ;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား
	👨🏻‍🦼‍➡️;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားဖြူရောင်
	👨🏼‍🦼‍➡️;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားနုရောင်
	👨🏽‍🦼‍➡️;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားလတ်ရောင်
	👨🏾‍🦼‍➡️;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားညိုရောင်
	👨🏿‍🦼‍➡️;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာထိုင်ခုံစီး အမျိုးသား|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသား|အသားမည်းရောင်
👩‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး
	👩🏻‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားဖြူရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားဖြူရောင်
	👩🏼‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားနုရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားနုရောင်
	👩🏽‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားလတ်ရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားလတ်ရောင်
	👩🏾‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားညိုရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားညိုရောင်
	👩🏿‍🦼;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားမည်းရောင်;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားမည်းရောင်
👩‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး
	👩🏻‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားဖြူရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားဖြူရောင်
	👩🏼‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားနုရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားနုရောင်
	👩🏽‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားလတ်ရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားလတ်ရောင်
	👩🏾‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားညိုရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားညိုရောင်
	👩🏿‍🦼‍➡️;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး − အသားမည်းရောင်နှင့် ညာဘက် မျက်နှာမူ;စက်တပ်လူနာတင်ကုလားထိုင်စီး အမျိုးသမီး|ညာဘက်|မျက်နှာမူ|လူနာတင်ကုလားထိုင်|အများသုံးစွဲနိုင်မှု|အမျိုးသမီး|အသားမည်းရောင်
🧑‍🦽;လူနာတင်ကုလားထိုင်နှင့် လူ;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု
	🧑🏻‍🦽;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားဖြူရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားဖြူရောင်
	🧑🏼‍🦽;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားနုရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားနုရောင်
	🧑🏽‍🦽;လူနာတင်ကုလားထိုင်နှင့် လူ − အသားလတ်ရောင်;လူနာတင်ကုလားထိုင်|လူနာတင်ကုလားထိုင်နှင့် လူ|အများသုံးစွဲနိုင်မှု|အသားလတ်ရောင်
