# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
	🚵🏼‍♂️;पहाड़ पर साइकिल चलाता पुरुष: हल्की गोरी त्वचा;दमी|पर्वत|पहाड़ पर साइकिल चलाता पुरुष|पुरुष|बाइक|साइकिल|साइकिल चालक|हल्की गोरी त्वचा
	🚵🏽‍♂️;पहाड़ पर साइकिल चलाता पुरुष: गेहुँआ त्वचा;गेहुँआ त्वचा|दमी|पर्वत|पहाड़ पर साइकिल चलाता पुरुष|पुरुष|बाइक|साइकिल|साइकिल चालक
	🚵🏾‍♂️;पहाड़ पर साइकिल चलाता पुरुष: हल्की साँवली त्वचा;दमी|पर्वत|पहाड़ पर साइकिल चलाता पुरुष|पुरुष|बाइक|साइकिल|साइकिल चालक|हल्की साँवली त्वचा
	🚵🏿‍♂️;पहाड़ पर साइकिल चलाता पुरुष: साँवली त्वचा;दमी|पर्वत|पहाड़ पर साइकिल चलाता पुरुष|पुरुष|बाइक|साइकिल|साइकिल चालक|साँवली त्वचा
🚵‍♀️;पहाड़ पर साइकिल चलाती महिला;खेल|पहाड़|पहाड़ पर साइकिल चलाती महिला|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक
	🚵🏻‍♀️;पहाड़ पर साइकिल चलाती महिला: गोरी त्वचा;खेल|गोरी त्वचा|पहाड़|पहाड़ पर साइकिल चलाती महिला|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक
	🚵🏼‍♀️;पहाड़ पर साइकिल चलाती महिला: हल्की गोरी त्वचा;खेल|पहाड़|पहाड़ पर साइकिल चलाती महिला|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक|हल्की गोरी त्वचा
	🚵🏽‍♀️;पहाड़ पर साइकिल चलाती महिला: गेहुँआ त्वचा;खेल|गेहुँआ त्वचा|पहाड़|पहाड़ पर साइकिल चलाती महिला|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक
	🚵🏾‍♀️;पहाड़ पर साइकिल चलाती महिला: हल्की साँवली त्वचा;खेल|पहाड़|पहाड़ पर साइकिल चलाती महिला|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक|हल्की साँवली त्वचा
	🚵🏿‍♀️;पहाड़ पर साइकिल चलाती महिला: साँवली त्वचा;खेल|पहाड़|पहाड़ पर साइकिल चलाती महिला|बाइक|महिला|साइकल चलाना|साइकिल|साइकिल चालक|साँवली त्वचा
🤸;कलाबाज़ी करता व्यक्ति;एक्टिव|कलाबाज़ी|कलाबाज़ी करता व्यक्ति|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|फ़्लिप|व्यक्ति
	🤸🏻;कलाबाज़ी करता व्यक्ति: गोरी त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करता व्यक्ति|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|गोरी त्वचा|जिमनास्टिक्स|फ़्लिप|व्यक्ति
	🤸🏼;कलाबाज़ी करता व्यक्ति: हल्की गोरी त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करता व्यक्ति|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|फ़्लिप|व्यक्ति|हल्की गोरी त्वचा
	🤸🏽;कलाबाज़ी करता व्यक्ति: गेहुँआ त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करता व्यक्ति|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|गेहुँआ त्वचा|जिमनास्टिक्स|फ़्लिप|व्यक्ति
	🤸🏾;कलाबाज़ी करता व्यक्ति: हल्की साँवली त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करता व्यक्ति|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|फ़्लिप|व्यक्ति|हल्की साँवली त्वचा
	🤸🏿;कलाबाज़ी करता व्यक्ति: साँवली त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करता व्यक्ति|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|फ़्लिप|व्यक्ति|साँवली त्वचा
🤸‍♂️;कलाबाज़ी करता पुरुष;आदमी|एक्टिव|कलाबाज़ी|कलाबाज़ी करता पुरुष|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति
	🤸🏻‍♂️;कलाबाज़ी करता पुरुष: गोरी त्वचा;आदमी|एक्टिव|कलाबाज़ी|कलाबाज़ी करता पुरुष|खुश|खेल|गाड़ी का पहिया|गोरी त्वचा|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति
	🤸🏼‍♂️;कलाबाज़ी करता पुरुष: हल्की गोरी त्वचा;आदमी|एक्टिव|कलाबाज़ी|कलाबाज़ी करता पुरुष|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति|हल्की गोरी त्वचा
	🤸🏽‍♂️;कलाबाज़ी करता पुरुष: गेहुँआ त्वचा;आदमी|एक्टिव|कलाबाज़ी|कलाबाज़ी करता पुरुष|खुश|खेल|गाड़ी का पहिया|गेहुँआ त्वचा|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति
	🤸🏾‍♂️;कलाबाज़ी करता पुरुष: हल्की साँवली त्वचा;आदमी|एक्टिव|कलाबाज़ी|कलाबाज़ी करता पुरुष|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति|हल्की साँवली त्वचा
	🤸🏿‍♂️;कलाबाज़ी करता पुरुष: साँवली त्वचा;आदमी|एक्टिव|कलाबाज़ी|कलाबाज़ी करता पुरुष|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|पुरुष|फ़्लिप|व्यक्ति|साँवली त्वचा
🤸‍♀️;कलाबाज़ी करती महिला;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|महिला|व्यक्ति
	🤸🏻‍♀️;कलाबाज़ी करती महिला: गोरी त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|गोरी त्वचा|जिमनास्टिक्स|महिला|व्यक्ति
	🤸🏼‍♀️;कलाबाज़ी करती महिला: हल्की गोरी त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|महिला|व्यक्ति|हल्की गोरी त्वचा
	🤸🏽‍♀️;कलाबाज़ी करती महिला: गेहुँआ त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|गेहुँआ त्वचा|जिमनास्टिक्स|महिला|व्यक्ति
	🤸🏾‍♀️;कलाबाज़ी करती महिला: हल्की साँवली त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|महिला|व्यक्ति|हल्की साँवली त्वचा
	🤸🏿‍♀️;कलाबाज़ी करती महिला: साँवली त्वचा;एक्टिव|कलाबाज़ी|कलाबाज़ी करती महिला|खुश|खेल|गाड़ी का पहिया|जिमनास्टिक्स|महिला|व्यक्ति|साँवली त्वचा
🤼;पहलवान;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग
	🤼🏻;पहलवान: गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग
	🤼🏼;पहलवान: हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा
	🤼🏽;पहलवान: गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग
	🤼🏾;पहलवान: हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की साँवली त्वचा
	🤼🏿;पहलवान: साँवली त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा
🤼‍♂️;पुरुष पहलवान;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट
	🤼🏻‍♂️;पुरुष पहलवान: गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट
	🤼🏼‍♂️;पुरुष पहलवान: हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा
	🤼🏽‍♂️;पुरुष पहलवान: गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट
	🤼🏾‍♂️;पुरुष पहलवान: हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की साँवली त्वचा
	🤼🏿‍♂️;पुरुष पहलवान: साँवली त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा
🤼‍♀️;महिला पहलवान;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति
	🤼🏻‍♀️;महिला पहलवान: गोरी त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति
	🤼🏼‍♀️;महिला पहलवान: हल्की गोरी त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा
	🤼🏽‍♀️;महिला पहलवान: गेहुँआ त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति
	🤼🏾‍♀️;महिला पहलवान: हल्की साँवली त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की साँवली त्वचा
	🤼🏿‍♀️;महिला पहलवान: साँवली त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा
	🧑🏻‍🫯‍🧑🏼;पहलवान: गोरी त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा
	🧑🏻‍🫯‍🧑🏽;पहलवान: गोरी त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग
	🧑🏻‍🫯‍🧑🏾;पहलवान: गोरी त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की साँवली त्वचा
	🧑🏻‍🫯‍🧑🏿;पहलवान: गोरी त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा
	🧑🏼‍🫯‍🧑🏻;पहलवान: हल्की गोरी त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा
	🧑🏼‍🫯‍🧑🏽;पहलवान: हल्की गोरी त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा
	🧑🏼‍🫯‍🧑🏾;पहलवान: हल्की गोरी त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा|हल्की साँवली त्वचा
	🧑🏼‍🫯‍🧑🏿;पहलवान: हल्की गोरी त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा|हल्की गोरी त्वचा
	🧑🏽‍🫯‍🧑🏻;पहलवान: गेहुँआ त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग
	🧑🏽‍🫯‍🧑🏼;पहलवान: गेहुँआ त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा
	🧑🏽‍🫯‍🧑🏾;पहलवान: गेहुँआ त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की साँवली त्वचा
	🧑🏽‍🫯‍🧑🏿;पहलवान: गेहुँआ त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा
	🧑🏾‍🫯‍🧑🏻;पहलवान: हल्की साँवली त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की साँवली त्वचा
	🧑🏾‍🫯‍🧑🏼;पहलवान: हल्की साँवली त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की गोरी त्वचा|हल्की साँवली त्वचा
	🧑🏾‍🫯‍🧑🏽;पहलवान: हल्की साँवली त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|हल्की साँवली त्वचा
	🧑🏾‍🫯‍🧑🏿;पहलवान: हल्की साँवली त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा|हल्की साँवली त्वचा
	🧑🏿‍🫯‍🧑🏻;पहलवान: साँवली त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा
	🧑🏿‍🫯‍🧑🏼;पहलवान: साँवली त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा|हल्की गोरी त्वचा
	🧑🏿‍🫯‍🧑🏽;पहलवान: साँवली त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा
	🧑🏿‍🫯‍🧑🏾;पहलवान: साँवली त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|झगड़ा|पहलवान|पुरुष खिलाड़ी|रेसलिंग|लोग|साँवली त्वचा|हल्की साँवली त्वचा
	👨🏻‍🫯‍👨🏼;पुरुष पहलवान: गोरी त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा
	👨🏻‍🫯‍👨🏽;पुरुष पहलवान: गोरी त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट
	👨🏻‍🫯‍👨🏾;पुरुष पहलवान: गोरी त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की साँवली त्वचा
	👨🏻‍🫯‍👨🏿;पुरुष पहलवान: गोरी त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा
	👨🏼‍🫯‍👨🏻;पुरुष पहलवान: हल्की गोरी त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा
	👨🏼‍🫯‍👨🏽;पुरुष पहलवान: हल्की गोरी त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा
	👨🏼‍🫯‍👨🏾;पुरुष पहलवान: हल्की गोरी त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा|हल्की साँवली त्वचा
	👨🏼‍🫯‍👨🏿;पुरुष पहलवान: हल्की गोरी त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा|हल्की गोरी त्वचा
	👨🏽‍🫯‍👨🏻;पुरुष पहलवान: गेहुँआ त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट
	👨🏽‍🫯‍👨🏼;पुरुष पहलवान: गेहुँआ त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा
	👨🏽‍🫯‍👨🏾;पुरुष पहलवान: गेहुँआ त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की साँवली त्वचा
	👨🏽‍🫯‍👨🏿;पुरुष पहलवान: गेहुँआ त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा
	👨🏾‍🫯‍👨🏻;पुरुष पहलवान: हल्की साँवली त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की साँवली त्वचा
	👨🏾‍🫯‍👨🏼;पुरुष पहलवान: हल्की साँवली त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की गोरी त्वचा|हल्की साँवली त्वचा
	👨🏾‍🫯‍👨🏽;पुरुष पहलवान: हल्की साँवली त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|हल्की साँवली त्वचा
	👨🏾‍🫯‍👨🏿;पुरुष पहलवान: हल्की साँवली त्वचा, साँवली त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा|हल्की साँवली त्वचा
	👨🏿‍🫯‍👨🏻;पुरुष पहलवान: साँवली त्वचा, गोरी त्वचा;कुश्ती|खिलाड़ी|गोरी त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा
	👨🏿‍🫯‍👨🏼;पुरुष पहलवान: साँवली त्वचा, हल्की गोरी त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा|हल्की गोरी त्वचा
	👨🏿‍🫯‍👨🏽;पुरुष पहलवान: साँवली त्वचा, गेहुँआ त्वचा;कुश्ती|खिलाड़ी|गेहुँआ त्वचा|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा
	👨🏿‍🫯‍👨🏾;पुरुष पहलवान: साँवली त्वचा, हल्की साँवली त्वचा;कुश्ती|खिलाड़ी|पहलवान|पुरुष पहलवान|रेसलिंग|रेसलिंग टूर्नामेंट|साँवली त्वचा|हल्की साँवली त्वचा
	👩🏻‍🫯‍👩🏼;महिला पहलवान: गोरी त्वचा, हल्की गोरी त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा
	👩🏻‍🫯‍👩🏽;महिला पहलवान: गोरी त्वचा, गेहुँआ त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति
	👩🏻‍🫯‍👩🏾;महिला पहलवान: गोरी त्वचा, हल्की साँवली त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की साँवली त्वचा
	👩🏻‍🫯‍👩🏿;महिला पहलवान: गोरी त्वचा, साँवली त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा
	👩🏼‍🫯‍👩🏻;महिला पहलवान: हल्की गोरी त्वचा, गोरी त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा
	👩🏼‍🫯‍👩🏽;महिला पहलवान: हल्की गोरी त्वचा, गेहुँआ त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा
	👩🏼‍🫯‍👩🏾;महिला पहलवान: हल्की गोरी त्वचा, हल्की साँवली त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा|हल्की साँवली त्वचा
	👩🏼‍🫯‍👩🏿;महिला पहलवान: हल्की गोरी त्वचा, साँवली त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा|हल्की गोरी त्वचा
	👩🏽‍🫯‍👩🏻;महिला पहलवान: गेहुँआ त्वचा, गोरी त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति
	👩🏽‍🫯‍👩🏼;महिला पहलवान: गेहुँआ त्वचा, हल्की गोरी त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा
	👩🏽‍🫯‍👩🏾;महिला पहलवान: गेहुँआ त्वचा, हल्की साँवली त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की साँवली त्वचा
	👩🏽‍🫯‍👩🏿;महिला पहलवान: गेहुँआ त्वचा, साँवली त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा
	👩🏾‍🫯‍👩🏻;महिला पहलवान: हल्की साँवली त्वचा, गोरी त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की साँवली त्वचा
	👩🏾‍🫯‍👩🏼;महिला पहलवान: हल्की साँवली त्वचा, हल्की गोरी त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की गोरी त्वचा|हल्की साँवली त्वचा
	👩🏾‍🫯‍👩🏽;महिला पहलवान: हल्की साँवली त्वचा, गेहुँआ त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|हल्की साँवली त्वचा
	👩🏾‍🫯‍👩🏿;महिला पहलवान: हल्की साँवली त्वचा, साँवली त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा|हल्की साँवली त्वचा
	👩🏿‍🫯‍👩🏻;महिला पहलवान: साँवली त्वचा, गोरी त्वचा;कुश्ती|खेल|गोरी त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा
	👩🏿‍🫯‍👩🏼;महिला पहलवान: साँवली त्वचा, हल्की गोरी त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा|हल्की गोरी त्वचा
	👩🏿‍🫯‍👩🏽;महिला पहलवान: साँवली त्वचा, गेहुँआ त्वचा;कुश्ती|खेल|गेहुँआ त्वचा|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा
	👩🏿‍🫯‍👩🏾;महिला पहलवान: साँवली त्वचा, हल्की साँवली त्वचा;कुश्ती|खेल|पहलवान|पहलवानी|महिला|महिलाएँ|महिलाओं|व्यक्ति|साँवली त्वचा|हल्की साँवली त्वचा
🤽;वाटर पोलो खेलता व्यक्ति;खेल|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वाटर पोलो खेलता व्यक्ति|वॉटर पोलो|व्यक्ति|स्विमिंग
	🤽🏻;वाटर पोलो खेलता व्यक्ति: गोरी त्वचा;खेल|गोरी त्वचा|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वाटर पोलो खेलता व्यक्ति|वॉटर पोलो|व्यक्ति|स्विमिंग
	🤽🏼;वाटर पोलो खेलता व्यक्ति: हल्की गोरी त्वचा;खेल|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वाटर पोलो खेलता व्यक्ति|वॉटर पोलो|व्यक्ति|स्विमिंग|हल्की गोरी त्वचा
	🤽🏽;वाटर पोलो खेलता व्यक्ति: गेहुँआ त्वचा;खेल|गेहुँआ त्वचा|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वाटर पोलो खेलता व्यक्ति|वॉटर पोलो|व्यक्ति|स्विमिंग
