# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
🕴️;אדם בחליפת עסקים מרחף;אדם|איש עסקים|חליפה|מרחף בחליפת עסקים
	🕴🏻;אדם בחליפת עסקים מרחף: גוון עור בהיר;אדם|איש עסקים|גוון עור בהיר|חליפה|מרחף בחליפת עסקים
	🕴🏼;אדם בחליפת עסקים מרחף: גוון עור בהיר בינוני;אדם|איש עסקים|גוון עור בהיר בינוני|חליפה|מרחף בחליפת עסקים
	🕴🏽;אדם בחליפת עסקים מרחף: גוון עור בינוני;אדם|איש עסקים|גוון עור בינוני|חליפה|מרחף בחליפת עסקים
	🕴🏾;אדם בחליפת עסקים מרחף: גוון עור כהה בינוני;אדם|איש עסקים|גוון עור כהה בינוני|חליפה|מרחף בחליפת עסקים
	🕴🏿;אדם בחליפת עסקים מרחף: גוון עור כהה;אדם|איש עסקים|גוון עור כהה|חליפה|מרחף בחליפת עסקים
👯;נשים עם אוזני ארנב רוקדות;אוזני ארנב|אוזני שפן|אישה|ארנבות|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	👯🏻;נשים עם אוזני ארנב רוקדות: גוון עור בהיר;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	👯🏼;נשים עם אוזני ארנב רוקדות: גוון עור בהיר בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	👯🏽;נשים עם אוזני ארנב רוקדות: גוון עור בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	👯🏾;נשים עם אוזני ארנב רוקדות: גוון עור כהה בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	👯🏿;נשים עם אוזני ארנב רוקדות: גוון עור כהה;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
👯‍♂️;גברים עם אוזני ארנב רוקדים;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|מסיבה|רקדן
	👯🏻‍♂️;גברים עם אוזני ארנב רוקדים: גוון עור בהיר;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|מסיבה|רקדן
	👯🏼‍♂️;גברים עם אוזני ארנב רוקדים: גוון עור בהיר בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|מסיבה|רקדן
	👯🏽‍♂️;גברים עם אוזני ארנב רוקדים: גוון עור בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בינוני|מסיבה|רקדן
	👯🏾‍♂️;גברים עם אוזני ארנב רוקדים: גוון עור כהה בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור כהה בינוני|מסיבה|רקדן
	👯🏿‍♂️;גברים עם אוזני ארנב רוקדים: גוון עור כהה;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור כהה|מסיבה|רקדן
👯‍♀️;נשים עם אוזני ארנב;אישה|בנות חוגגות|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👯🏻‍♀️;נשים עם אוזני ארנב: גוון עור בהיר;אישה|בנות חוגגות|גוון עור בהיר|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👯🏼‍♀️;נשים עם אוזני ארנב: גוון עור בהיר בינוני;אישה|בנות חוגגות|גוון עור בהיר בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👯🏽‍♀️;נשים עם אוזני ארנב: גוון עור בינוני;אישה|בנות חוגגות|גוון עור בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👯🏾‍♀️;נשים עם אוזני ארנב: גוון עור כהה בינוני;אישה|בנות חוגגות|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👯🏿‍♀️;נשים עם אוזני ארנב: גוון עור כהה;אישה|בנות חוגגות|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	🧑🏻‍🐰‍🧑🏼;נשים עם אוזני ארנב רוקדות: גוון עור בהיר, גוון עור בהיר בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור בהיר בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏻‍🐰‍🧑🏽;נשים עם אוזני ארנב רוקדות: גוון עור בהיר, גוון עור בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏻‍🐰‍🧑🏾;נשים עם אוזני ארנב רוקדות: גוון עור בהיר, גוון עור כהה בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏻‍🐰‍🧑🏿;נשים עם אוזני ארנב רוקדות: גוון עור בהיר, גוון עור כהה;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏼‍🐰‍🧑🏻;נשים עם אוזני ארנב רוקדות: גוון עור בהיר בינוני, גוון עור בהיר;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור בהיר בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏼‍🐰‍🧑🏽;נשים עם אוזני ארנב רוקדות: גוון עור בהיר בינוני, גוון עור בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|גוון עור בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏼‍🐰‍🧑🏾;נשים עם אוזני ארנב רוקדות: גוון עור בהיר בינוני, גוון עור כהה בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏼‍🐰‍🧑🏿;נשים עם אוזני ארנב רוקדות: גוון עור בהיר בינוני, גוון עור כהה;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏽‍🐰‍🧑🏻;נשים עם אוזני ארנב רוקדות: גוון עור בינוני, גוון עור בהיר;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏽‍🐰‍🧑🏼;נשים עם אוזני ארנב רוקדות: גוון עור בינוני, גוון עור בהיר בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|גוון עור בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏽‍🐰‍🧑🏾;נשים עם אוזני ארנב רוקדות: גוון עור בינוני, גוון עור כהה בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בינוני|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏽‍🐰‍🧑🏿;נשים עם אוזני ארנב רוקדות: גוון עור בינוני, גוון עור כהה;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בינוני|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏾‍🐰‍🧑🏻;נשים עם אוזני ארנב רוקדות: גוון עור כהה בינוני, גוון עור בהיר;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏾‍🐰‍🧑🏼;נשים עם אוזני ארנב רוקדות: גוון עור כהה בינוני, גוון עור בהיר בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏾‍🐰‍🧑🏽;נשים עם אוזני ארנב רוקדות: גוון עור כהה בינוני, גוון עור בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בינוני|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏾‍🐰‍🧑🏿;נשים עם אוזני ארנב רוקדות: גוון עור כהה בינוני, גוון עור כהה;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור כהה|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏿‍🐰‍🧑🏻;נשים עם אוזני ארנב רוקדות: גוון עור כהה, גוון עור בהיר;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏿‍🐰‍🧑🏼;נשים עם אוזני ארנב רוקדות: גוון עור כהה, גוון עור בהיר בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בהיר בינוני|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏿‍🐰‍🧑🏽;נשים עם אוזני ארנב רוקדות: גוון עור כהה, גוון עור בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור בינוני|גוון עור כהה|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	🧑🏿‍🐰‍🧑🏾;נשים עם אוזני ארנב רוקדות: גוון עור כהה, גוון עור כהה בינוני;אוזני ארנב|אוזני שפן|אישה|ארנבות|גוון עור כהה|גוון עור כהה בינוני|מסיבה|רוקדות|רקדניות|שפנפנות|תאומות
	👨🏻‍🐰‍👨🏼;גברים עם אוזני ארנב רוקדים: גוון עור בהיר, גוון עור בהיר בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור בהיר בינוני|מסיבה|רקדן
	👨🏻‍🐰‍👨🏽;גברים עם אוזני ארנב רוקדים: גוון עור בהיר, גוון עור בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור בינוני|מסיבה|רקדן
	👨🏻‍🐰‍👨🏾;גברים עם אוזני ארנב רוקדים: גוון עור בהיר, גוון עור כהה בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏻‍🐰‍👨🏿;גברים עם אוזני ארנב רוקדים: גוון עור בהיר, גוון עור כהה;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור כהה|מסיבה|רקדן
	👨🏼‍🐰‍👨🏻;גברים עם אוזני ארנב רוקדים: גוון עור בהיר בינוני, גוון עור בהיר;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור בהיר בינוני|מסיבה|רקדן
	👨🏼‍🐰‍👨🏽;גברים עם אוזני ארנב רוקדים: גוון עור בהיר בינוני, גוון עור בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|גוון עור בינוני|מסיבה|רקדן
	👨🏼‍🐰‍👨🏾;גברים עם אוזני ארנב רוקדים: גוון עור בהיר בינוני, גוון עור כהה בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏼‍🐰‍👨🏿;גברים עם אוזני ארנב רוקדים: גוון עור בהיר בינוני, גוון עור כהה;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|גוון עור כהה|מסיבה|רקדן
	👨🏽‍🐰‍👨🏻;גברים עם אוזני ארנב רוקדים: גוון עור בינוני, גוון עור בהיר;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור בינוני|מסיבה|רקדן
	👨🏽‍🐰‍👨🏼;גברים עם אוזני ארנב רוקדים: גוון עור בינוני, גוון עור בהיר בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|גוון עור בינוני|מסיבה|רקדן
	👨🏽‍🐰‍👨🏾;גברים עם אוזני ארנב רוקדים: גוון עור בינוני, גוון עור כהה בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בינוני|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏽‍🐰‍👨🏿;גברים עם אוזני ארנב רוקדים: גוון עור בינוני, גוון עור כהה;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בינוני|גוון עור כהה|מסיבה|רקדן
	👨🏾‍🐰‍👨🏻;גברים עם אוזני ארנב רוקדים: גוון עור כהה בינוני, גוון עור בהיר;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏾‍🐰‍👨🏼;גברים עם אוזני ארנב רוקדים: גוון עור כהה בינוני, גוון עור בהיר בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏾‍🐰‍👨🏽;גברים עם אוזני ארנב רוקדים: גוון עור כהה בינוני, גוון עור בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בינוני|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏾‍🐰‍👨🏿;גברים עם אוזני ארנב רוקדים: גוון עור כהה בינוני, גוון עור כהה;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור כהה|גוון עור כהה בינוני|מסיבה|רקדן
	👨🏿‍🐰‍👨🏻;גברים עם אוזני ארנב רוקדים: גוון עור כהה, גוון עור בהיר;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר|גוון עור כהה|מסיבה|רקדן
	👨🏿‍🐰‍👨🏼;גברים עם אוזני ארנב רוקדים: גוון עור כהה, גוון עור בהיר בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בהיר בינוני|גוון עור כהה|מסיבה|רקדן
	👨🏿‍🐰‍👨🏽;גברים עם אוזני ארנב רוקדים: גוון עור כהה, גוון עור בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור בינוני|גוון עור כהה|מסיבה|רקדן
	👨🏿‍🐰‍👨🏾;גברים עם אוזני ארנב רוקדים: גוון עור כהה, גוון עור כהה בינוני;אוזני ארנב|איש|בנים חוגגים|בנים רוקדים עם אוזני ארנב|גבר|גוון עור כהה|גוון עור כהה בינוני|מסיבה|רקדן
	👩🏻‍🐰‍👩🏼;נשים עם אוזני ארנב: גוון עור בהיר, גוון עור בהיר בינוני;אישה|בנות חוגגות|גוון עור בהיר|גוון עור בהיר בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏻‍🐰‍👩🏽;נשים עם אוזני ארנב: גוון עור בהיר, גוון עור בינוני;אישה|בנות חוגגות|גוון עור בהיר|גוון עור בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏻‍🐰‍👩🏾;נשים עם אוזני ארנב: גוון עור בהיר, גוון עור כהה בינוני;אישה|בנות חוגגות|גוון עור בהיר|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏻‍🐰‍👩🏿;נשים עם אוזני ארנב: גוון עור בהיר, גוון עור כהה;אישה|בנות חוגגות|גוון עור בהיר|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏼‍🐰‍👩🏻;נשים עם אוזני ארנב: גוון עור בהיר בינוני, גוון עור בהיר;אישה|בנות חוגגות|גוון עור בהיר|גוון עור בהיר בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏼‍🐰‍👩🏽;נשים עם אוזני ארנב: גוון עור בהיר בינוני, גוון עור בינוני;אישה|בנות חוגגות|גוון עור בהיר בינוני|גוון עור בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏼‍🐰‍👩🏾;נשים עם אוזני ארנב: גוון עור בהיר בינוני, גוון עור כהה בינוני;אישה|בנות חוגגות|גוון עור בהיר בינוני|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏼‍🐰‍👩🏿;נשים עם אוזני ארנב: גוון עור בהיר בינוני, גוון עור כהה;אישה|בנות חוגגות|גוון עור בהיר בינוני|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏽‍🐰‍👩🏻;נשים עם אוזני ארנב: גוון עור בינוני, גוון עור בהיר;אישה|בנות חוגגות|גוון עור בהיר|גוון עור בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏽‍🐰‍👩🏼;נשים עם אוזני ארנב: גוון עור בינוני, גוון עור בהיר בינוני;אישה|בנות חוגגות|גוון עור בהיר בינוני|גוון עור בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏽‍🐰‍👩🏾;נשים עם אוזני ארנב: גוון עור בינוני, גוון עור כהה בינוני;אישה|בנות חוגגות|גוון עור בינוני|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏽‍🐰‍👩🏿;נשים עם אוזני ארנב: גוון עור בינוני, גוון עור כהה;אישה|בנות חוגגות|גוון עור בינוני|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏾‍🐰‍👩🏻;נשים עם אוזני ארנב: גוון עור כהה בינוני, גוון עור בהיר;אישה|בנות חוגגות|גוון עור בהיר|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏾‍🐰‍👩🏼;נשים עם אוזני ארנב: גוון עור כהה בינוני, גוון עור בהיר בינוני;אישה|בנות חוגגות|גוון עור בהיר בינוני|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏾‍🐰‍👩🏽;נשים עם אוזני ארנב: גוון עור כהה בינוני, גוון עור בינוני;אישה|בנות חוגגות|גוון עור בינוני|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏾‍🐰‍👩🏿;נשים עם אוזני ארנב: גוון עור כהה בינוני, גוון עור כהה;אישה|בנות חוגגות|גוון עור כהה|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏿‍🐰‍👩🏻;נשים עם אוזני ארנב: גוון עור כהה, גוון עור בהיר;אישה|בנות חוגגות|גוון עור בהיר|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏿‍🐰‍👩🏼;נשים עם אוזני ארנב: גוון עור כהה, גוון עור בהיר בינוני;אישה|בנות חוגגות|גוון עור בהיר בינוני|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏿‍🐰‍👩🏽;נשים עם אוזני ארנב: גוון עור כהה, גוון עור בינוני;אישה|בנות חוגגות|גוון עור בינוני|גוון עור כהה|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
	👩🏿‍🐰‍👩🏾;נשים עם אוזני ארנב: גוון עור כהה, גוון עור כהה בינוני;אישה|בנות חוגגות|גוון עור כהה|גוון עור כהה בינוני|חגיגה|מסיבה|נשים רוקדות עם אוזני ארנב|תחפושת
🧖;מישהי בסאונה;אדם|אישה בסאונה|מישהי בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
	🧖🏻;מישהי בסאונה: גוון עור בהיר;אדם|אישה בסאונה|גוון עור בהיר|מישהי בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
	🧖🏼;מישהי בסאונה: גוון עור בהיר בינוני;אדם|אישה בסאונה|גוון עור בהיר בינוני|מישהי בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
	🧖🏽;מישהי בסאונה: גוון עור בינוני;אדם|אישה בסאונה|גוון עור בינוני|מישהי בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
	🧖🏾;מישהי בסאונה: גוון עור כהה בינוני;אדם|אישה בסאונה|גוון עור כהה בינוני|מישהי בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
	🧖🏿;מישהי בסאונה: גוון עור כהה;אדם|אישה בסאונה|גוון עור כהה|מישהי בסאונה|סאונה|ספא|פינוק|פינוק בספא|רגיעה
🧖‍♂️;גבר בסאונה;גבר בסאונה|סאונה|ספא
	🧖🏻‍♂️;גבר בסאונה: גוון עור בהיר;גבר בסאונה|גוון עור בהיר|סאונה|ספא
	🧖🏼‍♂️;גבר בסאונה: גוון עור בהיר בינוני;גבר בסאונה|גוון עור בהיר בינוני|סאונה|ספא
	🧖🏽‍♂️;גבר בסאונה: גוון עור בינוני;גבר בסאונה|גוון עור בינוני|סאונה|ספא
	🧖🏾‍♂️;גבר בסאונה: גוון עור כהה בינוני;גבר בסאונה|גוון עור כהה בינוני|סאונה|ספא
	🧖🏿‍♂️;גבר בסאונה: גוון עור כהה;גבר בסאונה|גוון עור כהה|סאונה|ספא
🧖‍♀️;אישה בסאונה;אישה בסאונה|סאונה|ספא
	🧖🏻‍♀️;אישה בסאונה: גוון עור בהיר;אישה בסאונה|גוון עור בהיר|סאונה|ספא
	🧖🏼‍♀️;אישה בסאונה: גוון עור בהיר בינוני;אישה בסאונה|גוון עור בהיר בינוני|סאונה|ספא
	🧖🏽‍♀️;אישה בסאונה: גוון עור בינוני;אישה בסאונה|גוון עור בינוני|סאונה|ספא
	🧖🏾‍♀️;אישה בסאונה: גוון עור כהה בינוני;אישה בסאונה|גוון עור כהה בינוני|סאונה|ספא
	🧖🏿‍♀️;אישה בסאונה: גוון עור כהה;אישה בסאונה|גוון עור כהה|סאונה|ספא
🧗;מישהו מטפס;אדם|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת|מישהו מטפס
	🧗🏻;מישהו מטפס: גוון עור בהיר;אדם|גוון עור בהיר|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת|מישהו מטפס
	🧗🏼;מישהו מטפס: גוון עור בהיר בינוני;אדם|גוון עור בהיר בינוני|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת|מישהו מטפס
	🧗🏽;מישהו מטפס: גוון עור בינוני;אדם|גוון עור בינוני|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת|מישהו מטפס
	🧗🏾;מישהו מטפס: גוון עור כהה בינוני;אדם|גוון עור כהה בינוני|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת|מישהו מטפס
	🧗🏿;מישהו מטפס: גוון עור כהה;אדם|גוון עור כהה|הר|טיפוס|טיפוס הרים|טיפוס סלעים|טיפוס על הר|מטפס|מטפסת|מישהו מטפס
🧗‍♂️;איש מטפס;איש מטפס|טיפוס|מטפס
	🧗🏻‍♂️;איש מטפס: גוון עור בהיר;איש מטפס|גוון עור בהיר|טיפוס|מטפס
	🧗🏼‍♂️;איש מטפס: גוון עור בהיר בינוני;איש מטפס|גוון עור בהיר בינוני|טיפוס|מטפס
	🧗🏽‍♂️;איש מטפס: גוון עור בינוני;איש מטפס|גוון עור בינוני|טיפוס|מטפס
	🧗🏾‍♂️;איש מטפס: גוון עור כהה בינוני;איש מטפס|גוון עור כהה בינוני|טיפוס|מטפס
	🧗🏿‍♂️;איש מטפס: גוון עור כהה;איש מטפס|גוון עור כהה|טיפוס|מטפס
🧗‍♀️;אישה מטפסת;אישה מטפסת|טיפוס|מטפסת
	🧗🏻‍♀️;אישה מטפסת: גוון עור בהיר;אישה מטפסת|גוון עור בהיר|טיפוס|מטפסת
	🧗🏼‍♀️;אישה מטפסת: גוון עור בהיר בינוני;אישה מטפסת|גוון עור בהיר בינוני|טיפוס|מטפסת
	🧗🏽‍♀️;אישה מטפסת: גוון עור בינוני;אישה מטפסת|גוון עור בינוני|טיפוס|מטפסת
	🧗🏾‍♀️;אישה מטפסת: גוון עור כהה בינוני;אישה מטפסת|גוון עור כהה בינוני|טיפוס|מטפסת
	🧗🏿‍♀️;אישה מטפסת: גוון עור כהה;אישה מטפסת|גוון עור כהה|טיפוס|מטפסת
🤺;סייף;דקירה|סייף|סיף|ספורט
🏇;מירוצי סוסים;מירוץ|מירוצי סוסים|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
	🏇🏻;מירוצי סוסים: גוון עור בהיר;גוון עור בהיר|מירוץ|מירוצי סוסים|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
	🏇🏼;מירוצי סוסים: גוון עור בהיר בינוני;גוון עור בהיר בינוני|מירוץ|מירוצי סוסים|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
	🏇🏽;מירוצי סוסים: גוון עור בינוני;גוון עור בינוני|מירוץ|מירוצי סוסים|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
	🏇🏾;מירוצי סוסים: גוון עור כהה בינוני;גוון עור כהה בינוני|מירוץ|מירוצי סוסים|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
	🏇🏿;מירוצי סוסים: גוון עור כהה;גוון עור כהה|מירוץ|מירוצי סוסים|מרוץ סוסים|מרוצי סוסים|סוס|פרש|רוכב
⛷️;גולש סקי;גולש|ספורט|סקי|שלג
🏂;גולש סנובורד;גולש|סנובורד|ספורט|סקי|שלג
	🏂🏻;גולש סנובורד: גוון עור בהיר;גוון עור בהיר|גולש|סנובורד|ספורט|סקי|שלג
	🏂🏼;גולש סנובורד: גוון עור בהיר בינוני;גוון עור בהיר בינוני|גולש|סנובורד|ספורט|סקי|שלג
	🏂🏽;גולש סנובורד: גוון עור בינוני;גוון עור בינוני|גולש|סנובורד|ספורט|סקי|שלג
	🏂🏾;גולש סנובורד: גוון עור כהה בינוני;גוון עור כהה בינוני|גולש|סנובורד|ספורט|סקי|שלג
	🏂🏿;גולש סנובורד: גוון עור כהה;גוון עור כהה|גולש|סנובורד|ספורט|סקי|שלג
🏌️;שחקן גולף;גולף|הנפה|ירוק|מחבט|מסלול גולף|משחק|נושא כלים|ספורט|שחקן
