# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
	👨🏾‍🐰‍👨🏿;مردان در پارتی: پوست گندمی،‏ پوست آبنوسی;پارتی|پارتی دادن|پوست آبنوسی|پوست گندمی|مردان در پارتی|مهمانی دادن|مهمانی رفتن
	👨🏿‍🐰‍👨🏻;مردان در پارتی: پوست آبنوسی،‏ پوست سفید;پارتی|پارتی دادن|پوست آبنوسی|پوست سفید|مردان در پارتی|مهمانی دادن|مهمانی رفتن
	👨🏿‍🐰‍👨🏼;مردان در پارتی: پوست آبنوسی،‏ پوست روشن;پارتی|پارتی دادن|پوست آبنوسی|پوست روشن|مردان در پارتی|مهمانی دادن|مهمانی رفتن
	👨🏿‍🐰‍👨🏽;مردان در پارتی: پوست آبنوسی،‏ پوست طلایی;پارتی|پارتی دادن|پوست آبنوسی|پوست طلایی|مردان در پارتی|مهمانی دادن|مهمانی رفتن
	👨🏿‍🐰‍👨🏾;مردان در پارتی: پوست آبنوسی،‏ پوست گندمی;پارتی|پارتی دادن|پوست آبنوسی|پوست گندمی|مردان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏻‍🐰‍👩🏼;زنان در پارتی: پوست سفید،‏ پوست روشن;پارتی|پارتی دادن|پوست روشن|پوست سفید|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏻‍🐰‍👩🏽;زنان در پارتی: پوست سفید،‏ پوست طلایی;پارتی|پارتی دادن|پوست سفید|پوست طلایی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏻‍🐰‍👩🏾;زنان در پارتی: پوست سفید،‏ پوست گندمی;پارتی|پارتی دادن|پوست سفید|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏻‍🐰‍👩🏿;زنان در پارتی: پوست سفید،‏ پوست آبنوسی;پارتی|پارتی دادن|پوست آبنوسی|پوست سفید|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏼‍🐰‍👩🏻;زنان در پارتی: پوست روشن،‏ پوست سفید;پارتی|پارتی دادن|پوست روشن|پوست سفید|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏼‍🐰‍👩🏽;زنان در پارتی: پوست روشن،‏ پوست طلایی;پارتی|پارتی دادن|پوست روشن|پوست طلایی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏼‍🐰‍👩🏾;زنان در پارتی: پوست روشن،‏ پوست گندمی;پارتی|پارتی دادن|پوست روشن|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏼‍🐰‍👩🏿;زنان در پارتی: پوست روشن،‏ پوست آبنوسی;پارتی|پارتی دادن|پوست آبنوسی|پوست روشن|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏽‍🐰‍👩🏻;زنان در پارتی: پوست طلایی،‏ پوست سفید;پارتی|پارتی دادن|پوست سفید|پوست طلایی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏽‍🐰‍👩🏼;زنان در پارتی: پوست طلایی،‏ پوست روشن;پارتی|پارتی دادن|پوست روشن|پوست طلایی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏽‍🐰‍👩🏾;زنان در پارتی: پوست طلایی،‏ پوست گندمی;پارتی|پارتی دادن|پوست طلایی|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏽‍🐰‍👩🏿;زنان در پارتی: پوست طلایی،‏ پوست آبنوسی;پارتی|پارتی دادن|پوست آبنوسی|پوست طلایی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏾‍🐰‍👩🏻;زنان در پارتی: پوست گندمی،‏ پوست سفید;پارتی|پارتی دادن|پوست سفید|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏾‍🐰‍👩🏼;زنان در پارتی: پوست گندمی،‏ پوست روشن;پارتی|پارتی دادن|پوست روشن|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏾‍🐰‍👩🏽;زنان در پارتی: پوست گندمی،‏ پوست طلایی;پارتی|پارتی دادن|پوست طلایی|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏾‍🐰‍👩🏿;زنان در پارتی: پوست گندمی،‏ پوست آبنوسی;پارتی|پارتی دادن|پوست آبنوسی|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏿‍🐰‍👩🏻;زنان در پارتی: پوست آبنوسی،‏ پوست سفید;پارتی|پارتی دادن|پوست آبنوسی|پوست سفید|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏿‍🐰‍👩🏼;زنان در پارتی: پوست آبنوسی،‏ پوست روشن;پارتی|پارتی دادن|پوست آبنوسی|پوست روشن|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏿‍🐰‍👩🏽;زنان در پارتی: پوست آبنوسی،‏ پوست طلایی;پارتی|پارتی دادن|پوست آبنوسی|پوست طلایی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
	👩🏿‍🐰‍👩🏾;زنان در پارتی: پوست آبنوسی،‏ پوست گندمی;پارتی|پارتی دادن|پوست آبنوسی|پوست گندمی|زنان در پارتی|مهمانی دادن|مهمانی رفتن
🧖;فردی در حمام بخار;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|حمام|ریلکس کردن|زن|سونا|فردی در حمام بخار|لوکس
	🧖🏻;فردی در حمام بخار: پوست سفید;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|پوست سفید|حمام|ریلکس کردن|زن|سونا|فردی در حمام بخار|لوکس
	🧖🏼;فردی در حمام بخار: پوست روشن;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|پوست روشن|حمام|ریلکس کردن|زن|سونا|فردی در حمام بخار|لوکس
	🧖🏽;فردی در حمام بخار: پوست طلایی;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|پوست طلایی|حمام|ریلکس کردن|زن|سونا|فردی در حمام بخار|لوکس
	🧖🏾;فردی در حمام بخار: پوست گندمی;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|پوست گندمی|حمام|ریلکس کردن|زن|سونا|فردی در حمام بخار|لوکس
	🧖🏿;فردی در حمام بخار: پوست آبنوسی;آرام شدن|آرامش|اتاق بخار|اسپا|بخار|پوست آبنوسی|حمام|ریلکس کردن|زن|سونا|فردی در حمام بخار|لوکس
🧖‍♂️;مرد در حمام بخار;اتاق بخار|حمام بخار|سونا|مرد در حمام بخار
	🧖🏻‍♂️;مرد در حمام بخار: پوست سفید;اتاق بخار|پوست سفید|حمام بخار|سونا|مرد در حمام بخار
	🧖🏼‍♂️;مرد در حمام بخار: پوست روشن;اتاق بخار|پوست روشن|حمام بخار|سونا|مرد در حمام بخار
	🧖🏽‍♂️;مرد در حمام بخار: پوست طلایی;اتاق بخار|پوست طلایی|حمام بخار|سونا|مرد در حمام بخار
	🧖🏾‍♂️;مرد در حمام بخار: پوست گندمی;اتاق بخار|پوست گندمی|حمام بخار|سونا|مرد در حمام بخار
	🧖🏿‍♂️;مرد در حمام بخار: پوست آبنوسی;اتاق بخار|پوست آبنوسی|حمام بخار|سونا|مرد در حمام بخار
🧖‍♀️;زن در حمام بخار;اتاق بخار|حمام بخار|زن در حمام بخار|سونا
	🧖🏻‍♀️;زن در حمام بخار: پوست سفید;اتاق بخار|پوست سفید|حمام بخار|زن در حمام بخار|سونا
	🧖🏼‍♀️;زن در حمام بخار: پوست روشن;اتاق بخار|پوست روشن|حمام بخار|زن در حمام بخار|سونا
	🧖🏽‍♀️;زن در حمام بخار: پوست طلایی;اتاق بخار|پوست طلایی|حمام بخار|زن در حمام بخار|سونا
	🧖🏾‍♀️;زن در حمام بخار: پوست گندمی;اتاق بخار|پوست گندمی|حمام بخار|زن در حمام بخار|سونا
	🧖🏿‍♀️;زن در حمام بخار: پوست آبنوسی;اتاق بخار|پوست آبنوسی|حمام بخار|زن در حمام بخار|سونا
🧗;فردی کوه‌نوردی می‌کند;بدن|زن|زن کوه نورد|صخره نورد|صخره نوردی|فردی کوه‌نوردی می‌کند|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
	🧗🏻;فردی کوه‌نوردی می‌کند: پوست سفید;بدن|پوست سفید|زن|زن کوه نورد|صخره نورد|صخره نوردی|فردی کوه‌نوردی می‌کند|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
	🧗🏼;فردی کوه‌نوردی می‌کند: پوست روشن;بدن|پوست روشن|زن|زن کوه نورد|صخره نورد|صخره نوردی|فردی کوه‌نوردی می‌کند|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
	🧗🏽;فردی کوه‌نوردی می‌کند: پوست طلایی;بدن|پوست طلایی|زن|زن کوه نورد|صخره نورد|صخره نوردی|فردی کوه‌نوردی می‌کند|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
	🧗🏾;فردی کوه‌نوردی می‌کند: پوست گندمی;بدن|پوست گندمی|زن|زن کوه نورد|صخره نورد|صخره نوردی|فردی کوه‌نوردی می‌کند|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
	🧗🏿;فردی کوه‌نوردی می‌کند: پوست آبنوسی;بدن|پوست آبنوسی|زن|زن کوه نورد|صخره نورد|صخره نوردی|فردی کوه‌نوردی می‌کند|قوی|کوه نوردی|کوه‌پیما|کوه‌نورد|ورزش|ورزشکار
🧗‍♂️;مرد کوه‌نوردی می‌کند;مرد کوه‌پیما|مرد کوه‌نورد|مرد کوه‌نوردی می‌کند
	🧗🏻‍♂️;مرد کوه‌نوردی می‌کند: پوست سفید;پوست سفید|مرد کوه‌پیما|مرد کوه‌نورد|مرد کوه‌نوردی می‌کند
	🧗🏼‍♂️;مرد کوه‌نوردی می‌کند: پوست روشن;پوست روشن|مرد کوه‌پیما|مرد کوه‌نورد|مرد کوه‌نوردی می‌کند
	🧗🏽‍♂️;مرد کوه‌نوردی می‌کند: پوست طلایی;پوست طلایی|مرد کوه‌پیما|مرد کوه‌نورد|مرد کوه‌نوردی می‌کند
	🧗🏾‍♂️;مرد کوه‌نوردی می‌کند: پوست گندمی;پوست گندمی|مرد کوه‌پیما|مرد کوه‌نورد|مرد کوه‌نوردی می‌کند
	🧗🏿‍♂️;مرد کوه‌نوردی می‌کند: پوست آبنوسی;پوست آبنوسی|مرد کوه‌پیما|مرد کوه‌نورد|مرد کوه‌نوردی می‌کند
🧗‍♀️;زن کوه‌نوردی می‌کند;زن کوه‌پیما|زن کوه‌نورد|زن کوه‌نوردی می‌کند
	🧗🏻‍♀️;زن کوه‌نوردی می‌کند: پوست سفید;پوست سفید|زن کوه‌پیما|زن کوه‌نورد|زن کوه‌نوردی می‌کند
	🧗🏼‍♀️;زن کوه‌نوردی می‌کند: پوست روشن;پوست روشن|زن کوه‌پیما|زن کوه‌نورد|زن کوه‌نوردی می‌کند
	🧗🏽‍♀️;زن کوه‌نوردی می‌کند: پوست طلایی;پوست طلایی|زن کوه‌پیما|زن کوه‌نورد|زن کوه‌نوردی می‌کند
	🧗🏾‍♀️;زن کوه‌نوردی می‌کند: پوست گندمی;پوست گندمی|زن کوه‌پیما|زن کوه‌نورد|زن کوه‌نوردی می‌کند
	🧗🏿‍♀️;زن کوه‌نوردی می‌کند: پوست آبنوسی;پوست آبنوسی|زن کوه‌پیما|زن کوه‌نورد|زن کوه‌نوردی می‌کند
🤺;شمشیربازی;رزمی|شمشیربازی|ورزش
🏇;مسابقه اسب‌سواری;اسب|اسب‌سواری|مسابقه|ورزش
	🏇🏻;مسابقه اسب‌سواری: پوست سفید;اسب|اسب‌سواری|پوست سفید|مسابقه|ورزش
	🏇🏼;مسابقه اسب‌سواری: پوست روشن;اسب|اسب‌سواری|پوست روشن|مسابقه|ورزش
	🏇🏽;مسابقه اسب‌سواری: پوست طلایی;اسب|اسب‌سواری|پوست طلایی|مسابقه|ورزش
	🏇🏾;مسابقه اسب‌سواری: پوست گندمی;اسب|اسب‌سواری|پوست گندمی|مسابقه|ورزش
	🏇🏿;مسابقه اسب‌سواری: پوست آبنوسی;اسب|اسب‌سواری|پوست آبنوسی|مسابقه|ورزش
⛷️;اسکی‌سوار;اسکی|اسکی‌سوار|برف|ورزش
🏂;اسنوبرد;اسکی|اسنوبرد|برف|ورزش
	🏂🏻;اسنوبرد: پوست سفید;اسکی|اسنوبرد|برف|پوست سفید|ورزش
	🏂🏼;اسنوبرد: پوست روشن;اسکی|اسنوبرد|برف|پوست روشن|ورزش
	🏂🏽;اسنوبرد: پوست طلایی;اسکی|اسنوبرد|برف|پوست طلایی|ورزش
	🏂🏾;اسنوبرد: پوست گندمی;اسکی|اسنوبرد|برف|پوست گندمی|ورزش
	🏂🏿;اسنوبرد: پوست آبنوسی;اسکی|اسنوبرد|برف|پوست آبنوسی|ورزش
🏌️;گلف‌باز;آدم|بازیکن گلف|پرتاب|توپ|گلف|گلف باز|گلف‌باز|مرد|مرد گلف باز|ورزش|ورزشکار
	🏌🏻;گلف‌باز: پوست سفید;آدم|بازیکن گلف|پرتاب|پوست سفید|توپ|گلف|گلف باز|گلف‌باز|مرد|مرد گلف باز|ورزش|ورزشکار
	🏌🏼;گلف‌باز: پوست روشن;آدم|بازیکن گلف|پرتاب|پوست روشن|توپ|گلف|گلف باز|گلف‌باز|مرد|مرد گلف باز|ورزش|ورزشکار
	🏌🏽;گلف‌باز: پوست طلایی;آدم|بازیکن گلف|پرتاب|پوست طلایی|توپ|گلف|گلف باز|گلف‌باز|مرد|مرد گلف باز|ورزش|ورزشکار
	🏌🏾;گلف‌باز: پوست گندمی;آدم|بازیکن گلف|پرتاب|پوست گندمی|توپ|گلف|گلف باز|گلف‌باز|مرد|مرد گلف باز|ورزش|ورزشکار
	🏌🏿;گلف‌باز: پوست آبنوسی;آدم|بازیکن گلف|پرتاب|پوست آبنوسی|توپ|گلف|گلف باز|گلف‌باز|مرد|مرد گلف باز|ورزش|ورزشکار
🏌️‍♂️;گلف‌باز مرد;بازی گلف|گلف|گلف‌باز مرد|گلف‌بازی|گلف‌بازی کردن
	🏌🏻‍♂️;گلف‌باز مرد: پوست سفید;بازی گلف|پوست سفید|گلف|گلف‌باز مرد|گلف‌بازی|گلف‌بازی کردن
	🏌🏼‍♂️;گلف‌باز مرد: پوست روشن;بازی گلف|پوست روشن|گلف|گلف‌باز مرد|گلف‌بازی|گلف‌بازی کردن
	🏌🏽‍♂️;گلف‌باز مرد: پوست طلایی;بازی گلف|پوست طلایی|گلف|گلف‌باز مرد|گلف‌بازی|گلف‌بازی کردن
	🏌🏾‍♂️;گلف‌باز مرد: پوست گندمی;بازی گلف|پوست گندمی|گلف|گلف‌باز مرد|گلف‌بازی|گلف‌بازی کردن
	🏌🏿‍♂️;گلف‌باز مرد: پوست آبنوسی;بازی گلف|پوست آبنوسی|گلف|گلف‌باز مرد|گلف‌بازی|گلف‌بازی کردن
🏌️‍♀️;گلف‌باز زن;بازی گلف|گلف|گلف‌باز زن|گلف‌بازی|گلف‌بازی کردن|ورزش
	🏌🏻‍♀️;گلف‌باز زن: پوست سفید;بازی گلف|پوست سفید|گلف|گلف‌باز زن|گلف‌بازی|گلف‌بازی کردن|ورزش
	🏌🏼‍♀️;گلف‌باز زن: پوست روشن;بازی گلف|پوست روشن|گلف|گلف‌باز زن|گلف‌بازی|گلف‌بازی کردن|ورزش
	🏌🏽‍♀️;گلف‌باز زن: پوست طلایی;بازی گلف|پوست طلایی|گلف|گلف‌باز زن|گلف‌بازی|گلف‌بازی کردن|ورزش
	🏌🏾‍♀️;گلف‌باز زن: پوست گندمی;بازی گلف|پوست گندمی|گلف|گلف‌باز زن|گلف‌بازی|گلف‌بازی کردن|ورزش
	🏌🏿‍♀️;گلف‌باز زن: پوست آبنوسی;بازی گلف|پوست آبنوسی|گلف|گلف‌باز زن|گلف‌بازی|گلف‌بازی کردن|ورزش
🏄;موج‌سوار;اقیانوس|امواج|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سوار|موج‌سواری
	🏄🏻;موج‌سوار: پوست سفید;اقیانوس|امواج|پوست سفید|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سوار|موج‌سواری
	🏄🏼;موج‌سوار: پوست روشن;اقیانوس|امواج|پوست روشن|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سوار|موج‌سواری
	🏄🏽;موج‌سوار: پوست طلایی;اقیانوس|امواج|پوست طلایی|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سوار|موج‌سواری
	🏄🏾;موج‌سوار: پوست گندمی;اقیانوس|امواج|پوست گندمی|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سوار|موج‌سواری
	🏄🏿;موج‌سوار: پوست آبنوسی;اقیانوس|امواج|پوست آبنوسی|تخته موج سواری|دریا|ساحل|متلاطم|مرد|مرد موج سوار|موج|موج سواری|موج‌سوار|موج‌سواری
🏄‍♂️;موج‌سوار مرد;موج|موج‌سوار مرد|موج‌سواری|موج‌سواری کردن
	🏄🏻‍♂️;موج‌سوار مرد: پوست سفید;پوست سفید|موج|موج‌سوار مرد|موج‌سواری|موج‌سواری کردن
	🏄🏼‍♂️;موج‌سوار مرد: پوست روشن;پوست روشن|موج|موج‌سوار مرد|موج‌سواری|موج‌سواری کردن
	🏄🏽‍♂️;موج‌سوار مرد: پوست طلایی;پوست طلایی|موج|موج‌سوار مرد|موج‌سواری|موج‌سواری کردن
	🏄🏾‍♂️;موج‌سوار مرد: پوست گندمی;پوست گندمی|موج|موج‌سوار مرد|موج‌سواری|موج‌سواری کردن
	🏄🏿‍♂️;موج‌سوار مرد: پوست آبنوسی;پوست آبنوسی|موج|موج‌سوار مرد|موج‌سواری|موج‌سواری کردن
🏄‍♀️;موج‌سوار زن;موج|موج‌سوار زن|موج‌سواری|موج‌سواری کردن|ورزش
	🏄🏻‍♀️;موج‌سوار زن: پوست سفید;پوست سفید|موج|موج‌سوار زن|موج‌سواری|موج‌سواری کردن|ورزش
	🏄🏼‍♀️;موج‌سوار زن: پوست روشن;پوست روشن|موج|موج‌سوار زن|موج‌سواری|موج‌سواری کردن|ورزش
	🏄🏽‍♀️;موج‌سوار زن: پوست طلایی;پوست طلایی|موج|موج‌سوار زن|موج‌سواری|موج‌سواری کردن|ورزش
	🏄🏾‍♀️;موج‌سوار زن: پوست گندمی;پوست گندمی|موج|موج‌سوار زن|موج‌سواری|موج‌سواری کردن|ورزش
	🏄🏿‍♀️;موج‌سوار زن: پوست آبنوسی;پوست آبنوسی|موج|موج‌سوار زن|موج‌سواری|موج‌سواری کردن|ورزش
🚣;قایق پارویی;آدم|پارو|پاروزنی|دریاچه|رودخانه|قایق|قایق پارویی|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
	🚣🏻;قایق پارویی: پوست سفید;آدم|پارو|پاروزنی|پوست سفید|دریاچه|رودخانه|قایق|قایق پارویی|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
	🚣🏼;قایق پارویی: پوست روشن;آدم|پارو|پاروزنی|پوست روشن|دریاچه|رودخانه|قایق|قایق پارویی|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
	🚣🏽;قایق پارویی: پوست طلایی;آدم|پارو|پاروزنی|پوست طلایی|دریاچه|رودخانه|قایق|قایق پارویی|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
	🚣🏾;قایق پارویی: پوست گندمی;آدم|پارو|پاروزنی|پوست گندمی|دریاچه|رودخانه|قایق|قایق پارویی|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
	🚣🏿;قایق پارویی: پوست آبنوسی;آدم|پارو|پاروزنی|پوست آبنوسی|دریاچه|رودخانه|قایق|قایق پارویی|مرد|مرد قایق سوار|ورزش|وسیله نقلیه
🚣‍♂️;پاروزن مرد;پارو|پارو زدن|پاروزن مرد|پاروزنی|مرد پاروزن
	🚣🏻‍♂️;پاروزن مرد: پوست سفید;پارو|پارو زدن|پاروزن مرد|پاروزنی|پوست سفید|مرد پاروزن
	🚣🏼‍♂️;پاروزن مرد: پوست روشن;پارو|پارو زدن|پاروزن مرد|پاروزنی|پوست روشن|مرد پاروزن
	🚣🏽‍♂️;پاروزن مرد: پوست طلایی;پارو|پارو زدن|پاروزن مرد|پاروزنی|پوست طلایی|مرد پاروزن
	🚣🏾‍♂️;پاروزن مرد: پوست گندمی;پارو|پارو زدن|پاروزن مرد|پاروزنی|پوست گندمی|مرد پاروزن
	🚣🏿‍♂️;پاروزن مرد: پوست آبنوسی;پارو|پارو زدن|پاروزن مرد|پاروزنی|پوست آبنوسی|مرد پاروزن
🚣‍♀️;پاروزن زن;پارو|پارو زدن|پاروزن زن|پاروزنی|زن پاروزن
	🚣🏻‍♀️;پاروزن زن: پوست سفید;پارو|پارو زدن|پاروزن زن|پاروزنی|پوست سفید|زن پاروزن
	🚣🏼‍♀️;پاروزن زن: پوست روشن;پارو|پارو زدن|پاروزن زن|پاروزنی|پوست روشن|زن پاروزن
	🚣🏽‍♀️;پاروزن زن: پوست طلایی;پارو|پارو زدن|پاروزن زن|پاروزنی|پوست طلایی|زن پاروزن
	🚣🏾‍♀️;پاروزن زن: پوست گندمی;پارو|پارو زدن|پاروزن زن|پاروزنی|پوست گندمی|زن پاروزن
	🚣🏿‍♀️;پاروزن زن: پوست آبنوسی;پارو|پارو زدن|پاروزن زن|پاروزنی|پوست آبنوسی|زن پاروزن
🏊;شناگر;آدم|استخر|بدن|سه گانه|شنا|شناگر|شنای آزاد|کرال|مرد|مسابقه
	🏊🏻;شناگر: پوست سفید;آدم|استخر|بدن|پوست سفید|سه گانه|شنا|شناگر|شنای آزاد|کرال|مرد|مسابقه
	🏊🏼;شناگر: پوست روشن;آدم|استخر|بدن|پوست روشن|سه گانه|شنا|شناگر|شنای آزاد|کرال|مرد|مسابقه
	🏊🏽;شناگر: پوست طلایی;آدم|استخر|بدن|پوست طلایی|سه گانه|شنا|شناگر|شنای آزاد|کرال|مرد|مسابقه
	🏊🏾;شناگر: پوست گندمی;آدم|استخر|بدن|پوست گندمی|سه گانه|شنا|شناگر|شنای آزاد|کرال|مرد|مسابقه
	🏊🏿;شناگر: پوست آبنوسی;آدم|استخر|بدن|پوست آبنوسی|سه گانه|شنا|شناگر|شنای آزاد|کرال|مرد|مسابقه
🏊‍♂️;شناگر مرد;آب‌تنی|شنا|شنا کردن|شناگر|شناگر مرد
	🏊🏻‍♂️;شناگر مرد: پوست سفید;آب‌تنی|پوست سفید|شنا|شنا کردن|شناگر|شناگر مرد
	🏊🏼‍♂️;شناگر مرد: پوست روشن;آب‌تنی|پوست روشن|شنا|شنا کردن|شناگر|شناگر مرد
	🏊🏽‍♂️;شناگر مرد: پوست طلایی;آب‌تنی|پوست طلایی|شنا|شنا کردن|شناگر|شناگر مرد
	🏊🏾‍♂️;شناگر مرد: پوست گندمی;آب‌تنی|پوست گندمی|شنا|شنا کردن|شناگر|شناگر مرد
	🏊🏿‍♂️;شناگر مرد: پوست آبنوسی;آب‌تنی|پوست آبنوسی|شنا|شنا کردن|شناگر|شناگر مرد
🏊‍♀️;شناگر زن;آب‌تنی|شنا|شنا کردن|شناگر|شناگر زن|ورزش
	🏊🏻‍♀️;شناگر زن: پوست سفید;آب‌تنی|پوست سفید|شنا|شنا کردن|شناگر|شناگر زن|ورزش
	🏊🏼‍♀️;شناگر زن: پوست روشن;آب‌تنی|پوست روشن|شنا|شنا کردن|شناگر|شناگر زن|ورزش
	🏊🏽‍♀️;شناگر زن: پوست طلایی;آب‌تنی|پوست طلایی|شنا|شنا کردن|شناگر|شناگر زن|ورزش
	🏊🏾‍♀️;شناگر زن: پوست گندمی;آب‌تنی|پوست گندمی|شنا|شنا کردن|شناگر|شناگر زن|ورزش
	🏊🏿‍♀️;شناگر زن: پوست آبنوسی;آب‌تنی|پوست آبنوسی|شنا|شنا کردن|شناگر|شناگر زن|ورزش
⛹️;شخص با توپ;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|توپ|دریبل|شخص با توپ|قهرمان|مرد|ورزش
	⛹🏻;شخص با توپ: پوست سفید;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|پوست سفید|توپ|دریبل|شخص با توپ|قهرمان|مرد|ورزش
	⛹🏼;شخص با توپ: پوست روشن;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|پوست روشن|توپ|دریبل|شخص با توپ|قهرمان|مرد|ورزش
	⛹🏽;شخص با توپ: پوست طلایی;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|پوست طلایی|توپ|دریبل|شخص با توپ|قهرمان|مرد|ورزش
	⛹🏾;شخص با توپ: پوست گندمی;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|پوست گندمی|توپ|دریبل|شخص با توپ|قهرمان|مرد|ورزش
	⛹🏿;شخص با توپ: پوست آبنوسی;آدم|بازیکن|بدن|بسکتبال|پرتاب آزاد|پوست آبنوسی|توپ|دریبل|شخص با توپ|قهرمان|مرد|ورزش
⛹️‍♂️;مرد و توپ;بسکتبال|توپ|توپ‌بازی|توپ‌بازی کردن|مرد و توپ
	⛹🏻‍♂️;مرد و توپ: پوست سفید;بسکتبال|پوست سفید|توپ|توپ‌بازی|توپ‌بازی کردن|مرد و توپ
	⛹🏼‍♂️;مرد و توپ: پوست روشن;بسکتبال|پوست روشن|توپ|توپ‌بازی|توپ‌بازی کردن|مرد و توپ
	⛹🏽‍♂️;مرد و توپ: پوست طلایی;بسکتبال|پوست طلایی|توپ|توپ‌بازی|توپ‌بازی کردن|مرد و توپ
	⛹🏾‍♂️;مرد و توپ: پوست گندمی;بسکتبال|پوست گندمی|توپ|توپ‌بازی|توپ‌بازی کردن|مرد و توپ
	⛹🏿‍♂️;مرد و توپ: پوست آبنوسی;بسکتبال|پوست آبنوسی|توپ|توپ‌بازی|توپ‌بازی کردن|مرد و توپ
⛹️‍♀️;زن و توپ;بازیکن بسکتبال|بسکتبال|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن و توپ|زن ورزشکار|ورزش
	⛹🏻‍♀️;زن و توپ: پوست سفید;بازیکن بسکتبال|بسکتبال|پوست سفید|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن و توپ|زن ورزشکار|ورزش
	⛹🏼‍♀️;زن و توپ: پوست روشن;بازیکن بسکتبال|بسکتبال|پوست روشن|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن و توپ|زن ورزشکار|ورزش
	⛹🏽‍♀️;زن و توپ: پوست طلایی;بازیکن بسکتبال|بسکتبال|پوست طلایی|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن و توپ|زن ورزشکار|ورزش
	⛹🏾‍♀️;زن و توپ: پوست گندمی;بازیکن بسکتبال|بسکتبال|پوست گندمی|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن و توپ|زن ورزشکار|ورزش
	⛹🏿‍♀️;زن و توپ: پوست آبنوسی;بازیکن بسکتبال|بسکتبال|پوست آبنوسی|توپ|توپ‌بازی|توپ‌بازی کردن|دختر بسکتبالیست|دختر ورزشکار|زن و توپ|زن ورزشکار|ورزش
