# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	👯🏾‍♂️;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги торики миёнаи пӯст|хурсандӣ кардан
	👯🏿‍♂️;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги торики пӯст|хурсандӣ кардан
👯‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|хурсандӣ кардан
	👯🏻‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|хурсандӣ кардан
	👯🏼‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👯🏽‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|хурсандӣ кардан
	👯🏾‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги торики миёнаи пӯст|хурсандӣ кардан
	👯🏿‍♀️;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги торики пӯст|хурсандӣ кардан
	🧑🏻‍🐰‍🧑🏼;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	🧑🏻‍🐰‍🧑🏽;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшани пӯст|хурсандӣ кардан
	🧑🏻‍🐰‍🧑🏾;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	🧑🏻‍🐰‍🧑🏿;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги торики пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏼‍🐰‍🧑🏻;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	🧑🏼‍🐰‍🧑🏽;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	🧑🏼‍🐰‍🧑🏾;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	🧑🏼‍🐰‍🧑🏿;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏽‍🐰‍🧑🏻;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшани пӯст|хурсандӣ кардан
	🧑🏽‍🐰‍🧑🏼;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	🧑🏽‍🐰‍🧑🏾;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	🧑🏽‍🐰‍🧑🏿;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏾‍🐰‍🧑🏻;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	🧑🏾‍🐰‍🧑🏼;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	🧑🏾‍🐰‍🧑🏽;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	🧑🏾‍🐰‍🧑🏿;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги торики миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏿‍🐰‍🧑🏻;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏿‍🐰‍🧑🏼;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏿‍🐰‍🧑🏽;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	🧑🏿‍🐰‍🧑🏾;нафарони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|нафарони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги торики миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏻‍🐰‍👨🏼;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👨🏻‍🐰‍👨🏽;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшани пӯст|хурсандӣ кардан
	👨🏻‍🐰‍👨🏾;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👨🏻‍🐰‍👨🏿;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги торики пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏼‍🐰‍👨🏻;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👨🏼‍🐰‍👨🏽;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👨🏼‍🐰‍👨🏾;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👨🏼‍🐰‍👨🏿;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏽‍🐰‍👨🏻;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшани пӯст|хурсандӣ кардан
	👨🏽‍🐰‍👨🏼;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👨🏽‍🐰‍👨🏾;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👨🏽‍🐰‍👨🏿;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏾‍🐰‍👨🏻;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👨🏾‍🐰‍👨🏼;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👨🏾‍🐰‍👨🏽;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👨🏾‍🐰‍👨🏿;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги торики миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏿‍🐰‍👨🏻;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшани пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏿‍🐰‍👨🏼;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги равшании миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏿‍🐰‍👨🏽;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👨🏿‍🐰‍👨🏾;мардони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|мардон|мардони бо гӯшҳои харгӯш хурсандӣ карда истода|раққос|ранги торики миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏻‍🐰‍👩🏼;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👩🏻‍🐰‍👩🏽;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги равшани пӯст|хурсандӣ кардан
	👩🏻‍🐰‍👩🏾;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👩🏻‍🐰‍👩🏿;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшани пӯст ва ранги торики пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏼‍🐰‍👩🏻;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👩🏼‍🐰‍👩🏽;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👩🏼‍🐰‍👩🏾;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшании миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👩🏼‍🐰‍👩🏿;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги равшании миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшании миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏽‍🐰‍👩🏻;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги равшани пӯст|хурсандӣ кардан
	👩🏽‍🐰‍👩🏼;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги равшании миёнаи пӯст|хурсандӣ кардан
	👩🏽‍🐰‍👩🏾;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👩🏽‍🐰‍👩🏿;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏾‍🐰‍👩🏻;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👩🏾‍🐰‍👩🏼;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшании миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👩🏾‍🐰‍👩🏽;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги торики миёнаи пӯст|хурсандӣ кардан
	👩🏾‍🐰‍👩🏿;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики миёнаи пӯст ва ранги торики пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги торики миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏿‍🐰‍👩🏻;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги равшани пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшани пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏿‍🐰‍👩🏼;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги равшании миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги равшании миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏿‍🐰‍👩🏽;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
	👩🏿‍🐰‍👩🏾;занони бо гӯшҳои харгӯш хурсандӣ карда истода: ранги торики пӯст ва ранги торики миёнаи пӯст;гӯшҳои харгӯш|занони бо гӯшҳои харгӯш хурсандӣ карда истода|занҳо|раққос|ранги торики миёнаи пӯст|ранги торики пӯст|хурсандӣ кардан
🧖;шахсе дар ҳуҷраи буғ;сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
	🧖🏻;шахсе дар ҳуҷраи буғ: ранги равшани пӯст;ранги равшани пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
	🧖🏼;шахсе дар ҳуҷраи буғ: ранги равшании миёнаи пӯст;ранги равшании миёнаи пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
	🧖🏽;шахсе дар ҳуҷраи буғ: ранги миёнаи пӯст;ранги миёнаи пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
	🧖🏾;шахсе дар ҳуҷраи буғ: ранги торики миёнаи пӯст;ранги торики миёнаи пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
	🧖🏿;шахсе дар ҳуҷраи буғ: ранги торики пӯст;ранги торики пӯст|сауна|ҳуҷраи буғ|шахсе дар ҳуҷраи буғ
🧖‍♂️;марде дар ҳуҷраи буғ;марде дар ҳуҷраи буғ|сауна|ҳуҷраи буғ
	🧖🏻‍♂️;марде дар ҳуҷраи буғ: ранги равшани пӯст;марде дар ҳуҷраи буғ|ранги равшани пӯст|сауна|ҳуҷраи буғ
	🧖🏼‍♂️;марде дар ҳуҷраи буғ: ранги равшании миёнаи пӯст;марде дар ҳуҷраи буғ|ранги равшании миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏽‍♂️;марде дар ҳуҷраи буғ: ранги миёнаи пӯст;марде дар ҳуҷраи буғ|ранги миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏾‍♂️;марде дар ҳуҷраи буғ: ранги торики миёнаи пӯст;марде дар ҳуҷраи буғ|ранги торики миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏿‍♂️;марде дар ҳуҷраи буғ: ранги торики пӯст;марде дар ҳуҷраи буғ|ранги торики пӯст|сауна|ҳуҷраи буғ
🧖‍♀️;зане дар ҳуҷраи буғ;зане дар ҳуҷраи буғ|сауна|ҳуҷраи буғ
	🧖🏻‍♀️;зане дар ҳуҷраи буғ: ранги равшани пӯст;зане дар ҳуҷраи буғ|ранги равшани пӯст|сауна|ҳуҷраи буғ
	🧖🏼‍♀️;зане дар ҳуҷраи буғ: ранги равшании миёнаи пӯст;зане дар ҳуҷраи буғ|ранги равшании миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏽‍♀️;зане дар ҳуҷраи буғ: ранги миёнаи пӯст;зане дар ҳуҷраи буғ|ранги миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏾‍♀️;зане дар ҳуҷраи буғ: ранги торики миёнаи пӯст;зане дар ҳуҷраи буғ|ранги торики миёнаи пӯст|сауна|ҳуҷраи буғ
	🧖🏿‍♀️;зане дар ҳуҷраи буғ: ранги торики пӯст;зане дар ҳуҷраи буғ|ранги торики пӯст|сауна|ҳуҷраи буғ
🧗;шахсе, ки баромада истодааст;ки баромада истодааст|кӯҳнавард|шахсе|шахсе, ки баромада истодааст
	🧗🏻;шахсе, ки баромада истодааст: ранги равшани пӯст;ки баромада истодааст|кӯҳнавард|ранги равшани пӯст|шахсе|шахсе, ки баромада истодааст
	🧗🏼;шахсе, ки баромада истодааст: ранги равшании миёнаи пӯст;ки баромада истодааст|кӯҳнавард|ранги равшании миёнаи пӯст|шахсе|шахсе, ки баромада истодааст
	🧗🏽;шахсе, ки баромада истодааст: ранги миёнаи пӯст;ки баромада истодааст|кӯҳнавард|ранги миёнаи пӯст|шахсе|шахсе, ки баромада истодааст
	🧗🏾;шахсе, ки баромада истодааст: ранги торики миёнаи пӯст;ки баромада истодааст|кӯҳнавард|ранги торики миёнаи пӯст|шахсе|шахсе, ки баромада истодааст
	🧗🏿;шахсе, ки баромада истодааст: ранги торики пӯст;ки баромада истодааст|кӯҳнавард|ранги торики пӯст|шахсе|шахсе, ки баромада истодааст
🧗‍♂️;марде, ки баромада истодааст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст
	🧗🏻‍♂️;марде, ки баромада истодааст: ранги равшани пӯст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст|ранги равшани пӯст
	🧗🏼‍♂️;марде, ки баромада истодааст: ранги равшании миёнаи пӯст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст|ранги равшании миёнаи пӯст
	🧗🏽‍♂️;марде, ки баромада истодааст: ранги миёнаи пӯст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст|ранги миёнаи пӯст
	🧗🏾‍♂️;марде, ки баромада истодааст: ранги торики миёнаи пӯст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст|ранги торики миёнаи пӯст
	🧗🏿‍♂️;марде, ки баромада истодааст: ранги торики пӯст;ки баромада истодааст|кӯҳнавард|марде|марде, ки баромада истодааст|ранги торики пӯст
🧗‍♀️;зане, ки баромада истодааст;зане|зане, ки баромада истодааст|ки баромада истодааст|кӯҳнавард
	🧗🏻‍♀️;зане, ки баромада истодааст: ранги равшани пӯст;зане|зане, ки баромада истодааст|ки баромада истодааст|кӯҳнавард|ранги равшани пӯст
	🧗🏼‍♀️;зане, ки баромада истодааст: ранги равшании миёнаи пӯст;зане|зане, ки баромада истодааст|ки баромада истодааст|кӯҳнавард|ранги равшании миёнаи пӯст
	🧗🏽‍♀️;зане, ки баромада истодааст: ранги миёнаи пӯст;зане|зане, ки баромада истодааст|ки баромада истодааст|кӯҳнавард|ранги миёнаи пӯст
	🧗🏾‍♀️;зане, ки баромада истодааст: ранги торики миёнаи пӯст;зане|зане, ки баромада истодааст|ки баромада истодааст|кӯҳнавард|ранги торики миёнаи пӯст
	🧗🏿‍♀️;зане, ки баромада истодааст: ранги торики пӯст;зане|зане, ки баромада истодааст|ки баромада истодааст|кӯҳнавард|ранги торики пӯст
🤺;шахси шамшербозӣ карда истода;шамшер|шамшербоз|шамшербозӣ|шахси шамшербозӣ карда истода
🏇;аспдавонӣ;асп|аспдавонӣ|аспи пойга|пойга|човандоз
	🏇🏻;аспдавонӣ: ранги равшани пӯст;асп|аспдавонӣ|аспи пойга|пойга|ранги равшани пӯст|човандоз
	🏇🏼;аспдавонӣ: ранги равшании миёнаи пӯст;асп|аспдавонӣ|аспи пойга|пойга|ранги равшании миёнаи пӯст|човандоз
