# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
	👩🏾‍🦼‍➡️;kvinna i permobil: mellanmörk hy, åt höger;åt|höger|kvinna|kvinna i permobil|mellanmörk hy|permobil|rullstol
	👩🏿‍🦼‍➡️;kvinna i permobil: mörk hy, åt höger;åt|höger|kvinna|kvinna i permobil|mörk hy|permobil|rullstol
🧑‍🦽;person i manuell rullstol;person i manuell rullstol|rullstol|tillträde
	🧑🏻‍🦽;person i manuell rullstol: ljus hy;ljus hy|person i manuell rullstol|rullstol|tillträde
	🧑🏼‍🦽;person i manuell rullstol: mellanljus hy;mellanljus hy|person i manuell rullstol|rullstol|tillträde
	🧑🏽‍🦽;person i manuell rullstol: mellanfärgad hy;mellanfärgad hy|person i manuell rullstol|rullstol|tillträde
	🧑🏾‍🦽;person i manuell rullstol: mellanmörk hy;mellanmörk hy|person i manuell rullstol|rullstol|tillträde
	🧑🏿‍🦽;person i manuell rullstol: mörk hy;mörk hy|person i manuell rullstol|rullstol|tillträde
🧑‍🦽‍➡️;person i manuell rullstol: åt höger;åt|höger|person i manuell rullstol|rullstol|tillträde
	🧑🏻‍🦽‍➡️;person i manuell rullstol: ljus hy, åt höger;åt|höger|ljus hy|person i manuell rullstol|rullstol|tillträde
	🧑🏼‍🦽‍➡️;person i manuell rullstol: mellanljus hy, åt höger;åt|höger|mellanljus hy|person i manuell rullstol|rullstol|tillträde
	🧑🏽‍🦽‍➡️;person i manuell rullstol: mellanfärgad hy, åt höger;åt|höger|mellanfärgad hy|person i manuell rullstol|rullstol|tillträde
	🧑🏾‍🦽‍➡️;person i manuell rullstol: mellanmörk hy, åt höger;åt|höger|mellanmörk hy|person i manuell rullstol|rullstol|tillträde
	🧑🏿‍🦽‍➡️;person i manuell rullstol: mörk hy, åt höger;åt|höger|mörk hy|person i manuell rullstol|rullstol|tillträde
👨‍🦽;man i manuell rullstol;man|man i manuell rullstol|rullstol
	👨🏻‍🦽;man i manuell rullstol: ljus hy;ljus hy|man|man i manuell rullstol|rullstol
	👨🏼‍🦽;man i manuell rullstol: mellanljus hy;man|man i manuell rullstol|mellanljus hy|rullstol
	👨🏽‍🦽;man i manuell rullstol: mellanfärgad hy;man|man i manuell rullstol|mellanfärgad hy|rullstol
	👨🏾‍🦽;man i manuell rullstol: mellanmörk hy;man|man i manuell rullstol|mellanmörk hy|rullstol
	👨🏿‍🦽;man i manuell rullstol: mörk hy;man|man i manuell rullstol|mörk hy|rullstol
👨‍🦽‍➡️;man i manuell rullstol: åt höger;åt|höger|man|man i manuell rullstol|rullstol
	👨🏻‍🦽‍➡️;man i manuell rullstol: ljus hy, åt höger;åt|höger|ljus hy|man|man i manuell rullstol|rullstol
	👨🏼‍🦽‍➡️;man i manuell rullstol: mellanljus hy, åt höger;åt|höger|man|man i manuell rullstol|mellanljus hy|rullstol
	👨🏽‍🦽‍➡️;man i manuell rullstol: mellanfärgad hy, åt höger;åt|höger|man|man i manuell rullstol|mellanfärgad hy|rullstol
	👨🏾‍🦽‍➡️;man i manuell rullstol: mellanmörk hy, åt höger;åt|höger|man|man i manuell rullstol|mellanmörk hy|rullstol
	👨🏿‍🦽‍➡️;man i manuell rullstol: mörk hy, åt höger;åt|höger|man|man i manuell rullstol|mörk hy|rullstol
👩‍🦽;kvinna i manuell rullstol;kvinna|kvinna i manuell rullstol|rullstol
	👩🏻‍🦽;kvinna i manuell rullstol: ljus hy;kvinna|kvinna i manuell rullstol|ljus hy|rullstol
	👩🏼‍🦽;kvinna i manuell rullstol: mellanljus hy;kvinna|kvinna i manuell rullstol|mellanljus hy|rullstol
	👩🏽‍🦽;kvinna i manuell rullstol: mellanfärgad hy;kvinna|kvinna i manuell rullstol|mellanfärgad hy|rullstol
	👩🏾‍🦽;kvinna i manuell rullstol: mellanmörk hy;kvinna|kvinna i manuell rullstol|mellanmörk hy|rullstol
	👩🏿‍🦽;kvinna i manuell rullstol: mörk hy;kvinna|kvinna i manuell rullstol|mörk hy|rullstol
👩‍🦽‍➡️;kvinna i manuell rullstol: åt höger;åt|höger|kvinna|kvinna i manuell rullstol|rullstol
	👩🏻‍🦽‍➡️;kvinna i manuell rullstol: ljus hy, åt höger;åt|höger|kvinna|kvinna i manuell rullstol|ljus hy|rullstol
	👩🏼‍🦽‍➡️;kvinna i manuell rullstol: mellanljus hy, åt höger;åt|höger|kvinna|kvinna i manuell rullstol|mellanljus hy|rullstol
	👩🏽‍🦽‍➡️;kvinna i manuell rullstol: mellanfärgad hy, åt höger;åt|höger|kvinna|kvinna i manuell rullstol|mellanfärgad hy|rullstol
	👩🏾‍🦽‍➡️;kvinna i manuell rullstol: mellanmörk hy, åt höger;åt|höger|kvinna|kvinna i manuell rullstol|mellanmörk hy|rullstol
	👩🏿‍🦽‍➡️;kvinna i manuell rullstol: mörk hy, åt höger;åt|höger|kvinna|kvinna i manuell rullstol|mörk hy|rullstol
🏃;person som springer;
	🏃🏻;person som springer: ljus hy;ljus hy|löpare|löpning|maraton|person som löper|person som springer
	🏃🏼;person som springer: mellanljus hy;löpare|löpning|maraton|mellanljus hy|person som löper|person som springer
	🏃🏽;person som springer: mellanfärgad hy;löpare|löpning|maraton|mellanfärgad hy|person som löper|person som springer
	🏃🏾;person som springer: mellanmörk hy;löpare|löpning|maraton|mellanmörk hy|person som löper|person som springer
	🏃🏿;person som springer: mörk hy;löpare|löpning|maraton|mörk hy|person som löper|person som springer
🏃‍♂️;man som springer;jogga|löpa|man|man som springer|man springer
	🏃🏻‍♂️;man som springer: ljus hy;jogga|ljus hy|löpa|man|man som springer|man springer
	🏃🏼‍♂️;man som springer: mellanljus hy;jogga|löpa|man|man som springer|man springer|mellanljus hy
	🏃🏽‍♂️;man som springer: mellanfärgad hy;jogga|löpa|man|man som springer|man springer|mellanfärgad hy
	🏃🏾‍♂️;man som springer: mellanmörk hy;jogga|löpa|man|man som springer|man springer|mellanmörk hy
	🏃🏿‍♂️;man som springer: mörk hy;jogga|löpa|man|man som springer|man springer|mörk hy
🏃‍♀️;kvinna som springer;jogga|kvinna|kvinna som springer|kvinna springer|löpa
	🏃🏻‍♀️;kvinna som springer: ljus hy;jogga|kvinna|kvinna som springer|kvinna springer|ljus hy|löpa
	🏃🏼‍♀️;kvinna som springer: mellanljus hy;jogga|kvinna|kvinna som springer|kvinna springer|löpa|mellanljus hy
	🏃🏽‍♀️;kvinna som springer: mellanfärgad hy;jogga|kvinna|kvinna som springer|kvinna springer|löpa|mellanfärgad hy
	🏃🏾‍♀️;kvinna som springer: mellanmörk hy;jogga|kvinna|kvinna som springer|kvinna springer|löpa|mellanmörk hy
	🏃🏿‍♀️;kvinna som springer: mörk hy;jogga|kvinna|kvinna som springer|kvinna springer|löpa|mörk hy
🏃‍➡️;person som springer: åt höger;åt|höger|löpare|löpning|maraton|person som löper|person som springer
	🏃🏻‍➡️;person som springer: ljus hy, åt höger;åt|höger|ljus hy|löpare|löpning|maraton|person som löper|person som springer
	🏃🏼‍➡️;person som springer: mellanljus hy, åt höger;åt|höger|löpare|löpning|maraton|mellanljus hy|person som löper|person som springer
	🏃🏽‍➡️;person som springer: mellanfärgad hy, åt höger;åt|höger|löpare|löpning|maraton|mellanfärgad hy|person som löper|person som springer
	🏃🏾‍➡️;person som springer: mellanmörk hy, åt höger;åt|höger|löpare|löpning|maraton|mellanmörk hy|person som löper|person som springer
	🏃🏿‍➡️;person som springer: mörk hy, åt höger;åt|höger|löpare|löpning|maraton|mörk hy|person som löper|person som springer
🏃‍♀️‍➡️;kvinna som springer: åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|löpa
	🏃🏻‍♀️‍➡️;kvinna som springer: ljus hy, åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|ljus hy|löpa
	🏃🏼‍♀️‍➡️;kvinna som springer: mellanljus hy, åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|löpa|mellanljus hy
	🏃🏽‍♀️‍➡️;kvinna som springer: mellanfärgad hy, åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|löpa|mellanfärgad hy
	🏃🏾‍♀️‍➡️;kvinna som springer: mellanmörk hy, åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|löpa|mellanmörk hy
	🏃🏿‍♀️‍➡️;kvinna som springer: mörk hy, åt höger;åt|höger|jogga|kvinna|kvinna som springer|kvinna springer|löpa|mörk hy
🏃‍♂️‍➡️;man som springer: åt höger;åt|höger|jogga|löpa|man|man som springer|man springer
	🏃🏻‍♂️‍➡️;man som springer: ljus hy, åt höger;åt|höger|jogga|ljus hy|löpa|man|man som springer|man springer
	🏃🏼‍♂️‍➡️;man som springer: mellanljus hy, åt höger;åt|höger|jogga|löpa|man|man som springer|man springer|mellanljus hy
	🏃🏽‍♂️‍➡️;man som springer: mellanfärgad hy, åt höger;åt|höger|jogga|löpa|man|man som springer|man springer|mellanfärgad hy
	🏃🏾‍♂️‍➡️;man som springer: mellanmörk hy, åt höger;åt|höger|jogga|löpa|man|man som springer|man springer|mellanmörk hy
	🏃🏿‍♂️‍➡️;man som springer: mörk hy, åt höger;åt|höger|jogga|löpa|man|man som springer|man springer|mörk hy
🧑‍🩰;balettdansare;balett|ballerina|dansare
	🧑🏻‍🩰;balettdansare: ljus hy;balett|ballerina|dansare|ljus hy
	🧑🏼‍🩰;balettdansare: mellanljus hy;balett|ballerina|dansare|mellanljus hy
	🧑🏽‍🩰;balettdansare: mellanfärgad hy;balett|ballerina|dansare|mellanfärgad hy
	🧑🏾‍🩰;balettdansare: mellanmörk hy;balett|ballerina|dansare|mellanmörk hy
	🧑🏿‍🩰;balettdansare: mörk hy;balett|ballerina|dansare|mörk hy
💃;dansande kvinna;dans|dansande kvinna|människor
	💃🏻;dansande kvinna: ljus hy;dans|dansande kvinna|ljus hy|människor
	💃🏼;dansande kvinna: mellanljus hy;dans|dansande kvinna|människor|mellanljus hy
	💃🏽;dansande kvinna: mellanfärgad hy;dans|dansande kvinna|människor|mellanfärgad hy
	💃🏾;dansande kvinna: mellanmörk hy;dans|dansande kvinna|människor|mellanmörk hy
	💃🏿;dansande kvinna: mörk hy;dans|dansande kvinna|människor|mörk hy
🕺;dansande man;dans|dansande man|man
	🕺🏻;dansande man: ljus hy;dans|dansande man|ljus hy|man
	🕺🏼;dansande man: mellanljus hy;dans|dansande man|man|mellanljus hy
	🕺🏽;dansande man: mellanfärgad hy;dans|dansande man|man|mellanfärgad hy
	🕺🏾;dansande man: mellanmörk hy;dans|dansande man|man|mellanmörk hy
	🕺🏿;dansande man: mörk hy;dans|dansande man|man|mörk hy
🕴️;svävande man i kostym;kostym|människor|svävande man i kostym|svävar
	🕴🏻;svävande man i kostym: ljus hy;kostym|ljus hy|människor|svävande man i kostym|svävar
	🕴🏼;svävande man i kostym: mellanljus hy;kostym|människor|mellanljus hy|svävande man i kostym|svävar
	🕴🏽;svävande man i kostym: mellanfärgad hy;kostym|människor|mellanfärgad hy|svävande man i kostym|svävar
	🕴🏾;svävande man i kostym: mellanmörk hy;kostym|människor|mellanmörk hy|svävande man i kostym|svävar
	🕴🏿;svävande man i kostym: mörk hy;kostym|människor|mörk hy|svävande man i kostym|svävar
👯;personer med kaninöron;
	👯🏻;personer med kaninöron: ljus hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|personer med kaninöron|tjej
	👯🏼;personer med kaninöron: mellanljus hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanljus hy|personer med kaninöron|tjej
	👯🏽;personer med kaninöron: mellanfärgad hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|personer med kaninöron|tjej
	👯🏾;personer med kaninöron: mellanmörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanmörk hy|personer med kaninöron|tjej
	👯🏿;personer med kaninöron: mörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mörk hy|personer med kaninöron|tjej
👯‍♂️;män med kaninöron;dans|kaninöron|man|män|män med kaninöron|party
	👯🏻‍♂️;män med kaninöron: ljus hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|party
	👯🏼‍♂️;män med kaninöron: mellanljus hy;dans|kaninöron|man|män|män med kaninöron|mellanljus hy|party
	👯🏽‍♂️;män med kaninöron: mellanfärgad hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|party
	👯🏾‍♂️;män med kaninöron: mellanmörk hy;dans|kaninöron|man|män|män med kaninöron|mellanmörk hy|party
	👯🏿‍♂️;män med kaninöron: mörk hy;dans|kaninöron|man|män|män med kaninöron|mörk hy|party
👯‍♀️;kvinnor med kaninöron;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|party
	👯🏻‍♀️;kvinnor med kaninöron: ljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|party
	👯🏼‍♀️;kvinnor med kaninöron: mellanljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanljus hy|party
	👯🏽‍♀️;kvinnor med kaninöron: mellanfärgad hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|party
	👯🏾‍♀️;kvinnor med kaninöron: mellanmörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanmörk hy|party
	👯🏿‍♀️;kvinnor med kaninöron: mörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mörk hy|party
	🧑🏻‍🐰‍🧑🏼;personer med kaninöron: ljus hy, mellanljus hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mellanljus hy|personer med kaninöron|tjej
	🧑🏻‍🐰‍🧑🏽;personer med kaninöron: ljus hy, mellanfärgad hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mellanfärgad hy|personer med kaninöron|tjej
	🧑🏻‍🐰‍🧑🏾;personer med kaninöron: ljus hy, mellanmörk hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mellanmörk hy|personer med kaninöron|tjej
	🧑🏻‍🐰‍🧑🏿;personer med kaninöron: ljus hy, mörk hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mörk hy|personer med kaninöron|tjej
	🧑🏼‍🐰‍🧑🏻;personer med kaninöron: mellanljus hy, ljus hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mellanljus hy|personer med kaninöron|tjej
	🧑🏼‍🐰‍🧑🏽;personer med kaninöron: mellanljus hy, mellanfärgad hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|mellanljus hy|personer med kaninöron|tjej
	🧑🏼‍🐰‍🧑🏾;personer med kaninöron: mellanljus hy, mellanmörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanljus hy|mellanmörk hy|personer med kaninöron|tjej
	🧑🏼‍🐰‍🧑🏿;personer med kaninöron: mellanljus hy, mörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanljus hy|mörk hy|personer med kaninöron|tjej
	🧑🏽‍🐰‍🧑🏻;personer med kaninöron: mellanfärgad hy, ljus hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mellanfärgad hy|personer med kaninöron|tjej
	🧑🏽‍🐰‍🧑🏼;personer med kaninöron: mellanfärgad hy, mellanljus hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|mellanljus hy|personer med kaninöron|tjej
	🧑🏽‍🐰‍🧑🏾;personer med kaninöron: mellanfärgad hy, mellanmörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|mellanmörk hy|personer med kaninöron|tjej
	🧑🏽‍🐰‍🧑🏿;personer med kaninöron: mellanfärgad hy, mörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|mörk hy|personer med kaninöron|tjej
	🧑🏾‍🐰‍🧑🏻;personer med kaninöron: mellanmörk hy, ljus hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mellanmörk hy|personer med kaninöron|tjej
	🧑🏾‍🐰‍🧑🏼;personer med kaninöron: mellanmörk hy, mellanljus hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanljus hy|mellanmörk hy|personer med kaninöron|tjej
	🧑🏾‍🐰‍🧑🏽;personer med kaninöron: mellanmörk hy, mellanfärgad hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|mellanmörk hy|personer med kaninöron|tjej
	🧑🏾‍🐰‍🧑🏿;personer med kaninöron: mellanmörk hy, mörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanmörk hy|mörk hy|personer med kaninöron|tjej
	🧑🏿‍🐰‍🧑🏻;personer med kaninöron: mörk hy, ljus hy;kaninöron|kvinna|kvinnor med kaninöron|ljus hy|människor|mörk hy|personer med kaninöron|tjej
	🧑🏿‍🐰‍🧑🏼;personer med kaninöron: mörk hy, mellanljus hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanljus hy|mörk hy|personer med kaninöron|tjej
	🧑🏿‍🐰‍🧑🏽;personer med kaninöron: mörk hy, mellanfärgad hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanfärgad hy|mörk hy|personer med kaninöron|tjej
	🧑🏿‍🐰‍🧑🏾;personer med kaninöron: mörk hy, mellanmörk hy;kaninöron|kvinna|kvinnor med kaninöron|människor|mellanmörk hy|mörk hy|personer med kaninöron|tjej
	👨🏻‍🐰‍👨🏼;män med kaninöron: ljus hy, mellanljus hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mellanljus hy|party
	👨🏻‍🐰‍👨🏽;män med kaninöron: ljus hy, mellanfärgad hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mellanfärgad hy|party
	👨🏻‍🐰‍👨🏾;män med kaninöron: ljus hy, mellanmörk hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mellanmörk hy|party
	👨🏻‍🐰‍👨🏿;män med kaninöron: ljus hy, mörk hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mörk hy|party
	👨🏼‍🐰‍👨🏻;män med kaninöron: mellanljus hy, ljus hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mellanljus hy|party
	👨🏼‍🐰‍👨🏽;män med kaninöron: mellanljus hy, mellanfärgad hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|mellanljus hy|party
	👨🏼‍🐰‍👨🏾;män med kaninöron: mellanljus hy, mellanmörk hy;dans|kaninöron|man|män|män med kaninöron|mellanljus hy|mellanmörk hy|party
	👨🏼‍🐰‍👨🏿;män med kaninöron: mellanljus hy, mörk hy;dans|kaninöron|man|män|män med kaninöron|mellanljus hy|mörk hy|party
	👨🏽‍🐰‍👨🏻;män med kaninöron: mellanfärgad hy, ljus hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mellanfärgad hy|party
	👨🏽‍🐰‍👨🏼;män med kaninöron: mellanfärgad hy, mellanljus hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|mellanljus hy|party
	👨🏽‍🐰‍👨🏾;män med kaninöron: mellanfärgad hy, mellanmörk hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|mellanmörk hy|party
	👨🏽‍🐰‍👨🏿;män med kaninöron: mellanfärgad hy, mörk hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|mörk hy|party
	👨🏾‍🐰‍👨🏻;män med kaninöron: mellanmörk hy, ljus hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mellanmörk hy|party
	👨🏾‍🐰‍👨🏼;män med kaninöron: mellanmörk hy, mellanljus hy;dans|kaninöron|man|män|män med kaninöron|mellanljus hy|mellanmörk hy|party
	👨🏾‍🐰‍👨🏽;män med kaninöron: mellanmörk hy, mellanfärgad hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|mellanmörk hy|party
	👨🏾‍🐰‍👨🏿;män med kaninöron: mellanmörk hy, mörk hy;dans|kaninöron|man|män|män med kaninöron|mellanmörk hy|mörk hy|party
	👨🏿‍🐰‍👨🏻;män med kaninöron: mörk hy, ljus hy;dans|kaninöron|ljus hy|man|män|män med kaninöron|mörk hy|party
	👨🏿‍🐰‍👨🏼;män med kaninöron: mörk hy, mellanljus hy;dans|kaninöron|man|män|män med kaninöron|mellanljus hy|mörk hy|party
	👨🏿‍🐰‍👨🏽;män med kaninöron: mörk hy, mellanfärgad hy;dans|kaninöron|man|män|män med kaninöron|mellanfärgad hy|mörk hy|party
	👨🏿‍🐰‍👨🏾;män med kaninöron: mörk hy, mellanmörk hy;dans|kaninöron|man|män|män med kaninöron|mellanmörk hy|mörk hy|party
	👩🏻‍🐰‍👩🏼;kvinnor med kaninöron: ljus hy, mellanljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mellanljus hy|party
	👩🏻‍🐰‍👩🏽;kvinnor med kaninöron: ljus hy, mellanfärgad hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mellanfärgad hy|party
	👩🏻‍🐰‍👩🏾;kvinnor med kaninöron: ljus hy, mellanmörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mellanmörk hy|party
	👩🏻‍🐰‍👩🏿;kvinnor med kaninöron: ljus hy, mörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mörk hy|party
	👩🏼‍🐰‍👩🏻;kvinnor med kaninöron: mellanljus hy, ljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mellanljus hy|party
	👩🏼‍🐰‍👩🏽;kvinnor med kaninöron: mellanljus hy, mellanfärgad hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|mellanljus hy|party
	👩🏼‍🐰‍👩🏾;kvinnor med kaninöron: mellanljus hy, mellanmörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanljus hy|mellanmörk hy|party
	👩🏼‍🐰‍👩🏿;kvinnor med kaninöron: mellanljus hy, mörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanljus hy|mörk hy|party
	👩🏽‍🐰‍👩🏻;kvinnor med kaninöron: mellanfärgad hy, ljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mellanfärgad hy|party
	👩🏽‍🐰‍👩🏼;kvinnor med kaninöron: mellanfärgad hy, mellanljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|mellanljus hy|party
	👩🏽‍🐰‍👩🏾;kvinnor med kaninöron: mellanfärgad hy, mellanmörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|mellanmörk hy|party
	👩🏽‍🐰‍👩🏿;kvinnor med kaninöron: mellanfärgad hy, mörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|mörk hy|party
	👩🏾‍🐰‍👩🏻;kvinnor med kaninöron: mellanmörk hy, ljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mellanmörk hy|party
	👩🏾‍🐰‍👩🏼;kvinnor med kaninöron: mellanmörk hy, mellanljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanljus hy|mellanmörk hy|party
	👩🏾‍🐰‍👩🏽;kvinnor med kaninöron: mellanmörk hy, mellanfärgad hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|mellanmörk hy|party
	👩🏾‍🐰‍👩🏿;kvinnor med kaninöron: mellanmörk hy, mörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanmörk hy|mörk hy|party
	👩🏿‍🐰‍👩🏻;kvinnor med kaninöron: mörk hy, ljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|ljus hy|mörk hy|party
	👩🏿‍🐰‍👩🏼;kvinnor med kaninöron: mörk hy, mellanljus hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanljus hy|mörk hy|party
	👩🏿‍🐰‍👩🏽;kvinnor med kaninöron: mörk hy, mellanfärgad hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanfärgad hy|mörk hy|party
	👩🏿‍🐰‍👩🏾;kvinnor med kaninöron: mörk hy, mellanmörk hy;dans|kaninöron|kvinna|kvinnor|kvinnor med kaninöron|mellanmörk hy|mörk hy|party
🧖;person i ångbastu;
	🧖🏻;person i ångbastu: ljus hy;ångbastu|bastu|ljus hy|person i ångbastu|slappna av|spa
	🧖🏼;person i ångbastu: mellanljus hy;ångbastu|bastu|mellanljus hy|person i ångbastu|slappna av|spa
	🧖🏽;person i ångbastu: mellanfärgad hy;ångbastu|bastu|mellanfärgad hy|person i ångbastu|slappna av|spa
	🧖🏾;person i ångbastu: mellanmörk hy;ångbastu|bastu|mellanmörk hy|person i ångbastu|slappna av|spa
	🧖🏿;person i ångbastu: mörk hy;ångbastu|bastu|mörk hy|person i ångbastu|slappna av|spa
🧖‍♂️;man i ångbastu;ångbastu|bastu|man i ångbastu
	🧖🏻‍♂️;man i ångbastu: ljus hy;ångbastu|bastu|ljus hy|man i ångbastu
	🧖🏼‍♂️;man i ångbastu: mellanljus hy;ångbastu|bastu|man i ångbastu|mellanljus hy
	🧖🏽‍♂️;man i ångbastu: mellanfärgad hy;ångbastu|bastu|man i ångbastu|mellanfärgad hy
	🧖🏾‍♂️;man i ångbastu: mellanmörk hy;ångbastu|bastu|man i ångbastu|mellanmörk hy
	🧖🏿‍♂️;man i ångbastu: mörk hy;ångbastu|bastu|man i ångbastu|mörk hy
🧖‍♀️;kvinna i ångbastu;ångbastu|bastu|kvinna i ångbastu
	🧖🏻‍♀️;kvinna i ångbastu: ljus hy;ångbastu|bastu|kvinna i ångbastu|ljus hy
	🧖🏼‍♀️;kvinna i ångbastu: mellanljus hy;ångbastu|bastu|kvinna i ångbastu|mellanljus hy
	🧖🏽‍♀️;kvinna i ångbastu: mellanfärgad hy;ångbastu|bastu|kvinna i ångbastu|mellanfärgad hy
	🧖🏾‍♀️;kvinna i ångbastu: mellanmörk hy;ångbastu|bastu|kvinna i ångbastu|mellanmörk hy
	🧖🏿‍♀️;kvinna i ångbastu: mörk hy;ångbastu|bastu|kvinna i ångbastu|mörk hy
🧗;person som klättrar;
	🧗🏻;person som klättrar: ljus hy;bergsklättring|klättra upp|klättrare|ljus hy|person klättrar|person som klättrar
	🧗🏼;person som klättrar: mellanljus hy;bergsklättring|klättra upp|klättrare|mellanljus hy|person klättrar|person som klättrar
	🧗🏽;person som klättrar: mellanfärgad hy;bergsklättring|klättra upp|klättrare|mellanfärgad hy|person klättrar|person som klättrar
	🧗🏾;person som klättrar: mellanmörk hy;bergsklättring|klättra upp|klättrare|mellanmörk hy|person klättrar|person som klättrar
	🧗🏿;person som klättrar: mörk hy;bergsklättring|klättra upp|klättrare|mörk hy|person klättrar|person som klättrar
🧗‍♂️;man som klättrar;klättrare|man klättrar|man som klättrar
	🧗🏻‍♂️;man som klättrar: ljus hy;klättrare|ljus hy|man klättrar|man som klättrar
	🧗🏼‍♂️;man som klättrar: mellanljus hy;klättrare|man klättrar|man som klättrar|mellanljus hy
	🧗🏽‍♂️;man som klättrar: mellanfärgad hy;klättrare|man klättrar|man som klättrar|mellanfärgad hy
	🧗🏾‍♂️;man som klättrar: mellanmörk hy;klättrare|man klättrar|man som klättrar|mellanmörk hy
	🧗🏿‍♂️;man som klättrar: mörk hy;klättrare|man klättrar|man som klättrar|mörk hy
🧗‍♀️;kvinna som klättrar;klättrare|kvinna klättrar|kvinna som klättrar
