# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
👩‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
	👩🏻‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হালকা ত্বকের রঙ|হুইলচেয়ার
	👩🏼‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: মাঝারি-হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মাঝারি-হালকা ত্বকের রঙ|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
	👩🏽‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: মাঝারি ত্বকের রঙ, ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মাঝারি ত্বকের রঙ|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
	👩🏾‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: মাঝারি-কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|ডান|দিকে|মহিলা|মাঝারি-কালো ত্বকের রঙ|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
	👩🏿‍🦽‍➡️;ম্যানুয়াল হুইলচেয়ারে মহিলা: কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;অ্যাক্সেসিবিলিটি|আছে|করে|কালো ত্বকের রঙ|ডান|দিকে|মহিলা|মানুষ|মুখ|ম্যানুয়াল হুইলচেয়ারে মহিলা|হাতে ঠেলা হুইলচেয়ারে মহিলা|হুইলচেয়ার
🏃;দৌড়;
	🏃🏻;দৌড়: হালকা ত্বকের রঙ;গতি|ছুটছে|ছুটে চলা|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|ম্যারাথন|রেস|হালকা ত্বকের রঙ
	🏃🏼;দৌড়: মাঝারি-হালকা ত্বকের রঙ;গতি|ছুটছে|ছুটে চলা|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মাঝারি-হালকা ত্বকের রঙ|ম্যারাথন|রেস
	🏃🏽;দৌড়: মাঝারি ত্বকের রঙ;গতি|ছুটছে|ছুটে চলা|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মাঝারি ত্বকের রঙ|ম্যারাথন|রেস
	🏃🏾;দৌড়: মাঝারি-কালো ত্বকের রঙ;গতি|ছুটছে|ছুটে চলা|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মাঝারি-কালো ত্বকের রঙ|ম্যারাথন|রেস
	🏃🏿;দৌড়: কালো ত্বকের রঙ;কালো ত্বকের রঙ|গতি|ছুটছে|ছুটে চলা|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|ম্যারাথন|রেস
🏃‍♂️;ছেলেদের দৌড়;ছেলে|ছেলেদের দৌড়|দৌড়|পুরুষ|ম্যারাথন|রেসিং
	🏃🏻‍♂️;ছেলেদের দৌড়: হালকা ত্বকের রঙ;ছেলে|ছেলেদের দৌড়|দৌড়|পুরুষ|ম্যারাথন|রেসিং|হালকা ত্বকের রঙ
	🏃🏼‍♂️;ছেলেদের দৌড়: মাঝারি-হালকা ত্বকের রঙ;ছেলে|ছেলেদের দৌড়|দৌড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|ম্যারাথন|রেসিং
	🏃🏽‍♂️;ছেলেদের দৌড়: মাঝারি ত্বকের রঙ;ছেলে|ছেলেদের দৌড়|দৌড়|পুরুষ|মাঝারি ত্বকের রঙ|ম্যারাথন|রেসিং
	🏃🏾‍♂️;ছেলেদের দৌড়: মাঝারি-কালো ত্বকের রঙ;ছেলে|ছেলেদের দৌড়|দৌড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|ম্যারাথন|রেসিং
	🏃🏿‍♂️;ছেলেদের দৌড়: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ছেলে|ছেলেদের দৌড়|দৌড়|পুরুষ|ম্যারাথন|রেসিং
🏃‍♀️;মেয়েদের দৌড়;
	🏃🏻‍♀️;মেয়েদের দৌড়: হালকা ত্বকের রঙ;দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি|হালকা ত্বকের রঙ
	🏃🏼‍♀️;মেয়েদের দৌড়: মাঝারি-হালকা ত্বকের রঙ;দৌড়|দ্রুত|ব্যক্তি|মহিলা|মাঝারি-হালকা ত্বকের রঙ|মানুষ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏽‍♀️;মেয়েদের দৌড়: মাঝারি ত্বকের রঙ;দৌড়|দ্রুত|ব্যক্তি|মহিলা|মাঝারি ত্বকের রঙ|মানুষ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏾‍♀️;মেয়েদের দৌড়: মাঝারি-কালো ত্বকের রঙ;দৌড়|দ্রুত|ব্যক্তি|মহিলা|মাঝারি-কালো ত্বকের রঙ|মানুষ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏿‍♀️;মেয়েদের দৌড়: কালো ত্বকের রঙ;কালো ত্বকের রঙ|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
🏃‍➡️;দৌড়: ডান দিকে মুখ করে আছে;আছে|করে|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মুখ|ম্যারাথন|রেস
	🏃🏻‍➡️;দৌড়: হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মুখ|ম্যারাথন|রেস|হালকা ত্বকের রঙ
	🏃🏼‍➡️;দৌড়: মাঝারি-হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মাঝারি-হালকা ত্বকের রঙ|মুখ|ম্যারাথন|রেস
	🏃🏽‍➡️;দৌড়: মাঝারি ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মাঝারি ত্বকের রঙ|মুখ|ম্যারাথন|রেস
	🏃🏾‍➡️;দৌড়: মাঝারি-কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মাঝারি-কালো ত্বকের রঙ|মুখ|ম্যারাথন|রেস
	🏃🏿‍➡️;দৌড়: কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|কালো ত্বকের রঙ|গতি|ছুটছে|ছুটে চলা|ডান|দিকে|দৌড়|দৌড়বিদ|দৌড়রত|দৌড়ে যাওয়া|পলায়ন|মুখ|ম্যারাথন|রেস
🏃‍♀️‍➡️;মেয়েদের দৌড়: ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏻‍♀️‍➡️;মেয়েদের দৌড়: হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি|হালকা ত্বকের রঙ
	🏃🏼‍♀️‍➡️;মেয়েদের দৌড়: মাঝারি-হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মাঝারি-হালকা ত্বকের রঙ|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏽‍♀️‍➡️;মেয়েদের দৌড়: মাঝারি ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মাঝারি ত্বকের রঙ|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏾‍♀️‍➡️;মেয়েদের দৌড়: মাঝারি-কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মাঝারি-কালো ত্বকের রঙ|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
	🏃🏿‍♀️‍➡️;মেয়েদের দৌড়: কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|কালো ত্বকের রঙ|ডান|দিকে|দৌড়|দ্রুত|ব্যক্তি|মহিলা|মানুষ|মুখ|মেয়ে|মেয়েদের দৌড়|ম্যারাথন|রেসিং|স্মাইলি
🏃‍♂️‍➡️;ছেলেদের দৌড়: ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মুখ|ম্যারাথন|রেসিং
	🏃🏻‍♂️‍➡️;ছেলেদের দৌড়: হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মুখ|ম্যারাথন|রেসিং|হালকা ত্বকের রঙ
	🏃🏼‍♂️‍➡️;ছেলেদের দৌড়: মাঝারি-হালকা ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মাঝারি-হালকা ত্বকের রঙ|মুখ|ম্যারাথন|রেসিং
	🏃🏽‍♂️‍➡️;ছেলেদের দৌড়: মাঝারি ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মাঝারি ত্বকের রঙ|মুখ|ম্যারাথন|রেসিং
	🏃🏾‍♂️‍➡️;ছেলেদের দৌড়: মাঝারি-কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মাঝারি-কালো ত্বকের রঙ|মুখ|ম্যারাথন|রেসিং
	🏃🏿‍♂️‍➡️;ছেলেদের দৌড়: কালো ত্বকের রঙ, ডান দিকে মুখ করে আছে;আছে|করে|কালো ত্বকের রঙ|ছেলে|ছেলেদের দৌড়|ডান|দিকে|দৌড়|পুরুষ|মুখ|ম্যারাথন|রেসিং
🧑‍🩰;;
	🧑🏻‍🩰;ব্যালে ড্যান্সার: হালকা ত্বকের রঙ;ড্যান্সার|ব্যালে|হালকা ত্বকের রঙ
	🧑🏼‍🩰;ব্যালে ড্যান্সার: মাঝারি-হালকা ত্বকের রঙ;ড্যান্সার|ব্যালে|মাঝারি-হালকা ত্বকের রঙ
	🧑🏽‍🩰;ব্যালে ড্যান্সার: মাঝারি ত্বকের রঙ;ড্যান্সার|ব্যালে|মাঝারি ত্বকের রঙ
	🧑🏾‍🩰;ব্যালে ড্যান্সার: মাঝারি-কালো ত্বকের রঙ;ড্যান্সার|ব্যালে|মাঝারি-কালো ত্বকের রঙ
	🧑🏿‍🩰;ব্যালে ড্যান্সার: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ড্যান্সার|ব্যালে
💃;নৃত্যরত মহিলা;
	💃🏻;নৃত্যরত মহিলা: হালকা ত্বকের রঙ;ডানসার|নর্তকী|নাচ|নৃত্যরত মহিলা|ব্যক্তি|হালকা ত্বকের রঙ
	💃🏼;নৃত্যরত মহিলা: মাঝারি-হালকা ত্বকের রঙ;ডানসার|নর্তকী|নাচ|নৃত্যরত মহিলা|ব্যক্তি|মাঝারি-হালকা ত্বকের রঙ
	💃🏽;নৃত্যরত মহিলা: মাঝারি ত্বকের রঙ;ডানসার|নর্তকী|নাচ|নৃত্যরত মহিলা|ব্যক্তি|মাঝারি ত্বকের রঙ
	💃🏾;নৃত্যরত মহিলা: মাঝারি-কালো ত্বকের রঙ;ডানসার|নর্তকী|নাচ|নৃত্যরত মহিলা|ব্যক্তি|মাঝারি-কালো ত্বকের রঙ
	💃🏿;নৃত্যরত মহিলা: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ডানসার|নর্তকী|নাচ|নৃত্যরত মহিলা|ব্যক্তি
🕺;নৃত্যরত পুরুষ;
	🕺🏻;নৃত্যরত পুরুষ: হালকা ত্বকের রঙ;নাচ|নাচছে|নৃত্যরত পুরুষ|পুরুষ|হালকা ত্বকের রঙ
	🕺🏼;নৃত্যরত পুরুষ: মাঝারি-হালকা ত্বকের রঙ;নাচ|নাচছে|নৃত্যরত পুরুষ|পুরুষ|মাঝারি-হালকা ত্বকের রঙ
	🕺🏽;নৃত্যরত পুরুষ: মাঝারি ত্বকের রঙ;নাচ|নাচছে|নৃত্যরত পুরুষ|পুরুষ|মাঝারি ত্বকের রঙ
	🕺🏾;নৃত্যরত পুরুষ: মাঝারি-কালো ত্বকের রঙ;নাচ|নাচছে|নৃত্যরত পুরুষ|পুরুষ|মাঝারি-কালো ত্বকের রঙ
	🕺🏿;নৃত্যরত পুরুষ: কালো ত্বকের রঙ;কালো ত্বকের রঙ|নাচ|নাচছে|নৃত্যরত পুরুষ|পুরুষ
🕴️;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ;
	🕴🏻;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ: হালকা ত্বকের রঙ;পুরুষ|ব্যবসা|ব্যবসার জন্য স্যুট|ব্যবসার স্যুট পরিহিত ভাসমান মানুষ|স্যুট|হালকা ত্বকের রঙ
	🕴🏼;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ: মাঝারি-হালকা ত্বকের রঙ;পুরুষ|ব্যবসা|ব্যবসার জন্য স্যুট|ব্যবসার স্যুট পরিহিত ভাসমান মানুষ|মাঝারি-হালকা ত্বকের রঙ|স্যুট
	🕴🏽;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ: মাঝারি ত্বকের রঙ;পুরুষ|ব্যবসা|ব্যবসার জন্য স্যুট|ব্যবসার স্যুট পরিহিত ভাসমান মানুষ|মাঝারি ত্বকের রঙ|স্যুট
	🕴🏾;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ: মাঝারি-কালো ত্বকের রঙ;পুরুষ|ব্যবসা|ব্যবসার জন্য স্যুট|ব্যবসার স্যুট পরিহিত ভাসমান মানুষ|মাঝারি-কালো ত্বকের রঙ|স্যুট
	🕴🏿;ব্যবসার স্যুট পরিহিত ভাসমান মানুষ: কালো ত্বকের রঙ;কালো ত্বকের রঙ|পুরুষ|ব্যবসা|ব্যবসার জন্য স্যুট|ব্যবসার স্যুট পরিহিত ভাসমান মানুষ|স্যুট
👯;ঝোলা কানযুক্ত লোক;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মেয়ে|যমজ
	👯🏻;ঝোলা কানযুক্ত লোক: হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মেয়ে|যমজ|হালকা ত্বকের রঙ
	👯🏼;ঝোলা কানযুক্ত লোক: মাঝারি-হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
	👯🏽;ঝোলা কানযুক্ত লোক: মাঝারি ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মেয়ে|যমজ
	👯🏾;ঝোলা কানযুক্ত লোক: মাঝারি-কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ
	👯🏿;ঝোলা কানযুক্ত লোক: কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মেয়ে|যমজ
👯‍♂️;ঝোলা কানযুক্ত পুরুষ;
	👯🏻‍♂️;ঝোলা কানযুক্ত পুরুষ: হালকা ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মানুষ|স্মাইলি|হালকা ত্বকের রঙ
	👯🏼‍♂️;ঝোলা কানযুক্ত পুরুষ: মাঝারি-হালকা ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-হালকা ত্বকের রঙ|মানুষ|স্মাইলি
	👯🏽‍♂️;ঝোলা কানযুক্ত পুরুষ: মাঝারি ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মানুষ|স্মাইলি
	👯🏾‍♂️;ঝোলা কানযুক্ত পুরুষ: মাঝারি-কালো ত্বকের রঙ;ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-কালো ত্বকের রঙ|মানুষ|স্মাইলি
	👯🏿‍♂️;ঝোলা কানযুক্ত পুরুষ: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ছেলে|ঝোলা কানযুক্ত পুরুষ|ডানসার|পার্টি|বানি ইয়ার|মানুষ|স্মাইলি
👯‍♀️;ঝোলা কানযুক্ত নারি;ঝোলা কানযুক্ত নারি|ডানসার|পার্টি|বানি ইয়ার|মেয়ে
	👯🏻‍♀️;ঝোলা কানযুক্ত নারি: হালকা ত্বকের রঙ;ঝোলা কানযুক্ত নারি|ডানসার|পার্টি|বানি ইয়ার|মেয়ে|হালকা ত্বকের রঙ
	👯🏼‍♀️;ঝোলা কানযুক্ত নারি: মাঝারি-হালকা ত্বকের রঙ;ঝোলা কানযুক্ত নারি|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-হালকা ত্বকের রঙ|মেয়ে
	👯🏽‍♀️;ঝোলা কানযুক্ত নারি: মাঝারি ত্বকের রঙ;ঝোলা কানযুক্ত নারি|ডানসার|পার্টি|বানি ইয়ার|মাঝারি ত্বকের রঙ|মেয়ে
	👯🏾‍♀️;ঝোলা কানযুক্ত নারি: মাঝারি-কালো ত্বকের রঙ;ঝোলা কানযুক্ত নারি|ডানসার|পার্টি|বানি ইয়ার|মাঝারি-কালো ত্বকের রঙ|মেয়ে
	👯🏿‍♀️;ঝোলা কানযুক্ত নারি: কালো ত্বকের রঙ;কালো ত্বকের রঙ|ঝোলা কানযুক্ত নারি|ডানসার|পার্টি|বানি ইয়ার|মেয়ে
	🧑🏻‍🐰‍🧑🏼;ঝোলা কানযুক্ত লোক: হালকা ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏻‍🐰‍🧑🏽;ঝোলা কানযুক্ত লোক: হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏻‍🐰‍🧑🏾;ঝোলা কানযুক্ত লোক: হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏻‍🐰‍🧑🏿;ঝোলা কানযুক্ত লোক: হালকা ত্বকের রঙ, কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏼‍🐰‍🧑🏻;ঝোলা কানযুক্ত লোক: মাঝারি-হালকা ত্বকের রঙ, হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏼‍🐰‍🧑🏽;ঝোলা কানযুক্ত লোক: মাঝারি-হালকা ত্বকের রঙ, মাঝারি ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
	🧑🏼‍🐰‍🧑🏾;ঝোলা কানযুক্ত লোক: মাঝারি-হালকা ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
	🧑🏼‍🐰‍🧑🏿;ঝোলা কানযুক্ত লোক: মাঝারি-হালকা ত্বকের রঙ, কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
	🧑🏽‍🐰‍🧑🏻;ঝোলা কানযুক্ত লোক: মাঝারি ত্বকের রঙ, হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏽‍🐰‍🧑🏼;ঝোলা কানযুক্ত লোক: মাঝারি ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
	🧑🏽‍🐰‍🧑🏾;ঝোলা কানযুক্ত লোক: মাঝারি ত্বকের রঙ, মাঝারি-কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ
	🧑🏽‍🐰‍🧑🏿;ঝোলা কানযুক্ত লোক: মাঝারি ত্বকের রঙ, কালো ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|কালো ত্বকের রঙ|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি ত্বকের রঙ|মেয়ে|যমজ
	🧑🏾‍🐰‍🧑🏻;ঝোলা কানযুক্ত লোক: মাঝারি-কালো ত্বকের রঙ, হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মেয়ে|যমজ|হালকা ত্বকের রঙ
	🧑🏾‍🐰‍🧑🏼;ঝোলা কানযুক্ত লোক: মাঝারি-কালো ত্বকের রঙ, মাঝারি-হালকা ত্বকের রঙ;আত্মার বন্ধু|একইরকম|কান|খরগোশ|খরগোশের কান|জুড়ি|ঝোলা কানযুক্ত লোক|ডান্সার|নর্তকী|নৃত্য|নৃত্যশিল্পী|পার্টি|বেস্টী|মাঝারি-কালো ত্বকের রঙ|মাঝারি-হালকা ত্বকের রঙ|মেয়ে|যমজ
