# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;широко улыбается;лицо|радость|смех|счастье|улыбка
	👨🏾‍🦽‍➡️;мужчина в ручном кресле-коляске: темный тон кожи , направленные вправо;,|в кресле|вправо|инвалид|инвалидное кресло|кресло|мужчина|мужчина в ручном кресле-коляске|направленные|темный тон кожи|человек
	👨🏿‍🦽‍➡️;мужчина в ручном кресле-коляске: очень темный тон кожи , направленные вправо;,|в кресле|вправо|инвалид|инвалидное кресло|кресло|мужчина|мужчина в ручном кресле-коляске|направленные|очень темный тон кожи|человек
👩‍🦽;женщина в ручном кресле-коляске;в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло
	👩🏻‍🦽;женщина в ручном кресле-коляске: очень светлый тон кожи;в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|очень светлый тон кожи
	👩🏼‍🦽;женщина в ручном кресле-коляске: светлый тон кожи;в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|светлый тон кожи
	👩🏽‍🦽;женщина в ручном кресле-коляске: средний тон кожи;в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|средний тон кожи
	👩🏾‍🦽;женщина в ручном кресле-коляске: темный тон кожи;в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|темный тон кожи
	👩🏿‍🦽;женщина в ручном кресле-коляске: очень темный тон кожи;в кресле|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|очень темный тон кожи
👩‍🦽‍➡️;женщина в ручном кресле-коляске: , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные
	👩🏻‍🦽‍➡️;женщина в ручном кресле-коляске: очень светлый тон кожи , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные|очень светлый тон кожи
	👩🏼‍🦽‍➡️;женщина в ручном кресле-коляске: светлый тон кожи , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные|светлый тон кожи
	👩🏽‍🦽‍➡️;женщина в ручном кресле-коляске: средний тон кожи , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные|средний тон кожи
	👩🏾‍🦽‍➡️;женщина в ручном кресле-коляске: темный тон кожи , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные|темный тон кожи
	👩🏿‍🦽‍➡️;женщина в ручном кресле-коляске: очень темный тон кожи , направленные вправо;,|в кресле|вправо|женщина|женщина в ручном кресле-коляске|инвалид|инвалидное кресло|кресло|направленные|очень темный тон кожи
🏃;человек бежит;бег|бежит|марафон|спорт|трусцой|человек
	🏃🏻;человек бежит: очень светлый тон кожи;бег|бежит|марафон|очень светлый тон кожи|спорт|трусцой|человек
	🏃🏼;человек бежит: светлый тон кожи;бег|бежит|марафон|светлый тон кожи|спорт|трусцой|человек
	🏃🏽;человек бежит: средний тон кожи;бег|бежит|марафон|спорт|средний тон кожи|трусцой|человек
	🏃🏾;человек бежит: темный тон кожи;бег|бежит|марафон|спорт|темный тон кожи|трусцой|человек
	🏃🏿;человек бежит: очень темный тон кожи;бег|бежит|марафон|очень темный тон кожи|спорт|трусцой|человек
🏃‍♂️;мужчина бежит;бег|марафон|мужчина|мужчина бежит|спорт|трусцой
	🏃🏻‍♂️;мужчина бежит: очень светлый тон кожи;бег|марафон|мужчина|мужчина бежит|очень светлый тон кожи|спорт|трусцой
	🏃🏼‍♂️;мужчина бежит: светлый тон кожи;бег|марафон|мужчина|мужчина бежит|светлый тон кожи|спорт|трусцой
	🏃🏽‍♂️;мужчина бежит: средний тон кожи;бег|марафон|мужчина|мужчина бежит|спорт|средний тон кожи|трусцой
	🏃🏾‍♂️;мужчина бежит: темный тон кожи;бег|марафон|мужчина|мужчина бежит|спорт|темный тон кожи|трусцой
	🏃🏿‍♂️;мужчина бежит: очень темный тон кожи;бег|марафон|мужчина|мужчина бежит|очень темный тон кожи|спорт|трусцой
🏃‍♀️;женщина бежит;бег|бежит|женщина|марафон|спешу|спорт|трусцой|убегаю
	🏃🏻‍♀️;женщина бежит: очень светлый тон кожи;бег|бежит|женщина|марафон|очень светлый тон кожи|спешу|спорт|трусцой|убегаю
	🏃🏼‍♀️;женщина бежит: светлый тон кожи;бег|бежит|женщина|марафон|светлый тон кожи|спешу|спорт|трусцой|убегаю
	🏃🏽‍♀️;женщина бежит: средний тон кожи;бег|бежит|женщина|марафон|спешу|спорт|средний тон кожи|трусцой|убегаю
	🏃🏾‍♀️;женщина бежит: темный тон кожи;бег|бежит|женщина|марафон|спешу|спорт|темный тон кожи|трусцой|убегаю
	🏃🏿‍♀️;женщина бежит: очень темный тон кожи;бег|бежит|женщина|марафон|очень темный тон кожи|спешу|спорт|трусцой|убегаю
🏃‍➡️;человек бежит: , направленные вправо;,|бег|бежит|вправо|марафон|направленные|спорт|трусцой|человек
	🏃🏻‍➡️;человек бежит: очень светлый тон кожи , направленные вправо;,|бег|бежит|вправо|марафон|направленные|очень светлый тон кожи|спорт|трусцой|человек
	🏃🏼‍➡️;человек бежит: светлый тон кожи , направленные вправо;,|бег|бежит|вправо|марафон|направленные|светлый тон кожи|спорт|трусцой|человек
	🏃🏽‍➡️;человек бежит: средний тон кожи , направленные вправо;,|бег|бежит|вправо|марафон|направленные|спорт|средний тон кожи|трусцой|человек
	🏃🏾‍➡️;человек бежит: темный тон кожи , направленные вправо;,|бег|бежит|вправо|марафон|направленные|спорт|темный тон кожи|трусцой|человек
	🏃🏿‍➡️;человек бежит: очень темный тон кожи , направленные вправо;,|бег|бежит|вправо|марафон|направленные|очень темный тон кожи|спорт|трусцой|человек
🏃‍♀️‍➡️;женщина бежит: , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|спешу|спорт|трусцой|убегаю
	🏃🏻‍♀️‍➡️;женщина бежит: очень светлый тон кожи , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|очень светлый тон кожи|спешу|спорт|трусцой|убегаю
	🏃🏼‍♀️‍➡️;женщина бежит: светлый тон кожи , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|светлый тон кожи|спешу|спорт|трусцой|убегаю
	🏃🏽‍♀️‍➡️;женщина бежит: средний тон кожи , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|спешу|спорт|средний тон кожи|трусцой|убегаю
	🏃🏾‍♀️‍➡️;женщина бежит: темный тон кожи , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|спешу|спорт|темный тон кожи|трусцой|убегаю
	🏃🏿‍♀️‍➡️;женщина бежит: очень темный тон кожи , направленные вправо;,|бег|бежит|вправо|женщина|марафон|направленные|очень темный тон кожи|спешу|спорт|трусцой|убегаю
🏃‍♂️‍➡️;мужчина бежит: , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|спорт|трусцой
	🏃🏻‍♂️‍➡️;мужчина бежит: очень светлый тон кожи , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|очень светлый тон кожи|спорт|трусцой
	🏃🏼‍♂️‍➡️;мужчина бежит: светлый тон кожи , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|светлый тон кожи|спорт|трусцой
	🏃🏽‍♂️‍➡️;мужчина бежит: средний тон кожи , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|спорт|средний тон кожи|трусцой
	🏃🏾‍♂️‍➡️;мужчина бежит: темный тон кожи , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|спорт|темный тон кожи|трусцой
	🏃🏿‍♂️‍➡️;мужчина бежит: очень темный тон кожи , направленные вправо;,|бег|вправо|марафон|мужчина|мужчина бежит|направленные|очень темный тон кожи|спорт|трусцой
🧑‍🩰;артист балета;артист|балерина|балет|искусство|пуанты|сцена|танец|танцор
	🧑🏻‍🩰;артист балета: очень светлый тон кожи;артист|балерина|балет|искусство|очень светлый тон кожи|пуанты|сцена|танец|танцор
	🧑🏼‍🩰;артист балета: светлый тон кожи;артист|балерина|балет|искусство|пуанты|светлый тон кожи|сцена|танец|танцор
	🧑🏽‍🩰;артист балета: средний тон кожи;артист|балерина|балет|искусство|пуанты|средний тон кожи|сцена|танец|танцор
	🧑🏾‍🩰;артист балета: темный тон кожи;артист|балерина|балет|искусство|пуанты|сцена|танец|танцор|темный тон кожи
	🧑🏿‍🩰;артист балета: очень темный тон кожи;артист|балерина|балет|искусство|очень темный тон кожи|пуанты|сцена|танец|танцор
💃;танцующая женщина;движения|дискотека|женщина|красное платье|красота|танцовщица|танцующая женщина|танцы|человек
	💃🏻;танцующая женщина: очень светлый тон кожи;движения|дискотека|женщина|красное платье|красота|очень светлый тон кожи|танцовщица|танцующая женщина|танцы|человек
	💃🏼;танцующая женщина: светлый тон кожи;движения|дискотека|женщина|красное платье|красота|светлый тон кожи|танцовщица|танцующая женщина|танцы|человек
	💃🏽;танцующая женщина: средний тон кожи;движения|дискотека|женщина|красное платье|красота|средний тон кожи|танцовщица|танцующая женщина|танцы|человек
	💃🏾;танцующая женщина: темный тон кожи;движения|дискотека|женщина|красное платье|красота|танцовщица|танцующая женщина|танцы|темный тон кожи|человек
	💃🏿;танцующая женщина: очень темный тон кожи;движения|дискотека|женщина|красное платье|красота|очень темный тон кожи|танцовщица|танцующая женщина|танцы|человек
🕺;танцующий мужчина;движения|красота|мужчина|танец|танцующий мужчина|танцы|человек
	🕺🏻;танцующий мужчина: очень светлый тон кожи;движения|красота|мужчина|очень светлый тон кожи|танец|танцующий мужчина|танцы|человек
	🕺🏼;танцующий мужчина: светлый тон кожи;движения|красота|мужчина|светлый тон кожи|танец|танцующий мужчина|танцы|человек
	🕺🏽;танцующий мужчина: средний тон кожи;движения|красота|мужчина|средний тон кожи|танец|танцующий мужчина|танцы|человек
	🕺🏾;танцующий мужчина: темный тон кожи;движения|красота|мужчина|танец|танцующий мужчина|танцы|темный тон кожи|человек
	🕺🏿;танцующий мужчина: очень темный тон кожи;движения|красота|мужчина|очень темный тон кожи|танец|танцующий мужчина|танцы|человек
🕴️;бизнесмен в воздухе;бизнес|бизнесмен в воздухе|костюм|полет|человек
	🕴🏻;бизнесмен в воздухе: очень светлый тон кожи;бизнес|бизнесмен в воздухе|костюм|очень светлый тон кожи|полет|человек
	🕴🏼;бизнесмен в воздухе: светлый тон кожи;бизнес|бизнесмен в воздухе|костюм|полет|светлый тон кожи|человек
	🕴🏽;бизнесмен в воздухе: средний тон кожи;бизнес|бизнесмен в воздухе|костюм|полет|средний тон кожи|человек
	🕴🏾;бизнесмен в воздухе: темный тон кожи;бизнес|бизнесмен в воздухе|костюм|полет|темный тон кожи|человек
	🕴🏿;бизнесмен в воздухе: очень темный тон кожи;бизнес|бизнесмен в воздухе|костюм|очень темный тон кожи|полет|человек
👯;люди с ушами кролика;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|танец|уши
	👯🏻;люди с ушами кролика: очень светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|танец|уши
	👯🏼;люди с ушами кролика: светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|светлый тон кожи|танец|уши
	👯🏽;люди с ушами кролика: средний тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|средний тон кожи|танец|уши
	👯🏾;люди с ушами кролика: темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|танец|темный тон кожи|уши
	👯🏿;люди с ушами кролика: очень темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|танец|уши
👯‍♂️;мужчины с ушами кролика;вечеринка|кордебалет|кролик|мужчины с ушами кролика|танец|танцор|уши|уши кролика
	👯🏻‍♂️;мужчины с ушами кролика: очень светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|танец|танцор|уши|уши кролика
	👯🏼‍♂️;мужчины с ушами кролика: светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|светлый тон кожи|танец|танцор|уши|уши кролика
	👯🏽‍♂️;мужчины с ушами кролика: средний тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|средний тон кожи|танец|танцор|уши|уши кролика
	👯🏾‍♂️;мужчины с ушами кролика: темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|танец|танцор|темный тон кожи|уши|уши кролика
	👯🏿‍♂️;мужчины с ушами кролика: очень темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|танец|танцор|уши|уши кролика
👯‍♀️;женщины с ушами кролика;вечеринка|женщины с ушами кролика|кордебалет|кролик|танец|уши|уши кролика
	👯🏻‍♀️;женщины с ушами кролика: очень светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|танец|уши|уши кролика
	👯🏼‍♀️;женщины с ушами кролика: светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|светлый тон кожи|танец|уши|уши кролика
	👯🏽‍♀️;женщины с ушами кролика: средний тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|средний тон кожи|танец|уши|уши кролика
	👯🏾‍♀️;женщины с ушами кролика: темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|танец|темный тон кожи|уши|уши кролика
	👯🏿‍♀️;женщины с ушами кролика: очень темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|танец|уши|уши кролика
	🧑🏻‍🐰‍🧑🏼;люди с ушами кролика: очень светлый тон кожи светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|светлый тон кожи|танец|уши
	🧑🏻‍🐰‍🧑🏽;люди с ушами кролика: очень светлый тон кожи средний тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|средний тон кожи|танец|уши
	🧑🏻‍🐰‍🧑🏾;люди с ушами кролика: очень светлый тон кожи темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|танец|темный тон кожи|уши
	🧑🏻‍🐰‍🧑🏿;люди с ушами кролика: очень светлый тон кожи очень темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|очень темный тон кожи|парочка|подруги|танец|уши
	🧑🏼‍🐰‍🧑🏻;люди с ушами кролика: светлый тон кожи очень светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|светлый тон кожи|танец|уши
	🧑🏼‍🐰‍🧑🏽;люди с ушами кролика: светлый тон кожи средний тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|светлый тон кожи|средний тон кожи|танец|уши
	🧑🏼‍🐰‍🧑🏾;люди с ушами кролика: светлый тон кожи темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|светлый тон кожи|танец|темный тон кожи|уши
	🧑🏼‍🐰‍🧑🏿;люди с ушами кролика: светлый тон кожи очень темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|светлый тон кожи|танец|уши
	🧑🏽‍🐰‍🧑🏻;люди с ушами кролика: средний тон кожи очень светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|средний тон кожи|танец|уши
	🧑🏽‍🐰‍🧑🏼;люди с ушами кролика: средний тон кожи светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|светлый тон кожи|средний тон кожи|танец|уши
	🧑🏽‍🐰‍🧑🏾;люди с ушами кролика: средний тон кожи темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|средний тон кожи|танец|темный тон кожи|уши
	🧑🏽‍🐰‍🧑🏿;люди с ушами кролика: средний тон кожи очень темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|средний тон кожи|танец|уши
	🧑🏾‍🐰‍🧑🏻;люди с ушами кролика: темный тон кожи очень светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|парочка|подруги|танец|темный тон кожи|уши
	🧑🏾‍🐰‍🧑🏼;люди с ушами кролика: темный тон кожи светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|светлый тон кожи|танец|темный тон кожи|уши
	🧑🏾‍🐰‍🧑🏽;люди с ушами кролика: темный тон кожи средний тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|парочка|подруги|средний тон кожи|танец|темный тон кожи|уши
	🧑🏾‍🐰‍🧑🏿;люди с ушами кролика: темный тон кожи очень темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|танец|темный тон кожи|уши
	🧑🏿‍🐰‍🧑🏻;люди с ушами кролика: очень темный тон кожи очень светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень светлый тон кожи|очень темный тон кожи|парочка|подруги|танец|уши
	🧑🏿‍🐰‍🧑🏼;люди с ушами кролика: очень темный тон кожи светлый тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|светлый тон кожи|танец|уши
	🧑🏿‍🐰‍🧑🏽;люди с ушами кролика: очень темный тон кожи средний тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|средний тон кожи|танец|уши
	🧑🏿‍🐰‍🧑🏾;люди с ушами кролика: очень темный тон кожи темный тон кожи;близкие|вечеринка|двое|двойняшки|кордебалет|кролик|очень темный тон кожи|парочка|подруги|танец|темный тон кожи|уши
	👨🏻‍🐰‍👨🏼;мужчины с ушами кролика: очень светлый тон кожи светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|светлый тон кожи|танец|танцор|уши|уши кролика
	👨🏻‍🐰‍👨🏽;мужчины с ушами кролика: очень светлый тон кожи средний тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|средний тон кожи|танец|танцор|уши|уши кролика
	👨🏻‍🐰‍👨🏾;мужчины с ушами кролика: очень светлый тон кожи темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏻‍🐰‍👨🏿;мужчины с ушами кролика: очень светлый тон кожи очень темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|очень темный тон кожи|танец|танцор|уши|уши кролика
	👨🏼‍🐰‍👨🏻;мужчины с ушами кролика: светлый тон кожи очень светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|светлый тон кожи|танец|танцор|уши|уши кролика
	👨🏼‍🐰‍👨🏽;мужчины с ушами кролика: светлый тон кожи средний тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|светлый тон кожи|средний тон кожи|танец|танцор|уши|уши кролика
	👨🏼‍🐰‍👨🏾;мужчины с ушами кролика: светлый тон кожи темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|светлый тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏼‍🐰‍👨🏿;мужчины с ушами кролика: светлый тон кожи очень темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|светлый тон кожи|танец|танцор|уши|уши кролика
	👨🏽‍🐰‍👨🏻;мужчины с ушами кролика: средний тон кожи очень светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|средний тон кожи|танец|танцор|уши|уши кролика
	👨🏽‍🐰‍👨🏼;мужчины с ушами кролика: средний тон кожи светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|светлый тон кожи|средний тон кожи|танец|танцор|уши|уши кролика
	👨🏽‍🐰‍👨🏾;мужчины с ушами кролика: средний тон кожи темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|средний тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏽‍🐰‍👨🏿;мужчины с ушами кролика: средний тон кожи очень темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|средний тон кожи|танец|танцор|уши|уши кролика
	👨🏾‍🐰‍👨🏻;мужчины с ушами кролика: темный тон кожи очень светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏾‍🐰‍👨🏼;мужчины с ушами кролика: темный тон кожи светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|светлый тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏾‍🐰‍👨🏽;мужчины с ушами кролика: темный тон кожи средний тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|средний тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏾‍🐰‍👨🏿;мужчины с ушами кролика: темный тон кожи очень темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👨🏿‍🐰‍👨🏻;мужчины с ушами кролика: очень темный тон кожи очень светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень светлый тон кожи|очень темный тон кожи|танец|танцор|уши|уши кролика
	👨🏿‍🐰‍👨🏼;мужчины с ушами кролика: очень темный тон кожи светлый тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|светлый тон кожи|танец|танцор|уши|уши кролика
	👨🏿‍🐰‍👨🏽;мужчины с ушами кролика: очень темный тон кожи средний тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|средний тон кожи|танец|танцор|уши|уши кролика
	👨🏿‍🐰‍👨🏾;мужчины с ушами кролика: очень темный тон кожи темный тон кожи;вечеринка|кордебалет|кролик|мужчины с ушами кролика|очень темный тон кожи|танец|танцор|темный тон кожи|уши|уши кролика
	👩🏻‍🐰‍👩🏼;женщины с ушами кролика: очень светлый тон кожи светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|светлый тон кожи|танец|уши|уши кролика
	👩🏻‍🐰‍👩🏽;женщины с ушами кролика: очень светлый тон кожи средний тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|средний тон кожи|танец|уши|уши кролика
	👩🏻‍🐰‍👩🏾;женщины с ушами кролика: очень светлый тон кожи темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏻‍🐰‍👩🏿;женщины с ушами кролика: очень светлый тон кожи очень темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|очень темный тон кожи|танец|уши|уши кролика
	👩🏼‍🐰‍👩🏻;женщины с ушами кролика: светлый тон кожи очень светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|светлый тон кожи|танец|уши|уши кролика
	👩🏼‍🐰‍👩🏽;женщины с ушами кролика: светлый тон кожи средний тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|светлый тон кожи|средний тон кожи|танец|уши|уши кролика
	👩🏼‍🐰‍👩🏾;женщины с ушами кролика: светлый тон кожи темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|светлый тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏼‍🐰‍👩🏿;женщины с ушами кролика: светлый тон кожи очень темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|светлый тон кожи|танец|уши|уши кролика
	👩🏽‍🐰‍👩🏻;женщины с ушами кролика: средний тон кожи очень светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|средний тон кожи|танец|уши|уши кролика
	👩🏽‍🐰‍👩🏼;женщины с ушами кролика: средний тон кожи светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|светлый тон кожи|средний тон кожи|танец|уши|уши кролика
	👩🏽‍🐰‍👩🏾;женщины с ушами кролика: средний тон кожи темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|средний тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏽‍🐰‍👩🏿;женщины с ушами кролика: средний тон кожи очень темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|средний тон кожи|танец|уши|уши кролика
	👩🏾‍🐰‍👩🏻;женщины с ушами кролика: темный тон кожи очень светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏾‍🐰‍👩🏼;женщины с ушами кролика: темный тон кожи светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|светлый тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏾‍🐰‍👩🏽;женщины с ушами кролика: темный тон кожи средний тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|средний тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏾‍🐰‍👩🏿;женщины с ушами кролика: темный тон кожи очень темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|танец|темный тон кожи|уши|уши кролика
	👩🏿‍🐰‍👩🏻;женщины с ушами кролика: очень темный тон кожи очень светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень светлый тон кожи|очень темный тон кожи|танец|уши|уши кролика
	👩🏿‍🐰‍👩🏼;женщины с ушами кролика: очень темный тон кожи светлый тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|светлый тон кожи|танец|уши|уши кролика
	👩🏿‍🐰‍👩🏽;женщины с ушами кролика: очень темный тон кожи средний тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|средний тон кожи|танец|уши|уши кролика
	👩🏿‍🐰‍👩🏾;женщины с ушами кролика: очень темный тон кожи темный тон кожи;вечеринка|женщины с ушами кролика|кордебалет|кролик|очень темный тон кожи|танец|темный тон кожи|уши|уши кролика
🧖;человек в бане;баня|париться|парная|паровая|паром|пропотеть|сауна|хамам
	🧖🏻;человек в бане: очень светлый тон кожи;баня|очень светлый тон кожи|париться|парная|паровая|паром|пропотеть|сауна|хамам
	🧖🏼;человек в бане: светлый тон кожи;баня|париться|парная|паровая|паром|пропотеть|сауна|светлый тон кожи|хамам
	🧖🏽;человек в бане: средний тон кожи;баня|париться|парная|паровая|паром|пропотеть|сауна|средний тон кожи|хамам
