# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
	💆🏾;osoba prima masažu: umjereno tamna boja kože;lice|masaža|osoba prima masažu|salon|umjereno tamna boja kože
	💆🏿;osoba prima masažu: tamna boja kože;lice|masaža|osoba prima masažu|salon|tamna boja kože
💆‍♂️;muškarac prima masažu lica;lice|masaža|muškarac|muškarac prima masažu|muškarac prima masažu lica
	💆🏻‍♂️;muškarac prima masažu lica: svijetla boja kože;lice|masaža|muškarac|muškarac prima masažu|muškarac prima masažu lica|svijetla boja kože
	💆🏼‍♂️;muškarac prima masažu lica: umjereno svijetla boja kože;lice|masaža|muškarac|muškarac prima masažu|muškarac prima masažu lica|umjereno svijetla boja kože
	💆🏽‍♂️;muškarac prima masažu lica: umjerena boja kože;lice|masaža|muškarac|muškarac prima masažu|muškarac prima masažu lica|umjerena boja kože
	💆🏾‍♂️;muškarac prima masažu lica: umjereno tamna boja kože;lice|masaža|muškarac|muškarac prima masažu|muškarac prima masažu lica|umjereno tamna boja kože
	💆🏿‍♂️;muškarac prima masažu lica: tamna boja kože;lice|masaža|muškarac|muškarac prima masažu|muškarac prima masažu lica|tamna boja kože
💆‍♀️;žena prima masažu lica;lice|masaža|žena|žena prima masažu|žena prima masažu lica
	💆🏻‍♀️;žena prima masažu lica: svijetla boja kože;lice|masaža|svijetla boja kože|žena|žena prima masažu|žena prima masažu lica
	💆🏼‍♀️;žena prima masažu lica: umjereno svijetla boja kože;lice|masaža|umjereno svijetla boja kože|žena|žena prima masažu|žena prima masažu lica
	💆🏽‍♀️;žena prima masažu lica: umjerena boja kože;lice|masaža|umjerena boja kože|žena|žena prima masažu|žena prima masažu lica
	💆🏾‍♀️;žena prima masažu lica: umjereno tamna boja kože;lice|masaža|umjereno tamna boja kože|žena|žena prima masažu|žena prima masažu lica
	💆🏿‍♀️;žena prima masažu lica: tamna boja kože;lice|masaža|tamna boja kože|žena|žena prima masažu|žena prima masažu lica
💇;šišanje osobe;berber|frizer|frizura|šišanje osobe|uljepšavanje
	💇🏻;šišanje osobe: svijetla boja kože;berber|frizer|frizura|šišanje osobe|svijetla boja kože|uljepšavanje
	💇🏼;šišanje osobe: umjereno svijetla boja kože;berber|frizer|frizura|šišanje osobe|uljepšavanje|umjereno svijetla boja kože
	💇🏽;šišanje osobe: umjerena boja kože;berber|frizer|frizura|šišanje osobe|uljepšavanje|umjerena boja kože
	💇🏾;šišanje osobe: umjereno tamna boja kože;berber|frizer|frizura|šišanje osobe|uljepšavanje|umjereno tamna boja kože
	💇🏿;šišanje osobe: tamna boja kože;berber|frizer|frizura|šišanje osobe|tamna boja kože|uljepšavanje
💇‍♂️;šišanje muškarca;frizura|muškarac|šišanje muškarca
	💇🏻‍♂️;šišanje muškarca: svijetla boja kože;frizura|muškarac|šišanje muškarca|svijetla boja kože
	💇🏼‍♂️;šišanje muškarca: umjereno svijetla boja kože;frizura|muškarac|šišanje muškarca|umjereno svijetla boja kože
	💇🏽‍♂️;šišanje muškarca: umjerena boja kože;frizura|muškarac|šišanje muškarca|umjerena boja kože
	💇🏾‍♂️;šišanje muškarca: umjereno tamna boja kože;frizura|muškarac|šišanje muškarca|umjereno tamna boja kože
	💇🏿‍♂️;šišanje muškarca: tamna boja kože;frizura|muškarac|šišanje muškarca|tamna boja kože
💇‍♀️;šišanje žene;frizura|šišanje žene|žena
	💇🏻‍♀️;šišanje žene: svijetla boja kože;frizura|šišanje žene|svijetla boja kože|žena
	💇🏼‍♀️;šišanje žene: umjereno svijetla boja kože;frizura|šišanje žene|umjereno svijetla boja kože|žena
	💇🏽‍♀️;šišanje žene: umjerena boja kože;frizura|šišanje žene|umjerena boja kože|žena
	💇🏾‍♀️;šišanje žene: umjereno tamna boja kože;frizura|šišanje žene|umjereno tamna boja kože|žena
	💇🏿‍♀️;šišanje žene: tamna boja kože;frizura|šišanje žene|tamna boja kože|žena
🚶;osoba hoda;hodanje|osoba hoda|šetanje
	🚶🏻;osoba hoda: svijetla boja kože;hodanje|osoba hoda|šetanje|svijetla boja kože
	🚶🏼;osoba hoda: umjereno svijetla boja kože;hodanje|osoba hoda|šetanje|umjereno svijetla boja kože
	🚶🏽;osoba hoda: umjerena boja kože;hodanje|osoba hoda|šetanje|umjerena boja kože
	🚶🏾;osoba hoda: umjereno tamna boja kože;hodanje|osoba hoda|šetanje|umjereno tamna boja kože
	🚶🏿;osoba hoda: tamna boja kože;hodanje|osoba hoda|šetanje|tamna boja kože
🚶‍♂️;muškarac hoda;hodanje|muškarac|muškarac hoda|šetanje
	🚶🏻‍♂️;muškarac hoda: svijetla boja kože;hodanje|muškarac|muškarac hoda|šetanje|svijetla boja kože
	🚶🏼‍♂️;muškarac hoda: umjereno svijetla boja kože;hodanje|muškarac|muškarac hoda|šetanje|umjereno svijetla boja kože
	🚶🏽‍♂️;muškarac hoda: umjerena boja kože;hodanje|muškarac|muškarac hoda|šetanje|umjerena boja kože
	🚶🏾‍♂️;muškarac hoda: umjereno tamna boja kože;hodanje|muškarac|muškarac hoda|šetanje|umjereno tamna boja kože
	🚶🏿‍♂️;muškarac hoda: tamna boja kože;hodanje|muškarac|muškarac hoda|šetanje|tamna boja kože
🚶‍♀️;žena hoda;hodanje|šetanje|žena|žena hoda
	🚶🏻‍♀️;žena hoda: svijetla boja kože;hodanje|šetanje|svijetla boja kože|žena|žena hoda
	🚶🏼‍♀️;žena hoda: umjereno svijetla boja kože;hodanje|šetanje|umjereno svijetla boja kože|žena|žena hoda
	🚶🏽‍♀️;žena hoda: umjerena boja kože;hodanje|šetanje|umjerena boja kože|žena|žena hoda
	🚶🏾‍♀️;žena hoda: umjereno tamna boja kože;hodanje|šetanje|umjereno tamna boja kože|žena|žena hoda
	🚶🏿‍♀️;žena hoda: tamna boja kože;hodanje|šetanje|tamna boja kože|žena|žena hoda
🚶‍➡️;osoba hoda: nadesno;hodanje|nadesno|osoba hoda|šetanje
	🚶🏻‍➡️;osoba hoda: svijetla boja kože i nadesno;hodanje|nadesno|osoba hoda|šetanje|svijetla boja kože
	🚶🏼‍➡️;osoba hoda: umjereno svijetla boja kože i nadesno;hodanje|nadesno|osoba hoda|šetanje|umjereno svijetla boja kože
	🚶🏽‍➡️;osoba hoda: umjerena boja kože i nadesno;hodanje|nadesno|osoba hoda|šetanje|umjerena boja kože
	🚶🏾‍➡️;osoba hoda: umjereno tamna boja kože i nadesno;hodanje|nadesno|osoba hoda|šetanje|umjereno tamna boja kože
	🚶🏿‍➡️;osoba hoda: tamna boja kože i nadesno;hodanje|nadesno|osoba hoda|šetanje|tamna boja kože
🚶‍♀️‍➡️;žena hoda: nadesno;hodanje|nadesno|šetanje|žena|žena hoda
	🚶🏻‍♀️‍➡️;žena hoda: svijetla boja kože i nadesno;hodanje|nadesno|šetanje|svijetla boja kože|žena|žena hoda
	🚶🏼‍♀️‍➡️;žena hoda: umjereno svijetla boja kože i nadesno;hodanje|nadesno|šetanje|umjereno svijetla boja kože|žena|žena hoda
	🚶🏽‍♀️‍➡️;žena hoda: umjerena boja kože i nadesno;hodanje|nadesno|šetanje|umjerena boja kože|žena|žena hoda
	🚶🏾‍♀️‍➡️;žena hoda: umjereno tamna boja kože i nadesno;hodanje|nadesno|šetanje|umjereno tamna boja kože|žena|žena hoda
	🚶🏿‍♀️‍➡️;žena hoda: tamna boja kože i nadesno;hodanje|nadesno|šetanje|tamna boja kože|žena|žena hoda
🚶‍♂️‍➡️;muškarac hoda: nadesno;hodanje|muškarac|muškarac hoda|nadesno|šetanje
	🚶🏻‍♂️‍➡️;muškarac hoda: svijetla boja kože i nadesno;hodanje|muškarac|muškarac hoda|nadesno|šetanje|svijetla boja kože
	🚶🏼‍♂️‍➡️;muškarac hoda: umjereno svijetla boja kože i nadesno;hodanje|muškarac|muškarac hoda|nadesno|šetanje|umjereno svijetla boja kože
	🚶🏽‍♂️‍➡️;muškarac hoda: umjerena boja kože i nadesno;hodanje|muškarac|muškarac hoda|nadesno|šetanje|umjerena boja kože
	🚶🏾‍♂️‍➡️;muškarac hoda: umjereno tamna boja kože i nadesno;hodanje|muškarac|muškarac hoda|nadesno|šetanje|umjereno tamna boja kože
	🚶🏿‍♂️‍➡️;muškarac hoda: tamna boja kože i nadesno;hodanje|muškarac|muškarac hoda|nadesno|šetanje|tamna boja kože
🧍;osoba stoji;osoba stoji|stojanje|stojati
	🧍🏻;osoba stoji: svijetla boja kože;osoba stoji|stojanje|stojati|svijetla boja kože
	🧍🏼;osoba stoji: umjereno svijetla boja kože;osoba stoji|stojanje|stojati|umjereno svijetla boja kože
	🧍🏽;osoba stoji: umjerena boja kože;osoba stoji|stojanje|stojati|umjerena boja kože
	🧍🏾;osoba stoji: umjereno tamna boja kože;osoba stoji|stojanje|stojati|umjereno tamna boja kože
	🧍🏿;osoba stoji: tamna boja kože;osoba stoji|stojanje|stojati|tamna boja kože
🧍‍♂️;čovjek stoji;čovjek|stoji
	🧍🏻‍♂️;čovjek stoji: svijetla boja kože;čovjek|stoji|svijetla boja kože
	🧍🏼‍♂️;čovjek stoji: umjereno svijetla boja kože;čovjek|stoji|umjereno svijetla boja kože
	🧍🏽‍♂️;čovjek stoji: umjerena boja kože;čovjek|stoji|umjerena boja kože
	🧍🏾‍♂️;čovjek stoji: umjereno tamna boja kože;čovjek|stoji|umjereno tamna boja kože
	🧍🏿‍♂️;čovjek stoji: tamna boja kože;čovjek|stoji|tamna boja kože
🧍‍♀️;žena stoji;stoji|žena
	🧍🏻‍♀️;žena stoji: svijetla boja kože;stoji|svijetla boja kože|žena
	🧍🏼‍♀️;žena stoji: umjereno svijetla boja kože;stoji|umjereno svijetla boja kože|žena
	🧍🏽‍♀️;žena stoji: umjerena boja kože;stoji|umjerena boja kože|žena
	🧍🏾‍♀️;žena stoji: umjereno tamna boja kože;stoji|umjereno tamna boja kože|žena
	🧍🏿‍♀️;žena stoji: tamna boja kože;stoji|tamna boja kože|žena
🧎;osoba kleči;klečanje|klečati|osoba kleči
	🧎🏻;osoba kleči: svijetla boja kože;klečanje|klečati|osoba kleči|svijetla boja kože
	🧎🏼;osoba kleči: umjereno svijetla boja kože;klečanje|klečati|osoba kleči|umjereno svijetla boja kože
	🧎🏽;osoba kleči: umjerena boja kože;klečanje|klečati|osoba kleči|umjerena boja kože
	🧎🏾;osoba kleči: umjereno tamna boja kože;klečanje|klečati|osoba kleči|umjereno tamna boja kože
	🧎🏿;osoba kleči: tamna boja kože;klečanje|klečati|osoba kleči|tamna boja kože
🧎‍♂️;muškarac kleči;kleči|muškarac
	🧎🏻‍♂️;muškarac kleči: svijetla boja kože;kleči|muškarac|svijetla boja kože
	🧎🏼‍♂️;muškarac kleči: umjereno svijetla boja kože;kleči|muškarac|umjereno svijetla boja kože
	🧎🏽‍♂️;muškarac kleči: umjerena boja kože;kleči|muškarac|umjerena boja kože
	🧎🏾‍♂️;muškarac kleči: umjereno tamna boja kože;kleči|muškarac|umjereno tamna boja kože
	🧎🏿‍♂️;muškarac kleči: tamna boja kože;kleči|muškarac|tamna boja kože
🧎‍♀️;žena kleči;žena kleči
	🧎🏻‍♀️;žena kleči: svijetla boja kože;svijetla boja kože|žena kleči
	🧎🏼‍♀️;žena kleči: umjereno svijetla boja kože;umjereno svijetla boja kože|žena kleči
	🧎🏽‍♀️;žena kleči: umjerena boja kože;umjerena boja kože|žena kleči
	🧎🏾‍♀️;žena kleči: umjereno tamna boja kože;umjereno tamna boja kože|žena kleči
	🧎🏿‍♀️;žena kleči: tamna boja kože;tamna boja kože|žena kleči
🧎‍➡️;osoba kleči: nadesno;klečanje|klečati|nadesno|osoba kleči
	🧎🏻‍➡️;osoba kleči: svijetla boja kože i nadesno;klečanje|klečati|nadesno|osoba kleči|svijetla boja kože
	🧎🏼‍➡️;osoba kleči: umjereno svijetla boja kože i nadesno;klečanje|klečati|nadesno|osoba kleči|umjereno svijetla boja kože
	🧎🏽‍➡️;osoba kleči: umjerena boja kože i nadesno;klečanje|klečati|nadesno|osoba kleči|umjerena boja kože
	🧎🏾‍➡️;osoba kleči: umjereno tamna boja kože i nadesno;klečanje|klečati|nadesno|osoba kleči|umjereno tamna boja kože
	🧎🏿‍➡️;osoba kleči: tamna boja kože i nadesno;klečanje|klečati|nadesno|osoba kleči|tamna boja kože
🧎‍♀️‍➡️;žena kleči: nadesno;nadesno|žena kleči
	🧎🏻‍♀️‍➡️;žena kleči: svijetla boja kože i nadesno;nadesno|svijetla boja kože|žena kleči
	🧎🏼‍♀️‍➡️;žena kleči: umjereno svijetla boja kože i nadesno;nadesno|umjereno svijetla boja kože|žena kleči
	🧎🏽‍♀️‍➡️;žena kleči: umjerena boja kože i nadesno;nadesno|umjerena boja kože|žena kleči
	🧎🏾‍♀️‍➡️;žena kleči: umjereno tamna boja kože i nadesno;nadesno|umjereno tamna boja kože|žena kleči
	🧎🏿‍♀️‍➡️;žena kleči: tamna boja kože i nadesno;nadesno|tamna boja kože|žena kleči
🧎‍♂️‍➡️;muškarac kleči: nadesno;kleči|muškarac|nadesno
	🧎🏻‍♂️‍➡️;muškarac kleči: svijetla boja kože i nadesno;kleči|muškarac|nadesno|svijetla boja kože
	🧎🏼‍♂️‍➡️;muškarac kleči: umjereno svijetla boja kože i nadesno;kleči|muškarac|nadesno|umjereno svijetla boja kože
	🧎🏽‍♂️‍➡️;muškarac kleči: umjerena boja kože i nadesno;kleči|muškarac|nadesno|umjerena boja kože
	🧎🏾‍♂️‍➡️;muškarac kleči: umjereno tamna boja kože i nadesno;kleči|muškarac|nadesno|umjereno tamna boja kože
	🧎🏿‍♂️‍➡️;muškarac kleči: tamna boja kože i nadesno;kleči|muškarac|nadesno|tamna boja kože
🧑‍🦯;osoba sa štapom za hodanje;osoba sa štapom za hodanje|pomagalo|sljepoća
	🧑🏻‍🦯;osoba sa štapom za hodanje: svijetla boja kože;osoba sa štapom za hodanje|pomagalo|sljepoća|svijetla boja kože
	🧑🏼‍🦯;osoba sa štapom za hodanje: umjereno svijetla boja kože;osoba sa štapom za hodanje|pomagalo|sljepoća|umjereno svijetla boja kože
	🧑🏽‍🦯;osoba sa štapom za hodanje: umjerena boja kože;osoba sa štapom za hodanje|pomagalo|sljepoća|umjerena boja kože
	🧑🏾‍🦯;osoba sa štapom za hodanje: umjereno tamna boja kože;osoba sa štapom za hodanje|pomagalo|sljepoća|umjereno tamna boja kože
	🧑🏿‍🦯;osoba sa štapom za hodanje: tamna boja kože;osoba sa štapom za hodanje|pomagalo|sljepoća|tamna boja kože
🧑‍🦯‍➡️;osoba sa štapom za hodanje: nadesno;nadesno|osoba sa štapom za hodanje|pomagalo|sljepoća
	🧑🏻‍🦯‍➡️;osoba sa štapom za hodanje: svijetla boja kože i nadesno;nadesno|osoba sa štapom za hodanje|pomagalo|sljepoća|svijetla boja kože
	🧑🏼‍🦯‍➡️;osoba sa štapom za hodanje: umjereno svijetla boja kože i nadesno;nadesno|osoba sa štapom za hodanje|pomagalo|sljepoća|umjereno svijetla boja kože
	🧑🏽‍🦯‍➡️;osoba sa štapom za hodanje: umjerena boja kože i nadesno;nadesno|osoba sa štapom za hodanje|pomagalo|sljepoća|umjerena boja kože
	🧑🏾‍🦯‍➡️;osoba sa štapom za hodanje: umjereno tamna boja kože i nadesno;nadesno|osoba sa štapom za hodanje|pomagalo|sljepoća|umjereno tamna boja kože
	🧑🏿‍🦯‍➡️;osoba sa štapom za hodanje: tamna boja kože i nadesno;nadesno|osoba sa štapom za hodanje|pomagalo|sljepoća|tamna boja kože
👨‍🦯;muškarac sa štapom za hodanje;muškarac|muškarac sa štapom za hodanje|pomagalo|slijep
	👨🏻‍🦯;muškarac sa štapom za hodanje: svijetla boja kože;muškarac|muškarac sa štapom za hodanje|pomagalo|slijep|svijetla boja kože
	👨🏼‍🦯;muškarac sa štapom za hodanje: umjereno svijetla boja kože;muškarac|muškarac sa štapom za hodanje|pomagalo|slijep|umjereno svijetla boja kože
	👨🏽‍🦯;muškarac sa štapom za hodanje: umjerena boja kože;muškarac|muškarac sa štapom za hodanje|pomagalo|slijep|umjerena boja kože
	👨🏾‍🦯;muškarac sa štapom za hodanje: umjereno tamna boja kože;muškarac|muškarac sa štapom za hodanje|pomagalo|slijep|umjereno tamna boja kože
	👨🏿‍🦯;muškarac sa štapom za hodanje: tamna boja kože;muškarac|muškarac sa štapom za hodanje|pomagalo|slijep|tamna boja kože
👨‍🦯‍➡️;muškarac sa štapom za hodanje: nadesno;muškarac|muškarac sa štapom za hodanje|nadesno|pomagalo|slijep
	👨🏻‍🦯‍➡️;muškarac sa štapom za hodanje: svijetla boja kože i nadesno;muškarac|muškarac sa štapom za hodanje|nadesno|pomagalo|slijep|svijetla boja kože
	👨🏼‍🦯‍➡️;muškarac sa štapom za hodanje: umjereno svijetla boja kože i nadesno;muškarac|muškarac sa štapom za hodanje|nadesno|pomagalo|slijep|umjereno svijetla boja kože
	👨🏽‍🦯‍➡️;muškarac sa štapom za hodanje: umjerena boja kože i nadesno;muškarac|muškarac sa štapom za hodanje|nadesno|pomagalo|slijep|umjerena boja kože
	👨🏾‍🦯‍➡️;muškarac sa štapom za hodanje: umjereno tamna boja kože i nadesno;muškarac|muškarac sa štapom za hodanje|nadesno|pomagalo|slijep|umjereno tamna boja kože
	👨🏿‍🦯‍➡️;muškarac sa štapom za hodanje: tamna boja kože i nadesno;muškarac|muškarac sa štapom za hodanje|nadesno|pomagalo|slijep|tamna boja kože
👩‍🦯;žena sa štapom za hodanje;pomagalo|slijepa|žena|žena sa štapom za hodanje
	👩🏻‍🦯;žena sa štapom za hodanje: svijetla boja kože;pomagalo|slijepa|svijetla boja kože|žena|žena sa štapom za hodanje
	👩🏼‍🦯;žena sa štapom za hodanje: umjereno svijetla boja kože;pomagalo|slijepa|umjereno svijetla boja kože|žena|žena sa štapom za hodanje
	👩🏽‍🦯;žena sa štapom za hodanje: umjerena boja kože;pomagalo|slijepa|umjerena boja kože|žena|žena sa štapom za hodanje
	👩🏾‍🦯;žena sa štapom za hodanje: umjereno tamna boja kože;pomagalo|slijepa|umjereno tamna boja kože|žena|žena sa štapom za hodanje
	👩🏿‍🦯;žena sa štapom za hodanje: tamna boja kože;pomagalo|slijepa|tamna boja kože|žena|žena sa štapom za hodanje
👩‍🦯‍➡️;žena sa štapom za hodanje: nadesno;nadesno|pomagalo|slijepa|žena|žena sa štapom za hodanje
	👩🏻‍🦯‍➡️;žena sa štapom za hodanje: svijetla boja kože i nadesno;nadesno|pomagalo|slijepa|svijetla boja kože|žena|žena sa štapom za hodanje
	👩🏼‍🦯‍➡️;žena sa štapom za hodanje: umjereno svijetla boja kože i nadesno;nadesno|pomagalo|slijepa|umjereno svijetla boja kože|žena|žena sa štapom za hodanje
	👩🏽‍🦯‍➡️;žena sa štapom za hodanje: umjerena boja kože i nadesno;nadesno|pomagalo|slijepa|umjerena boja kože|žena|žena sa štapom za hodanje
	👩🏾‍🦯‍➡️;žena sa štapom za hodanje: umjereno tamna boja kože i nadesno;nadesno|pomagalo|slijepa|umjereno tamna boja kože|žena|žena sa štapom za hodanje
	👩🏿‍🦯‍➡️;žena sa štapom za hodanje: tamna boja kože i nadesno;nadesno|pomagalo|slijepa|tamna boja kože|žena|žena sa štapom za hodanje
🧑‍🦼;osoba u motornim invalidskim kolicima;invalidska kolica|osoba u motornim invalidskim kolicima|pomagalo
	🧑🏻‍🦼;osoba u motornim invalidskim kolicima: svijetla boja kože;invalidska kolica|osoba u motornim invalidskim kolicima|pomagalo|svijetla boja kože
	🧑🏼‍🦼;osoba u motornim invalidskim kolicima: umjereno svijetla boja kože;invalidska kolica|osoba u motornim invalidskim kolicima|pomagalo|umjereno svijetla boja kože
	🧑🏽‍🦼;osoba u motornim invalidskim kolicima: umjerena boja kože;invalidska kolica|osoba u motornim invalidskim kolicima|pomagalo|umjerena boja kože
	🧑🏾‍🦼;osoba u motornim invalidskim kolicima: umjereno tamna boja kože;invalidska kolica|osoba u motornim invalidskim kolicima|pomagalo|umjereno tamna boja kože
	🧑🏿‍🦼;osoba u motornim invalidskim kolicima: tamna boja kože;invalidska kolica|osoba u motornim invalidskim kolicima|pomagalo|tamna boja kože
🧑‍🦼‍➡️;osoba u motornim invalidskim kolicima: nadesno;invalidska kolica|nadesno|osoba u motornim invalidskim kolicima|pomagalo
	🧑🏻‍🦼‍➡️;osoba u motornim invalidskim kolicima: svijetla boja kože i nadesno;invalidska kolica|nadesno|osoba u motornim invalidskim kolicima|pomagalo|svijetla boja kože
	🧑🏼‍🦼‍➡️;osoba u motornim invalidskim kolicima: umjereno svijetla boja kože i nadesno;invalidska kolica|nadesno|osoba u motornim invalidskim kolicima|pomagalo|umjereno svijetla boja kože
	🧑🏽‍🦼‍➡️;osoba u motornim invalidskim kolicima: umjerena boja kože i nadesno;invalidska kolica|nadesno|osoba u motornim invalidskim kolicima|pomagalo|umjerena boja kože
	🧑🏾‍🦼‍➡️;osoba u motornim invalidskim kolicima: umjereno tamna boja kože i nadesno;invalidska kolica|nadesno|osoba u motornim invalidskim kolicima|pomagalo|umjereno tamna boja kože
	🧑🏿‍🦼‍➡️;osoba u motornim invalidskim kolicima: tamna boja kože i nadesno;invalidska kolica|nadesno|osoba u motornim invalidskim kolicima|pomagalo|tamna boja kože
👨‍🦼;muškarac u motornim invalidskim kolicima;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|pomagalo
	👨🏻‍🦼;muškarac u motornim invalidskim kolicima: svijetla boja kože;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|pomagalo|svijetla boja kože
	👨🏼‍🦼;muškarac u motornim invalidskim kolicima: umjereno svijetla boja kože;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|pomagalo|umjereno svijetla boja kože
	👨🏽‍🦼;muškarac u motornim invalidskim kolicima: umjerena boja kože;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|pomagalo|umjerena boja kože
	👨🏾‍🦼;muškarac u motornim invalidskim kolicima: umjereno tamna boja kože;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|pomagalo|umjereno tamna boja kože
	👨🏿‍🦼;muškarac u motornim invalidskim kolicima: tamna boja kože;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|pomagalo|tamna boja kože
👨‍🦼‍➡️;muškarac u motornim invalidskim kolicima: nadesno;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|nadesno|pomagalo
	👨🏻‍🦼‍➡️;muškarac u motornim invalidskim kolicima: svijetla boja kože i nadesno;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|nadesno|pomagalo|svijetla boja kože
	👨🏼‍🦼‍➡️;muškarac u motornim invalidskim kolicima: umjereno svijetla boja kože i nadesno;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|nadesno|pomagalo|umjereno svijetla boja kože
	👨🏽‍🦼‍➡️;muškarac u motornim invalidskim kolicima: umjerena boja kože i nadesno;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|nadesno|pomagalo|umjerena boja kože
	👨🏾‍🦼‍➡️;muškarac u motornim invalidskim kolicima: umjereno tamna boja kože i nadesno;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|nadesno|pomagalo|umjereno tamna boja kože
	👨🏿‍🦼‍➡️;muškarac u motornim invalidskim kolicima: tamna boja kože i nadesno;motorna invalidska kolica|muškarac|muškarac u motornim invalidskim kolicima|nadesno|pomagalo|tamna boja kože
👩‍🦼;žena u motornim invalidskim kolicima;motorna invalidska kolica|pomagalo|žena|žena u motornim invalidskim kolicima
	👩🏻‍🦼;žena u motornim invalidskim kolicima: svijetla boja kože;motorna invalidska kolica|pomagalo|svijetla boja kože|žena|žena u motornim invalidskim kolicima
	👩🏼‍🦼;žena u motornim invalidskim kolicima: umjereno svijetla boja kože;motorna invalidska kolica|pomagalo|umjereno svijetla boja kože|žena|žena u motornim invalidskim kolicima
	👩🏽‍🦼;žena u motornim invalidskim kolicima: umjerena boja kože;motorna invalidska kolica|pomagalo|umjerena boja kože|žena|žena u motornim invalidskim kolicima
	👩🏾‍🦼;žena u motornim invalidskim kolicima: umjereno tamna boja kože;motorna invalidska kolica|pomagalo|umjereno tamna boja kože|žena|žena u motornim invalidskim kolicima
	👩🏿‍🦼;žena u motornim invalidskim kolicima: tamna boja kože;motorna invalidska kolica|pomagalo|tamna boja kože|žena|žena u motornim invalidskim kolicima
👩‍🦼‍➡️;žena u motornim invalidskim kolicima: nadesno;motorna invalidska kolica|nadesno|pomagalo|žena|žena u motornim invalidskim kolicima
	👩🏻‍🦼‍➡️;žena u motornim invalidskim kolicima: svijetla boja kože i nadesno;motorna invalidska kolica|nadesno|pomagalo|svijetla boja kože|žena|žena u motornim invalidskim kolicima
	👩🏼‍🦼‍➡️;žena u motornim invalidskim kolicima: umjereno svijetla boja kože i nadesno;motorna invalidska kolica|nadesno|pomagalo|umjereno svijetla boja kože|žena|žena u motornim invalidskim kolicima
	👩🏽‍🦼‍➡️;žena u motornim invalidskim kolicima: umjerena boja kože i nadesno;motorna invalidska kolica|nadesno|pomagalo|umjerena boja kože|žena|žena u motornim invalidskim kolicima
	👩🏾‍🦼‍➡️;žena u motornim invalidskim kolicima: umjereno tamna boja kože i nadesno;motorna invalidska kolica|nadesno|pomagalo|umjereno tamna boja kože|žena|žena u motornim invalidskim kolicima
	👩🏿‍🦼‍➡️;žena u motornim invalidskim kolicima: tamna boja kože i nadesno;motorna invalidska kolica|nadesno|pomagalo|tamna boja kože|žena|žena u motornim invalidskim kolicima
🧑‍🦽;osoba u invalidskim kolicima;invalidska kolica|osoba u invalidskim kolicima|pomagalo
	🧑🏻‍🦽;osoba u invalidskim kolicima: svijetla boja kože;invalidska kolica|osoba u invalidskim kolicima|pomagalo|svijetla boja kože
	🧑🏼‍🦽;osoba u invalidskim kolicima: umjereno svijetla boja kože;invalidska kolica|osoba u invalidskim kolicima|pomagalo|umjereno svijetla boja kože
	🧑🏽‍🦽;osoba u invalidskim kolicima: umjerena boja kože;invalidska kolica|osoba u invalidskim kolicima|pomagalo|umjerena boja kože
	🧑🏾‍🦽;osoba u invalidskim kolicima: umjereno tamna boja kože;invalidska kolica|osoba u invalidskim kolicima|pomagalo|umjereno tamna boja kože
	🧑🏿‍🦽;osoba u invalidskim kolicima: tamna boja kože;invalidska kolica|osoba u invalidskim kolicima|pomagalo|tamna boja kože
🧑‍🦽‍➡️;osoba u invalidskim kolicima: nadesno;invalidska kolica|nadesno|osoba u invalidskim kolicima|pomagalo
	🧑🏻‍🦽‍➡️;osoba u invalidskim kolicima: svijetla boja kože i nadesno;invalidska kolica|nadesno|osoba u invalidskim kolicima|pomagalo|svijetla boja kože
	🧑🏼‍🦽‍➡️;osoba u invalidskim kolicima: umjereno svijetla boja kože i nadesno;invalidska kolica|nadesno|osoba u invalidskim kolicima|pomagalo|umjereno svijetla boja kože
	🧑🏽‍🦽‍➡️;osoba u invalidskim kolicima: umjerena boja kože i nadesno;invalidska kolica|nadesno|osoba u invalidskim kolicima|pomagalo|umjerena boja kože
	🧑🏾‍🦽‍➡️;osoba u invalidskim kolicima: umjereno tamna boja kože i nadesno;invalidska kolica|nadesno|osoba u invalidskim kolicima|pomagalo|umjereno tamna boja kože
	🧑🏿‍🦽‍➡️;osoba u invalidskim kolicima: tamna boja kože i nadesno;invalidska kolica|nadesno|osoba u invalidskim kolicima|pomagalo|tamna boja kože
👨‍🦽;muškarac u invalidskim kolicima;invalidska kolica|muškarac|muškarac u invalidskim kolicima|pomagalo
