# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	💇🏻;saç kəsimi: açıq dəri tonu;açıq dəri tonu|baxım|bərbər|böyük qayçı|gözəl qadın|gözəllik|gözəllik salonu|kosmetologiya|qısa kəsmək|saç|saç kəsdirən qadın|saç kəsimi|saç stili|saç ustası|saçı kəsmək|salon
	💇🏼;saç kəsimi: orta-açıq dəri tonu;baxım|bərbər|böyük qayçı|gözəl qadın|gözəllik|gözəllik salonu|kosmetologiya|orta-açıq dəri tonu|qısa kəsmək|saç|saç kəsdirən qadın|saç kəsimi|saç stili|saç ustası|saçı kəsmək|salon
	💇🏽;saç kəsimi: orta dəri tonu;baxım|bərbər|böyük qayçı|gözəl qadın|gözəllik|gözəllik salonu|kosmetologiya|orta dəri tonu|qısa kəsmək|saç|saç kəsdirən qadın|saç kəsimi|saç stili|saç ustası|saçı kəsmək|salon
	💇🏾;saç kəsimi: orta-tünd dəri tonu;baxım|bərbər|böyük qayçı|gözəl qadın|gözəllik|gözəllik salonu|kosmetologiya|orta-tünd dəri tonu|qısa kəsmək|saç|saç kəsdirən qadın|saç kəsimi|saç stili|saç ustası|saçı kəsmək|salon
	💇🏿;saç kəsimi: tünd dəri tonu;baxım|bərbər|böyük qayçı|gözəl qadın|gözəllik|gözəllik salonu|kosmetologiya|qısa kəsmək|saç|saç kəsdirən qadın|saç kəsimi|saç stili|saç ustası|saçı kəsmək|salon|tünd dəri tonu
💇‍♂️;saçını kəsdirən kişi;bərbər|dəllək|kişi|saç kəsimi|saçını kəsdirən kişi
	💇🏻‍♂️;saçını kəsdirən kişi: açıq dəri tonu;açıq dəri tonu|bərbər|dəllək|kişi|saç kəsimi|saçını kəsdirən kişi
	💇🏼‍♂️;saçını kəsdirən kişi: orta-açıq dəri tonu;bərbər|dəllək|kişi|orta-açıq dəri tonu|saç kəsimi|saçını kəsdirən kişi
	💇🏽‍♂️;saçını kəsdirən kişi: orta dəri tonu;bərbər|dəllək|kişi|orta dəri tonu|saç kəsimi|saçını kəsdirən kişi
	💇🏾‍♂️;saçını kəsdirən kişi: orta-tünd dəri tonu;bərbər|dəllək|kişi|orta-tünd dəri tonu|saç kəsimi|saçını kəsdirən kişi
	💇🏿‍♂️;saçını kəsdirən kişi: tünd dəri tonu;bərbər|dəllək|kişi|saç kəsimi|saçını kəsdirən kişi|tünd dəri tonu
💇‍♀️;saçını kəsdirən qadın;qadın|saç kəsimi|saçını kəsdirən qadın
	💇🏻‍♀️;saçını kəsdirən qadın: açıq dəri tonu;açıq dəri tonu|qadın|saç kəsimi|saçını kəsdirən qadın
	💇🏼‍♀️;saçını kəsdirən qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|saç kəsimi|saçını kəsdirən qadın
	💇🏽‍♀️;saçını kəsdirən qadın: orta dəri tonu;orta dəri tonu|qadın|saç kəsimi|saçını kəsdirən qadın
	💇🏾‍♀️;saçını kəsdirən qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|saç kəsimi|saçını kəsdirən qadın
	💇🏿‍♀️;saçını kəsdirən qadın: tünd dəri tonu;qadın|saç kəsimi|saçını kəsdirən qadın|tünd dəri tonu
🚶;piyada;addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏻;piyada: açıq dəri tonu;açıq dəri tonu|addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏼;piyada: orta-açıq dəri tonu;addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|orta-açıq dəri tonu|piyada|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏽;piyada: orta dəri tonu;addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|orta dəri tonu|piyada|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏾;piyada: orta-tünd dəri tonu;addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|orta-tünd dəri tonu|piyada|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏿;piyada: tünd dəri tonu;addım|ayaqseyri|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|təkəbbürlü tərzdə gəzişmək|tünd dəri tonu|yeriş|yürüş
🚶‍♂️;gəzən kişi;gəzən kişi|gəzinti|kişi|yürüş
	🚶🏻‍♂️;gəzən kişi: açıq dəri tonu;açıq dəri tonu|gəzən kişi|gəzinti|kişi|yürüş
	🚶🏼‍♂️;gəzən kişi: orta-açıq dəri tonu;gəzən kişi|gəzinti|kişi|orta-açıq dəri tonu|yürüş
	🚶🏽‍♂️;gəzən kişi: orta dəri tonu;gəzən kişi|gəzinti|kişi|orta dəri tonu|yürüş
	🚶🏾‍♂️;gəzən kişi: orta-tünd dəri tonu;gəzən kişi|gəzinti|kişi|orta-tünd dəri tonu|yürüş
	🚶🏿‍♂️;gəzən kişi: tünd dəri tonu;gəzən kişi|gəzinti|kişi|tünd dəri tonu|yürüş
🚶‍♀️;gəzən qadın;gəzən qadın|gəzinti|qadın|yürüş
	🚶🏻‍♀️;gəzən qadın: açıq dəri tonu;açıq dəri tonu|gəzən qadın|gəzinti|qadın|yürüş
	🚶🏼‍♀️;gəzən qadın: orta-açıq dəri tonu;gəzən qadın|gəzinti|orta-açıq dəri tonu|qadın|yürüş
	🚶🏽‍♀️;gəzən qadın: orta dəri tonu;gəzən qadın|gəzinti|orta dəri tonu|qadın|yürüş
	🚶🏾‍♀️;gəzən qadın: orta-tünd dəri tonu;gəzən qadın|gəzinti|orta-tünd dəri tonu|qadın|yürüş
	🚶🏿‍♀️;gəzən qadın: tünd dəri tonu;gəzən qadın|gəzinti|qadın|tünd dəri tonu|yürüş
🚶‍➡️;piyada: sağa baxan;addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|sağa|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏻‍➡️;piyada: açıq dəri tonu, sağa baxan;açıq dəri tonu|addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|sağa|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏼‍➡️;piyada: orta-açıq dəri tonu, sağa baxan;addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|orta-açıq dəri tonu|piyada|sağa|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏽‍➡️;piyada: orta dəri tonu, sağa baxan;addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|orta dəri tonu|piyada|sağa|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏾‍➡️;piyada: orta-tünd dəri tonu, sağa baxan;addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|orta-tünd dəri tonu|piyada|sağa|təkəbbürlü tərzdə gəzişmək|yeriş|yürüş
	🚶🏿‍➡️;piyada: tünd dəri tonu, sağa baxan;addım|ayaqseyri|baxan|gəzən|gəzən adam|gəzib-dolaşma|gəzinti|gəzmək|iri addımlarla getmə|piyada|sağa|təkəbbürlü tərzdə gəzişmək|tünd dəri tonu|yeriş|yürüş
🚶‍♀️‍➡️;gəzən qadın: sağa baxan;baxan|gəzən qadın|gəzinti|qadın|sağa|yürüş
	🚶🏻‍♀️‍➡️;gəzən qadın: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|gəzən qadın|gəzinti|qadın|sağa|yürüş
	🚶🏼‍♀️‍➡️;gəzən qadın: orta-açıq dəri tonu, sağa baxan;baxan|gəzən qadın|gəzinti|orta-açıq dəri tonu|qadın|sağa|yürüş
	🚶🏽‍♀️‍➡️;gəzən qadın: orta dəri tonu, sağa baxan;baxan|gəzən qadın|gəzinti|orta dəri tonu|qadın|sağa|yürüş
	🚶🏾‍♀️‍➡️;gəzən qadın: orta-tünd dəri tonu, sağa baxan;baxan|gəzən qadın|gəzinti|orta-tünd dəri tonu|qadın|sağa|yürüş
	🚶🏿‍♀️‍➡️;gəzən qadın: tünd dəri tonu, sağa baxan;baxan|gəzən qadın|gəzinti|qadın|sağa|tünd dəri tonu|yürüş
🚶‍♂️‍➡️;gəzən kişi: sağa baxan;baxan|gəzən kişi|gəzinti|kişi|sağa|yürüş
	🚶🏻‍♂️‍➡️;gəzən kişi: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|gəzən kişi|gəzinti|kişi|sağa|yürüş
	🚶🏼‍♂️‍➡️;gəzən kişi: orta-açıq dəri tonu, sağa baxan;baxan|gəzən kişi|gəzinti|kişi|orta-açıq dəri tonu|sağa|yürüş
	🚶🏽‍♂️‍➡️;gəzən kişi: orta dəri tonu, sağa baxan;baxan|gəzən kişi|gəzinti|kişi|orta dəri tonu|sağa|yürüş
	🚶🏾‍♂️‍➡️;gəzən kişi: orta-tünd dəri tonu, sağa baxan;baxan|gəzən kişi|gəzinti|kişi|orta-tünd dəri tonu|sağa|yürüş
	🚶🏿‍♂️‍➡️;gəzən kişi: tünd dəri tonu, sağa baxan;baxan|gəzən kişi|gəzinti|kişi|sağa|tünd dəri tonu|yürüş
🧍;duran adam;ayaq üstə dayanan şəxs|dayanan adam|duran adam|durmaq
	🧍🏻;duran adam: açıq dəri tonu;açıq dəri tonu|ayaq üstə dayanan şəxs|dayanan adam|duran adam|durmaq
	🧍🏼;duran adam: orta-açıq dəri tonu;ayaq üstə dayanan şəxs|dayanan adam|duran adam|durmaq|orta-açıq dəri tonu
	🧍🏽;duran adam: orta dəri tonu;ayaq üstə dayanan şəxs|dayanan adam|duran adam|durmaq|orta dəri tonu
	🧍🏾;duran adam: orta-tünd dəri tonu;ayaq üstə dayanan şəxs|dayanan adam|duran adam|durmaq|orta-tünd dəri tonu
	🧍🏿;duran adam: tünd dəri tonu;ayaq üstə dayanan şəxs|dayanan adam|duran adam|durmaq|tünd dəri tonu
🧍‍♂️;duran kişi;duran|kişi
	🧍🏻‍♂️;duran kişi: açıq dəri tonu;açıq dəri tonu|duran|kişi
	🧍🏼‍♂️;duran kişi: orta-açıq dəri tonu;duran|kişi|orta-açıq dəri tonu
	🧍🏽‍♂️;duran kişi: orta dəri tonu;duran|kişi|orta dəri tonu
	🧍🏾‍♂️;duran kişi: orta-tünd dəri tonu;duran|kişi|orta-tünd dəri tonu
	🧍🏿‍♂️;duran kişi: tünd dəri tonu;duran|kişi|tünd dəri tonu
🧍‍♀️;duran qadın;duran|qadın
	🧍🏻‍♀️;duran qadın: açıq dəri tonu;açıq dəri tonu|duran|qadın
	🧍🏼‍♀️;duran qadın: orta-açıq dəri tonu;duran|orta-açıq dəri tonu|qadın
	🧍🏽‍♀️;duran qadın: orta dəri tonu;duran|orta dəri tonu|qadın
	🧍🏾‍♀️;duran qadın: orta-tünd dəri tonu;duran|orta-tünd dəri tonu|qadın
	🧍🏿‍♀️;duran qadın: tünd dəri tonu;duran|qadın|tünd dəri tonu
🧎;dizi üstündə adam;diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam
	🧎🏻;dizi üstündə adam: açıq dəri tonu;açıq dəri tonu|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam
	🧎🏼;dizi üstündə adam: orta-açıq dəri tonu;diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|orta-açıq dəri tonu
	🧎🏽;dizi üstündə adam: orta dəri tonu;diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|orta dəri tonu
	🧎🏾;dizi üstündə adam: orta-tünd dəri tonu;diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|orta-tünd dəri tonu
	🧎🏿;dizi üstündə adam: tünd dəri tonu;diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|tünd dəri tonu
🧎‍♂️;dizi üstündə kişi;dizi üstündə|dizi üstündə kişi|kişi
	🧎🏻‍♂️;dizi üstündə kişi: açıq dəri tonu;açıq dəri tonu|dizi üstündə|dizi üstündə kişi|kişi
	🧎🏼‍♂️;dizi üstündə kişi: orta-açıq dəri tonu;dizi üstündə|dizi üstündə kişi|kişi|orta-açıq dəri tonu
	🧎🏽‍♂️;dizi üstündə kişi: orta dəri tonu;dizi üstündə|dizi üstündə kişi|kişi|orta dəri tonu
	🧎🏾‍♂️;dizi üstündə kişi: orta-tünd dəri tonu;dizi üstündə|dizi üstündə kişi|kişi|orta-tünd dəri tonu
	🧎🏿‍♂️;dizi üstündə kişi: tünd dəri tonu;dizi üstündə|dizi üstündə kişi|kişi|tünd dəri tonu
🧎‍♀️;dizi üstündə qadın;dizi üstündə|dizi üstündə qadın|qadın
	🧎🏻‍♀️;dizi üstündə qadın: açıq dəri tonu;açıq dəri tonu|dizi üstündə|dizi üstündə qadın|qadın
	🧎🏼‍♀️;dizi üstündə qadın: orta-açıq dəri tonu;dizi üstündə|dizi üstündə qadın|orta-açıq dəri tonu|qadın
	🧎🏽‍♀️;dizi üstündə qadın: orta dəri tonu;dizi üstündə|dizi üstündə qadın|orta dəri tonu|qadın
	🧎🏾‍♀️;dizi üstündə qadın: orta-tünd dəri tonu;dizi üstündə|dizi üstündə qadın|orta-tünd dəri tonu|qadın
	🧎🏿‍♀️;dizi üstündə qadın: tünd dəri tonu;dizi üstündə|dizi üstündə qadın|qadın|tünd dəri tonu
🧎‍➡️;dizi üstündə adam: sağa baxan;baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|sağa
	🧎🏻‍➡️;dizi üstündə adam: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|sağa
	🧎🏼‍➡️;dizi üstündə adam: orta-açıq dəri tonu, sağa baxan;baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|orta-açıq dəri tonu|sağa
	🧎🏽‍➡️;dizi üstündə adam: orta dəri tonu, sağa baxan;baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|orta dəri tonu|sağa
	🧎🏾‍➡️;dizi üstündə adam: orta-tünd dəri tonu, sağa baxan;baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|orta-tünd dəri tonu|sağa
	🧎🏿‍➡️;dizi üstündə adam: tünd dəri tonu, sağa baxan;baxan|diz|dizi üstə oturmuş adam|dizi üstündə|dizi üstündə adam|sağa|tünd dəri tonu
🧎‍♀️‍➡️;dizi üstündə qadın: sağa baxan;baxan|dizi üstündə|dizi üstündə qadın|qadın|sağa
	🧎🏻‍♀️‍➡️;dizi üstündə qadın: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|dizi üstündə|dizi üstündə qadın|qadın|sağa
	🧎🏼‍♀️‍➡️;dizi üstündə qadın: orta-açıq dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə qadın|orta-açıq dəri tonu|qadın|sağa
	🧎🏽‍♀️‍➡️;dizi üstündə qadın: orta dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə qadın|orta dəri tonu|qadın|sağa
	🧎🏾‍♀️‍➡️;dizi üstündə qadın: orta-tünd dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə qadın|orta-tünd dəri tonu|qadın|sağa
	🧎🏿‍♀️‍➡️;dizi üstündə qadın: tünd dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə qadın|qadın|sağa|tünd dəri tonu
🧎‍♂️‍➡️;dizi üstündə kişi: sağa baxan;baxan|dizi üstündə|dizi üstündə kişi|kişi|sağa
	🧎🏻‍♂️‍➡️;dizi üstündə kişi: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|dizi üstündə|dizi üstündə kişi|kişi|sağa
	🧎🏼‍♂️‍➡️;dizi üstündə kişi: orta-açıq dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə kişi|kişi|orta-açıq dəri tonu|sağa
	🧎🏽‍♂️‍➡️;dizi üstündə kişi: orta dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə kişi|kişi|orta dəri tonu|sağa
	🧎🏾‍♂️‍➡️;dizi üstündə kişi: orta-tünd dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə kişi|kişi|orta-tünd dəri tonu|sağa
	🧎🏿‍♂️‍➡️;dizi üstündə kişi: tünd dəri tonu, sağa baxan;baxan|dizi üstündə|dizi üstündə kişi|kişi|sağa|tünd dəri tonu
🧑‍🦯;zondlayan çəlikli adam;ağ çəlikli adam|görmə məhdudiyyətli|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏻‍🦯;zondlayan çəlikli adam: açıq dəri tonu;açıq dəri tonu|ağ çəlikli adam|görmə məhdudiyyətli|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏼‍🦯;zondlayan çəlikli adam: orta-açıq dəri tonu;ağ çəlikli adam|görmə məhdudiyyətli|orta-açıq dəri tonu|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏽‍🦯;zondlayan çəlikli adam: orta dəri tonu;ağ çəlikli adam|görmə məhdudiyyətli|orta dəri tonu|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏾‍🦯;zondlayan çəlikli adam: orta-tünd dəri tonu;ağ çəlikli adam|görmə məhdudiyyətli|orta-tünd dəri tonu|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏿‍🦯;zondlayan çəlikli adam: tünd dəri tonu;ağ çəlikli adam|görmə məhdudiyyətli|tünd dəri tonu|xüsusi funksiyalar|zondlayan çəlikli adam
🧑‍🦯‍➡️;zondlayan çəlikli adam: sağa baxan;ağ çəlikli adam|baxan|görmə məhdudiyyətli|sağa|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏻‍🦯‍➡️;zondlayan çəlikli adam: açıq dəri tonu, sağa baxan;açıq dəri tonu|ağ çəlikli adam|baxan|görmə məhdudiyyətli|sağa|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏼‍🦯‍➡️;zondlayan çəlikli adam: orta-açıq dəri tonu, sağa baxan;ağ çəlikli adam|baxan|görmə məhdudiyyətli|orta-açıq dəri tonu|sağa|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏽‍🦯‍➡️;zondlayan çəlikli adam: orta dəri tonu, sağa baxan;ağ çəlikli adam|baxan|görmə məhdudiyyətli|orta dəri tonu|sağa|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏾‍🦯‍➡️;zondlayan çəlikli adam: orta-tünd dəri tonu, sağa baxan;ağ çəlikli adam|baxan|görmə məhdudiyyətli|orta-tünd dəri tonu|sağa|xüsusi funksiyalar|zondlayan çəlikli adam
	🧑🏿‍🦯‍➡️;zondlayan çəlikli adam: tünd dəri tonu, sağa baxan;ağ çəlikli adam|baxan|görmə məhdudiyyətli|sağa|tünd dəri tonu|xüsusi funksiyalar|zondlayan çəlikli adam
👨‍🦯;zond ilə kişi;çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|zond ilə kişi
	👨🏻‍🦯;zond ilə kişi: açıq dəri tonu;açıq dəri tonu|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|zond ilə kişi
	👨🏼‍🦯;zond ilə kişi: orta-açıq dəri tonu;çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|orta-açıq dəri tonu|zond ilə kişi
	👨🏽‍🦯;zond ilə kişi: orta dəri tonu;çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|orta dəri tonu|zond ilə kişi
	👨🏾‍🦯;zond ilə kişi: orta-tünd dəri tonu;çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|orta-tünd dəri tonu|zond ilə kişi
	👨🏿‍🦯;zond ilə kişi: tünd dəri tonu;çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|tünd dəri tonu|zond ilə kişi
👨‍🦯‍➡️;zond ilə kişi: sağa baxan;baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|sağa|zond ilə kişi
	👨🏻‍🦯‍➡️;zond ilə kişi: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|sağa|zond ilə kişi
	👨🏼‍🦯‍➡️;zond ilə kişi: orta-açıq dəri tonu, sağa baxan;baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|orta-açıq dəri tonu|sağa|zond ilə kişi
	👨🏽‍🦯‍➡️;zond ilə kişi: orta dəri tonu, sağa baxan;baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|orta dəri tonu|sağa|zond ilə kişi
	👨🏾‍🦯‍➡️;zond ilə kişi: orta-tünd dəri tonu, sağa baxan;baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|orta-tünd dəri tonu|sağa|zond ilə kişi
	👨🏿‍🦯‍➡️;zond ilə kişi: tünd dəri tonu, sağa baxan;baxan|çəlik ilə gəzən kişi|görmə qüsurlu şəxs|kişi|kor|sağa|tünd dəri tonu|zond ilə kişi
👩‍🦯;zond ilə qadın;çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|zond ilə qadın
	👩🏻‍🦯;zond ilə qadın: açıq dəri tonu;açıq dəri tonu|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|zond ilə qadın
	👩🏼‍🦯;zond ilə qadın: orta-açıq dəri tonu;çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|orta-açıq dəri tonu|qadın|zond ilə qadın
	👩🏽‍🦯;zond ilə qadın: orta dəri tonu;çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|orta dəri tonu|qadın|zond ilə qadın
	👩🏾‍🦯;zond ilə qadın: orta-tünd dəri tonu;çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|orta-tünd dəri tonu|qadın|zond ilə qadın
	👩🏿‍🦯;zond ilə qadın: tünd dəri tonu;çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|tünd dəri tonu|zond ilə qadın
👩‍🦯‍➡️;zond ilə qadın: sağa baxan;baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|sağa|zond ilə qadın
	👩🏻‍🦯‍➡️;zond ilə qadın: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|sağa|zond ilə qadın
	👩🏼‍🦯‍➡️;zond ilə qadın: orta-açıq dəri tonu, sağa baxan;baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|orta-açıq dəri tonu|qadın|sağa|zond ilə qadın
	👩🏽‍🦯‍➡️;zond ilə qadın: orta dəri tonu, sağa baxan;baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|orta dəri tonu|qadın|sağa|zond ilə qadın
	👩🏾‍🦯‍➡️;zond ilə qadın: orta-tünd dəri tonu, sağa baxan;baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|orta-tünd dəri tonu|qadın|sağa|zond ilə qadın
	👩🏿‍🦯‍➡️;zond ilə qadın: tünd dəri tonu, sağa baxan;baxan|çəlik ilə gəzən qadın|görmə qüsurlu şəxs|kor|qadın|sağa|tünd dəri tonu|zond ilə qadın
🧑‍🦼;motorlu kresloda oturmuş adam;motorlu kresloda oturmuş adam|təkərli kreslo|xüsusi funksiyalar
	🧑🏻‍🦼;motorlu kresloda oturmuş adam: açıq dəri tonu;açıq dəri tonu|motorlu kresloda oturmuş adam|təkərli kreslo|xüsusi funksiyalar
	🧑🏼‍🦼;motorlu kresloda oturmuş adam: orta-açıq dəri tonu;motorlu kresloda oturmuş adam|orta-açıq dəri tonu|təkərli kreslo|xüsusi funksiyalar
	🧑🏽‍🦼;motorlu kresloda oturmuş adam: orta dəri tonu;motorlu kresloda oturmuş adam|orta dəri tonu|təkərli kreslo|xüsusi funksiyalar
	🧑🏾‍🦼;motorlu kresloda oturmuş adam: orta-tünd dəri tonu;motorlu kresloda oturmuş adam|orta-tünd dəri tonu|təkərli kreslo|xüsusi funksiyalar
	🧑🏿‍🦼;motorlu kresloda oturmuş adam: tünd dəri tonu;motorlu kresloda oturmuş adam|təkərli kreslo|tünd dəri tonu|xüsusi funksiyalar
🧑‍🦼‍➡️;motorlu kresloda oturmuş adam: sağa baxan;baxan|motorlu kresloda oturmuş adam|sağa|təkərli kreslo|xüsusi funksiyalar
	🧑🏻‍🦼‍➡️;motorlu kresloda oturmuş adam: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|motorlu kresloda oturmuş adam|sağa|təkərli kreslo|xüsusi funksiyalar
	🧑🏼‍🦼‍➡️;motorlu kresloda oturmuş adam: orta-açıq dəri tonu, sağa baxan;baxan|motorlu kresloda oturmuş adam|orta-açıq dəri tonu|sağa|təkərli kreslo|xüsusi funksiyalar
	🧑🏽‍🦼‍➡️;motorlu kresloda oturmuş adam: orta dəri tonu, sağa baxan;baxan|motorlu kresloda oturmuş adam|orta dəri tonu|sağa|təkərli kreslo|xüsusi funksiyalar
	🧑🏾‍🦼‍➡️;motorlu kresloda oturmuş adam: orta-tünd dəri tonu, sağa baxan;baxan|motorlu kresloda oturmuş adam|orta-tünd dəri tonu|sağa|təkərli kreslo|xüsusi funksiyalar
	🧑🏿‍🦼‍➡️;motorlu kresloda oturmuş adam: tünd dəri tonu, sağa baxan;baxan|motorlu kresloda oturmuş adam|sağa|təkərli kreslo|tünd dəri tonu|xüsusi funksiyalar
👨‍🦼;motorlu oturacaqda kişi;əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda
	👨🏻‍🦼;motorlu oturacaqda kişi: açıq dəri tonu;açıq dəri tonu|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda
	👨🏼‍🦼;motorlu oturacaqda kişi: orta-açıq dəri tonu;əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|orta-açıq dəri tonu|oturacaqda
	👨🏽‍🦼;motorlu oturacaqda kişi: orta dəri tonu;əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|orta dəri tonu|oturacaqda
	👨🏾‍🦼;motorlu oturacaqda kişi: orta-tünd dəri tonu;əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|orta-tünd dəri tonu|oturacaqda
	👨🏿‍🦼;motorlu oturacaqda kişi: tünd dəri tonu;əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda|tünd dəri tonu
👨‍🦼‍➡️;motorlu oturacaqda kişi: sağa baxan;baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda|sağa
	👨🏻‍🦼‍➡️;motorlu oturacaqda kişi: açıq dəri tonu, sağa baxan;açıq dəri tonu|baxan|əlil arabası|kişi|motorlu|motorlu əlil arabasında əyləşmiş kişi|oturacaqda|sağa
