# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
	🏃🏼;走る人: やや薄い肌色;ジョギング|マラソン|やや薄い肌色|ランナー|ランニング|走る人|走る人: やや薄い肌色
	🏃🏽;走る人: 中間の肌色;ジョギング|マラソン|ランナー|ランニング|中間の肌色|走る人|走る人: 中間の肌色
	🏃🏾;走る人: やや濃い肌色;ジョギング|マラソン|やや濃い肌色|ランナー|ランニング|走る人|走る人: やや濃い肌色
	🏃🏿;走る人: 濃い肌色;ジョギング|マラソン|ランナー|ランニング|濃い肌色|走る人|走る人: 濃い肌色
🏃‍♂️;走る男;ジョギング|マラソン|ランナー|ランニング|男性|走る男
	🏃🏻‍♂️;走る男: 薄い肌色;ジョギング|マラソン|ランナー|ランニング|男性|薄い肌色|走る男|走る男: 薄い肌色
	🏃🏼‍♂️;走る男: やや薄い肌色;ジョギング|マラソン|やや薄い肌色|ランナー|ランニング|男性|走る男|走る男: やや薄い肌色
	🏃🏽‍♂️;走る男: 中間の肌色;ジョギング|マラソン|ランナー|ランニング|中間の肌色|男性|走る男|走る男: 中間の肌色
	🏃🏾‍♂️;走る男: やや濃い肌色;ジョギング|マラソン|やや濃い肌色|ランナー|ランニング|男性|走る男|走る男: やや濃い肌色
	🏃🏿‍♂️;走る男: 濃い肌色;ジョギング|マラソン|ランナー|ランニング|濃い肌色|男性|走る男|走る男: 濃い肌色
🏃‍♀️;走る女;ジョギング|マラソン|ランナー|ランニング|女性|走る女
	🏃🏻‍♀️;走る女: 薄い肌色;ジョギング|マラソン|ランナー|ランニング|女性|薄い肌色|走る女|走る女: 薄い肌色
	🏃🏼‍♀️;走る女: やや薄い肌色;ジョギング|マラソン|やや薄い肌色|ランナー|ランニング|女性|走る女|走る女: やや薄い肌色
	🏃🏽‍♀️;走る女: 中間の肌色;ジョギング|マラソン|ランナー|ランニング|中間の肌色|女性|走る女|走る女: 中間の肌色
	🏃🏾‍♀️;走る女: やや濃い肌色;ジョギング|マラソン|やや濃い肌色|ランナー|ランニング|女性|走る女|走る女: やや濃い肌色
	🏃🏿‍♀️;走る女: 濃い肌色;ジョギング|マラソン|ランナー|ランニング|女性|濃い肌色|走る女|走る女: 濃い肌色
🏃‍➡️;走る人 右向き;ジョギング|マラソン|ランナー|ランニング|走る人|走る人 右向き
	🏃🏻‍➡️;走る人 右向き;ジョギング|マラソン|ランナー|ランニング|走る人|走る人 右向き
	🏃🏼‍➡️;走る人 右向き;ジョギング|マラソン|ランナー|ランニング|走る人|走る人 右向き
	🏃🏽‍➡️;走る人 右向き;ジョギング|マラソン|ランナー|ランニング|走る人|走る人 右向き
	🏃🏾‍➡️;走る人 右向き;ジョギング|マラソン|ランナー|ランニング|走る人|走る人 右向き
	🏃🏿‍➡️;走る人 右向き;ジョギング|マラソン|ランナー|ランニング|走る人|走る人 右向き
🏃‍♀️‍➡️;走る女 右向き;ジョギング|マラソン|ランナー|ランニング|女性|走る女|走る女 右向き
	🏃🏻‍♀️‍➡️;走る女 右向き;ジョギング|マラソン|ランナー|ランニング|女性|走る女|走る女 右向き
	🏃🏼‍♀️‍➡️;走る女 右向き;ジョギング|マラソン|ランナー|ランニング|女性|走る女|走る女 右向き
	🏃🏽‍♀️‍➡️;走る女 右向き;ジョギング|マラソン|ランナー|ランニング|女性|走る女|走る女 右向き
	🏃🏾‍♀️‍➡️;走る女 右向き;ジョギング|マラソン|ランナー|ランニング|女性|走る女|走る女 右向き
	🏃🏿‍♀️‍➡️;走る女 右向き;ジョギング|マラソン|ランナー|ランニング|女性|走る女|走る女 右向き
🏃‍♂️‍➡️;走る男 右向き;ジョギング|マラソン|ランナー|ランニング|男性|走る男|走る男 右向き
	🏃🏻‍♂️‍➡️;走る男 右向き;ジョギング|マラソン|ランナー|ランニング|男性|走る男|走る男 右向き
	🏃🏼‍♂️‍➡️;走る男 右向き;ジョギング|マラソン|ランナー|ランニング|男性|走る男|走る男 右向き
	🏃🏽‍♂️‍➡️;走る男 右向き;ジョギング|マラソン|ランナー|ランニング|男性|走る男|走る男 右向き
	🏃🏾‍♂️‍➡️;走る男 右向き;ジョギング|マラソン|ランナー|ランニング|男性|走る男|走る男 右向き
	🏃🏿‍♂️‍➡️;走る男 右向き;ジョギング|マラソン|ランナー|ランニング|男性|走る男|走る男 右向き
💃;踊る女;ダンサー|ダンス|フラメンコ|女性|踊り子|踊る女
	💃🏻;踊る女: 薄い肌色;ダンサー|ダンス|フラメンコ|女性|薄い肌色|踊り子|踊る女|踊る女: 薄い肌色
	💃🏼;踊る女: やや薄い肌色;ダンサー|ダンス|フラメンコ|やや薄い肌色|女性|踊り子|踊る女|踊る女: やや薄い肌色
	💃🏽;踊る女: 中間の肌色;ダンサー|ダンス|フラメンコ|中間の肌色|女性|踊り子|踊る女|踊る女: 中間の肌色
	💃🏾;踊る女: やや濃い肌色;ダンサー|ダンス|フラメンコ|やや濃い肌色|女性|踊り子|踊る女|踊る女: やや濃い肌色
	💃🏿;踊る女: 濃い肌色;ダンサー|ダンス|フラメンコ|女性|濃い肌色|踊り子|踊る女|踊る女: 濃い肌色
🕺;踊る男;ダンサー|ダンス|男|男性|踊る男
	🕺🏻;踊る男: 薄い肌色;ダンサー|ダンス|男|男性|薄い肌色|踊る男|踊る男: 薄い肌色
	🕺🏼;踊る男: やや薄い肌色;ダンサー|ダンス|やや薄い肌色|男|男性|踊る男|踊る男: やや薄い肌色
	🕺🏽;踊る男: 中間の肌色;ダンサー|ダンス|中間の肌色|男|男性|踊る男|踊る男: 中間の肌色
	🕺🏾;踊る男: やや濃い肌色;ダンサー|ダンス|やや濃い肌色|男|男性|踊る男|踊る男: やや濃い肌色
	🕺🏿;踊る男: 濃い肌色;ダンサー|ダンス|濃い肌色|男|男性|踊る男|踊る男: 濃い肌色
🕴️;浮いてるビジネスマン;スーツ|ビジネスマン|浮いてるビジネスマン|男|男性|空中浮遊
	🕴🏻;浮いてるビジネスマン: 薄い肌色;スーツ|ビジネスマン|浮いてるビジネスマン|浮いてるビジネスマン: 薄い肌色|男|男性|空中浮遊|薄い肌色
	🕴🏼;浮いてるビジネスマン: やや薄い肌色;スーツ|ビジネスマン|やや薄い肌色|浮いてるビジネスマン|浮いてるビジネスマン: やや薄い肌色|男|男性|空中浮遊
	🕴🏽;浮いてるビジネスマン: 中間の肌色;スーツ|ビジネスマン|中間の肌色|浮いてるビジネスマン|浮いてるビジネスマン: 中間の肌色|男|男性|空中浮遊
	🕴🏾;浮いてるビジネスマン: やや濃い肌色;スーツ|ビジネスマン|やや濃い肌色|浮いてるビジネスマン|浮いてるビジネスマン: やや濃い肌色|男|男性|空中浮遊
	🕴🏿;浮いてるビジネスマン: 濃い肌色;スーツ|ビジネスマン|浮いてるビジネスマン|浮いてるビジネスマン: 濃い肌色|濃い肌色|男|男性|空中浮遊
👯;バニー;うさ耳|ダンサー|パーティー|バニー|バニーガール|バニーボーイ
👯‍♂️;バニーボーイ;うさ耳|ダンサー|パーティー|バニーボーイ|男|男性
👯‍♀️;バニーガール;うさ耳|ダンサー|パーティー|バニーガール|女|女性
🧖;サウナに入る人;サウナ|サウナに入る人
	🧖🏻;サウナに入る人: 薄い肌色;サウナ|サウナに入る人|サウナに入る人: 薄い肌色|薄い肌色
	🧖🏼;サウナに入る人: やや薄い肌色;サウナ|サウナに入る人|サウナに入る人: やや薄い肌色|やや薄い肌色
	🧖🏽;サウナに入る人: 中間の肌色;サウナ|サウナに入る人|サウナに入る人: 中間の肌色|中間の肌色
	🧖🏾;サウナに入る人: やや濃い肌色;サウナ|サウナに入る人|サウナに入る人: やや濃い肌色|やや濃い肌色
	🧖🏿;サウナに入る人: 濃い肌色;サウナ|サウナに入る人|サウナに入る人: 濃い肌色|濃い肌色
🧖‍♂️;サウナに入る男;サウナ|サウナに入る男|男|男性
	🧖🏻‍♂️;サウナに入る男: 薄い肌色;サウナ|サウナに入る男|サウナに入る男: 薄い肌色|男|男性|薄い肌色
	🧖🏼‍♂️;サウナに入る男: やや薄い肌色;サウナ|サウナに入る男|サウナに入る男: やや薄い肌色|やや薄い肌色|男|男性
	🧖🏽‍♂️;サウナに入る男: 中間の肌色;サウナ|サウナに入る男|サウナに入る男: 中間の肌色|中間の肌色|男|男性
	🧖🏾‍♂️;サウナに入る男: やや濃い肌色;サウナ|サウナに入る男|サウナに入る男: やや濃い肌色|やや濃い肌色|男|男性
	🧖🏿‍♂️;サウナに入る男: 濃い肌色;サウナ|サウナに入る男|サウナに入る男: 濃い肌色|濃い肌色|男|男性
🧖‍♀️;サウナに入る女;サウナ|サウナに入る女|女|女性
	🧖🏻‍♀️;サウナに入る女: 薄い肌色;サウナ|サウナに入る女|サウナに入る女: 薄い肌色|女|女性|薄い肌色
	🧖🏼‍♀️;サウナに入る女: やや薄い肌色;サウナ|サウナに入る女|サウナに入る女: やや薄い肌色|やや薄い肌色|女|女性
	🧖🏽‍♀️;サウナに入る女: 中間の肌色;サウナ|サウナに入る女|サウナに入る女: 中間の肌色|中間の肌色|女|女性
	🧖🏾‍♀️;サウナに入る女: やや濃い肌色;サウナ|サウナに入る女|サウナに入る女: やや濃い肌色|やや濃い肌色|女|女性
	🧖🏿‍♀️;サウナに入る女: 濃い肌色;サウナ|サウナに入る女|サウナに入る女: 濃い肌色|女|女性|濃い肌色
🧗;山を登る人;山を登る人|山登り|登山
	🧗🏻;山を登る人: 薄い肌色;山を登る人|山を登る人: 薄い肌色|山登り|登山|薄い肌色
	🧗🏼;山を登る人: やや薄い肌色;やや薄い肌色|山を登る人|山を登る人: やや薄い肌色|山登り|登山
	🧗🏽;山を登る人: 中間の肌色;中間の肌色|山を登る人|山を登る人: 中間の肌色|山登り|登山
	🧗🏾;山を登る人: やや濃い肌色;やや濃い肌色|山を登る人|山を登る人: やや濃い肌色|山登り|登山
	🧗🏿;山を登る人: 濃い肌色;山を登る人|山を登る人: 濃い肌色|山登り|濃い肌色|登山
🧗‍♂️;山を登る男;山を登る男|山登り|男|男性|登山
	🧗🏻‍♂️;山を登る男: 薄い肌色;山を登る男|山を登る男: 薄い肌色|山登り|男|男性|登山|薄い肌色
	🧗🏼‍♂️;山を登る男: やや薄い肌色;やや薄い肌色|山を登る男|山を登る男: やや薄い肌色|山登り|男|男性|登山
	🧗🏽‍♂️;山を登る男: 中間の肌色;中間の肌色|山を登る男|山を登る男: 中間の肌色|山登り|男|男性|登山
	🧗🏾‍♂️;山を登る男: やや濃い肌色;やや濃い肌色|山を登る男|山を登る男: やや濃い肌色|山登り|男|男性|登山
	🧗🏿‍♂️;山を登る男: 濃い肌色;山を登る男|山を登る男: 濃い肌色|山登り|濃い肌色|男|男性|登山
🧗‍♀️;山を登る女;女|女性|山を登る女|山登り|登山
	🧗🏻‍♀️;山を登る女: 薄い肌色;女|女性|山を登る女|山を登る女: 薄い肌色|山登り|登山|薄い肌色
	🧗🏼‍♀️;山を登る女: やや薄い肌色;やや薄い肌色|女|女性|山を登る女|山を登る女: やや薄い肌色|山登り|登山
	🧗🏽‍♀️;山を登る女: 中間の肌色;中間の肌色|女|女性|山を登る女|山を登る女: 中間の肌色|山登り|登山
	🧗🏾‍♀️;山を登る女: やや濃い肌色;やや濃い肌色|女|女性|山を登る女|山を登る女: やや濃い肌色|山登り|登山
	🧗🏿‍♀️;山を登る女: 濃い肌色;女|女性|山を登る女|山を登る女: 濃い肌色|山登り|濃い肌色|登山
🤺;フェンシングをする人;スポーツ|フェンシング|フェンシングをする人
🏇;競馬;ジョッキー|スポーツ|乗馬|競馬|騎手
	🏇🏻;競馬: 薄い肌色;ジョッキー|スポーツ|乗馬|競馬|競馬: 薄い肌色|薄い肌色|騎手
	🏇🏼;競馬: やや薄い肌色;ジョッキー|スポーツ|やや薄い肌色|乗馬|競馬|競馬: やや薄い肌色|騎手
	🏇🏽;競馬: 中間の肌色;ジョッキー|スポーツ|中間の肌色|乗馬|競馬|競馬: 中間の肌色|騎手
	🏇🏾;競馬: やや濃い肌色;ジョッキー|スポーツ|やや濃い肌色|乗馬|競馬|競馬: やや濃い肌色|騎手
	🏇🏿;競馬: 濃い肌色;ジョッキー|スポーツ|乗馬|濃い肌色|競馬|競馬: 濃い肌色|騎手
⛷️;スキーヤー;スキー|スキーヤー|ストック|スポーツ
🏂;スノーボーダー;スノーボーダー|スノーボード|スノボ|スポーツ
	🏂🏻;スノーボーダー: 薄い肌色;スノーボーダー|スノーボーダー: 薄い肌色|スノーボード|スノボ|スポーツ|薄い肌色
	🏂🏼;スノーボーダー: やや薄い肌色;スノーボーダー|スノーボーダー: やや薄い肌色|スノーボード|スノボ|スポーツ|やや薄い肌色
	🏂🏽;スノーボーダー: 中間の肌色;スノーボーダー|スノーボーダー: 中間の肌色|スノーボード|スノボ|スポーツ|中間の肌色
	🏂🏾;スノーボーダー: やや濃い肌色;スノーボーダー|スノーボーダー: やや濃い肌色|スノーボード|スノボ|スポーツ|やや濃い肌色
	🏂🏿;スノーボーダー: 濃い肌色;スノーボーダー|スノーボーダー: 濃い肌色|スノーボード|スノボ|スポーツ|濃い肌色
🏌️;ゴルフをする人;ゴルフ|ゴルファー|ゴルフをする人|スポーツ
	🏌🏻;ゴルフをする人: 薄い肌色;ゴルフ|ゴルファー|ゴルフをする人|ゴルフをする人: 薄い肌色|スポーツ|薄い肌色
	🏌🏼;ゴルフをする人: やや薄い肌色;ゴルフ|ゴルファー|ゴルフをする人|ゴルフをする人: やや薄い肌色|スポーツ|やや薄い肌色
	🏌🏽;ゴルフをする人: 中間の肌色;ゴルフ|ゴルファー|ゴルフをする人|ゴルフをする人: 中間の肌色|スポーツ|中間の肌色
	🏌🏾;ゴルフをする人: やや濃い肌色;ゴルフ|ゴルファー|ゴルフをする人|ゴルフをする人: やや濃い肌色|スポーツ|やや濃い肌色
	🏌🏿;ゴルフをする人: 濃い肌色;ゴルフ|ゴルファー|ゴルフをする人|ゴルフをする人: 濃い肌色|スポーツ|濃い肌色
🏌️‍♂️;ゴルフをする男;ゴルフ|ゴルファー|ゴルフをする男|スポーツ|男|男性
	🏌🏻‍♂️;ゴルフをする男: 薄い肌色;ゴルフ|ゴルファー|ゴルフをする男|ゴルフをする男: 薄い肌色|スポーツ|男|男性|薄い肌色
	🏌🏼‍♂️;ゴルフをする男: やや薄い肌色;ゴルフ|ゴルファー|ゴルフをする男|ゴルフをする男: やや薄い肌色|スポーツ|やや薄い肌色|男|男性
	🏌🏽‍♂️;ゴルフをする男: 中間の肌色;ゴルフ|ゴルファー|ゴルフをする男|ゴルフをする男: 中間の肌色|スポーツ|中間の肌色|男|男性
	🏌🏾‍♂️;ゴルフをする男: やや濃い肌色;ゴルフ|ゴルファー|ゴルフをする男|ゴルフをする男: やや濃い肌色|スポーツ|やや濃い肌色|男|男性
	🏌🏿‍♂️;ゴルフをする男: 濃い肌色;ゴルフ|ゴルファー|ゴルフをする男|ゴルフをする男: 濃い肌色|スポーツ|濃い肌色|男|男性
🏌️‍♀️;ゴルフをする女;ゴルフ|ゴルファー|ゴルフをする女|スポーツ|女|女性
	🏌🏻‍♀️;ゴルフをする女: 薄い肌色;ゴルフ|ゴルファー|ゴルフをする女|ゴルフをする女: 薄い肌色|スポーツ|女|女性|薄い肌色
	🏌🏼‍♀️;ゴルフをする女: やや薄い肌色;ゴルフ|ゴルファー|ゴルフをする女|ゴルフをする女: やや薄い肌色|スポーツ|やや薄い肌色|女|女性
	🏌🏽‍♀️;ゴルフをする女: 中間の肌色;ゴルフ|ゴルファー|ゴルフをする女|ゴルフをする女: 中間の肌色|スポーツ|中間の肌色|女|女性
	🏌🏾‍♀️;ゴルフをする女: やや濃い肌色;ゴルフ|ゴルファー|ゴルフをする女|ゴルフをする女: やや濃い肌色|スポーツ|やや濃い肌色|女|女性
	🏌🏿‍♀️;ゴルフをする女: 濃い肌色;ゴルフ|ゴルファー|ゴルフをする女|ゴルフをする女: 濃い肌色|スポーツ|女|女性|濃い肌色
🏄;サーフィンする人;サーファー|サーフィン|サーフィンする人|スポーツ|波乗り
	🏄🏻;サーフィンする人: 薄い肌色;サーファー|サーフィン|サーフィンする人|サーフィンする人: 薄い肌色|スポーツ|波乗り|薄い肌色
	🏄🏼;サーフィンする人: やや薄い肌色;サーファー|サーフィン|サーフィンする人|サーフィンする人: やや薄い肌色|スポーツ|やや薄い肌色|波乗り
	🏄🏽;サーフィンする人: 中間の肌色;サーファー|サーフィン|サーフィンする人|サーフィンする人: 中間の肌色|スポーツ|中間の肌色|波乗り
	🏄🏾;サーフィンする人: やや濃い肌色;サーファー|サーフィン|サーフィンする人|サーフィンする人: やや濃い肌色|スポーツ|やや濃い肌色|波乗り
	🏄🏿;サーフィンする人: 濃い肌色;サーファー|サーフィン|サーフィンする人|サーフィンする人: 濃い肌色|スポーツ|波乗り|濃い肌色
🏄‍♂️;サーフィンする男;サーファー|サーフィンする男|スポーツ|波乗り|男|男性
	🏄🏻‍♂️;サーフィンする男: 薄い肌色;サーファー|サーフィンする男|サーフィンする男: 薄い肌色|スポーツ|波乗り|男|男性|薄い肌色
	🏄🏼‍♂️;サーフィンする男: やや薄い肌色;サーファー|サーフィンする男|サーフィンする男: やや薄い肌色|スポーツ|やや薄い肌色|波乗り|男|男性
	🏄🏽‍♂️;サーフィンする男: 中間の肌色;サーファー|サーフィンする男|サーフィンする男: 中間の肌色|スポーツ|中間の肌色|波乗り|男|男性
	🏄🏾‍♂️;サーフィンする男: やや濃い肌色;サーファー|サーフィンする男|サーフィンする男: やや濃い肌色|スポーツ|やや濃い肌色|波乗り|男|男性
	🏄🏿‍♂️;サーフィンする男: 濃い肌色;サーファー|サーフィンする男|サーフィンする男: 濃い肌色|スポーツ|波乗り|濃い肌色|男|男性
🏄‍♀️;サーフィンする女;サーファー|サーフィンする女|スポーツ|女|女性|波乗り
	🏄🏻‍♀️;サーフィンする女: 薄い肌色;サーファー|サーフィンする女|サーフィンする女: 薄い肌色|スポーツ|女|女性|波乗り|薄い肌色
	🏄🏼‍♀️;サーフィンする女: やや薄い肌色;サーファー|サーフィンする女|サーフィンする女: やや薄い肌色|スポーツ|やや薄い肌色|女|女性|波乗り
	🏄🏽‍♀️;サーフィンする女: 中間の肌色;サーファー|サーフィンする女|サーフィンする女: 中間の肌色|スポーツ|中間の肌色|女|女性|波乗り
	🏄🏾‍♀️;サーフィンする女: やや濃い肌色;サーファー|サーフィンする女|サーフィンする女: やや濃い肌色|スポーツ|やや濃い肌色|女|女性|波乗り
	🏄🏿‍♀️;サーフィンする女: 濃い肌色;サーファー|サーフィンする女|サーフィンする女: 濃い肌色|スポーツ|女|女性|波乗り|濃い肌色
🚣;ボートをこぐ人;カヌー|カヤック|スポーツ|ボートをこぐ人|乗り物|船
	🚣🏻;ボートをこぐ人: 薄い肌色;カヌー|カヤック|スポーツ|ボートをこぐ人|ボートをこぐ人: 薄い肌色|乗り物|船|薄い肌色
	🚣🏼;ボートをこぐ人: やや薄い肌色;カヌー|カヤック|スポーツ|ボートをこぐ人|ボートをこぐ人: やや薄い肌色|やや薄い肌色|乗り物|船
	🚣🏽;ボートをこぐ人: 中間の肌色;カヌー|カヤック|スポーツ|ボートをこぐ人|ボートをこぐ人: 中間の肌色|中間の肌色|乗り物|船
	🚣🏾;ボートをこぐ人: やや濃い肌色;カヌー|カヤック|スポーツ|ボートをこぐ人|ボートをこぐ人: やや濃い肌色|やや濃い肌色|乗り物|船
	🚣🏿;ボートをこぐ人: 濃い肌色;カヌー|カヤック|スポーツ|ボートをこぐ人|ボートをこぐ人: 濃い肌色|乗り物|濃い肌色|船
🚣‍♂️;ボートをこぐ男;カヌー|カヤック|スポーツ|ボートをこぐ男|男性|船
	🚣🏻‍♂️;ボートをこぐ男: 薄い肌色;カヌー|カヤック|スポーツ|ボートをこぐ男|ボートをこぐ男: 薄い肌色|男性|船|薄い肌色
	🚣🏼‍♂️;ボートをこぐ男: やや薄い肌色;カヌー|カヤック|スポーツ|ボートをこぐ男|ボートをこぐ男: やや薄い肌色|やや薄い肌色|男性|船
	🚣🏽‍♂️;ボートをこぐ男: 中間の肌色;カヌー|カヤック|スポーツ|ボートをこぐ男|ボートをこぐ男: 中間の肌色|中間の肌色|男性|船
	🚣🏾‍♂️;ボートをこぐ男: やや濃い肌色;カヌー|カヤック|スポーツ|ボートをこぐ男|ボートをこぐ男: やや濃い肌色|やや濃い肌色|男性|船
	🚣🏿‍♂️;ボートをこぐ男: 濃い肌色;カヌー|カヤック|スポーツ|ボートをこぐ男|ボートをこぐ男: 濃い肌色|濃い肌色|男性|船
🚣‍♀️;ボートをこぐ女;カヌー|カヤック|スポーツ|ボートをこぐ女|女性|船
	🚣🏻‍♀️;ボートをこぐ女: 薄い肌色;カヌー|カヤック|スポーツ|ボートをこぐ女|ボートをこぐ女: 薄い肌色|女性|船|薄い肌色
	🚣🏼‍♀️;ボートをこぐ女: やや薄い肌色;カヌー|カヤック|スポーツ|ボートをこぐ女|ボートをこぐ女: やや薄い肌色|やや薄い肌色|女性|船
	🚣🏽‍♀️;ボートをこぐ女: 中間の肌色;カヌー|カヤック|スポーツ|ボートをこぐ女|ボートをこぐ女: 中間の肌色|中間の肌色|女性|船
	🚣🏾‍♀️;ボートをこぐ女: やや濃い肌色;カヌー|カヤック|スポーツ|ボートをこぐ女|ボートをこぐ女: やや濃い肌色|やや濃い肌色|女性|船
	🚣🏿‍♀️;ボートをこぐ女: 濃い肌色;カヌー|カヤック|スポーツ|ボートをこぐ女|ボートをこぐ女: 濃い肌色|女性|濃い肌色|船
🏊;泳ぐ人;スイマー|スイミング|スイム|スポーツ|水泳|泳ぐ人
	🏊🏻;泳ぐ人: 薄い肌色;スイマー|スイミング|スイム|スポーツ|水泳|泳ぐ人|泳ぐ人: 薄い肌色|薄い肌色
	🏊🏼;泳ぐ人: やや薄い肌色;スイマー|スイミング|スイム|スポーツ|やや薄い肌色|水泳|泳ぐ人|泳ぐ人: やや薄い肌色
	🏊🏽;泳ぐ人: 中間の肌色;スイマー|スイミング|スイム|スポーツ|中間の肌色|水泳|泳ぐ人|泳ぐ人: 中間の肌色
	🏊🏾;泳ぐ人: やや濃い肌色;スイマー|スイミング|スイム|スポーツ|やや濃い肌色|水泳|泳ぐ人|泳ぐ人: やや濃い肌色
	🏊🏿;泳ぐ人: 濃い肌色;スイマー|スイミング|スイム|スポーツ|水泳|泳ぐ人|泳ぐ人: 濃い肌色|濃い肌色
🏊‍♂️;泳ぐ男;スイマー|スイミング|スイム|スポーツ|水泳|泳ぐ男|男性
	🏊🏻‍♂️;泳ぐ男: 薄い肌色;スイマー|スイミング|スイム|スポーツ|水泳|泳ぐ男|泳ぐ男: 薄い肌色|男性|薄い肌色
	🏊🏼‍♂️;泳ぐ男: やや薄い肌色;スイマー|スイミング|スイム|スポーツ|やや薄い肌色|水泳|泳ぐ男|泳ぐ男: やや薄い肌色|男性
	🏊🏽‍♂️;泳ぐ男: 中間の肌色;スイマー|スイミング|スイム|スポーツ|中間の肌色|水泳|泳ぐ男|泳ぐ男: 中間の肌色|男性
	🏊🏾‍♂️;泳ぐ男: やや濃い肌色;スイマー|スイミング|スイム|スポーツ|やや濃い肌色|水泳|泳ぐ男|泳ぐ男: やや濃い肌色|男性
	🏊🏿‍♂️;泳ぐ男: 濃い肌色;スイマー|スイミング|スイム|スポーツ|水泳|泳ぐ男|泳ぐ男: 濃い肌色|濃い肌色|男性
🏊‍♀️;泳ぐ女;スイマー|スイミング|スイム|スポーツ|女性|水泳|泳ぐ女
	🏊🏻‍♀️;泳ぐ女: 薄い肌色;スイマー|スイミング|スイム|スポーツ|女性|水泳|泳ぐ女|泳ぐ女: 薄い肌色|薄い肌色
	🏊🏼‍♀️;泳ぐ女: やや薄い肌色;スイマー|スイミング|スイム|スポーツ|やや薄い肌色|女性|水泳|泳ぐ女|泳ぐ女: やや薄い肌色
	🏊🏽‍♀️;泳ぐ女: 中間の肌色;スイマー|スイミング|スイム|スポーツ|中間の肌色|女性|水泳|泳ぐ女|泳ぐ女: 中間の肌色
	🏊🏾‍♀️;泳ぐ女: やや濃い肌色;スイマー|スイミング|スイム|スポーツ|やや濃い肌色|女性|水泳|泳ぐ女|泳ぐ女: やや濃い肌色
	🏊🏿‍♀️;泳ぐ女: 濃い肌色;スイマー|スイミング|スイム|スポーツ|女性|水泳|泳ぐ女|泳ぐ女: 濃い肌色|濃い肌色
⛹️;バスケットボールをする人;スポーツ|バスケ|バスケットボール|バスケットボールをする人|球技
	⛹🏻;バスケットボールをする人: 薄い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする人|バスケットボールをする人: 薄い肌色|球技|薄い肌色
	⛹🏼;バスケットボールをする人: やや薄い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする人|バスケットボールをする人: やや薄い肌色|やや薄い肌色|球技
	⛹🏽;バスケットボールをする人: 中間の肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする人|バスケットボールをする人: 中間の肌色|中間の肌色|球技
	⛹🏾;バスケットボールをする人: やや濃い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする人|バスケットボールをする人: やや濃い肌色|やや濃い肌色|球技
	⛹🏿;バスケットボールをする人: 濃い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする人|バスケットボールをする人: 濃い肌色|濃い肌色|球技
⛹️‍♂️;バスケットボールをする男;スポーツ|バスケ|バスケットボール|バスケットボールをする男|球技|男性
	⛹🏻‍♂️;バスケットボールをする男: 薄い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする男|バスケットボールをする男: 薄い肌色|球技|男性|薄い肌色
	⛹🏼‍♂️;バスケットボールをする男: やや薄い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする男|バスケットボールをする男: やや薄い肌色|やや薄い肌色|球技|男性
	⛹🏽‍♂️;バスケットボールをする男: 中間の肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする男|バスケットボールをする男: 中間の肌色|中間の肌色|球技|男性
	⛹🏾‍♂️;バスケットボールをする男: やや濃い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする男|バスケットボールをする男: やや濃い肌色|やや濃い肌色|球技|男性
	⛹🏿‍♂️;バスケットボールをする男: 濃い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする男|バスケットボールをする男: 濃い肌色|濃い肌色|球技|男性
⛹️‍♀️;バスケットボールをする女;スポーツ|バスケ|バスケットボール|バスケットボールをする女|女性|球技
	⛹🏻‍♀️;バスケットボールをする女: 薄い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする女|バスケットボールをする女: 薄い肌色|女性|球技|薄い肌色
	⛹🏼‍♀️;バスケットボールをする女: やや薄い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする女|バスケットボールをする女: やや薄い肌色|やや薄い肌色|女性|球技
	⛹🏽‍♀️;バスケットボールをする女: 中間の肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする女|バスケットボールをする女: 中間の肌色|中間の肌色|女性|球技
	⛹🏾‍♀️;バスケットボールをする女: やや濃い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする女|バスケットボールをする女: やや濃い肌色|やや濃い肌色|女性|球技
	⛹🏿‍♀️;バスケットボールをする女: 濃い肌色;スポーツ|バスケ|バスケットボール|バスケットボールをする女|バスケットボールをする女: 濃い肌色|女性|濃い肌色|球技
🏋️;重量挙げをする人;ウェイトリフティング|スポーツ|重量挙げ|重量挙げをする人
	🏋🏻;重量挙げをする人: 薄い肌色;ウェイトリフティング|スポーツ|薄い肌色|重量挙げ|重量挙げをする人|重量挙げをする人: 薄い肌色
