[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	👨🏻‍🦽‍➡️;manual oturacaqda kişi sağa baxan;kişi|manual|manual oturacaqda kişi sağa baxan|oturacaqda
	👨🏼‍🦽‍➡️;manual oturacaqda kişi sağa baxan;kişi|manual|manual oturacaqda kişi sağa baxan|oturacaqda
	👨🏽‍🦽‍➡️;manual oturacaqda kişi sağa baxan;kişi|manual|manual oturacaqda kişi sağa baxan|oturacaqda
	👨🏾‍🦽‍➡️;manual oturacaqda kişi sağa baxan;kişi|manual|manual oturacaqda kişi sağa baxan|oturacaqda
	👨🏿‍🦽‍➡️;manual oturacaqda kişi sağa baxan;kişi|manual|manual oturacaqda kişi sağa baxan|oturacaqda
👩‍🦽;manual oturacaqda qadın;manual|oturacaqda|qadın
	👩🏻‍🦽;manual oturacaqda qadın: açıq dəri tonu;açıq dəri tonu|manual|manual oturacaqda qadın: açıq dəri tonu|oturacaqda|qadın
	👩🏼‍🦽;manual oturacaqda qadın: orta-açıq dəri tonu;manual|manual oturacaqda qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|oturacaqda|qadın
	👩🏽‍🦽;manual oturacaqda qadın: orta dəri tonu;manual|manual oturacaqda qadın: orta dəri tonu|orta dəri tonu|oturacaqda|qadın
	👩🏾‍🦽;manual oturacaqda qadın: orta-tünd dəri tonu;manual|manual oturacaqda qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|oturacaqda|qadın
	👩🏿‍🦽;manual oturacaqda qadın: tünd dəri tonu;manual|manual oturacaqda qadın: tünd dəri tonu|oturacaqda|qadın|tünd dəri tonu
👩‍🦽‍➡️;manual oturacaqda qadın sağa baxan;manual|manual oturacaqda qadın sağa baxan|oturacaqda|qadın
	👩🏻‍🦽‍➡️;manual oturacaqda qadın sağa baxan;manual|manual oturacaqda qadın sağa baxan|oturacaqda|qadın
	👩🏼‍🦽‍➡️;manual oturacaqda qadın sağa baxan;manual|manual oturacaqda qadın sağa baxan|oturacaqda|qadın
	👩🏽‍🦽‍➡️;manual oturacaqda qadın sağa baxan;manual|manual oturacaqda qadın sağa baxan|oturacaqda|qadın
	👩🏾‍🦽‍➡️;manual oturacaqda qadın sağa baxan;manual|manual oturacaqda qadın sağa baxan|oturacaqda|qadın
	👩🏿‍🦽‍➡️;manual oturacaqda qadın sağa baxan;manual|manual oturacaqda qadın sağa baxan|oturacaqda|qadın
🏃;atlet;atlet|marafon|qaçış
	🏃🏻;atlet: açıq dəri tonu;açıq dəri tonu|atlet|atlet: açıq dəri tonu|marafon|qaçış
	🏃🏼;atlet: orta-açıq dəri tonu;atlet|atlet: orta-açıq dəri tonu|marafon|orta-açıq dəri tonu|qaçış
	🏃🏽;atlet: orta dəri tonu;atlet|atlet: orta dəri tonu|marafon|orta dəri tonu|qaçış
	🏃🏾;atlet: orta-tünd dəri tonu;atlet|atlet: orta-tünd dəri tonu|marafon|orta-tünd dəri tonu|qaçış
	🏃🏿;atlet: tünd dəri tonu;atlet|atlet: tünd dəri tonu|marafon|qaçış|tünd dəri tonu
🏃‍♂️;qaçan kişi;kişi|marafon|qaçan kişi|qaçış|yarış
	🏃🏻‍♂️;qaçan kişi: açıq dəri tonu;açıq dəri tonu|kişi|marafon|qaçan kişi|qaçan kişi: açıq dəri tonu|qaçış|yarış
	🏃🏼‍♂️;qaçan kişi: orta-açıq dəri tonu;kişi|marafon|orta-açıq dəri tonu|qaçan kişi|qaçan kişi: orta-açıq dəri tonu|qaçış|yarış
	🏃🏽‍♂️;qaçan kişi: orta dəri tonu;kişi|marafon|orta dəri tonu|qaçan kişi|qaçan kişi: orta dəri tonu|qaçış|yarış
	🏃🏾‍♂️;qaçan kişi: orta-tünd dəri tonu;kişi|marafon|orta-tünd dəri tonu|qaçan kişi|qaçan kişi: orta-tünd dəri tonu|qaçış|yarış
	🏃🏿‍♂️;qaçan kişi: tünd dəri tonu;kişi|marafon|qaçan kişi|qaçan kişi: tünd dəri tonu|qaçış|tünd dəri tonu|yarış
🏃‍♀️;qaçan qadın;marafon|qaçan qadın|qaçış|qadın|yarış
	🏃🏻‍♀️;qaçan qadın: açıq dəri tonu;açıq dəri tonu|marafon|qaçan qadın|qaçan qadın: açıq dəri tonu|qaçış|qadın|yarış
	🏃🏼‍♀️;qaçan qadın: orta-açıq dəri tonu;marafon|orta-açıq dəri tonu|qaçan qadın|qaçan qadın: orta-açıq dəri tonu|qaçış|qadın|yarış
	🏃🏽‍♀️;qaçan qadın: orta dəri tonu;marafon|orta dəri tonu|qaçan qadın|qaçan qadın: orta dəri tonu|qaçış|qadın|yarış
	🏃🏾‍♀️;qaçan qadın: orta-tünd dəri tonu;marafon|orta-tünd dəri tonu|qaçan qadın|qaçan qadın: orta-tünd dəri tonu|qaçış|qadın|yarış
	🏃🏿‍♀️;qaçan qadın: tünd dəri tonu;marafon|qaçan qadın|qaçan qadın: tünd dəri tonu|qaçış|qadın|tünd dəri tonu|yarış
🏃‍➡️;atlet sağa baxan;atlet|atlet sağa baxan|marafon|qaçış
	🏃🏻‍➡️;atlet sağa baxan;atlet|atlet sağa baxan|marafon|qaçış
	🏃🏼‍➡️;atlet sağa baxan;atlet|atlet sağa baxan|marafon|qaçış
	🏃🏽‍➡️;atlet sağa baxan;atlet|atlet sağa baxan|marafon|qaçış
	🏃🏾‍➡️;atlet sağa baxan;atlet|atlet sağa baxan|marafon|qaçış
	🏃🏿‍➡️;atlet sağa baxan;atlet|atlet sağa baxan|marafon|qaçış
🏃‍♀️‍➡️;qaçan qadın sağa baxan;marafon|qaçan qadın|qaçan qadın sağa baxan|qaçış|qadın|yarış
	🏃🏻‍♀️‍➡️;qaçan qadın sağa baxan;marafon|qaçan qadın|qaçan qadın sağa baxan|qaçış|qadın|yarış
	🏃🏼‍♀️‍➡️;qaçan qadın sağa baxan;marafon|qaçan qadın|qaçan qadın sağa baxan|qaçış|qadın|yarış
	🏃🏽‍♀️‍➡️;qaçan qadın sağa baxan;marafon|qaçan qadın|qaçan qadın sağa baxan|qaçış|qadın|yarış
	🏃🏾‍♀️‍➡️;qaçan qadın sağa baxan;marafon|qaçan qadın|qaçan qadın sağa baxan|qaçış|qadın|yarış
	🏃🏿‍♀️‍➡️;qaçan qadın sağa baxan;marafon|qaçan qadın|qaçan qadın sağa baxan|qaçış|qadın|yarış
🏃‍♂️‍➡️;qaçan kişi sağa baxan;kişi|marafon|qaçan kişi|qaçan kişi sağa baxan|qaçış|yarış
	🏃🏻‍♂️‍➡️;qaçan kişi sağa baxan;kişi|marafon|qaçan kişi|qaçan kişi sağa baxan|qaçış|yarış
	🏃🏼‍♂️‍➡️;qaçan kişi sağa baxan;kişi|marafon|qaçan kişi|qaçan kişi sağa baxan|qaçış|yarış
	🏃🏽‍♂️‍➡️;qaçan kişi sağa baxan;kişi|marafon|qaçan kişi|qaçan kişi sağa baxan|qaçış|yarış
	🏃🏾‍♂️‍➡️;qaçan kişi sağa baxan;kişi|marafon|qaçan kişi|qaçan kişi sağa baxan|qaçış|yarış
	🏃🏿‍♂️‍➡️;qaçan kişi sağa baxan;kişi|marafon|qaçan kişi|qaçan kişi sağa baxan|qaçış|yarış
💃;rəqs edən qadın;qadın|rəqs|rəqs edən qadın
	💃🏻;rəqs edən qadın: açıq dəri tonu;açıq dəri tonu|qadın|rəqs|rəqs edən qadın|rəqs edən qadın: açıq dəri tonu
	💃🏼;rəqs edən qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|rəqs|rəqs edən qadın|rəqs edən qadın: orta-açıq dəri tonu
	💃🏽;rəqs edən qadın: orta dəri tonu;orta dəri tonu|qadın|rəqs|rəqs edən qadın|rəqs edən qadın: orta dəri tonu
	💃🏾;rəqs edən qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|rəqs|rəqs edən qadın|rəqs edən qadın: orta-tünd dəri tonu
	💃🏿;rəqs edən qadın: tünd dəri tonu;qadın|rəqs|rəqs edən qadın|rəqs edən qadın: tünd dəri tonu|tünd dəri tonu
🕺;əylənən kişilər;əylənən kişilər|kişi|mahnı|rəqs
	🕺🏻;əylənən kişilər: açıq dəri tonu;açıq dəri tonu|əylənən kişilər|əylənən kişilər: açıq dəri tonu|kişi|mahnı|rəqs
	🕺🏼;əylənən kişilər: orta-açıq dəri tonu;əylənən kişilər|əylənən kişilər: orta-açıq dəri tonu|kişi|mahnı|orta-açıq dəri tonu|rəqs
	🕺🏽;əylənən kişilər: orta dəri tonu;əylənən kişilər|əylənən kişilər: orta dəri tonu|kişi|mahnı|orta dəri tonu|rəqs
	🕺🏾;əylənən kişilər: orta-tünd dəri tonu;əylənən kişilər|əylənən kişilər: orta-tünd dəri tonu|kişi|mahnı|orta-tünd dəri tonu|rəqs
	🕺🏿;əylənən kişilər: tünd dəri tonu;əylənən kişilər|əylənən kişilər: tünd dəri tonu|kişi|mahnı|rəqs|tünd dəri tonu
🕴️;işgüzar kostyumlu kişi;biznes|işgüzar kostyumlu kişi|kişi|kostyum
	🕴🏻;işgüzar kostyumlu kişi: açıq dəri tonu;açıq dəri tonu|biznes|işgüzar kostyumlu kişi|işgüzar kostyumlu kişi: açıq dəri tonu|kişi|kostyum
	🕴🏼;işgüzar kostyumlu kişi: orta-açıq dəri tonu;biznes|işgüzar kostyumlu kişi|işgüzar kostyumlu kişi: orta-açıq dəri tonu|kişi|kostyum|orta-açıq dəri tonu
	🕴🏽;işgüzar kostyumlu kişi: orta dəri tonu;biznes|işgüzar kostyumlu kişi|işgüzar kostyumlu kişi: orta dəri tonu|kişi|kostyum|orta dəri tonu
	🕴🏾;işgüzar kostyumlu kişi: orta-tünd dəri tonu;biznes|işgüzar kostyumlu kişi|işgüzar kostyumlu kişi: orta-tünd dəri tonu|kişi|kostyum|orta-tünd dəri tonu
	🕴🏿;işgüzar kostyumlu kişi: tünd dəri tonu;biznes|işgüzar kostyumlu kişi|işgüzar kostyumlu kişi: tünd dəri tonu|kişi|kostyum|tünd dəri tonu
👯;şənlənən qadınlar;dovşan|qadın|qız|qulaq|rəqqasə|şənlənən qadınlar
👯‍♂️;rəqs edən kişi;dovşan qulaq|kişi|parti|rəqqas|rəqs edən kişi
👯‍♀️;rəqs edən qadınlar;dovşan qulaq|parti|qadın|rəqqasə|rəqs edən qadınlar
🧖;buxarlı otaqda adam;buxarlı otaq|buxarlı otaqda adam|sauna
	🧖🏻;buxarlı otaqda adam: açıq dəri tonu;açıq dəri tonu|buxarlı otaq|buxarlı otaqda adam|buxarlı otaqda adam: açıq dəri tonu|sauna
	🧖🏼;buxarlı otaqda adam: orta-açıq dəri tonu;buxarlı otaq|buxarlı otaqda adam|buxarlı otaqda adam: orta-açıq dəri tonu|orta-açıq dəri tonu|sauna
	🧖🏽;buxarlı otaqda adam: orta dəri tonu;buxarlı otaq|buxarlı otaqda adam|buxarlı otaqda adam: orta dəri tonu|orta dəri tonu|sauna
	🧖🏾;buxarlı otaqda adam: orta-tünd dəri tonu;buxarlı otaq|buxarlı otaqda adam|buxarlı otaqda adam: orta-tünd dəri tonu|orta-tünd dəri tonu|sauna
	🧖🏿;buxarlı otaqda adam: tünd dəri tonu;buxarlı otaq|buxarlı otaqda adam|buxarlı otaqda adam: tünd dəri tonu|sauna|tünd dəri tonu
🧖‍♂️;buxarlı otaqda kişi;buxarlı otaq|buxarlı otaqda kişi|sauna
	🧖🏻‍♂️;buxarlı otaqda kişi: açıq dəri tonu;açıq dəri tonu|buxarlı otaq|buxarlı otaqda kişi|buxarlı otaqda kişi: açıq dəri tonu|sauna
	🧖🏼‍♂️;buxarlı otaqda kişi: orta-açıq dəri tonu;buxarlı otaq|buxarlı otaqda kişi|buxarlı otaqda kişi: orta-açıq dəri tonu|orta-açıq dəri tonu|sauna
	🧖🏽‍♂️;buxarlı otaqda kişi: orta dəri tonu;buxarlı otaq|buxarlı otaqda kişi|buxarlı otaqda kişi: orta dəri tonu|orta dəri tonu|sauna
	🧖🏾‍♂️;buxarlı otaqda kişi: orta-tünd dəri tonu;buxarlı otaq|buxarlı otaqda kişi|buxarlı otaqda kişi: orta-tünd dəri tonu|orta-tünd dəri tonu|sauna
	🧖🏿‍♂️;buxarlı otaqda kişi: tünd dəri tonu;buxarlı otaq|buxarlı otaqda kişi|buxarlı otaqda kişi: tünd dəri tonu|sauna|tünd dəri tonu
🧖‍♀️;buxarlı otaqda qadın;buxarlı otaq|buxarlı otaqda qadın|sauna
	🧖🏻‍♀️;buxarlı otaqda qadın: açıq dəri tonu;açıq dəri tonu|buxarlı otaq|buxarlı otaqda qadın|buxarlı otaqda qadın: açıq dəri tonu|sauna
	🧖🏼‍♀️;buxarlı otaqda qadın: orta-açıq dəri tonu;buxarlı otaq|buxarlı otaqda qadın|buxarlı otaqda qadın: orta-açıq dəri tonu|orta-açıq dəri tonu|sauna
	🧖🏽‍♀️;buxarlı otaqda qadın: orta dəri tonu;buxarlı otaq|buxarlı otaqda qadın|buxarlı otaqda qadın: orta dəri tonu|orta dəri tonu|sauna
	🧖🏾‍♀️;buxarlı otaqda qadın: orta-tünd dəri tonu;buxarlı otaq|buxarlı otaqda qadın|buxarlı otaqda qadın: orta-tünd dəri tonu|orta-tünd dəri tonu|sauna
	🧖🏿‍♀️;buxarlı otaqda qadın: tünd dəri tonu;buxarlı otaq|buxarlı otaqda qadın|buxarlı otaqda qadın: tünd dəri tonu|sauna|tünd dəri tonu
🧗;dırmaşan adam;dırmaşan|dırmaşan adam
	🧗🏻;dırmaşan adam: açıq dəri tonu;açıq dəri tonu|dırmaşan|dırmaşan adam|dırmaşan adam: açıq dəri tonu
	🧗🏼;dırmaşan adam: orta-açıq dəri tonu;dırmaşan|dırmaşan adam|dırmaşan adam: orta-açıq dəri tonu|orta-açıq dəri tonu
	🧗🏽;dırmaşan adam: orta dəri tonu;dırmaşan|dırmaşan adam|dırmaşan adam: orta dəri tonu|orta dəri tonu
	🧗🏾;dırmaşan adam: orta-tünd dəri tonu;dırmaşan|dırmaşan adam|dırmaşan adam: orta-tünd dəri tonu|orta-tünd dəri tonu
	🧗🏿;dırmaşan adam: tünd dəri tonu;dırmaşan|dırmaşan adam|dırmaşan adam: tünd dəri tonu|tünd dəri tonu
🧗‍♂️;dırmaşan kişi;dırmaşan|dırmaşan kişi
	🧗🏻‍♂️;dırmaşan kişi: açıq dəri tonu;açıq dəri tonu|dırmaşan|dırmaşan kişi|dırmaşan kişi: açıq dəri tonu
	🧗🏼‍♂️;dırmaşan kişi: orta-açıq dəri tonu;dırmaşan|dırmaşan kişi|dırmaşan kişi: orta-açıq dəri tonu|orta-açıq dəri tonu
	🧗🏽‍♂️;dırmaşan kişi: orta dəri tonu;dırmaşan|dırmaşan kişi|dırmaşan kişi: orta dəri tonu|orta dəri tonu
	🧗🏾‍♂️;dırmaşan kişi: orta-tünd dəri tonu;dırmaşan|dırmaşan kişi|dırmaşan kişi: orta-tünd dəri tonu|orta-tünd dəri tonu
	🧗🏿‍♂️;dırmaşan kişi: tünd dəri tonu;dırmaşan|dırmaşan kişi|dırmaşan kişi: tünd dəri tonu|tünd dəri tonu
🧗‍♀️;dırmaşan qadın;dırmaşan|dırmaşan qadın
	🧗🏻‍♀️;dırmaşan qadın: açıq dəri tonu;açıq dəri tonu|dırmaşan|dırmaşan qadın|dırmaşan qadın: açıq dəri tonu
	🧗🏼‍♀️;dırmaşan qadın: orta-açıq dəri tonu;dırmaşan|dırmaşan qadın|dırmaşan qadın: orta-açıq dəri tonu|orta-açıq dəri tonu
	🧗🏽‍♀️;dırmaşan qadın: orta dəri tonu;dırmaşan|dırmaşan qadın|dırmaşan qadın: orta dəri tonu|orta dəri tonu
	🧗🏾‍♀️;dırmaşan qadın: orta-tünd dəri tonu;dırmaşan|dırmaşan qadın|dırmaşan qadın: orta-tünd dəri tonu|orta-tünd dəri tonu
	🧗🏿‍♀️;dırmaşan qadın: tünd dəri tonu;dırmaşan|dırmaşan qadın|dırmaşan qadın: tünd dəri tonu|tünd dəri tonu
🤺;qılınc oynatma;idman|qılınc|qılınc oynatma|yarışma
🏇;at yarışı;at|at yarışı|jokey|yarış|yarış atı
	🏇🏻;at yarışı: açıq dəri tonu;açıq dəri tonu|at|at yarışı|at yarışı: açıq dəri tonu|jokey|yarış|yarış atı
	🏇🏼;at yarışı: orta-açıq dəri tonu;at|at yarışı|at yarışı: orta-açıq dəri tonu|jokey|orta-açıq dəri tonu|yarış|yarış atı
	🏇🏽;at yarışı: orta dəri tonu;at|at yarışı|at yarışı: orta dəri tonu|jokey|orta dəri tonu|yarış|yarış atı
	🏇🏾;at yarışı: orta-tünd dəri tonu;at|at yarışı|at yarışı: orta-tünd dəri tonu|jokey|orta-tünd dəri tonu|yarış|yarış atı
	🏇🏿;at yarışı: tünd dəri tonu;at|at yarışı|at yarışı: tünd dəri tonu|jokey|tünd dəri tonu|yarış|yarış atı
⛷️;xizəkçi;qar|xizək|xizəkçi
🏂;snouborder;qar|snouborder|snoubort|xizək
	🏂🏻;snouborder: açıq dəri tonu;açıq dəri tonu|qar|snouborder|snouborder: açıq dəri tonu|snoubort|xizək
	🏂🏼;snouborder: orta-açıq dəri tonu;orta-açıq dəri tonu|qar|snouborder|snouborder: orta-açıq dəri tonu|snoubort|xizək
	🏂🏽;snouborder: orta dəri tonu;orta dəri tonu|qar|snouborder|snouborder: orta dəri tonu|snoubort|xizək
	🏂🏾;snouborder: orta-tünd dəri tonu;orta-tünd dəri tonu|qar|snouborder|snouborder: orta-tünd dəri tonu|snoubort|xizək
	🏂🏿;snouborder: tünd dəri tonu;qar|snouborder|snouborder: tünd dəri tonu|snoubort|tünd dəri tonu|xizək
🏌️;qolf oynayan;qolf|qolf oynayan|top
	🏌🏻;qolf oynayan: açıq dəri tonu;açıq dəri tonu|qolf|qolf oynayan|qolf oynayan: açıq dəri tonu|top
	🏌🏼;qolf oynayan: orta-açıq dəri tonu;orta-açıq dəri tonu|qolf|qolf oynayan|qolf oynayan: orta-açıq dəri tonu|top
	🏌🏽;qolf oynayan: orta dəri tonu;orta dəri tonu|qolf|qolf oynayan|qolf oynayan: orta dəri tonu|top
	🏌🏾;qolf oynayan: orta-tünd dəri tonu;orta-tünd dəri tonu|qolf|qolf oynayan|qolf oynayan: orta-tünd dəri tonu|top
	🏌🏿;qolf oynayan: tünd dəri tonu;qolf|qolf oynayan|qolf oynayan: tünd dəri tonu|top|tünd dəri tonu
🏌️‍♂️;qolfçu kişi;kişi|qolf|qolfçu kişi
	🏌🏻‍♂️;qolfçu kişi: açıq dəri tonu;açıq dəri tonu|kişi|qolf|qolfçu kişi|qolfçu kişi: açıq dəri tonu
	🏌🏼‍♂️;qolfçu kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|qolf|qolfçu kişi|qolfçu kişi: orta-açıq dəri tonu
	🏌🏽‍♂️;qolfçu kişi: orta dəri tonu;kişi|orta dəri tonu|qolf|qolfçu kişi|qolfçu kişi: orta dəri tonu
	🏌🏾‍♂️;qolfçu kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|qolf|qolfçu kişi|qolfçu kişi: orta-tünd dəri tonu
	🏌🏿‍♂️;qolfçu kişi: tünd dəri tonu;kişi|qolf|qolfçu kişi|qolfçu kişi: tünd dəri tonu|tünd dəri tonu
🏌️‍♀️;qolfçu qadın;qadın|qolf|qolfçu qadın
	🏌🏻‍♀️;qolfçu qadın: açıq dəri tonu;açıq dəri tonu|qadın|qolf|qolfçu qadın|qolfçu qadın: açıq dəri tonu
	🏌🏼‍♀️;qolfçu qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|qolf|qolfçu qadın|qolfçu qadın: orta-açıq dəri tonu
	🏌🏽‍♀️;qolfçu qadın: orta dəri tonu;orta dəri tonu|qadın|qolf|qolfçu qadın|qolfçu qadın: orta dəri tonu
	🏌🏾‍♀️;qolfçu qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|qolf|qolfçu qadın|qolfçu qadın: orta-tünd dəri tonu
	🏌🏿‍♀️;qolfçu qadın: tünd dəri tonu;qadın|qolf|qolfçu qadın|qolfçu qadın: tünd dəri tonu|tünd dəri tonu
🏄;sörfer;sörfer|sörfinq
	🏄🏻;sörfer: açıq dəri tonu;açıq dəri tonu|sörfer|sörfer: açıq dəri tonu|sörfinq
	🏄🏼;sörfer: orta-açıq dəri tonu;orta-açıq dəri tonu|sörfer|sörfer: orta-açıq dəri tonu|sörfinq
	🏄🏽;sörfer: orta dəri tonu;orta dəri tonu|sörfer|sörfer: orta dəri tonu|sörfinq
	🏄🏾;sörfer: orta-tünd dəri tonu;orta-tünd dəri tonu|sörfer|sörfer: orta-tünd dəri tonu|sörfinq
	🏄🏿;sörfer: tünd dəri tonu;sörfer|sörfer: tünd dəri tonu|sörfinq|tünd dəri tonu
🏄‍♂️;sörfçü kişi;kişi|sörfçü kişi|sörfinq
	🏄🏻‍♂️;sörfçü kişi: açıq dəri tonu;açıq dəri tonu|kişi|sörfçü kişi|sörfçü kişi: açıq dəri tonu|sörfinq
	🏄🏼‍♂️;sörfçü kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|sörfçü kişi|sörfçü kişi: orta-açıq dəri tonu|sörfinq
	🏄🏽‍♂️;sörfçü kişi: orta dəri tonu;kişi|orta dəri tonu|sörfçü kişi|sörfçü kişi: orta dəri tonu|sörfinq
	🏄🏾‍♂️;sörfçü kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|sörfçü kişi|sörfçü kişi: orta-tünd dəri tonu|sörfinq
	🏄🏿‍♂️;sörfçü kişi: tünd dəri tonu;kişi|sörfçü kişi|sörfçü kişi: tünd dəri tonu|sörfinq|tünd dəri tonu
🏄‍♀️;sörfçü qadın;qadın|sörfçü qadın|sörfinq
	🏄🏻‍♀️;sörfçü qadın: açıq dəri tonu;açıq dəri tonu|qadın|sörfçü qadın|sörfçü qadın: açıq dəri tonu|sörfinq
	🏄🏼‍♀️;sörfçü qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|sörfçü qadın|sörfçü qadın: orta-açıq dəri tonu|sörfinq
	🏄🏽‍♀️;sörfçü qadın: orta dəri tonu;orta dəri tonu|qadın|sörfçü qadın|sörfçü qadın: orta dəri tonu|sörfinq
	🏄🏾‍♀️;sörfçü qadın: orta-tünd dəri tonu;orta-tünd dəri tonu|qadın|sörfçü qadın|sörfçü qadın: orta-tünd dəri tonu|sörfinq
	🏄🏿‍♀️;sörfçü qadın: tünd dəri tonu;qadın|sörfçü qadın|sörfçü qadın: tünd dəri tonu|sörfinq|tünd dəri tonu
🚣;avarçəkmə qayığı;avarçəkmə qayığı|nəqliyyat|qayıq
	🚣🏻;avarçəkmə qayığı: açıq dəri tonu;açıq dəri tonu|avarçəkmə qayığı|avarçəkmə qayığı: açıq dəri tonu|nəqliyyat|qayıq
	🚣🏼;avarçəkmə qayığı: orta-açıq dəri tonu;avarçəkmə qayığı|avarçəkmə qayığı: orta-açıq dəri tonu|nəqliyyat|orta-açıq dəri tonu|qayıq
	🚣🏽;avarçəkmə qayığı: orta dəri tonu;avarçəkmə qayığı|avarçəkmə qayığı: orta dəri tonu|nəqliyyat|orta dəri tonu|qayıq
	🚣🏾;avarçəkmə qayığı: orta-tünd dəri tonu;avarçəkmə qayığı|avarçəkmə qayığı: orta-tünd dəri tonu|nəqliyyat|orta-tünd dəri tonu|qayıq
	🚣🏿;avarçəkmə qayığı: tünd dəri tonu;avarçəkmə qayığı|avarçəkmə qayığı: tünd dəri tonu|nəqliyyat|qayıq|tünd dəri tonu
🚣‍♂️;qayıqçı kişi;avarlı qayıq|kişi|qayıq|qayıqçı kişi
	🚣🏻‍♂️;qayıqçı kişi: açıq dəri tonu;açıq dəri tonu|avarlı qayıq|kişi|qayıq|qayıqçı kişi|qayıqçı kişi: açıq dəri tonu
	🚣🏼‍♂️;qayıqçı kişi: orta-açıq dəri tonu;avarlı qayıq|kişi|orta-açıq dəri tonu|qayıq|qayıqçı kişi|qayıqçı kişi: orta-açıq dəri tonu
	🚣🏽‍♂️;qayıqçı kişi: orta dəri tonu;avarlı qayıq|kişi|orta dəri tonu|qayıq|qayıqçı kişi|qayıqçı kişi: orta dəri tonu
	🚣🏾‍♂️;qayıqçı kişi: orta-tünd dəri tonu;avarlı qayıq|kişi|orta-tünd dəri tonu|qayıq|qayıqçı kişi|qayıqçı kişi: orta-tünd dəri tonu
	🚣🏿‍♂️;qayıqçı kişi: tünd dəri tonu;avarlı qayıq|kişi|qayıq|qayıqçı kişi|qayıqçı kişi: tünd dəri tonu|tünd dəri tonu
🚣‍♀️;qayıqçı qadın;avarlı qayıq|qadın|qayıq|qayıqçı qadın
	🚣🏻‍♀️;qayıqçı qadın: açıq dəri tonu;açıq dəri tonu|avarlı qayıq|qadın|qayıq|qayıqçı qadın|qayıqçı qadın: açıq dəri tonu
	🚣🏼‍♀️;qayıqçı qadın: orta-açıq dəri tonu;avarlı qayıq|orta-açıq dəri tonu|qadın|qayıq|qayıqçı qadın|qayıqçı qadın: orta-açıq dəri tonu
	🚣🏽‍♀️;qayıqçı qadın: orta dəri tonu;avarlı qayıq|orta dəri tonu|qadın|qayıq|qayıqçı qadın|qayıqçı qadın: orta dəri tonu
	🚣🏾‍♀️;qayıqçı qadın: orta-tünd dəri tonu;avarlı qayıq|orta-tünd dəri tonu|qadın|qayıq|qayıqçı qadın|qayıqçı qadın: orta-tünd dəri tonu
	🚣🏿‍♀️;qayıqçı qadın: tünd dəri tonu;avarlı qayıq|qadın|qayıq|qayıqçı qadın|qayıqçı qadın: tünd dəri tonu|tünd dəri tonu
🏊;üzgüçü;üzgüçü|üzmək
	🏊🏻;üzgüçü: açıq dəri tonu;açıq dəri tonu|üzgüçü|üzgüçü: açıq dəri tonu|üzmək
	🏊🏼;üzgüçü: orta-açıq dəri tonu;orta-açıq dəri tonu|üzgüçü|üzgüçü: orta-açıq dəri tonu|üzmək
	🏊🏽;üzgüçü: orta dəri tonu;orta dəri tonu|üzgüçü|üzgüçü: orta dəri tonu|üzmək
	🏊🏾;üzgüçü: orta-tünd dəri tonu;orta-tünd dəri tonu|üzgüçü|üzgüçü: orta-tünd dəri tonu|üzmək
	🏊🏿;üzgüçü: tünd dəri tonu;tünd dəri tonu|üzgüçü|üzgüçü: tünd dəri tonu|üzmək
🏊‍♂️;üzgüçü kişi;kişi|üzgüçü kişi|üzmək
	🏊🏻‍♂️;üzgüçü kişi: açıq dəri tonu;açıq dəri tonu|kişi|üzgüçü kişi|üzgüçü kişi: açıq dəri tonu|üzmək
	🏊🏼‍♂️;üzgüçü kişi: orta-açıq dəri tonu;kişi|orta-açıq dəri tonu|üzgüçü kişi|üzgüçü kişi: orta-açıq dəri tonu|üzmək
	🏊🏽‍♂️;üzgüçü kişi: orta dəri tonu;kişi|orta dəri tonu|üzgüçü kişi|üzgüçü kişi: orta dəri tonu|üzmək
	🏊🏾‍♂️;üzgüçü kişi: orta-tünd dəri tonu;kişi|orta-tünd dəri tonu|üzgüçü kişi|üzgüçü kişi: orta-tünd dəri tonu|üzmək
	🏊🏿‍♂️;üzgüçü kişi: tünd dəri tonu;kişi|tünd dəri tonu|üzgüçü kişi|üzgüçü kişi: tünd dəri tonu|üzmək
🏊‍♀️;üzgüçü qadın;qadın|üzgüçü qadın|üzmək
	🏊🏻‍♀️;üzgüçü qadın: açıq dəri tonu;açıq dəri tonu|qadın|üzgüçü qadın|üzgüçü qadın: açıq dəri tonu|üzmək
	🏊🏼‍♀️;üzgüçü qadın: orta-açıq dəri tonu;orta-açıq dəri tonu|qadın|üzgüçü qadın|üzgüçü qadın: orta-açıq dəri tonu|üzmək
