# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
	⛹🏻‍♂️;xogador de baloncesto: ton de pel moi claro;balón|baloncesto|home|ton de pel moi claro|xogador de baloncesto|xogador de baloncesto: ton de pel moi claro
	⛹🏼‍♂️;xogador de baloncesto: ton de pel claro;balón|baloncesto|home|ton de pel claro|xogador de baloncesto|xogador de baloncesto: ton de pel claro
	⛹🏽‍♂️;xogador de baloncesto: ton de pel medio;balón|baloncesto|home|ton de pel medio|xogador de baloncesto|xogador de baloncesto: ton de pel medio
	⛹🏾‍♂️;xogador de baloncesto: ton de pel escuro;balón|baloncesto|home|ton de pel escuro|xogador de baloncesto|xogador de baloncesto: ton de pel escuro
	⛹🏿‍♂️;xogador de baloncesto: ton de pel moi escuro;balón|baloncesto|home|ton de pel moi escuro|xogador de baloncesto|xogador de baloncesto: ton de pel moi escuro
⛹️‍♀️;xogadora de baloncesto;balón|baloncesto|muller|xogadora de baloncesto
	⛹🏻‍♀️;xogadora de baloncesto: ton de pel moi claro;balón|baloncesto|muller|ton de pel moi claro|xogadora de baloncesto|xogadora de baloncesto: ton de pel moi claro
	⛹🏼‍♀️;xogadora de baloncesto: ton de pel claro;balón|baloncesto|muller|ton de pel claro|xogadora de baloncesto|xogadora de baloncesto: ton de pel claro
	⛹🏽‍♀️;xogadora de baloncesto: ton de pel medio;balón|baloncesto|muller|ton de pel medio|xogadora de baloncesto|xogadora de baloncesto: ton de pel medio
	⛹🏾‍♀️;xogadora de baloncesto: ton de pel escuro;balón|baloncesto|muller|ton de pel escuro|xogadora de baloncesto|xogadora de baloncesto: ton de pel escuro
	⛹🏿‍♀️;xogadora de baloncesto: ton de pel moi escuro;balón|baloncesto|muller|ton de pel moi escuro|xogadora de baloncesto|xogadora de baloncesto: ton de pel moi escuro
🏋️;persoa practicando halterofilia;halterofilia|levantar pesos|persoa practicando halterofilia
	🏋🏻;persoa practicando halterofilia: ton de pel moi claro;halterofilia|levantar pesos|persoa practicando halterofilia|persoa practicando halterofilia: ton de pel moi claro|ton de pel moi claro
	🏋🏼;persoa practicando halterofilia: ton de pel claro;halterofilia|levantar pesos|persoa practicando halterofilia|persoa practicando halterofilia: ton de pel claro|ton de pel claro
	🏋🏽;persoa practicando halterofilia: ton de pel medio;halterofilia|levantar pesos|persoa practicando halterofilia|persoa practicando halterofilia: ton de pel medio|ton de pel medio
	🏋🏾;persoa practicando halterofilia: ton de pel escuro;halterofilia|levantar pesos|persoa practicando halterofilia|persoa practicando halterofilia: ton de pel escuro|ton de pel escuro
	🏋🏿;persoa practicando halterofilia: ton de pel moi escuro;halterofilia|levantar pesos|persoa practicando halterofilia|persoa practicando halterofilia: ton de pel moi escuro|ton de pel moi escuro
🏋️‍♂️;levantador de pesos;halterofilia|home|levantador de pesos|levantar pesos
	🏋🏻‍♂️;levantador de pesos: ton de pel moi claro;halterofilia|home|levantador de pesos|levantador de pesos: ton de pel moi claro|levantar pesos|ton de pel moi claro
	🏋🏼‍♂️;levantador de pesos: ton de pel claro;halterofilia|home|levantador de pesos|levantador de pesos: ton de pel claro|levantar pesos|ton de pel claro
	🏋🏽‍♂️;levantador de pesos: ton de pel medio;halterofilia|home|levantador de pesos|levantador de pesos: ton de pel medio|levantar pesos|ton de pel medio
	🏋🏾‍♂️;levantador de pesos: ton de pel escuro;halterofilia|home|levantador de pesos|levantador de pesos: ton de pel escuro|levantar pesos|ton de pel escuro
	🏋🏿‍♂️;levantador de pesos: ton de pel moi escuro;halterofilia|home|levantador de pesos|levantador de pesos: ton de pel moi escuro|levantar pesos|ton de pel moi escuro
🏋️‍♀️;levantadora de pesos;halterofilia|levantadora de pesos|levantar pesos|muller
	🏋🏻‍♀️;levantadora de pesos: ton de pel moi claro;halterofilia|levantadora de pesos|levantadora de pesos: ton de pel moi claro|levantar pesos|muller|ton de pel moi claro
	🏋🏼‍♀️;levantadora de pesos: ton de pel claro;halterofilia|levantadora de pesos|levantadora de pesos: ton de pel claro|levantar pesos|muller|ton de pel claro
	🏋🏽‍♀️;levantadora de pesos: ton de pel medio;halterofilia|levantadora de pesos|levantadora de pesos: ton de pel medio|levantar pesos|muller|ton de pel medio
	🏋🏾‍♀️;levantadora de pesos: ton de pel escuro;halterofilia|levantadora de pesos|levantadora de pesos: ton de pel escuro|levantar pesos|muller|ton de pel escuro
	🏋🏿‍♀️;levantadora de pesos: ton de pel moi escuro;halterofilia|levantadora de pesos|levantadora de pesos: ton de pel moi escuro|levantar pesos|muller|ton de pel moi escuro
🚴;ciclista;bicicleta|ciclismo|ciclista
	🚴🏻;ciclista: ton de pel moi claro;bicicleta|ciclismo|ciclista|ciclista: ton de pel moi claro|ton de pel moi claro
	🚴🏼;ciclista: ton de pel claro;bicicleta|ciclismo|ciclista|ciclista: ton de pel claro|ton de pel claro
	🚴🏽;ciclista: ton de pel medio;bicicleta|ciclismo|ciclista|ciclista: ton de pel medio|ton de pel medio
	🚴🏾;ciclista: ton de pel escuro;bicicleta|ciclismo|ciclista|ciclista: ton de pel escuro|ton de pel escuro
	🚴🏿;ciclista: ton de pel moi escuro;bicicleta|ciclismo|ciclista|ciclista: ton de pel moi escuro|ton de pel moi escuro
🚴‍♂️;home practicando ciclismo;bicicleta|ciclismo|ciclista|home|home practicando ciclismo
	🚴🏻‍♂️;home practicando ciclismo: ton de pel moi claro;bicicleta|ciclismo|ciclista|home|home practicando ciclismo|home practicando ciclismo: ton de pel moi claro|ton de pel moi claro
	🚴🏼‍♂️;home practicando ciclismo: ton de pel claro;bicicleta|ciclismo|ciclista|home|home practicando ciclismo|home practicando ciclismo: ton de pel claro|ton de pel claro
	🚴🏽‍♂️;home practicando ciclismo: ton de pel medio;bicicleta|ciclismo|ciclista|home|home practicando ciclismo|home practicando ciclismo: ton de pel medio|ton de pel medio
	🚴🏾‍♂️;home practicando ciclismo: ton de pel escuro;bicicleta|ciclismo|ciclista|home|home practicando ciclismo|home practicando ciclismo: ton de pel escuro|ton de pel escuro
	🚴🏿‍♂️;home practicando ciclismo: ton de pel moi escuro;bicicleta|ciclismo|ciclista|home|home practicando ciclismo|home practicando ciclismo: ton de pel moi escuro|ton de pel moi escuro
🚴‍♀️;muller practicando ciclismo;bicicleta|ciclismo|ciclista|muller|muller practicando ciclismo
	🚴🏻‍♀️;muller practicando ciclismo: ton de pel moi claro;bicicleta|ciclismo|ciclista|muller|muller practicando ciclismo|muller practicando ciclismo: ton de pel moi claro|ton de pel moi claro
	🚴🏼‍♀️;muller practicando ciclismo: ton de pel claro;bicicleta|ciclismo|ciclista|muller|muller practicando ciclismo|muller practicando ciclismo: ton de pel claro|ton de pel claro
	🚴🏽‍♀️;muller practicando ciclismo: ton de pel medio;bicicleta|ciclismo|ciclista|muller|muller practicando ciclismo|muller practicando ciclismo: ton de pel medio|ton de pel medio
	🚴🏾‍♀️;muller practicando ciclismo: ton de pel escuro;bicicleta|ciclismo|ciclista|muller|muller practicando ciclismo|muller practicando ciclismo: ton de pel escuro|ton de pel escuro
	🚴🏿‍♀️;muller practicando ciclismo: ton de pel moi escuro;bicicleta|ciclismo|ciclista|muller|muller practicando ciclismo|muller practicando ciclismo: ton de pel moi escuro|ton de pel moi escuro
🚵;ciclista de montaña;bicicleta de montaña|ciclismo|ciclista de montaña
	🚵🏻;ciclista de montaña: ton de pel moi claro;bicicleta de montaña|ciclismo|ciclista de montaña|ciclista de montaña: ton de pel moi claro|ton de pel moi claro
	🚵🏼;ciclista de montaña: ton de pel claro;bicicleta de montaña|ciclismo|ciclista de montaña|ciclista de montaña: ton de pel claro|ton de pel claro
	🚵🏽;ciclista de montaña: ton de pel medio;bicicleta de montaña|ciclismo|ciclista de montaña|ciclista de montaña: ton de pel medio|ton de pel medio
	🚵🏾;ciclista de montaña: ton de pel escuro;bicicleta de montaña|ciclismo|ciclista de montaña|ciclista de montaña: ton de pel escuro|ton de pel escuro
	🚵🏿;ciclista de montaña: ton de pel moi escuro;bicicleta de montaña|ciclismo|ciclista de montaña|ciclista de montaña: ton de pel moi escuro|ton de pel moi escuro
🚵‍♂️;home practicando ciclismo de montaña;bicicleta de montaña|ciclismo|ciclista|home|home practicando ciclismo de montaña
	🚵🏻‍♂️;home practicando ciclismo de montaña: ton de pel moi claro;bicicleta de montaña|ciclismo|ciclista|home|home practicando ciclismo de montaña|home practicando ciclismo de montaña: ton de pel moi claro|ton de pel moi claro
	🚵🏼‍♂️;home practicando ciclismo de montaña: ton de pel claro;bicicleta de montaña|ciclismo|ciclista|home|home practicando ciclismo de montaña|home practicando ciclismo de montaña: ton de pel claro|ton de pel claro
	🚵🏽‍♂️;home practicando ciclismo de montaña: ton de pel medio;bicicleta de montaña|ciclismo|ciclista|home|home practicando ciclismo de montaña|home practicando ciclismo de montaña: ton de pel medio|ton de pel medio
	🚵🏾‍♂️;home practicando ciclismo de montaña: ton de pel escuro;bicicleta de montaña|ciclismo|ciclista|home|home practicando ciclismo de montaña|home practicando ciclismo de montaña: ton de pel escuro|ton de pel escuro
	🚵🏿‍♂️;home practicando ciclismo de montaña: ton de pel moi escuro;bicicleta de montaña|ciclismo|ciclista|home|home practicando ciclismo de montaña|home practicando ciclismo de montaña: ton de pel moi escuro|ton de pel moi escuro
🚵‍♀️;muller practicando ciclismo de montaña;bicicleta de montaña|ciclismo|ciclista|muller|muller practicando ciclismo de montaña
	🚵🏻‍♀️;muller practicando ciclismo de montaña: ton de pel moi claro;bicicleta de montaña|ciclismo|ciclista|muller|muller practicando ciclismo de montaña|muller practicando ciclismo de montaña: ton de pel moi claro|ton de pel moi claro
	🚵🏼‍♀️;muller practicando ciclismo de montaña: ton de pel claro;bicicleta de montaña|ciclismo|ciclista|muller|muller practicando ciclismo de montaña|muller practicando ciclismo de montaña: ton de pel claro|ton de pel claro
	🚵🏽‍♀️;muller practicando ciclismo de montaña: ton de pel medio;bicicleta de montaña|ciclismo|ciclista|muller|muller practicando ciclismo de montaña|muller practicando ciclismo de montaña: ton de pel medio|ton de pel medio
	🚵🏾‍♀️;muller practicando ciclismo de montaña: ton de pel escuro;bicicleta de montaña|ciclismo|ciclista|muller|muller practicando ciclismo de montaña|muller practicando ciclismo de montaña: ton de pel escuro|ton de pel escuro
	🚵🏿‍♀️;muller practicando ciclismo de montaña: ton de pel moi escuro;bicicleta de montaña|ciclismo|ciclista|muller|muller practicando ciclismo de montaña|muller practicando ciclismo de montaña: ton de pel moi escuro|ton de pel moi escuro
🤸;ximnasia;deporte|ximnasia
	🤸🏻;ximnasia: ton de pel moi claro;deporte|ton de pel moi claro|ximnasia|ximnasia: ton de pel moi claro
	🤸🏼;ximnasia: ton de pel claro;deporte|ton de pel claro|ximnasia|ximnasia: ton de pel claro
	🤸🏽;ximnasia: ton de pel medio;deporte|ton de pel medio|ximnasia|ximnasia: ton de pel medio
	🤸🏾;ximnasia: ton de pel escuro;deporte|ton de pel escuro|ximnasia|ximnasia: ton de pel escuro
	🤸🏿;ximnasia: ton de pel moi escuro;deporte|ton de pel moi escuro|ximnasia|ximnasia: ton de pel moi escuro
🤸‍♂️;home facendo unha viravolta lateral;home|home facendo unha viravolta lateral|viravolta|ximnasia
	🤸🏻‍♂️;home facendo unha viravolta lateral: ton de pel moi claro;home|home facendo unha viravolta lateral|home facendo unha viravolta lateral: ton de pel moi claro|ton de pel moi claro|viravolta|ximnasia
	🤸🏼‍♂️;home facendo unha viravolta lateral: ton de pel claro;home|home facendo unha viravolta lateral|home facendo unha viravolta lateral: ton de pel claro|ton de pel claro|viravolta|ximnasia
	🤸🏽‍♂️;home facendo unha viravolta lateral: ton de pel medio;home|home facendo unha viravolta lateral|home facendo unha viravolta lateral: ton de pel medio|ton de pel medio|viravolta|ximnasia
	🤸🏾‍♂️;home facendo unha viravolta lateral: ton de pel escuro;home|home facendo unha viravolta lateral|home facendo unha viravolta lateral: ton de pel escuro|ton de pel escuro|viravolta|ximnasia
	🤸🏿‍♂️;home facendo unha viravolta lateral: ton de pel moi escuro;home|home facendo unha viravolta lateral|home facendo unha viravolta lateral: ton de pel moi escuro|ton de pel moi escuro|viravolta|ximnasia
🤸‍♀️;muller facendo unha viravolta lateral;muller|muller facendo unha viravolta lateral|viravolta|ximnasia
	🤸🏻‍♀️;muller facendo unha viravolta lateral: ton de pel moi claro;muller|muller facendo unha viravolta lateral|muller facendo unha viravolta lateral: ton de pel moi claro|ton de pel moi claro|viravolta|ximnasia
	🤸🏼‍♀️;muller facendo unha viravolta lateral: ton de pel claro;muller|muller facendo unha viravolta lateral|muller facendo unha viravolta lateral: ton de pel claro|ton de pel claro|viravolta|ximnasia
	🤸🏽‍♀️;muller facendo unha viravolta lateral: ton de pel medio;muller|muller facendo unha viravolta lateral|muller facendo unha viravolta lateral: ton de pel medio|ton de pel medio|viravolta|ximnasia
	🤸🏾‍♀️;muller facendo unha viravolta lateral: ton de pel escuro;muller|muller facendo unha viravolta lateral|muller facendo unha viravolta lateral: ton de pel escuro|ton de pel escuro|viravolta|ximnasia
	🤸🏿‍♀️;muller facendo unha viravolta lateral: ton de pel moi escuro;muller|muller facendo unha viravolta lateral|muller facendo unha viravolta lateral: ton de pel moi escuro|ton de pel moi escuro|viravolta|ximnasia
🤼;loita libre;deporte|loita libre|loitadores
🤼‍♂️;homes practicando loita libre;deporte|homes|homes practicando loita libre|loita|loitadores
🤼‍♀️;mulleres practicando loita libre;deporte|loita|loitadoras|mulleres|mulleres practicando loita libre
🤽;wáter-polo;auga|deporte|wáter-polo
	🤽🏻;wáter-polo: ton de pel moi claro;auga|deporte|ton de pel moi claro|wáter-polo|wáter-polo: ton de pel moi claro
	🤽🏼;wáter-polo: ton de pel claro;auga|deporte|ton de pel claro|wáter-polo|wáter-polo: ton de pel claro
	🤽🏽;wáter-polo: ton de pel medio;auga|deporte|ton de pel medio|wáter-polo|wáter-polo: ton de pel medio
	🤽🏾;wáter-polo: ton de pel escuro;auga|deporte|ton de pel escuro|wáter-polo|wáter-polo: ton de pel escuro
	🤽🏿;wáter-polo: ton de pel moi escuro;auga|deporte|ton de pel moi escuro|wáter-polo|wáter-polo: ton de pel moi escuro
🤽‍♂️;home xogando a wáter-polo;balón|home|home xogando a wáter-polo|wáter-polo
	🤽🏻‍♂️;home xogando a wáter-polo: ton de pel moi claro;balón|home|home xogando a wáter-polo|home xogando a wáter-polo: ton de pel moi claro|ton de pel moi claro|wáter-polo
	🤽🏼‍♂️;home xogando a wáter-polo: ton de pel claro;balón|home|home xogando a wáter-polo|home xogando a wáter-polo: ton de pel claro|ton de pel claro|wáter-polo
	🤽🏽‍♂️;home xogando a wáter-polo: ton de pel medio;balón|home|home xogando a wáter-polo|home xogando a wáter-polo: ton de pel medio|ton de pel medio|wáter-polo
	🤽🏾‍♂️;home xogando a wáter-polo: ton de pel escuro;balón|home|home xogando a wáter-polo|home xogando a wáter-polo: ton de pel escuro|ton de pel escuro|wáter-polo
	🤽🏿‍♂️;home xogando a wáter-polo: ton de pel moi escuro;balón|home|home xogando a wáter-polo|home xogando a wáter-polo: ton de pel moi escuro|ton de pel moi escuro|wáter-polo
🤽‍♀️;muller xogando a wáter-polo;balón|muller|muller xogando a wáter-polo|wáter-polo
	🤽🏻‍♀️;muller xogando a wáter-polo: ton de pel moi claro;balón|muller|muller xogando a wáter-polo|muller xogando a wáter-polo: ton de pel moi claro|ton de pel moi claro|wáter-polo
	🤽🏼‍♀️;muller xogando a wáter-polo: ton de pel claro;balón|muller|muller xogando a wáter-polo|muller xogando a wáter-polo: ton de pel claro|ton de pel claro|wáter-polo
	🤽🏽‍♀️;muller xogando a wáter-polo: ton de pel medio;balón|muller|muller xogando a wáter-polo|muller xogando a wáter-polo: ton de pel medio|ton de pel medio|wáter-polo
	🤽🏾‍♀️;muller xogando a wáter-polo: ton de pel escuro;balón|muller|muller xogando a wáter-polo|muller xogando a wáter-polo: ton de pel escuro|ton de pel escuro|wáter-polo
	🤽🏿‍♀️;muller xogando a wáter-polo: ton de pel moi escuro;balón|muller|muller xogando a wáter-polo|muller xogando a wáter-polo: ton de pel moi escuro|ton de pel moi escuro|wáter-polo
🤾;balonmán;balonmán|deporte|pelota
	🤾🏻;balonmán: ton de pel moi claro;balonmán|balonmán: ton de pel moi claro|deporte|pelota|ton de pel moi claro
	🤾🏼;balonmán: ton de pel claro;balonmán|balonmán: ton de pel claro|deporte|pelota|ton de pel claro
	🤾🏽;balonmán: ton de pel medio;balonmán|balonmán: ton de pel medio|deporte|pelota|ton de pel medio
	🤾🏾;balonmán: ton de pel escuro;balonmán|balonmán: ton de pel escuro|deporte|pelota|ton de pel escuro
	🤾🏿;balonmán: ton de pel moi escuro;balonmán|balonmán: ton de pel moi escuro|deporte|pelota|ton de pel moi escuro
🤾‍♂️;home xogando a balonmán;balonmán|home|home xogando a balonmán
	🤾🏻‍♂️;home xogando a balonmán: ton de pel moi claro;balonmán|home|home xogando a balonmán|home xogando a balonmán: ton de pel moi claro|ton de pel moi claro
	🤾🏼‍♂️;home xogando a balonmán: ton de pel claro;balonmán|home|home xogando a balonmán|home xogando a balonmán: ton de pel claro|ton de pel claro
	🤾🏽‍♂️;home xogando a balonmán: ton de pel medio;balonmán|home|home xogando a balonmán|home xogando a balonmán: ton de pel medio|ton de pel medio
	🤾🏾‍♂️;home xogando a balonmán: ton de pel escuro;balonmán|home|home xogando a balonmán|home xogando a balonmán: ton de pel escuro|ton de pel escuro
	🤾🏿‍♂️;home xogando a balonmán: ton de pel moi escuro;balonmán|home|home xogando a balonmán|home xogando a balonmán: ton de pel moi escuro|ton de pel moi escuro
🤾‍♀️;muller xogando a balonmán;balonmán|muller|muller xogando a balonmán
	🤾🏻‍♀️;muller xogando a balonmán: ton de pel moi claro;balonmán|muller|muller xogando a balonmán|muller xogando a balonmán: ton de pel moi claro|ton de pel moi claro
	🤾🏼‍♀️;muller xogando a balonmán: ton de pel claro;balonmán|muller|muller xogando a balonmán|muller xogando a balonmán: ton de pel claro|ton de pel claro
	🤾🏽‍♀️;muller xogando a balonmán: ton de pel medio;balonmán|muller|muller xogando a balonmán|muller xogando a balonmán: ton de pel medio|ton de pel medio
	🤾🏾‍♀️;muller xogando a balonmán: ton de pel escuro;balonmán|muller|muller xogando a balonmán|muller xogando a balonmán: ton de pel escuro|ton de pel escuro
	🤾🏿‍♀️;muller xogando a balonmán: ton de pel moi escuro;balonmán|muller|muller xogando a balonmán|muller xogando a balonmán: ton de pel moi escuro|ton de pel moi escuro
🤹;malabares;habilidade|malabar|malabares|malabarismo|malabarista|multitarefa
	🤹🏻;malabares: ton de pel moi claro;habilidade|malabar|malabares|malabares: ton de pel moi claro|malabarismo|malabarista|multitarefa|ton de pel moi claro
	🤹🏼;malabares: ton de pel claro;habilidade|malabar|malabares|malabares: ton de pel claro|malabarismo|malabarista|multitarefa|ton de pel claro
	🤹🏽;malabares: ton de pel medio;habilidade|malabar|malabares|malabares: ton de pel medio|malabarismo|malabarista|multitarefa|ton de pel medio
	🤹🏾;malabares: ton de pel escuro;habilidade|malabar|malabares|malabares: ton de pel escuro|malabarismo|malabarista|multitarefa|ton de pel escuro
	🤹🏿;malabares: ton de pel moi escuro;habilidade|malabar|malabares|malabares: ton de pel moi escuro|malabarismo|malabarista|multitarefa|ton de pel moi escuro
🤹‍♂️;home malabarista;home|home malabarista|malabarismo|multitarefa
	🤹🏻‍♂️;home malabarista: ton de pel moi claro;home|home malabarista|home malabarista: ton de pel moi claro|malabarismo|multitarefa|ton de pel moi claro
	🤹🏼‍♂️;home malabarista: ton de pel claro;home|home malabarista|home malabarista: ton de pel claro|malabarismo|multitarefa|ton de pel claro
	🤹🏽‍♂️;home malabarista: ton de pel medio;home|home malabarista|home malabarista: ton de pel medio|malabarismo|multitarefa|ton de pel medio
	🤹🏾‍♂️;home malabarista: ton de pel escuro;home|home malabarista|home malabarista: ton de pel escuro|malabarismo|multitarefa|ton de pel escuro
	🤹🏿‍♂️;home malabarista: ton de pel moi escuro;home|home malabarista|home malabarista: ton de pel moi escuro|malabarismo|multitarefa|ton de pel moi escuro
🤹‍♀️;muller malabarista;malabarismo|muller|muller malabarista|multitarefa
	🤹🏻‍♀️;muller malabarista: ton de pel moi claro;malabarismo|muller|muller malabarista|muller malabarista: ton de pel moi claro|multitarefa|ton de pel moi claro
	🤹🏼‍♀️;muller malabarista: ton de pel claro;malabarismo|muller|muller malabarista|muller malabarista: ton de pel claro|multitarefa|ton de pel claro
	🤹🏽‍♀️;muller malabarista: ton de pel medio;malabarismo|muller|muller malabarista|muller malabarista: ton de pel medio|multitarefa|ton de pel medio
	🤹🏾‍♀️;muller malabarista: ton de pel escuro;malabarismo|muller|muller malabarista|muller malabarista: ton de pel escuro|multitarefa|ton de pel escuro
	🤹🏿‍♀️;muller malabarista: ton de pel moi escuro;malabarismo|muller|muller malabarista|muller malabarista: ton de pel moi escuro|multitarefa|ton de pel moi escuro
🧘;ioga;ioga|meditación|posición de loto
	🧘🏻;ioga: ton de pel moi claro;ioga|ioga: ton de pel moi claro|meditación|posición de loto|ton de pel moi claro
	🧘🏼;ioga: ton de pel claro;ioga|ioga: ton de pel claro|meditación|posición de loto|ton de pel claro
	🧘🏽;ioga: ton de pel medio;ioga|ioga: ton de pel medio|meditación|posición de loto|ton de pel medio
	🧘🏾;ioga: ton de pel escuro;ioga|ioga: ton de pel escuro|meditación|posición de loto|ton de pel escuro
	🧘🏿;ioga: ton de pel moi escuro;ioga|ioga: ton de pel moi escuro|meditación|posición de loto|ton de pel moi escuro
🧘‍♂️;home practicando ioga;home|home practicando ioga|meditación|posición de loto
	🧘🏻‍♂️;home practicando ioga: ton de pel moi claro;home|home practicando ioga|home practicando ioga: ton de pel moi claro|meditación|posición de loto|ton de pel moi claro
	🧘🏼‍♂️;home practicando ioga: ton de pel claro;home|home practicando ioga|home practicando ioga: ton de pel claro|meditación|posición de loto|ton de pel claro
	🧘🏽‍♂️;home practicando ioga: ton de pel medio;home|home practicando ioga|home practicando ioga: ton de pel medio|meditación|posición de loto|ton de pel medio
	🧘🏾‍♂️;home practicando ioga: ton de pel escuro;home|home practicando ioga|home practicando ioga: ton de pel escuro|meditación|posición de loto|ton de pel escuro
	🧘🏿‍♂️;home practicando ioga: ton de pel moi escuro;home|home practicando ioga|home practicando ioga: ton de pel moi escuro|meditación|posición de loto|ton de pel moi escuro
🧘‍♀️;muller practicando ioga;meditación|muller|muller practicando ioga|posición de loto
	🧘🏻‍♀️;muller practicando ioga: ton de pel moi claro;meditación|muller|muller practicando ioga|muller practicando ioga: ton de pel moi claro|posición de loto|ton de pel moi claro
	🧘🏼‍♀️;muller practicando ioga: ton de pel claro;meditación|muller|muller practicando ioga|muller practicando ioga: ton de pel claro|posición de loto|ton de pel claro
	🧘🏽‍♀️;muller practicando ioga: ton de pel medio;meditación|muller|muller practicando ioga|muller practicando ioga: ton de pel medio|posición de loto|ton de pel medio
	🧘🏾‍♀️;muller practicando ioga: ton de pel escuro;meditación|muller|muller practicando ioga|muller practicando ioga: ton de pel escuro|posición de loto|ton de pel escuro
	🧘🏿‍♀️;muller practicando ioga: ton de pel moi escuro;meditación|muller|muller practicando ioga|muller practicando ioga: ton de pel moi escuro|posición de loto|ton de pel moi escuro
🛀;persoa bañándose;bañarse|bañeira|persoa bañándose
	🛀🏻;persoa bañándose: ton de pel moi claro;bañarse|bañeira|persoa bañándose|persoa bañándose: ton de pel moi claro|ton de pel moi claro
	🛀🏼;persoa bañándose: ton de pel claro;bañarse|bañeira|persoa bañándose|persoa bañándose: ton de pel claro|ton de pel claro
	🛀🏽;persoa bañándose: ton de pel medio;bañarse|bañeira|persoa bañándose|persoa bañándose: ton de pel medio|ton de pel medio
	🛀🏾;persoa bañándose: ton de pel escuro;bañarse|bañeira|persoa bañándose|persoa bañándose: ton de pel escuro|ton de pel escuro
	🛀🏿;persoa bañándose: ton de pel moi escuro;bañarse|bañeira|persoa bañándose|persoa bañándose: ton de pel moi escuro|ton de pel moi escuro
🛌;persoa durmindo;durmir|hotel|persoa durmindo
	🛌🏻;persoa durmindo: ton de pel moi claro;durmir|hotel|persoa durmindo|persoa durmindo: ton de pel moi claro|ton de pel moi claro
	🛌🏼;persoa durmindo: ton de pel claro;durmir|hotel|persoa durmindo|persoa durmindo: ton de pel claro|ton de pel claro
	🛌🏽;persoa durmindo: ton de pel medio;durmir|hotel|persoa durmindo|persoa durmindo: ton de pel medio|ton de pel medio
	🛌🏾;persoa durmindo: ton de pel escuro;durmir|hotel|persoa durmindo|persoa durmindo: ton de pel escuro|ton de pel escuro
	🛌🏿;persoa durmindo: ton de pel moi escuro;durmir|hotel|persoa durmindo|persoa durmindo: ton de pel moi escuro|ton de pel moi escuro
🧑‍🤝‍🧑;persoas dándose a man;acordo|dar a man|mans|parella|persoas dándose a man
	🧑🏻‍🤝‍🧑🏻;persoas dándose a man: ton de pel moi claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi claro|ton de pel moi claro
	🧑🏻‍🤝‍🧑🏼;persoas dándose a man: ton de pel moi claro, ton de pel claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi claro, ton de pel claro|ton de pel claro|ton de pel moi claro
	🧑🏻‍🤝‍🧑🏽;persoas dándose a man: ton de pel moi claro, ton de pel medio;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi claro, ton de pel medio|ton de pel medio|ton de pel moi claro
	🧑🏻‍🤝‍🧑🏾;persoas dándose a man: ton de pel moi claro, ton de pel escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi claro, ton de pel escuro|ton de pel escuro|ton de pel moi claro
	🧑🏻‍🤝‍🧑🏿;persoas dándose a man: ton de pel moi claro, ton de pel moi escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel moi claro, ton de pel moi escuro|ton de pel moi claro|ton de pel moi escuro
	🧑🏼‍🤝‍🧑🏻;persoas dándose a man: ton de pel claro, ton de pel moi claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel claro, ton de pel moi claro|ton de pel claro|ton de pel moi claro
	🧑🏼‍🤝‍🧑🏼;persoas dándose a man: ton de pel claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel claro|ton de pel claro
	🧑🏼‍🤝‍🧑🏽;persoas dándose a man: ton de pel claro, ton de pel medio;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel claro, ton de pel medio|ton de pel claro|ton de pel medio
	🧑🏼‍🤝‍🧑🏾;persoas dándose a man: ton de pel claro, ton de pel escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel claro, ton de pel escuro|ton de pel claro|ton de pel escuro
	🧑🏼‍🤝‍🧑🏿;persoas dándose a man: ton de pel claro, ton de pel moi escuro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel claro, ton de pel moi escuro|ton de pel claro|ton de pel moi escuro
	🧑🏽‍🤝‍🧑🏻;persoas dándose a man: ton de pel medio, ton de pel moi claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel medio, ton de pel moi claro|ton de pel medio|ton de pel moi claro
	🧑🏽‍🤝‍🧑🏼;persoas dándose a man: ton de pel medio, ton de pel claro;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel medio, ton de pel claro|ton de pel claro|ton de pel medio
	🧑🏽‍🤝‍🧑🏽;persoas dándose a man: ton de pel medio;acordo|dar a man|mans|parella|persoas dándose a man|persoas dándose a man: ton de pel medio|ton de pel medio
