# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
	🧎🏿‍♀️‍➡️;跪下的女人面向右边;下跪|女|跪下的女人|跪下的女人面向右边|跪坐
🧎‍♂️‍➡️;跪下的男人面向右边;下跪|男|跪下的男人|跪下的男人面向右边|跪坐
	🧎🏻‍♂️‍➡️;跪下的男人面向右边;下跪|男|跪下的男人|跪下的男人面向右边|跪坐
	🧎🏼‍♂️‍➡️;跪下的男人面向右边;下跪|男|跪下的男人|跪下的男人面向右边|跪坐
	🧎🏽‍♂️‍➡️;跪下的男人面向右边;下跪|男|跪下的男人|跪下的男人面向右边|跪坐
	🧎🏾‍♂️‍➡️;跪下的男人面向右边;下跪|男|跪下的男人|跪下的男人面向右边|跪坐
	🧎🏿‍♂️‍➡️;跪下的男人面向右边;下跪|男|跪下的男人|跪下的男人面向右边|跪坐
🧑‍🦯;拄盲杖的人;拄盲杖的人|无障碍|盲
	🧑🏻‍🦯;拄盲杖的人: 较浅肤色;拄盲杖的人|拄盲杖的人: 较浅肤色|无障碍|盲|较浅肤色
	🧑🏼‍🦯;拄盲杖的人: 中等-浅肤色;中等-浅肤色|拄盲杖的人|拄盲杖的人: 中等-浅肤色|无障碍|盲
	🧑🏽‍🦯;拄盲杖的人: 中等肤色;中等肤色|拄盲杖的人|拄盲杖的人: 中等肤色|无障碍|盲
	🧑🏾‍🦯;拄盲杖的人: 中等-深肤色;中等-深肤色|拄盲杖的人|拄盲杖的人: 中等-深肤色|无障碍|盲
	🧑🏿‍🦯;拄盲杖的人: 较深肤色;拄盲杖的人|拄盲杖的人: 较深肤色|无障碍|盲|较深肤色
🧑‍🦯‍➡️;拄盲杖的人面向右边;拄盲杖的人|拄盲杖的人面向右边|无障碍|盲
	🧑🏻‍🦯‍➡️;拄盲杖的人面向右边;拄盲杖的人|拄盲杖的人面向右边|无障碍|盲
	🧑🏼‍🦯‍➡️;拄盲杖的人面向右边;拄盲杖的人|拄盲杖的人面向右边|无障碍|盲
	🧑🏽‍🦯‍➡️;拄盲杖的人面向右边;拄盲杖的人|拄盲杖的人面向右边|无障碍|盲
	🧑🏾‍🦯‍➡️;拄盲杖的人面向右边;拄盲杖的人|拄盲杖的人面向右边|无障碍|盲
	🧑🏿‍🦯‍➡️;拄盲杖的人面向右边;拄盲杖的人|拄盲杖的人面向右边|无障碍|盲
👨‍🦯;拄盲杖的男人;拄盲杖的男人|拐杖|无障碍|男|盲
	👨🏻‍🦯;拄盲杖的男人: 较浅肤色;拄盲杖的男人|拄盲杖的男人: 较浅肤色|拐杖|无障碍|男|盲|较浅肤色
	👨🏼‍🦯;拄盲杖的男人: 中等-浅肤色;中等-浅肤色|拄盲杖的男人|拄盲杖的男人: 中等-浅肤色|拐杖|无障碍|男|盲
	👨🏽‍🦯;拄盲杖的男人: 中等肤色;中等肤色|拄盲杖的男人|拄盲杖的男人: 中等肤色|拐杖|无障碍|男|盲
	👨🏾‍🦯;拄盲杖的男人: 中等-深肤色;中等-深肤色|拄盲杖的男人|拄盲杖的男人: 中等-深肤色|拐杖|无障碍|男|盲
	👨🏿‍🦯;拄盲杖的男人: 较深肤色;拄盲杖的男人|拄盲杖的男人: 较深肤色|拐杖|无障碍|男|盲|较深肤色
👨‍🦯‍➡️;拄盲杖的男人面向右边;拄盲杖的男人|拄盲杖的男人面向右边|拐杖|无障碍|男|盲
	👨🏻‍🦯‍➡️;拄盲杖的男人面向右边;拄盲杖的男人|拄盲杖的男人面向右边|拐杖|无障碍|男|盲
	👨🏼‍🦯‍➡️;拄盲杖的男人面向右边;拄盲杖的男人|拄盲杖的男人面向右边|拐杖|无障碍|男|盲
	👨🏽‍🦯‍➡️;拄盲杖的男人面向右边;拄盲杖的男人|拄盲杖的男人面向右边|拐杖|无障碍|男|盲
	👨🏾‍🦯‍➡️;拄盲杖的男人面向右边;拄盲杖的男人|拄盲杖的男人面向右边|拐杖|无障碍|男|盲
	👨🏿‍🦯‍➡️;拄盲杖的男人面向右边;拄盲杖的男人|拄盲杖的男人面向右边|拐杖|无障碍|男|盲
👩‍🦯;拄盲杖的女人;女|拄盲杖的女人|拐杖|无障碍|盲
	👩🏻‍🦯;拄盲杖的女人: 较浅肤色;女|拄盲杖的女人|拄盲杖的女人: 较浅肤色|拐杖|无障碍|盲|较浅肤色
	👩🏼‍🦯;拄盲杖的女人: 中等-浅肤色;中等-浅肤色|女|拄盲杖的女人|拄盲杖的女人: 中等-浅肤色|拐杖|无障碍|盲
	👩🏽‍🦯;拄盲杖的女人: 中等肤色;中等肤色|女|拄盲杖的女人|拄盲杖的女人: 中等肤色|拐杖|无障碍|盲
	👩🏾‍🦯;拄盲杖的女人: 中等-深肤色;中等-深肤色|女|拄盲杖的女人|拄盲杖的女人: 中等-深肤色|拐杖|无障碍|盲
	👩🏿‍🦯;拄盲杖的女人: 较深肤色;女|拄盲杖的女人|拄盲杖的女人: 较深肤色|拐杖|无障碍|盲|较深肤色
👩‍🦯‍➡️;拄盲杖的女人面向右边;女|拄盲杖的女人|拄盲杖的女人面向右边|拐杖|无障碍|盲
	👩🏻‍🦯‍➡️;拄盲杖的女人面向右边;女|拄盲杖的女人|拄盲杖的女人面向右边|拐杖|无障碍|盲
	👩🏼‍🦯‍➡️;拄盲杖的女人面向右边;女|拄盲杖的女人|拄盲杖的女人面向右边|拐杖|无障碍|盲
	👩🏽‍🦯‍➡️;拄盲杖的女人面向右边;女|拄盲杖的女人|拄盲杖的女人面向右边|拐杖|无障碍|盲
	👩🏾‍🦯‍➡️;拄盲杖的女人面向右边;女|拄盲杖的女人|拄盲杖的女人面向右边|拐杖|无障碍|盲
	👩🏿‍🦯‍➡️;拄盲杖的女人面向右边;女|拄盲杖的女人|拄盲杖的女人面向右边|拐杖|无障碍|盲
🧑‍🦼;坐电动轮椅的人;坐电动轮椅的人|无障碍|轮椅
	🧑🏻‍🦼;坐电动轮椅的人: 较浅肤色;坐电动轮椅的人|坐电动轮椅的人: 较浅肤色|无障碍|轮椅|较浅肤色
	🧑🏼‍🦼;坐电动轮椅的人: 中等-浅肤色;中等-浅肤色|坐电动轮椅的人|坐电动轮椅的人: 中等-浅肤色|无障碍|轮椅
	🧑🏽‍🦼;坐电动轮椅的人: 中等肤色;中等肤色|坐电动轮椅的人|坐电动轮椅的人: 中等肤色|无障碍|轮椅
	🧑🏾‍🦼;坐电动轮椅的人: 中等-深肤色;中等-深肤色|坐电动轮椅的人|坐电动轮椅的人: 中等-深肤色|无障碍|轮椅
	🧑🏿‍🦼;坐电动轮椅的人: 较深肤色;坐电动轮椅的人|坐电动轮椅的人: 较深肤色|无障碍|轮椅|较深肤色
🧑‍🦼‍➡️;坐电动轮椅的人面向右边;坐电动轮椅的人|坐电动轮椅的人面向右边|无障碍|轮椅
	🧑🏻‍🦼‍➡️;坐电动轮椅的人面向右边;坐电动轮椅的人|坐电动轮椅的人面向右边|无障碍|轮椅
	🧑🏼‍🦼‍➡️;坐电动轮椅的人面向右边;坐电动轮椅的人|坐电动轮椅的人面向右边|无障碍|轮椅
	🧑🏽‍🦼‍➡️;坐电动轮椅的人面向右边;坐电动轮椅的人|坐电动轮椅的人面向右边|无障碍|轮椅
	🧑🏾‍🦼‍➡️;坐电动轮椅的人面向右边;坐电动轮椅的人|坐电动轮椅的人面向右边|无障碍|轮椅
	🧑🏿‍🦼‍➡️;坐电动轮椅的人面向右边;坐电动轮椅的人|坐电动轮椅的人面向右边|无障碍|轮椅
👨‍🦼;坐电动轮椅的男人;坐电动轮椅的男人|无障碍|电动|男|轮椅
	👨🏻‍🦼;坐电动轮椅的男人: 较浅肤色;坐电动轮椅的男人|坐电动轮椅的男人: 较浅肤色|无障碍|电动|男|轮椅|较浅肤色
	👨🏼‍🦼;坐电动轮椅的男人: 中等-浅肤色;中等-浅肤色|坐电动轮椅的男人|坐电动轮椅的男人: 中等-浅肤色|无障碍|电动|男|轮椅
	👨🏽‍🦼;坐电动轮椅的男人: 中等肤色;中等肤色|坐电动轮椅的男人|坐电动轮椅的男人: 中等肤色|无障碍|电动|男|轮椅
	👨🏾‍🦼;坐电动轮椅的男人: 中等-深肤色;中等-深肤色|坐电动轮椅的男人|坐电动轮椅的男人: 中等-深肤色|无障碍|电动|男|轮椅
	👨🏿‍🦼;坐电动轮椅的男人: 较深肤色;坐电动轮椅的男人|坐电动轮椅的男人: 较深肤色|无障碍|电动|男|轮椅|较深肤色
👨‍🦼‍➡️;坐电动轮椅的男人面向右边;坐电动轮椅的男人|坐电动轮椅的男人面向右边|无障碍|电动|男|轮椅
	👨🏻‍🦼‍➡️;坐电动轮椅的男人面向右边;坐电动轮椅的男人|坐电动轮椅的男人面向右边|无障碍|电动|男|轮椅
	👨🏼‍🦼‍➡️;坐电动轮椅的男人面向右边;坐电动轮椅的男人|坐电动轮椅的男人面向右边|无障碍|电动|男|轮椅
	👨🏽‍🦼‍➡️;坐电动轮椅的男人面向右边;坐电动轮椅的男人|坐电动轮椅的男人面向右边|无障碍|电动|男|轮椅
	👨🏾‍🦼‍➡️;坐电动轮椅的男人面向右边;坐电动轮椅的男人|坐电动轮椅的男人面向右边|无障碍|电动|男|轮椅
	👨🏿‍🦼‍➡️;坐电动轮椅的男人面向右边;坐电动轮椅的男人|坐电动轮椅的男人面向右边|无障碍|电动|男|轮椅
👩‍🦼;坐电动轮椅的女人;坐电动轮椅的女人|女|无障碍|电动|轮椅
	👩🏻‍🦼;坐电动轮椅的女人: 较浅肤色;坐电动轮椅的女人|坐电动轮椅的女人: 较浅肤色|女|无障碍|电动|轮椅|较浅肤色
	👩🏼‍🦼;坐电动轮椅的女人: 中等-浅肤色;中等-浅肤色|坐电动轮椅的女人|坐电动轮椅的女人: 中等-浅肤色|女|无障碍|电动|轮椅
	👩🏽‍🦼;坐电动轮椅的女人: 中等肤色;中等肤色|坐电动轮椅的女人|坐电动轮椅的女人: 中等肤色|女|无障碍|电动|轮椅
	👩🏾‍🦼;坐电动轮椅的女人: 中等-深肤色;中等-深肤色|坐电动轮椅的女人|坐电动轮椅的女人: 中等-深肤色|女|无障碍|电动|轮椅
	👩🏿‍🦼;坐电动轮椅的女人: 较深肤色;坐电动轮椅的女人|坐电动轮椅的女人: 较深肤色|女|无障碍|电动|轮椅|较深肤色
👩‍🦼‍➡️;坐电动轮椅的女人面向右边;坐电动轮椅的女人|坐电动轮椅的女人面向右边|女|无障碍|电动|轮椅
	👩🏻‍🦼‍➡️;坐电动轮椅的女人面向右边;坐电动轮椅的女人|坐电动轮椅的女人面向右边|女|无障碍|电动|轮椅
	👩🏼‍🦼‍➡️;坐电动轮椅的女人面向右边;坐电动轮椅的女人|坐电动轮椅的女人面向右边|女|无障碍|电动|轮椅
	👩🏽‍🦼‍➡️;坐电动轮椅的女人面向右边;坐电动轮椅的女人|坐电动轮椅的女人面向右边|女|无障碍|电动|轮椅
	👩🏾‍🦼‍➡️;坐电动轮椅的女人面向右边;坐电动轮椅的女人|坐电动轮椅的女人面向右边|女|无障碍|电动|轮椅
	👩🏿‍🦼‍➡️;坐电动轮椅的女人面向右边;坐电动轮椅的女人|坐电动轮椅的女人面向右边|女|无障碍|电动|轮椅
🧑‍🦽;坐手动轮椅的人;坐手动轮椅的人|无障碍|轮椅
	🧑🏻‍🦽;坐手动轮椅的人: 较浅肤色;坐手动轮椅的人|坐手动轮椅的人: 较浅肤色|无障碍|轮椅|较浅肤色
	🧑🏼‍🦽;坐手动轮椅的人: 中等-浅肤色;中等-浅肤色|坐手动轮椅的人|坐手动轮椅的人: 中等-浅肤色|无障碍|轮椅
	🧑🏽‍🦽;坐手动轮椅的人: 中等肤色;中等肤色|坐手动轮椅的人|坐手动轮椅的人: 中等肤色|无障碍|轮椅
	🧑🏾‍🦽;坐手动轮椅的人: 中等-深肤色;中等-深肤色|坐手动轮椅的人|坐手动轮椅的人: 中等-深肤色|无障碍|轮椅
	🧑🏿‍🦽;坐手动轮椅的人: 较深肤色;坐手动轮椅的人|坐手动轮椅的人: 较深肤色|无障碍|轮椅|较深肤色
🧑‍🦽‍➡️;坐手动轮椅的人面向右边;坐手动轮椅的人|坐手动轮椅的人面向右边|无障碍|轮椅
	🧑🏻‍🦽‍➡️;坐手动轮椅的人面向右边;坐手动轮椅的人|坐手动轮椅的人面向右边|无障碍|轮椅
	🧑🏼‍🦽‍➡️;坐手动轮椅的人面向右边;坐手动轮椅的人|坐手动轮椅的人面向右边|无障碍|轮椅
	🧑🏽‍🦽‍➡️;坐手动轮椅的人面向右边;坐手动轮椅的人|坐手动轮椅的人面向右边|无障碍|轮椅
	🧑🏾‍🦽‍➡️;坐手动轮椅的人面向右边;坐手动轮椅的人|坐手动轮椅的人面向右边|无障碍|轮椅
	🧑🏿‍🦽‍➡️;坐手动轮椅的人面向右边;坐手动轮椅的人|坐手动轮椅的人面向右边|无障碍|轮椅
👨‍🦽;坐手动轮椅的男人;坐手动轮椅的男人|手动|无障碍|男|轮椅
	👨🏻‍🦽;坐手动轮椅的男人: 较浅肤色;坐手动轮椅的男人|坐手动轮椅的男人: 较浅肤色|手动|无障碍|男|轮椅|较浅肤色
	👨🏼‍🦽;坐手动轮椅的男人: 中等-浅肤色;中等-浅肤色|坐手动轮椅的男人|坐手动轮椅的男人: 中等-浅肤色|手动|无障碍|男|轮椅
	👨🏽‍🦽;坐手动轮椅的男人: 中等肤色;中等肤色|坐手动轮椅的男人|坐手动轮椅的男人: 中等肤色|手动|无障碍|男|轮椅
	👨🏾‍🦽;坐手动轮椅的男人: 中等-深肤色;中等-深肤色|坐手动轮椅的男人|坐手动轮椅的男人: 中等-深肤色|手动|无障碍|男|轮椅
	👨🏿‍🦽;坐手动轮椅的男人: 较深肤色;坐手动轮椅的男人|坐手动轮椅的男人: 较深肤色|手动|无障碍|男|轮椅|较深肤色
👨‍🦽‍➡️;坐手动轮椅的男人面向右边;坐手动轮椅的男人|坐手动轮椅的男人面向右边|手动|无障碍|男|轮椅
	👨🏻‍🦽‍➡️;坐手动轮椅的男人面向右边;坐手动轮椅的男人|坐手动轮椅的男人面向右边|手动|无障碍|男|轮椅
	👨🏼‍🦽‍➡️;坐手动轮椅的男人面向右边;坐手动轮椅的男人|坐手动轮椅的男人面向右边|手动|无障碍|男|轮椅
	👨🏽‍🦽‍➡️;坐手动轮椅的男人面向右边;坐手动轮椅的男人|坐手动轮椅的男人面向右边|手动|无障碍|男|轮椅
	👨🏾‍🦽‍➡️;坐手动轮椅的男人面向右边;坐手动轮椅的男人|坐手动轮椅的男人面向右边|手动|无障碍|男|轮椅
	👨🏿‍🦽‍➡️;坐手动轮椅的男人面向右边;坐手动轮椅的男人|坐手动轮椅的男人面向右边|手动|无障碍|男|轮椅
👩‍🦽;坐手动轮椅的女人;坐手动轮椅的女人|女|手动|无障碍|轮椅
	👩🏻‍🦽;坐手动轮椅的女人: 较浅肤色;坐手动轮椅的女人|坐手动轮椅的女人: 较浅肤色|女|手动|无障碍|轮椅|较浅肤色
	👩🏼‍🦽;坐手动轮椅的女人: 中等-浅肤色;中等-浅肤色|坐手动轮椅的女人|坐手动轮椅的女人: 中等-浅肤色|女|手动|无障碍|轮椅
	👩🏽‍🦽;坐手动轮椅的女人: 中等肤色;中等肤色|坐手动轮椅的女人|坐手动轮椅的女人: 中等肤色|女|手动|无障碍|轮椅
	👩🏾‍🦽;坐手动轮椅的女人: 中等-深肤色;中等-深肤色|坐手动轮椅的女人|坐手动轮椅的女人: 中等-深肤色|女|手动|无障碍|轮椅
	👩🏿‍🦽;坐手动轮椅的女人: 较深肤色;坐手动轮椅的女人|坐手动轮椅的女人: 较深肤色|女|手动|无障碍|轮椅|较深肤色
👩‍🦽‍➡️;坐手动轮椅的女人面向右边;坐手动轮椅的女人|坐手动轮椅的女人面向右边|女|手动|无障碍|轮椅
	👩🏻‍🦽‍➡️;坐手动轮椅的女人面向右边;坐手动轮椅的女人|坐手动轮椅的女人面向右边|女|手动|无障碍|轮椅
	👩🏼‍🦽‍➡️;坐手动轮椅的女人面向右边;坐手动轮椅的女人|坐手动轮椅的女人面向右边|女|手动|无障碍|轮椅
	👩🏽‍🦽‍➡️;坐手动轮椅的女人面向右边;坐手动轮椅的女人|坐手动轮椅的女人面向右边|女|手动|无障碍|轮椅
	👩🏾‍🦽‍➡️;坐手动轮椅的女人面向右边;坐手动轮椅的女人|坐手动轮椅的女人面向右边|女|手动|无障碍|轮椅
	👩🏿‍🦽‍➡️;坐手动轮椅的女人面向右边;坐手动轮椅的女人|坐手动轮椅的女人面向右边|女|手动|无障碍|轮椅
🏃;跑步者;跑步|跑步者|马拉松
	🏃🏻;跑步者: 较浅肤色;跑步|跑步者|跑步者: 较浅肤色|较浅肤色|马拉松
	🏃🏼;跑步者: 中等-浅肤色;中等-浅肤色|跑步|跑步者|跑步者: 中等-浅肤色|马拉松
	🏃🏽;跑步者: 中等肤色;中等肤色|跑步|跑步者|跑步者: 中等肤色|马拉松
	🏃🏾;跑步者: 中等-深肤色;中等-深肤色|跑步|跑步者|跑步者: 中等-深肤色|马拉松
	🏃🏿;跑步者: 较深肤色;跑步|跑步者|跑步者: 较深肤色|较深肤色|马拉松
🏃‍♂️;男生跑步;男|男生跑步|跑|马拉松
	🏃🏻‍♂️;男生跑步: 较浅肤色;男|男生跑步|男生跑步: 较浅肤色|跑|较浅肤色|马拉松
	🏃🏼‍♂️;男生跑步: 中等-浅肤色;中等-浅肤色|男|男生跑步|男生跑步: 中等-浅肤色|跑|马拉松
	🏃🏽‍♂️;男生跑步: 中等肤色;中等肤色|男|男生跑步|男生跑步: 中等肤色|跑|马拉松
	🏃🏾‍♂️;男生跑步: 中等-深肤色;中等-深肤色|男|男生跑步|男生跑步: 中等-深肤色|跑|马拉松
	🏃🏿‍♂️;男生跑步: 较深肤色;男|男生跑步|男生跑步: 较深肤色|跑|较深肤色|马拉松
🏃‍♀️;女生跑步;女|女生跑步|比赛|跑步|马拉松
	🏃🏻‍♀️;女生跑步: 较浅肤色;女|女生跑步|女生跑步: 较浅肤色|比赛|跑步|较浅肤色|马拉松
	🏃🏼‍♀️;女生跑步: 中等-浅肤色;中等-浅肤色|女|女生跑步|女生跑步: 中等-浅肤色|比赛|跑步|马拉松
	🏃🏽‍♀️;女生跑步: 中等肤色;中等肤色|女|女生跑步|女生跑步: 中等肤色|比赛|跑步|马拉松
	🏃🏾‍♀️;女生跑步: 中等-深肤色;中等-深肤色|女|女生跑步|女生跑步: 中等-深肤色|比赛|跑步|马拉松
	🏃🏿‍♀️;女生跑步: 较深肤色;女|女生跑步|女生跑步: 较深肤色|比赛|跑步|较深肤色|马拉松
🏃‍➡️;跑步者面向右边;跑步|跑步者|跑步者面向右边|马拉松
	🏃🏻‍➡️;跑步者面向右边;跑步|跑步者|跑步者面向右边|马拉松
	🏃🏼‍➡️;跑步者面向右边;跑步|跑步者|跑步者面向右边|马拉松
	🏃🏽‍➡️;跑步者面向右边;跑步|跑步者|跑步者面向右边|马拉松
	🏃🏾‍➡️;跑步者面向右边;跑步|跑步者|跑步者面向右边|马拉松
	🏃🏿‍➡️;跑步者面向右边;跑步|跑步者|跑步者面向右边|马拉松
🏃‍♀️‍➡️;女生跑步面向右边;女|女生跑步|女生跑步面向右边|比赛|跑步|马拉松
	🏃🏻‍♀️‍➡️;女生跑步面向右边;女|女生跑步|女生跑步面向右边|比赛|跑步|马拉松
	🏃🏼‍♀️‍➡️;女生跑步面向右边;女|女生跑步|女生跑步面向右边|比赛|跑步|马拉松
	🏃🏽‍♀️‍➡️;女生跑步面向右边;女|女生跑步|女生跑步面向右边|比赛|跑步|马拉松
	🏃🏾‍♀️‍➡️;女生跑步面向右边;女|女生跑步|女生跑步面向右边|比赛|跑步|马拉松
	🏃🏿‍♀️‍➡️;女生跑步面向右边;女|女生跑步|女生跑步面向右边|比赛|跑步|马拉松
🏃‍♂️‍➡️;男生跑步面向右边;男|男生跑步|男生跑步面向右边|跑|马拉松
	🏃🏻‍♂️‍➡️;男生跑步面向右边;男|男生跑步|男生跑步面向右边|跑|马拉松
	🏃🏼‍♂️‍➡️;男生跑步面向右边;男|男生跑步|男生跑步面向右边|跑|马拉松
	🏃🏽‍♂️‍➡️;男生跑步面向右边;男|男生跑步|男生跑步面向右边|跑|马拉松
	🏃🏾‍♂️‍➡️;男生跑步面向右边;男|男生跑步|男生跑步面向右边|跑|马拉松
	🏃🏿‍♂️‍➡️;男生跑步面向右边;男|男生跑步|男生跑步面向右边|跑|马拉松
💃;跳舞的女人;女人|跳舞|跳舞的女人
	💃🏻;跳舞的女人: 较浅肤色;女人|跳舞|跳舞的女人|跳舞的女人: 较浅肤色|较浅肤色
	💃🏼;跳舞的女人: 中等-浅肤色;中等-浅肤色|女人|跳舞|跳舞的女人|跳舞的女人: 中等-浅肤色
	💃🏽;跳舞的女人: 中等肤色;中等肤色|女人|跳舞|跳舞的女人|跳舞的女人: 中等肤色
	💃🏾;跳舞的女人: 中等-深肤色;中等-深肤色|女人|跳舞|跳舞的女人|跳舞的女人: 中等-深肤色
	💃🏿;跳舞的女人: 较深肤色;女人|跳舞|跳舞的女人|跳舞的女人: 较深肤色|较深肤色
🕺;跳舞的男人;男人|跳舞|跳舞的男人
	🕺🏻;跳舞的男人: 较浅肤色;男人|跳舞|跳舞的男人|跳舞的男人: 较浅肤色|较浅肤色
	🕺🏼;跳舞的男人: 中等-浅肤色;中等-浅肤色|男人|跳舞|跳舞的男人|跳舞的男人: 中等-浅肤色
	🕺🏽;跳舞的男人: 中等肤色;中等肤色|男人|跳舞|跳舞的男人|跳舞的男人: 中等肤色
	🕺🏾;跳舞的男人: 中等-深肤色;中等-深肤色|男人|跳舞|跳舞的男人|跳舞的男人: 中等-深肤色
	🕺🏿;跳舞的男人: 较深肤色;男人|跳舞|跳舞的男人|跳舞的男人: 较深肤色|较深肤色
🕴️;西装革履的人;商务|正装|西装革履|西装革履的人
	🕴🏻;西装革履的人: 较浅肤色;商务|正装|西装革履|西装革履的人|西装革履的人: 较浅肤色|较浅肤色
	🕴🏼;西装革履的人: 中等-浅肤色;中等-浅肤色|商务|正装|西装革履|西装革履的人|西装革履的人: 中等-浅肤色
	🕴🏽;西装革履的人: 中等肤色;中等肤色|商务|正装|西装革履|西装革履的人|西装革履的人: 中等肤色
	🕴🏾;西装革履的人: 中等-深肤色;中等-深肤色|商务|正装|西装革履|西装革履的人|西装革履的人: 中等-深肤色
	🕴🏿;西装革履的人: 较深肤色;商务|正装|西装革履|西装革履的人|西装革履的人: 较深肤色|较深肤色
👯;戴兔耳朵的人;兔耳朵|戴兔耳朵的人|派对|聚会|跳舞
👯‍♂️;兔先生;兔先生|兔耳朵|派对|男生派对|聚会|跳舞
👯‍♀️;兔女郎;兔女郎|兔耳朵|女生派对|派对|聚会|跳舞
🧖;蒸房里的人;桑拿|蒸房|蒸房里的人
	🧖🏻;蒸房里的人: 较浅肤色;桑拿|蒸房|蒸房里的人|蒸房里的人: 较浅肤色|较浅肤色
	🧖🏼;蒸房里的人: 中等-浅肤色;中等-浅肤色|桑拿|蒸房|蒸房里的人|蒸房里的人: 中等-浅肤色
	🧖🏽;蒸房里的人: 中等肤色;中等肤色|桑拿|蒸房|蒸房里的人|蒸房里的人: 中等肤色
	🧖🏾;蒸房里的人: 中等-深肤色;中等-深肤色|桑拿|蒸房|蒸房里的人|蒸房里的人: 中等-深肤色
	🧖🏿;蒸房里的人: 较深肤色;桑拿|蒸房|蒸房里的人|蒸房里的人: 较深肤色|较深肤色
🧖‍♂️;蒸房里的男人;桑拿|蒸房里的男人|男性桑拿
	🧖🏻‍♂️;蒸房里的男人: 较浅肤色;桑拿|蒸房里的男人|蒸房里的男人: 较浅肤色|男性桑拿|较浅肤色
	🧖🏼‍♂️;蒸房里的男人: 中等-浅肤色;中等-浅肤色|桑拿|蒸房里的男人|蒸房里的男人: 中等-浅肤色|男性桑拿
	🧖🏽‍♂️;蒸房里的男人: 中等肤色;中等肤色|桑拿|蒸房里的男人|蒸房里的男人: 中等肤色|男性桑拿
	🧖🏾‍♂️;蒸房里的男人: 中等-深肤色;中等-深肤色|桑拿|蒸房里的男人|蒸房里的男人: 中等-深肤色|男性桑拿
	🧖🏿‍♂️;蒸房里的男人: 较深肤色;桑拿|蒸房里的男人|蒸房里的男人: 较深肤色|男性桑拿|较深肤色
🧖‍♀️;蒸房里的女人;女性桑拿|桑拿|蒸房里的女人
	🧖🏻‍♀️;蒸房里的女人: 较浅肤色;女性桑拿|桑拿|蒸房里的女人|蒸房里的女人: 较浅肤色|较浅肤色
	🧖🏼‍♀️;蒸房里的女人: 中等-浅肤色;中等-浅肤色|女性桑拿|桑拿|蒸房里的女人|蒸房里的女人: 中等-浅肤色
	🧖🏽‍♀️;蒸房里的女人: 中等肤色;中等肤色|女性桑拿|桑拿|蒸房里的女人|蒸房里的女人: 中等肤色
	🧖🏾‍♀️;蒸房里的女人: 中等-深肤色;中等-深肤色|女性桑拿|桑拿|蒸房里的女人|蒸房里的女人: 中等-深肤色
	🧖🏿‍♀️;蒸房里的女人: 较深肤色;女性桑拿|桑拿|蒸房里的女人|蒸房里的女人: 较深肤色|较深肤色
🧗;攀爬的人;攀爬的人|登山者
	🧗🏻;攀爬的人: 较浅肤色;攀爬的人|攀爬的人: 较浅肤色|登山者|较浅肤色
	🧗🏼;攀爬的人: 中等-浅肤色;中等-浅肤色|攀爬的人|攀爬的人: 中等-浅肤色|登山者
	🧗🏽;攀爬的人: 中等肤色;中等肤色|攀爬的人|攀爬的人: 中等肤色|登山者
	🧗🏾;攀爬的人: 中等-深肤色;中等-深肤色|攀爬的人|攀爬的人: 中等-深肤色|登山者
	🧗🏿;攀爬的人: 较深肤色;攀爬的人|攀爬的人: 较深肤色|登山者|较深肤色
🧗‍♂️;攀爬的男人;攀爬的男人|登山者
	🧗🏻‍♂️;攀爬的男人: 较浅肤色;攀爬的男人|攀爬的男人: 较浅肤色|登山者|较浅肤色
	🧗🏼‍♂️;攀爬的男人: 中等-浅肤色;中等-浅肤色|攀爬的男人|攀爬的男人: 中等-浅肤色|登山者
	🧗🏽‍♂️;攀爬的男人: 中等肤色;中等肤色|攀爬的男人|攀爬的男人: 中等肤色|登山者
	🧗🏾‍♂️;攀爬的男人: 中等-深肤色;中等-深肤色|攀爬的男人|攀爬的男人: 中等-深肤色|登山者
	🧗🏿‍♂️;攀爬的男人: 较深肤色;攀爬的男人|攀爬的男人: 较深肤色|登山者|较深肤色
🧗‍♀️;攀爬的女人;攀爬的女人|登山者
	🧗🏻‍♀️;攀爬的女人: 较浅肤色;攀爬的女人|攀爬的女人: 较浅肤色|登山者|较浅肤色
	🧗🏼‍♀️;攀爬的女人: 中等-浅肤色;中等-浅肤色|攀爬的女人|攀爬的女人: 中等-浅肤色|登山者
	🧗🏽‍♀️;攀爬的女人: 中等肤色;中等肤色|攀爬的女人|攀爬的女人: 中等肤色|登山者
	🧗🏾‍♀️;攀爬的女人: 中等-深肤色;中等-深肤色|攀爬的女人|攀爬的女人: 中等-深肤色|登山者
	🧗🏿‍♀️;攀爬的女人: 较深肤色;攀爬的女人|攀爬的女人: 较深肤色|登山者|较深肤色
🤺;击剑选手;人|体育|击剑|击剑选手|剑
🏇;赛马;赛马|马
	🏇🏻;赛马: 较浅肤色;赛马|赛马: 较浅肤色|较浅肤色|马
	🏇🏼;赛马: 中等-浅肤色;中等-浅肤色|赛马|赛马: 中等-浅肤色|马
	🏇🏽;赛马: 中等肤色;中等肤色|赛马|赛马: 中等肤色|马
	🏇🏾;赛马: 中等-深肤色;中等-深肤色|赛马|赛马: 中等-深肤色|马
	🏇🏿;赛马: 较深肤色;赛马|赛马: 较深肤色|较深肤色|马
