[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
	💃🏿;여자 댄서: 검은색 피부;검은색 피부|댄서|댄스|댄싱|여성|여자|여자 댄서: 검은색 피부|춤|춤추는 여자
🕺;남자 댄서;남성|남자|댄서|댄스|댄싱|춤|춤추는 남자
	🕺🏻;남자 댄서: 하얀 피부;남성|남자|남자 댄서: 하얀 피부|댄서|댄스|댄싱|춤|춤추는 남자|하얀 피부
	🕺🏼;남자 댄서: 연한 갈색 피부;남성|남자|남자 댄서: 연한 갈색 피부|댄서|댄스|댄싱|연한 갈색 피부|춤|춤추는 남자
	🕺🏽;남자 댄서: 갈색 피부;갈색 피부|남성|남자|남자 댄서: 갈색 피부|댄서|댄스|댄싱|춤|춤추는 남자
	🕺🏾;남자 댄서: 진한 갈색 피부;남성|남자|남자 댄서: 진한 갈색 피부|댄서|댄스|댄싱|진한 갈색 피부|춤|춤추는 남자
	🕺🏿;남자 댄서: 검은색 피부;검은색 피부|남성|남자|남자 댄서: 검은색 피부|댄서|댄스|댄싱|춤|춤추는 남자
🕴️;공중에 떠 있는 정장 입은 남자;공중부양|공중에 떠 있는 정장 입은 남자|남자|정장
	🕴🏻;공중에 떠 있는 정장 입은 남자: 하얀 피부;공중부양|공중에 떠 있는 정장 입은 남자|공중에 떠 있는 정장 입은 남자: 하얀 피부|남자|정장|하얀 피부
	🕴🏼;공중에 떠 있는 정장 입은 남자: 연한 갈색 피부;공중부양|공중에 떠 있는 정장 입은 남자|공중에 떠 있는 정장 입은 남자: 연한 갈색 피부|남자|연한 갈색 피부|정장
	🕴🏽;공중에 떠 있는 정장 입은 남자: 갈색 피부;갈색 피부|공중부양|공중에 떠 있는 정장 입은 남자|공중에 떠 있는 정장 입은 남자: 갈색 피부|남자|정장
	🕴🏾;공중에 떠 있는 정장 입은 남자: 진한 갈색 피부;공중부양|공중에 떠 있는 정장 입은 남자|공중에 떠 있는 정장 입은 남자: 진한 갈색 피부|남자|정장|진한 갈색 피부
	🕴🏿;공중에 떠 있는 정장 입은 남자: 검은색 피부;검은색 피부|공중부양|공중에 떠 있는 정장 입은 남자|공중에 떠 있는 정장 입은 남자: 검은색 피부|남자|정장
👯;토끼 귀를 쓰고 춤추는 사람들;토끼 귀를 쓰고 춤추는 사람들|토끼 귀를 쓴 여자
👯‍♂️;토끼 귀를 쓰고 춤추는 남자들;댄서|두 남자|토끼|토끼 귀|토끼 귀를 쓰고 춤추는 남자들
👯‍♀️;토끼 귀를 쓰고 춤추는 여자들;댄서|두 여자|토끼|토끼 귀|토끼 귀를 쓰고 춤추는 여자들
🧖;사우나 하는 사람;사우나|사우나 하는 사람
	🧖🏻;사우나 하는 사람: 하얀 피부;사우나|사우나 하는 사람|사우나 하는 사람: 하얀 피부|하얀 피부
	🧖🏼;사우나 하는 사람: 연한 갈색 피부;사우나|사우나 하는 사람|사우나 하는 사람: 연한 갈색 피부|연한 갈색 피부
	🧖🏽;사우나 하는 사람: 갈색 피부;갈색 피부|사우나|사우나 하는 사람|사우나 하는 사람: 갈색 피부
	🧖🏾;사우나 하는 사람: 진한 갈색 피부;사우나|사우나 하는 사람|사우나 하는 사람: 진한 갈색 피부|진한 갈색 피부
	🧖🏿;사우나 하는 사람: 검은색 피부;검은색 피부|사우나|사우나 하는 사람|사우나 하는 사람: 검은색 피부
🧖‍♂️;사우나 하는 남자;사우나|사우나 하는 남자
	🧖🏻‍♂️;사우나 하는 남자: 하얀 피부;사우나|사우나 하는 남자|사우나 하는 남자: 하얀 피부|하얀 피부
	🧖🏼‍♂️;사우나 하는 남자: 연한 갈색 피부;사우나|사우나 하는 남자|사우나 하는 남자: 연한 갈색 피부|연한 갈색 피부
	🧖🏽‍♂️;사우나 하는 남자: 갈색 피부;갈색 피부|사우나|사우나 하는 남자|사우나 하는 남자: 갈색 피부
	🧖🏾‍♂️;사우나 하는 남자: 진한 갈색 피부;사우나|사우나 하는 남자|사우나 하는 남자: 진한 갈색 피부|진한 갈색 피부
	🧖🏿‍♂️;사우나 하는 남자: 검은색 피부;검은색 피부|사우나|사우나 하는 남자|사우나 하는 남자: 검은색 피부
🧖‍♀️;사우나 하는 여자;사우나|사우나 하는 여자
	🧖🏻‍♀️;사우나 하는 여자: 하얀 피부;사우나|사우나 하는 여자|사우나 하는 여자: 하얀 피부|하얀 피부
	🧖🏼‍♀️;사우나 하는 여자: 연한 갈색 피부;사우나|사우나 하는 여자|사우나 하는 여자: 연한 갈색 피부|연한 갈색 피부
	🧖🏽‍♀️;사우나 하는 여자: 갈색 피부;갈색 피부|사우나|사우나 하는 여자|사우나 하는 여자: 갈색 피부
	🧖🏾‍♀️;사우나 하는 여자: 진한 갈색 피부;사우나|사우나 하는 여자|사우나 하는 여자: 진한 갈색 피부|진한 갈색 피부
	🧖🏿‍♀️;사우나 하는 여자: 검은색 피부;검은색 피부|사우나|사우나 하는 여자|사우나 하는 여자: 검은색 피부
🧗;클라이밍하는 사람;클라이밍|클라이밍하는 사람
	🧗🏻;클라이밍하는 사람: 하얀 피부;클라이밍|클라이밍하는 사람|클라이밍하는 사람: 하얀 피부|하얀 피부
	🧗🏼;클라이밍하는 사람: 연한 갈색 피부;연한 갈색 피부|클라이밍|클라이밍하는 사람|클라이밍하는 사람: 연한 갈색 피부
	🧗🏽;클라이밍하는 사람: 갈색 피부;갈색 피부|클라이밍|클라이밍하는 사람|클라이밍하는 사람: 갈색 피부
	🧗🏾;클라이밍하는 사람: 진한 갈색 피부;진한 갈색 피부|클라이밍|클라이밍하는 사람|클라이밍하는 사람: 진한 갈색 피부
	🧗🏿;클라이밍하는 사람: 검은색 피부;검은색 피부|클라이밍|클라이밍하는 사람|클라이밍하는 사람: 검은색 피부
🧗‍♂️;클라이밍하는 남자;클라이밍|클라이밍하는 남자
	🧗🏻‍♂️;클라이밍하는 남자: 하얀 피부;클라이밍|클라이밍하는 남자|클라이밍하는 남자: 하얀 피부|하얀 피부
	🧗🏼‍♂️;클라이밍하는 남자: 연한 갈색 피부;연한 갈색 피부|클라이밍|클라이밍하는 남자|클라이밍하는 남자: 연한 갈색 피부
	🧗🏽‍♂️;클라이밍하는 남자: 갈색 피부;갈색 피부|클라이밍|클라이밍하는 남자|클라이밍하는 남자: 갈색 피부
	🧗🏾‍♂️;클라이밍하는 남자: 진한 갈색 피부;진한 갈색 피부|클라이밍|클라이밍하는 남자|클라이밍하는 남자: 진한 갈색 피부
	🧗🏿‍♂️;클라이밍하는 남자: 검은색 피부;검은색 피부|클라이밍|클라이밍하는 남자|클라이밍하는 남자: 검은색 피부
🧗‍♀️;클라이밍하는 여자;클라이밍|클라이밍하는 여자
	🧗🏻‍♀️;클라이밍하는 여자: 하얀 피부;클라이밍|클라이밍하는 여자|클라이밍하는 여자: 하얀 피부|하얀 피부
	🧗🏼‍♀️;클라이밍하는 여자: 연한 갈색 피부;연한 갈색 피부|클라이밍|클라이밍하는 여자|클라이밍하는 여자: 연한 갈색 피부
	🧗🏽‍♀️;클라이밍하는 여자: 갈색 피부;갈색 피부|클라이밍|클라이밍하는 여자|클라이밍하는 여자: 갈색 피부
	🧗🏾‍♀️;클라이밍하는 여자: 진한 갈색 피부;진한 갈색 피부|클라이밍|클라이밍하는 여자|클라이밍하는 여자: 진한 갈색 피부
	🧗🏿‍♀️;클라이밍하는 여자: 검은색 피부;검은색 피부|클라이밍|클라이밍하는 여자|클라이밍하는 여자: 검은색 피부
🤺;펜싱하는 사람;검|선수|스포츠|펜싱|펜싱하는 사람
🏇;승마;말|말과 기수|스포츠|승마
	🏇🏻;승마: 하얀 피부;말|말과 기수|스포츠|승마|승마: 하얀 피부|하얀 피부
	🏇🏼;승마: 연한 갈색 피부;말|말과 기수|스포츠|승마|승마: 연한 갈색 피부|연한 갈색 피부
	🏇🏽;승마: 갈색 피부;갈색 피부|말|말과 기수|스포츠|승마|승마: 갈색 피부
	🏇🏾;승마: 진한 갈색 피부;말|말과 기수|스포츠|승마|승마: 진한 갈색 피부|진한 갈색 피부
	🏇🏿;승마: 검은색 피부;검은색 피부|말|말과 기수|스포츠|승마|승마: 검은색 피부
⛷️;스키 타는 사람;스키|스키 타는 사람|스키타는 사람
🏂;스노보드 타는 사람;스노보더|스노보드 타는 사람|스포츠|운동
	🏂🏻;스노보드 타는 사람: 하얀 피부;스노보더|스노보드 타는 사람|스노보드 타는 사람: 하얀 피부|스포츠|운동|하얀 피부
	🏂🏼;스노보드 타는 사람: 연한 갈색 피부;스노보더|스노보드 타는 사람|스노보드 타는 사람: 연한 갈색 피부|스포츠|연한 갈색 피부|운동
	🏂🏽;스노보드 타는 사람: 갈색 피부;갈색 피부|스노보더|스노보드 타는 사람|스노보드 타는 사람: 갈색 피부|스포츠|운동
	🏂🏾;스노보드 타는 사람: 진한 갈색 피부;스노보더|스노보드 타는 사람|스노보드 타는 사람: 진한 갈색 피부|스포츠|운동|진한 갈색 피부
	🏂🏿;스노보드 타는 사람: 검은색 피부;검은색 피부|스노보더|스노보드 타는 사람|스노보드 타는 사람: 검은색 피부|스포츠|운동
🏌️;골프치는 사람;골프|골프치는 사람|공|필드
	🏌🏻;골프치는 사람: 하얀 피부;골프|골프치는 사람|골프치는 사람: 하얀 피부|공|필드|하얀 피부
	🏌🏼;골프치는 사람: 연한 갈색 피부;골프|골프치는 사람|골프치는 사람: 연한 갈색 피부|공|연한 갈색 피부|필드
	🏌🏽;골프치는 사람: 갈색 피부;갈색 피부|골프|골프치는 사람|골프치는 사람: 갈색 피부|공|필드
	🏌🏾;골프치는 사람: 진한 갈색 피부;골프|골프치는 사람|골프치는 사람: 진한 갈색 피부|공|진한 갈색 피부|필드
	🏌🏿;골프치는 사람: 검은색 피부;검은색 피부|골프|골프치는 사람|골프치는 사람: 검은색 피부|공|필드
🏌️‍♂️;골프치는 남자;골프|골프선수|골프치는 남자|스윙
	🏌🏻‍♂️;골프치는 남자: 하얀 피부;골프|골프선수|골프치는 남자|골프치는 남자: 하얀 피부|스윙|하얀 피부
	🏌🏼‍♂️;골프치는 남자: 연한 갈색 피부;골프|골프선수|골프치는 남자|골프치는 남자: 연한 갈색 피부|스윙|연한 갈색 피부
	🏌🏽‍♂️;골프치는 남자: 갈색 피부;갈색 피부|골프|골프선수|골프치는 남자|골프치는 남자: 갈색 피부|스윙
	🏌🏾‍♂️;골프치는 남자: 진한 갈색 피부;골프|골프선수|골프치는 남자|골프치는 남자: 진한 갈색 피부|스윙|진한 갈색 피부
	🏌🏿‍♂️;골프치는 남자: 검은색 피부;검은색 피부|골프|골프선수|골프치는 남자|골프치는 남자: 검은색 피부|스윙
🏌️‍♀️;골프치는 여자;골프|골프선수|골프치는 여자|스윙
	🏌🏻‍♀️;골프치는 여자: 하얀 피부;골프|골프선수|골프치는 여자|골프치는 여자: 하얀 피부|스윙|하얀 피부
	🏌🏼‍♀️;골프치는 여자: 연한 갈색 피부;골프|골프선수|골프치는 여자|골프치는 여자: 연한 갈색 피부|스윙|연한 갈색 피부
	🏌🏽‍♀️;골프치는 여자: 갈색 피부;갈색 피부|골프|골프선수|골프치는 여자|골프치는 여자: 갈색 피부|스윙
	🏌🏾‍♀️;골프치는 여자: 진한 갈색 피부;골프|골프선수|골프치는 여자|골프치는 여자: 진한 갈색 피부|스윙|진한 갈색 피부
	🏌🏿‍♀️;골프치는 여자: 검은색 피부;검은색 피부|골프|골프선수|골프치는 여자|골프치는 여자: 검은색 피부|스윙
🏄;서핑하는 사람;서퍼|서핑하는 사람|스포츠
	🏄🏻;서핑하는 사람: 하얀 피부;서퍼|서핑하는 사람|서핑하는 사람: 하얀 피부|스포츠|하얀 피부
	🏄🏼;서핑하는 사람: 연한 갈색 피부;서퍼|서핑하는 사람|서핑하는 사람: 연한 갈색 피부|스포츠|연한 갈색 피부
	🏄🏽;서핑하는 사람: 갈색 피부;갈색 피부|서퍼|서핑하는 사람|서핑하는 사람: 갈색 피부|스포츠
	🏄🏾;서핑하는 사람: 진한 갈색 피부;서퍼|서핑하는 사람|서핑하는 사람: 진한 갈색 피부|스포츠|진한 갈색 피부
	🏄🏿;서핑하는 사람: 검은색 피부;검은색 피부|서퍼|서핑하는 사람|서핑하는 사람: 검은색 피부|스포츠
🏄‍♂️;서핑하는 남자;서퍼|서핑|서핑보드|서핑하는 남자|수상스포츠
	🏄🏻‍♂️;서핑하는 남자: 하얀 피부;서퍼|서핑|서핑보드|서핑하는 남자|서핑하는 남자: 하얀 피부|수상스포츠|하얀 피부
	🏄🏼‍♂️;서핑하는 남자: 연한 갈색 피부;서퍼|서핑|서핑보드|서핑하는 남자|서핑하는 남자: 연한 갈색 피부|수상스포츠|연한 갈색 피부
	🏄🏽‍♂️;서핑하는 남자: 갈색 피부;갈색 피부|서퍼|서핑|서핑보드|서핑하는 남자|서핑하는 남자: 갈색 피부|수상스포츠
	🏄🏾‍♂️;서핑하는 남자: 진한 갈색 피부;서퍼|서핑|서핑보드|서핑하는 남자|서핑하는 남자: 진한 갈색 피부|수상스포츠|진한 갈색 피부
	🏄🏿‍♂️;서핑하는 남자: 검은색 피부;검은색 피부|서퍼|서핑|서핑보드|서핑하는 남자|서핑하는 남자: 검은색 피부|수상스포츠
🏄‍♀️;서핑하는 여자;서퍼|서핑|서핑보드|서핑하는 여자|수상스포츠
	🏄🏻‍♀️;서핑하는 여자: 하얀 피부;서퍼|서핑|서핑보드|서핑하는 여자|서핑하는 여자: 하얀 피부|수상스포츠|하얀 피부
	🏄🏼‍♀️;서핑하는 여자: 연한 갈색 피부;서퍼|서핑|서핑보드|서핑하는 여자|서핑하는 여자: 연한 갈색 피부|수상스포츠|연한 갈색 피부
	🏄🏽‍♀️;서핑하는 여자: 갈색 피부;갈색 피부|서퍼|서핑|서핑보드|서핑하는 여자|서핑하는 여자: 갈색 피부|수상스포츠
	🏄🏾‍♀️;서핑하는 여자: 진한 갈색 피부;서퍼|서핑|서핑보드|서핑하는 여자|서핑하는 여자: 진한 갈색 피부|수상스포츠|진한 갈색 피부
	🏄🏿‍♀️;서핑하는 여자: 검은색 피부;검은색 피부|서퍼|서핑|서핑보드|서핑하는 여자|서핑하는 여자: 검은색 피부|수상스포츠
🚣;노젓는 사람;노 젓는 보트|노젓는 사람|보트
	🚣🏻;노젓는 사람: 하얀 피부;노 젓는 보트|노젓는 사람|노젓는 사람: 하얀 피부|보트|하얀 피부
	🚣🏼;노젓는 사람: 연한 갈색 피부;노 젓는 보트|노젓는 사람|노젓는 사람: 연한 갈색 피부|보트|연한 갈색 피부
	🚣🏽;노젓는 사람: 갈색 피부;갈색 피부|노 젓는 보트|노젓는 사람|노젓는 사람: 갈색 피부|보트
	🚣🏾;노젓는 사람: 진한 갈색 피부;노 젓는 보트|노젓는 사람|노젓는 사람: 진한 갈색 피부|보트|진한 갈색 피부
	🚣🏿;노젓는 사람: 검은색 피부;검은색 피부|노 젓는 보트|노젓는 사람|노젓는 사람: 검은색 피부|보트
🚣‍♂️;노젓는 남자;노|노젓기|노젓는 남자|배|보트
	🚣🏻‍♂️;노젓는 남자: 하얀 피부;노|노젓기|노젓는 남자|노젓는 남자: 하얀 피부|배|보트|하얀 피부
	🚣🏼‍♂️;노젓는 남자: 연한 갈색 피부;노|노젓기|노젓는 남자|노젓는 남자: 연한 갈색 피부|배|보트|연한 갈색 피부
	🚣🏽‍♂️;노젓는 남자: 갈색 피부;갈색 피부|노|노젓기|노젓는 남자|노젓는 남자: 갈색 피부|배|보트
	🚣🏾‍♂️;노젓는 남자: 진한 갈색 피부;노|노젓기|노젓는 남자|노젓는 남자: 진한 갈색 피부|배|보트|진한 갈색 피부
	🚣🏿‍♂️;노젓는 남자: 검은색 피부;검은색 피부|노|노젓기|노젓는 남자|노젓는 남자: 검은색 피부|배|보트
🚣‍♀️;노젓는 여자;노|노젓기|노젓는 여자|배|보트
	🚣🏻‍♀️;노젓는 여자: 하얀 피부;노|노젓기|노젓는 여자|노젓는 여자: 하얀 피부|배|보트|하얀 피부
	🚣🏼‍♀️;노젓는 여자: 연한 갈색 피부;노|노젓기|노젓는 여자|노젓는 여자: 연한 갈색 피부|배|보트|연한 갈색 피부
	🚣🏽‍♀️;노젓는 여자: 갈색 피부;갈색 피부|노|노젓기|노젓는 여자|노젓는 여자: 갈색 피부|배|보트
	🚣🏾‍♀️;노젓는 여자: 진한 갈색 피부;노|노젓기|노젓는 여자|노젓는 여자: 진한 갈색 피부|배|보트|진한 갈색 피부
	🚣🏿‍♀️;노젓는 여자: 검은색 피부;검은색 피부|노|노젓기|노젓는 여자|노젓는 여자: 검은색 피부|배|보트
🏊;수영하는 사람;수영 선수|수영장|수영하는 사람|스포츠|운동
	🏊🏻;수영하는 사람: 하얀 피부;수영 선수|수영장|수영하는 사람|수영하는 사람: 하얀 피부|스포츠|운동|하얀 피부
	🏊🏼;수영하는 사람: 연한 갈색 피부;수영 선수|수영장|수영하는 사람|수영하는 사람: 연한 갈색 피부|스포츠|연한 갈색 피부|운동
	🏊🏽;수영하는 사람: 갈색 피부;갈색 피부|수영 선수|수영장|수영하는 사람|수영하는 사람: 갈색 피부|스포츠|운동
	🏊🏾;수영하는 사람: 진한 갈색 피부;수영 선수|수영장|수영하는 사람|수영하는 사람: 진한 갈색 피부|스포츠|운동|진한 갈색 피부
	🏊🏿;수영하는 사람: 검은색 피부;검은색 피부|수영 선수|수영장|수영하는 사람|수영하는 사람: 검은색 피부|스포츠|운동
🏊‍♂️;수영하는 남자;수영|수영선수|수영장|수영하는 남자|헤엄
	🏊🏻‍♂️;수영하는 남자: 하얀 피부;수영|수영선수|수영장|수영하는 남자|수영하는 남자: 하얀 피부|하얀 피부|헤엄
	🏊🏼‍♂️;수영하는 남자: 연한 갈색 피부;수영|수영선수|수영장|수영하는 남자|수영하는 남자: 연한 갈색 피부|연한 갈색 피부|헤엄
	🏊🏽‍♂️;수영하는 남자: 갈색 피부;갈색 피부|수영|수영선수|수영장|수영하는 남자|수영하는 남자: 갈색 피부|헤엄
	🏊🏾‍♂️;수영하는 남자: 진한 갈색 피부;수영|수영선수|수영장|수영하는 남자|수영하는 남자: 진한 갈색 피부|진한 갈색 피부|헤엄
	🏊🏿‍♂️;수영하는 남자: 검은색 피부;검은색 피부|수영|수영선수|수영장|수영하는 남자|수영하는 남자: 검은색 피부|헤엄
🏊‍♀️;수영하는 여자;수영|수영선수|수영장|수영하는 여자|헤엄
	🏊🏻‍♀️;수영하는 여자: 하얀 피부;수영|수영선수|수영장|수영하는 여자|수영하는 여자: 하얀 피부|하얀 피부|헤엄
	🏊🏼‍♀️;수영하는 여자: 연한 갈색 피부;수영|수영선수|수영장|수영하는 여자|수영하는 여자: 연한 갈색 피부|연한 갈색 피부|헤엄
	🏊🏽‍♀️;수영하는 여자: 갈색 피부;갈색 피부|수영|수영선수|수영장|수영하는 여자|수영하는 여자: 갈색 피부|헤엄
	🏊🏾‍♀️;수영하는 여자: 진한 갈색 피부;수영|수영선수|수영장|수영하는 여자|수영하는 여자: 진한 갈색 피부|진한 갈색 피부|헤엄
	🏊🏿‍♀️;수영하는 여자: 검은색 피부;검은색 피부|수영|수영선수|수영장|수영하는 여자|수영하는 여자: 검은색 피부|헤엄
⛹️;공을 갖고 있는 사람;공을 갖고 있는 사람|농구|농구공|농구선수
	⛹🏻;공을 갖고 있는 사람: 하얀 피부;공을 갖고 있는 사람|공을 갖고 있는 사람: 하얀 피부|농구|농구공|농구선수|하얀 피부
	⛹🏼;공을 갖고 있는 사람: 연한 갈색 피부;공을 갖고 있는 사람|공을 갖고 있는 사람: 연한 갈색 피부|농구|농구공|농구선수|연한 갈색 피부
	⛹🏽;공을 갖고 있는 사람: 갈색 피부;갈색 피부|공을 갖고 있는 사람|공을 갖고 있는 사람: 갈색 피부|농구|농구공|농구선수
	⛹🏾;공을 갖고 있는 사람: 진한 갈색 피부;공을 갖고 있는 사람|공을 갖고 있는 사람: 진한 갈색 피부|농구|농구공|농구선수|진한 갈색 피부
	⛹🏿;공을 갖고 있는 사람: 검은색 피부;검은색 피부|공을 갖고 있는 사람|공을 갖고 있는 사람: 검은색 피부|농구|농구공|농구선수
⛹️‍♂️;공 가진 남자;공|공 가진 남자|공놀이|남자
	⛹🏻‍♂️;공 가진 남자: 하얀 피부;공|공 가진 남자|공 가진 남자: 하얀 피부|공놀이|남자|하얀 피부
	⛹🏼‍♂️;공 가진 남자: 연한 갈색 피부;공|공 가진 남자|공 가진 남자: 연한 갈색 피부|공놀이|남자|연한 갈색 피부
	⛹🏽‍♂️;공 가진 남자: 갈색 피부;갈색 피부|공|공 가진 남자|공 가진 남자: 갈색 피부|공놀이|남자
	⛹🏾‍♂️;공 가진 남자: 진한 갈색 피부;공|공 가진 남자|공 가진 남자: 진한 갈색 피부|공놀이|남자|진한 갈색 피부
	⛹🏿‍♂️;공 가진 남자: 검은색 피부;검은색 피부|공|공 가진 남자|공 가진 남자: 검은색 피부|공놀이|남자
⛹️‍♀️;공 가진 여자;공|공 가진 여자|공놀이|여자
	⛹🏻‍♀️;공 가진 여자: 하얀 피부;공|공 가진 여자|공 가진 여자: 하얀 피부|공놀이|여자|하얀 피부
	⛹🏼‍♀️;공 가진 여자: 연한 갈색 피부;공|공 가진 여자|공 가진 여자: 연한 갈색 피부|공놀이|여자|연한 갈색 피부
	⛹🏽‍♀️;공 가진 여자: 갈색 피부;갈색 피부|공|공 가진 여자|공 가진 여자: 갈색 피부|공놀이|여자
	⛹🏾‍♀️;공 가진 여자: 진한 갈색 피부;공|공 가진 여자|공 가진 여자: 진한 갈색 피부|공놀이|여자|진한 갈색 피부
	⛹🏿‍♀️;공 가진 여자: 검은색 피부;검은색 피부|공|공 가진 여자|공 가진 여자: 검은색 피부|공놀이|여자
🏋️;역도 선수;역도|역도 선수|역도선수
	🏋🏻;역도 선수: 하얀 피부;역도|역도 선수|역도 선수: 하얀 피부|역도선수|하얀 피부
	🏋🏼;역도 선수: 연한 갈색 피부;역도|역도 선수|역도 선수: 연한 갈색 피부|역도선수|연한 갈색 피부
	🏋🏽;역도 선수: 갈색 피부;갈색 피부|역도|역도 선수|역도 선수: 갈색 피부|역도선수
	🏋🏾;역도 선수: 진한 갈색 피부;역도|역도 선수|역도 선수: 진한 갈색 피부|역도선수|진한 갈색 피부
	🏋🏿;역도 선수: 검은색 피부;검은색 피부|역도|역도 선수|역도 선수: 검은색 피부|역도선수
🏋️‍♂️;남자 역도 선수;남자 역도 선수|역도|역도선수
	🏋🏻‍♂️;남자 역도 선수: 하얀 피부;남자 역도 선수|남자 역도 선수: 하얀 피부|역도|역도선수|하얀 피부
	🏋🏼‍♂️;남자 역도 선수: 연한 갈색 피부;남자 역도 선수|남자 역도 선수: 연한 갈색 피부|역도|역도선수|연한 갈색 피부
	🏋🏽‍♂️;남자 역도 선수: 갈색 피부;갈색 피부|남자 역도 선수|남자 역도 선수: 갈색 피부|역도|역도선수
	🏋🏾‍♂️;남자 역도 선수: 진한 갈색 피부;남자 역도 선수|남자 역도 선수: 진한 갈색 피부|역도|역도선수|진한 갈색 피부
	🏋🏿‍♂️;남자 역도 선수: 검은색 피부;검은색 피부|남자 역도 선수|남자 역도 선수: 검은색 피부|역도|역도선수
🏋️‍♀️;여자 역도 선수;여자 역도 선수|역도|역도선수
	🏋🏻‍♀️;여자 역도 선수: 하얀 피부;여자 역도 선수|여자 역도 선수: 하얀 피부|역도|역도선수|하얀 피부
	🏋🏼‍♀️;여자 역도 선수: 연한 갈색 피부;여자 역도 선수|여자 역도 선수: 연한 갈색 피부|역도|역도선수|연한 갈색 피부
	🏋🏽‍♀️;여자 역도 선수: 갈색 피부;갈색 피부|여자 역도 선수|여자 역도 선수: 갈색 피부|역도|역도선수
	🏋🏾‍♀️;여자 역도 선수: 진한 갈색 피부;여자 역도 선수|여자 역도 선수: 진한 갈색 피부|역도|역도선수|진한 갈색 피부
	🏋🏿‍♀️;여자 역도 선수: 검은색 피부;검은색 피부|여자 역도 선수|여자 역도 선수: 검은색 피부|역도|역도선수
🚴;자전거 타는 사람;자전거 주행|자전거 타는 사람
	🚴🏻;자전거 타는 사람: 하얀 피부;자전거 주행|자전거 타는 사람|자전거 타는 사람: 하얀 피부|하얀 피부
	🚴🏼;자전거 타는 사람: 연한 갈색 피부;연한 갈색 피부|자전거 주행|자전거 타는 사람|자전거 타는 사람: 연한 갈색 피부
	🚴🏽;자전거 타는 사람: 갈색 피부;갈색 피부|자전거 주행|자전거 타는 사람|자전거 타는 사람: 갈색 피부
	🚴🏾;자전거 타는 사람: 진한 갈색 피부;자전거 주행|자전거 타는 사람|자전거 타는 사람: 진한 갈색 피부|진한 갈색 피부
	🚴🏿;자전거 타는 사람: 검은색 피부;검은색 피부|자전거 주행|자전거 타는 사람|자전거 타는 사람: 검은색 피부
🚴‍♂️;자전거 타는 남자;바이커|바이킹|선수|자전거|자전거 타는 남자
	🚴🏻‍♂️;자전거 타는 남자: 하얀 피부;바이커|바이킹|선수|자전거|자전거 타는 남자|자전거 타는 남자: 하얀 피부|하얀 피부
	🚴🏼‍♂️;자전거 타는 남자: 연한 갈색 피부;바이커|바이킹|선수|연한 갈색 피부|자전거|자전거 타는 남자|자전거 타는 남자: 연한 갈색 피부
	🚴🏽‍♂️;자전거 타는 남자: 갈색 피부;갈색 피부|바이커|바이킹|선수|자전거|자전거 타는 남자|자전거 타는 남자: 갈색 피부
	🚴🏾‍♂️;자전거 타는 남자: 진한 갈색 피부;바이커|바이킹|선수|자전거|자전거 타는 남자|자전거 타는 남자: 진한 갈색 피부|진한 갈색 피부
	🚴🏿‍♂️;자전거 타는 남자: 검은색 피부;검은색 피부|바이커|바이킹|선수|자전거|자전거 타는 남자|자전거 타는 남자: 검은색 피부
🚴‍♀️;자전거 타는 여자;바이커|바이킹|선수|자전거|자전거 타는 여자
	🚴🏻‍♀️;자전거 타는 여자: 하얀 피부;바이커|바이킹|선수|자전거|자전거 타는 여자|자전거 타는 여자: 하얀 피부|하얀 피부
	🚴🏼‍♀️;자전거 타는 여자: 연한 갈색 피부;바이커|바이킹|선수|연한 갈색 피부|자전거|자전거 타는 여자|자전거 타는 여자: 연한 갈색 피부
	🚴🏽‍♀️;자전거 타는 여자: 갈색 피부;갈색 피부|바이커|바이킹|선수|자전거|자전거 타는 여자|자전거 타는 여자: 갈색 피부
	🚴🏾‍♀️;자전거 타는 여자: 진한 갈색 피부;바이커|바이킹|선수|자전거|자전거 타는 여자|자전거 타는 여자: 진한 갈색 피부|진한 갈색 피부
	🚴🏿‍♀️;자전거 타는 여자: 검은색 피부;검은색 피부|바이커|바이킹|선수|자전거|자전거 타는 여자|자전거 타는 여자: 검은색 피부
🚵;산악 자전거 타는 사람;산악 자전거 주행|산악 자전거 타는 사람
	🚵🏻;산악 자전거 타는 사람: 하얀 피부;산악 자전거 주행|산악 자전거 타는 사람|산악 자전거 타는 사람: 하얀 피부|하얀 피부
	🚵🏼;산악 자전거 타는 사람: 연한 갈색 피부;산악 자전거 주행|산악 자전거 타는 사람|산악 자전거 타는 사람: 연한 갈색 피부|연한 갈색 피부
	🚵🏽;산악 자전거 타는 사람: 갈색 피부;갈색 피부|산악 자전거 주행|산악 자전거 타는 사람|산악 자전거 타는 사람: 갈색 피부
	🚵🏾;산악 자전거 타는 사람: 진한 갈색 피부;산악 자전거 주행|산악 자전거 타는 사람|산악 자전거 타는 사람: 진한 갈색 피부|진한 갈색 피부
	🚵🏿;산악 자전거 타는 사람: 검은색 피부;검은색 피부|산악 자전거 주행|산악 자전거 타는 사람|산악 자전거 타는 사람: 검은색 피부
🚵‍♂️;산악 자전거 타는 남자;남자|사이클링|산|산악 자전거|산악 자전거 타는 남자|자전거
