# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	🦸🏿‍♂️;סופרמן: גוון עור כהה;גוון עור כהה|גיבור|גיבור על|סופרמן|סופרמן: גוון עור כהה
🦸‍♀️;סופרוומן;אישה|גיבורה|גיבורת על|סופרוומן
	🦸🏻‍♀️;סופרוומן: גוון עור בהיר;אישה|גוון עור בהיר|גיבורה|גיבורת על|סופרוומן|סופרוומן: גוון עור בהיר
	🦸🏼‍♀️;סופרוומן: גוון עור בהיר בינוני;אישה|גוון עור בהיר בינוני|גיבורה|גיבורת על|סופרוומן|סופרוומן: גוון עור בהיר בינוני
	🦸🏽‍♀️;סופרוומן: גוון עור בינוני;אישה|גוון עור בינוני|גיבורה|גיבורת על|סופרוומן|סופרוומן: גוון עור בינוני
	🦸🏾‍♀️;סופרוומן: גוון עור כהה בינוני;אישה|גוון עור כהה בינוני|גיבורה|גיבורת על|סופרוומן|סופרוומן: גוון עור כהה בינוני
	🦸🏿‍♀️;סופרוומן: גוון עור כהה;אישה|גוון עור כהה|גיבורה|גיבורת על|סופרוומן|סופרוומן: גוון עור כהה
🦹;נבל על;כוחות הרשע|נבל|נבל על|פושע|רשע
	🦹🏻;נבל על: גוון עור בהיר;גוון עור בהיר|כוחות הרשע|נבל|נבל על|נבל על: גוון עור בהיר|פושע|רשע
	🦹🏼;נבל על: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כוחות הרשע|נבל|נבל על|נבל על: גוון עור בהיר בינוני|פושע|רשע
	🦹🏽;נבל על: גוון עור בינוני;גוון עור בינוני|כוחות הרשע|נבל|נבל על|נבל על: גוון עור בינוני|פושע|רשע
	🦹🏾;נבל על: גוון עור כהה בינוני;גוון עור כהה בינוני|כוחות הרשע|נבל|נבל על|נבל על: גוון עור כהה בינוני|פושע|רשע
	🦹🏿;נבל על: גוון עור כהה;גוון עור כהה|כוחות הרשע|נבל|נבל על|נבל על: גוון עור כהה|פושע|רשע
🦹‍♂️;רשע בעל כוחות על;כוחות הרשע|כוחות על|נבל|פושע|רשע|רשע בעל כוחות על
	🦹🏻‍♂️;רשע בעל כוחות על: גוון עור בהיר;גוון עור בהיר|כוחות הרשע|כוחות על|נבל|פושע|רשע|רשע בעל כוחות על|רשע בעל כוחות על: גוון עור בהיר
	🦹🏼‍♂️;רשע בעל כוחות על: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כוחות הרשע|כוחות על|נבל|פושע|רשע|רשע בעל כוחות על|רשע בעל כוחות על: גוון עור בהיר בינוני
	🦹🏽‍♂️;רשע בעל כוחות על: גוון עור בינוני;גוון עור בינוני|כוחות הרשע|כוחות על|נבל|פושע|רשע|רשע בעל כוחות על|רשע בעל כוחות על: גוון עור בינוני
	🦹🏾‍♂️;רשע בעל כוחות על: גוון עור כהה בינוני;גוון עור כהה בינוני|כוחות הרשע|כוחות על|נבל|פושע|רשע|רשע בעל כוחות על|רשע בעל כוחות על: גוון עור כהה בינוני
	🦹🏿‍♂️;רשע בעל כוחות על: גוון עור כהה;גוון עור כהה|כוחות הרשע|כוחות על|נבל|פושע|רשע|רשע בעל כוחות על|רשע בעל כוחות על: גוון עור כהה
🦹‍♀️;מרשעת על;כוחות הרשע|מרשעת|מרשעת על|פושעת
	🦹🏻‍♀️;מרשעת על: גוון עור בהיר;גוון עור בהיר|כוחות הרשע|מרשעת|מרשעת על|מרשעת על: גוון עור בהיר|פושעת
	🦹🏼‍♀️;מרשעת על: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כוחות הרשע|מרשעת|מרשעת על|מרשעת על: גוון עור בהיר בינוני|פושעת
	🦹🏽‍♀️;מרשעת על: גוון עור בינוני;גוון עור בינוני|כוחות הרשע|מרשעת|מרשעת על|מרשעת על: גוון עור בינוני|פושעת
	🦹🏾‍♀️;מרשעת על: גוון עור כהה בינוני;גוון עור כהה בינוני|כוחות הרשע|מרשעת|מרשעת על|מרשעת על: גוון עור כהה בינוני|פושעת
	🦹🏿‍♀️;מרשעת על: גוון עור כהה;גוון עור כהה|כוחות הרשע|מרשעת|מרשעת על|מרשעת על: גוון עור כהה|פושעת
🧙;קוסם;אשף|כישוף|מכשף|קוסם|קסם
	🧙🏻;קוסם: גוון עור בהיר;אשף|גוון עור בהיר|כישוף|מכשף|קוסם|קוסם: גוון עור בהיר|קסם
	🧙🏼;קוסם: גוון עור בהיר בינוני;אשף|גוון עור בהיר בינוני|כישוף|מכשף|קוסם|קוסם: גוון עור בהיר בינוני|קסם
	🧙🏽;קוסם: גוון עור בינוני;אשף|גוון עור בינוני|כישוף|מכשף|קוסם|קוסם: גוון עור בינוני|קסם
	🧙🏾;קוסם: גוון עור כהה בינוני;אשף|גוון עור כהה בינוני|כישוף|מכשף|קוסם|קוסם: גוון עור כהה בינוני|קסם
	🧙🏿;קוסם: גוון עור כהה;אשף|גוון עור כהה|כישוף|מכשף|קוסם|קוסם: גוון עור כהה|קסם
🧙‍♂️;קוסם עם זקן;כישוף|מכשף|קוסם|קוסם עם זקן|קסם
	🧙🏻‍♂️;קוסם עם זקן: גוון עור בהיר;גוון עור בהיר|כישוף|מכשף|קוסם|קוסם עם זקן|קוסם עם זקן: גוון עור בהיר|קסם
	🧙🏼‍♂️;קוסם עם זקן: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כישוף|מכשף|קוסם|קוסם עם זקן|קוסם עם זקן: גוון עור בהיר בינוני|קסם
	🧙🏽‍♂️;קוסם עם זקן: גוון עור בינוני;גוון עור בינוני|כישוף|מכשף|קוסם|קוסם עם זקן|קוסם עם זקן: גוון עור בינוני|קסם
	🧙🏾‍♂️;קוסם עם זקן: גוון עור כהה בינוני;גוון עור כהה בינוני|כישוף|מכשף|קוסם|קוסם עם זקן|קוסם עם זקן: גוון עור כהה בינוני|קסם
	🧙🏿‍♂️;קוסם עם זקן: גוון עור כהה;גוון עור כהה|כישוף|מכשף|קוסם|קוסם עם זקן|קוסם עם זקן: גוון עור כהה|קסם
🧙‍♀️;קוסמת;כישוף|מכשפה|קוסמת|קסם
	🧙🏻‍♀️;קוסמת: גוון עור בהיר;גוון עור בהיר|כישוף|מכשפה|קוסמת|קוסמת: גוון עור בהיר|קסם
	🧙🏼‍♀️;קוסמת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|כישוף|מכשפה|קוסמת|קוסמת: גוון עור בהיר בינוני|קסם
	🧙🏽‍♀️;קוסמת: גוון עור בינוני;גוון עור בינוני|כישוף|מכשפה|קוסמת|קוסמת: גוון עור בינוני|קסם
	🧙🏾‍♀️;קוסמת: גוון עור כהה בינוני;גוון עור כהה בינוני|כישוף|מכשפה|קוסמת|קוסמת: גוון עור כהה בינוני|קסם
	🧙🏿‍♀️;קוסמת: גוון עור כהה;גוון עור כהה|כישוף|מכשפה|קוסמת|קוסמת: גוון עור כהה|קסם
🧚;פיה;טיטניה|טינקרבל|פיה
	🧚🏻;פיה: גוון עור בהיר;גוון עור בהיר|טיטניה|טינקרבל|פיה|פיה: גוון עור בהיר
	🧚🏼;פיה: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טיטניה|טינקרבל|פיה|פיה: גוון עור בהיר בינוני
	🧚🏽;פיה: גוון עור בינוני;גוון עור בינוני|טיטניה|טינקרבל|פיה|פיה: גוון עור בינוני
	🧚🏾;פיה: גוון עור כהה בינוני;גוון עור כהה בינוני|טיטניה|טינקרבל|פיה|פיה: גוון עור כהה בינוני
	🧚🏿;פיה: גוון עור כהה;גוון עור כהה|טיטניה|טינקרבל|פיה|פיה: גוון עור כהה
🧚‍♂️;פיה בן;אוברון|פוק|פיה בן
	🧚🏻‍♂️;פיה בן: גוון עור בהיר;אוברון|גוון עור בהיר|פוק|פיה בן|פיה בן: גוון עור בהיר
	🧚🏼‍♂️;פיה בן: גוון עור בהיר בינוני;אוברון|גוון עור בהיר בינוני|פוק|פיה בן|פיה בן: גוון עור בהיר בינוני
	🧚🏽‍♂️;פיה בן: גוון עור בינוני;אוברון|גוון עור בינוני|פוק|פיה בן|פיה בן: גוון עור בינוני
	🧚🏾‍♂️;פיה בן: גוון עור כהה בינוני;אוברון|גוון עור כהה בינוני|פוק|פיה בן|פיה בן: גוון עור כהה בינוני
	🧚🏿‍♂️;פיה בן: גוון עור כהה;אוברון|גוון עור כהה|פוק|פיה בן|פיה בן: גוון עור כהה
🧚‍♀️;פיה בת;טיטניה|טינקרבל|פיה בת
	🧚🏻‍♀️;פיה בת: גוון עור בהיר;גוון עור בהיר|טיטניה|טינקרבל|פיה בת|פיה בת: גוון עור בהיר
	🧚🏼‍♀️;פיה בת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|טיטניה|טינקרבל|פיה בת|פיה בת: גוון עור בהיר בינוני
	🧚🏽‍♀️;פיה בת: גוון עור בינוני;גוון עור בינוני|טיטניה|טינקרבל|פיה בת|פיה בת: גוון עור בינוני
	🧚🏾‍♀️;פיה בת: גוון עור כהה בינוני;גוון עור כהה בינוני|טיטניה|טינקרבל|פיה בת|פיה בת: גוון עור כהה בינוני
	🧚🏿‍♀️;פיה בת: גוון עור כהה;גוון עור כהה|טיטניה|טינקרבל|פיה בת|פיה בת: גוון עור כהה
🧛;ערפד;דרקולה|חי מת|ערפד
	🧛🏻;ערפד: גוון עור בהיר;גוון עור בהיר|דרקולה|חי מת|ערפד|ערפד: גוון עור בהיר
	🧛🏼;ערפד: גוון עור בהיר בינוני;גוון עור בהיר בינוני|דרקולה|חי מת|ערפד|ערפד: גוון עור בהיר בינוני
	🧛🏽;ערפד: גוון עור בינוני;גוון עור בינוני|דרקולה|חי מת|ערפד|ערפד: גוון עור בינוני
	🧛🏾;ערפד: גוון עור כהה בינוני;גוון עור כהה בינוני|דרקולה|חי מת|ערפד|ערפד: גוון עור כהה בינוני
	🧛🏿;ערפד: גוון עור כהה;גוון עור כהה|דרקולה|חי מת|ערפד|ערפד: גוון עור כהה
🧛‍♂️;ערפד בן;דרקולה|ערפד בן
	🧛🏻‍♂️;ערפד בן: גוון עור בהיר;גוון עור בהיר|דרקולה|ערפד בן|ערפד בן: גוון עור בהיר
	🧛🏼‍♂️;ערפד בן: גוון עור בהיר בינוני;גוון עור בהיר בינוני|דרקולה|ערפד בן|ערפד בן: גוון עור בהיר בינוני
	🧛🏽‍♂️;ערפד בן: גוון עור בינוני;גוון עור בינוני|דרקולה|ערפד בן|ערפד בן: גוון עור בינוני
	🧛🏾‍♂️;ערפד בן: גוון עור כהה בינוני;גוון עור כהה בינוני|דרקולה|ערפד בן|ערפד בן: גוון עור כהה בינוני
	🧛🏿‍♂️;ערפד בן: גוון עור כהה;גוון עור כהה|דרקולה|ערפד בן|ערפד בן: גוון עור כהה
🧛‍♀️;ערפדית;באפי|דרוסילה|ערפדית
	🧛🏻‍♀️;ערפדית: גוון עור בהיר;באפי|גוון עור בהיר|דרוסילה|ערפדית|ערפדית: גוון עור בהיר
	🧛🏼‍♀️;ערפדית: גוון עור בהיר בינוני;באפי|גוון עור בהיר בינוני|דרוסילה|ערפדית|ערפדית: גוון עור בהיר בינוני
	🧛🏽‍♀️;ערפדית: גוון עור בינוני;באפי|גוון עור בינוני|דרוסילה|ערפדית|ערפדית: גוון עור בינוני
	🧛🏾‍♀️;ערפדית: גוון עור כהה בינוני;באפי|גוון עור כהה בינוני|דרוסילה|ערפדית|ערפדית: גוון עור כהה בינוני
	🧛🏿‍♀️;ערפדית: גוון עור כהה;באפי|גוון עור כהה|דרוסילה|ערפדית|ערפדית: גוון עור כהה
🧜;בתולת ים;בת הים|בתולת ים
	🧜🏻;בתולת ים: גוון עור בהיר;בת הים|בתולת ים|בתולת ים: גוון עור בהיר|גוון עור בהיר
	🧜🏼;בתולת ים: גוון עור בהיר בינוני;בת הים|בתולת ים|בתולת ים: גוון עור בהיר בינוני|גוון עור בהיר בינוני
	🧜🏽;בתולת ים: גוון עור בינוני;בת הים|בתולת ים|בתולת ים: גוון עור בינוני|גוון עור בינוני
	🧜🏾;בתולת ים: גוון עור כהה בינוני;בת הים|בתולת ים|בתולת ים: גוון עור כהה בינוני|גוון עור כהה בינוני
	🧜🏿;בתולת ים: גוון עור כהה;בת הים|בתולת ים|בתולת ים: גוון עור כהה|גוון עור כהה
🧜‍♂️;בן ים;בן ים|טריטון
	🧜🏻‍♂️;בן ים: גוון עור בהיר;בן ים|בן ים: גוון עור בהיר|גוון עור בהיר|טריטון
	🧜🏼‍♂️;בן ים: גוון עור בהיר בינוני;בן ים|בן ים: גוון עור בהיר בינוני|גוון עור בהיר בינוני|טריטון
	🧜🏽‍♂️;בן ים: גוון עור בינוני;בן ים|בן ים: גוון עור בינוני|גוון עור בינוני|טריטון
	🧜🏾‍♂️;בן ים: גוון עור כהה בינוני;בן ים|בן ים: גוון עור כהה בינוני|גוון עור כהה בינוני|טריטון
	🧜🏿‍♂️;בן ים: גוון עור כהה;בן ים|בן ים: גוון עור כהה|גוון עור כהה|טריטון
🧜‍♀️;בת הים;בת הים|סירונית
	🧜🏻‍♀️;בת הים: גוון עור בהיר;בת הים|בת הים: גוון עור בהיר|גוון עור בהיר|סירונית
	🧜🏼‍♀️;בת הים: גוון עור בהיר בינוני;בת הים|בת הים: גוון עור בהיר בינוני|גוון עור בהיר בינוני|סירונית
	🧜🏽‍♀️;בת הים: גוון עור בינוני;בת הים|בת הים: גוון עור בינוני|גוון עור בינוני|סירונית
	🧜🏾‍♀️;בת הים: גוון עור כהה בינוני;בת הים|בת הים: גוון עור כהה בינוני|גוון עור כהה בינוני|סירונית
	🧜🏿‍♀️;בת הים: גוון עור כהה;בת הים|בת הים: גוון עור כהה|גוון עור כהה|סירונית
🧝;אלף;אלף|יצור קסום
	🧝🏻;אלף: גוון עור בהיר;אלף|אלף: גוון עור בהיר|גוון עור בהיר|יצור קסום
	🧝🏼;אלף: גוון עור בהיר בינוני;אלף|אלף: גוון עור בהיר בינוני|גוון עור בהיר בינוני|יצור קסום
	🧝🏽;אלף: גוון עור בינוני;אלף|אלף: גוון עור בינוני|גוון עור בינוני|יצור קסום
	🧝🏾;אלף: גוון עור כהה בינוני;אלף|אלף: גוון עור כהה בינוני|גוון עור כהה בינוני|יצור קסום
	🧝🏿;אלף: גוון עור כהה;אלף|אלף: גוון עור כהה|גוון עור כהה|יצור קסום
🧝‍♂️;אלף בן;אלף בן|יצור קסום
	🧝🏻‍♂️;אלף בן: גוון עור בהיר;אלף בן|אלף בן: גוון עור בהיר|גוון עור בהיר|יצור קסום
	🧝🏼‍♂️;אלף בן: גוון עור בהיר בינוני;אלף בן|אלף בן: גוון עור בהיר בינוני|גוון עור בהיר בינוני|יצור קסום
	🧝🏽‍♂️;אלף בן: גוון עור בינוני;אלף בן|אלף בן: גוון עור בינוני|גוון עור בינוני|יצור קסום
	🧝🏾‍♂️;אלף בן: גוון עור כהה בינוני;אלף בן|אלף בן: גוון עור כהה בינוני|גוון עור כהה בינוני|יצור קסום
	🧝🏿‍♂️;אלף בן: גוון עור כהה;אלף בן|אלף בן: גוון עור כהה|גוון עור כהה|יצור קסום
🧝‍♀️;אלפית;אלפית|יצור קסום
	🧝🏻‍♀️;אלפית: גוון עור בהיר;אלפית|אלפית: גוון עור בהיר|גוון עור בהיר|יצור קסום
	🧝🏼‍♀️;אלפית: גוון עור בהיר בינוני;אלפית|אלפית: גוון עור בהיר בינוני|גוון עור בהיר בינוני|יצור קסום
	🧝🏽‍♀️;אלפית: גוון עור בינוני;אלפית|אלפית: גוון עור בינוני|גוון עור בינוני|יצור קסום
	🧝🏾‍♀️;אלפית: גוון עור כהה בינוני;אלפית|אלפית: גוון עור כהה בינוני|גוון עור כהה בינוני|יצור קסום
	🧝🏿‍♀️;אלפית: גוון עור כהה;אלפית|אלפית: גוון עור כהה|גוון עור כהה|יצור קסום
🧞;שד;אשמדאי|ג׳יני|שד|שדון
🧞‍♂️;דמון;אשמדאי|ג׳יני|דמון|שד|שדון
🧞‍♀️;שדה;ג׳יני|שדה|שדונית
🧟;זומבי;זומבי|מת מהלך
🧟‍♂️;זומבי גבר;זומבי גבר|מת מהלך
🧟‍♀️;זומבי אישה;זומבי אישה|מתה מהלכת
🧌;טרול;אגדה|טרול|יצור|מפלצת|פנטזיה
💆;עיסוי פנים;מכון יופי|מסז׳|ספא|עיסוי|פנים
	💆🏻;עיסוי פנים: גוון עור בהיר;גוון עור בהיר|מכון יופי|מסז׳|ספא|עיסוי|עיסוי פנים: גוון עור בהיר|פנים
	💆🏼;עיסוי פנים: גוון עור בהיר בינוני;גוון עור בהיר בינוני|מכון יופי|מסז׳|ספא|עיסוי|עיסוי פנים: גוון עור בהיר בינוני|פנים
	💆🏽;עיסוי פנים: גוון עור בינוני;גוון עור בינוני|מכון יופי|מסז׳|ספא|עיסוי|עיסוי פנים: גוון עור בינוני|פנים
	💆🏾;עיסוי פנים: גוון עור כהה בינוני;גוון עור כהה בינוני|מכון יופי|מסז׳|ספא|עיסוי|עיסוי פנים: גוון עור כהה בינוני|פנים
	💆🏿;עיסוי פנים: גוון עור כהה;גוון עור כהה|מכון יופי|מסז׳|ספא|עיסוי|עיסוי פנים: גוון עור כהה|פנים
💆‍♂️;גבר מקבל עיסוי פנים;איש|גבר|גבר מקבל עיסוי פנים|עיסוי|פנים
	💆🏻‍♂️;גבר מקבל עיסוי פנים: גוון עור בהיר;איש|גבר|גבר מקבל עיסוי פנים|גבר מקבל עיסוי פנים: גוון עור בהיר|גוון עור בהיר|עיסוי|פנים
	💆🏼‍♂️;גבר מקבל עיסוי פנים: גוון עור בהיר בינוני;איש|גבר|גבר מקבל עיסוי פנים|גבר מקבל עיסוי פנים: גוון עור בהיר בינוני|גוון עור בהיר בינוני|עיסוי|פנים
	💆🏽‍♂️;גבר מקבל עיסוי פנים: גוון עור בינוני;איש|גבר|גבר מקבל עיסוי פנים|גבר מקבל עיסוי פנים: גוון עור בינוני|גוון עור בינוני|עיסוי|פנים
	💆🏾‍♂️;גבר מקבל עיסוי פנים: גוון עור כהה בינוני;איש|גבר|גבר מקבל עיסוי פנים|גבר מקבל עיסוי פנים: גוון עור כהה בינוני|גוון עור כהה בינוני|עיסוי|פנים
	💆🏿‍♂️;גבר מקבל עיסוי פנים: גוון עור כהה;איש|גבר|גבר מקבל עיסוי פנים|גבר מקבל עיסוי פנים: גוון עור כהה|גוון עור כהה|עיסוי|פנים
💆‍♀️;אישה מקבלת עיסוי פנים;אישה|אישה מקבלת עיסוי פנים|עיסוי|פנים
	💆🏻‍♀️;אישה מקבלת עיסוי פנים: גוון עור בהיר;אישה|אישה מקבלת עיסוי פנים|אישה מקבלת עיסוי פנים: גוון עור בהיר|גוון עור בהיר|עיסוי|פנים
	💆🏼‍♀️;אישה מקבלת עיסוי פנים: גוון עור בהיר בינוני;אישה|אישה מקבלת עיסוי פנים|אישה מקבלת עיסוי פנים: גוון עור בהיר בינוני|גוון עור בהיר בינוני|עיסוי|פנים
	💆🏽‍♀️;אישה מקבלת עיסוי פנים: גוון עור בינוני;אישה|אישה מקבלת עיסוי פנים|אישה מקבלת עיסוי פנים: גוון עור בינוני|גוון עור בינוני|עיסוי|פנים
	💆🏾‍♀️;אישה מקבלת עיסוי פנים: גוון עור כהה בינוני;אישה|אישה מקבלת עיסוי פנים|אישה מקבלת עיסוי פנים: גוון עור כהה בינוני|גוון עור כהה בינוני|עיסוי|פנים
	💆🏿‍♀️;אישה מקבלת עיסוי פנים: גוון עור כהה;אישה|אישה מקבלת עיסוי פנים|אישה מקבלת עיסוי פנים: גוון עור כהה|גוון עור כהה|עיסוי|פנים
💇;תספורת;יופי|מספרה|תספורת
	💇🏻;תספורת: גוון עור בהיר;גוון עור בהיר|יופי|מספרה|תספורת|תספורת: גוון עור בהיר
	💇🏼;תספורת: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יופי|מספרה|תספורת|תספורת: גוון עור בהיר בינוני
	💇🏽;תספורת: גוון עור בינוני;גוון עור בינוני|יופי|מספרה|תספורת|תספורת: גוון עור בינוני
	💇🏾;תספורת: גוון עור כהה בינוני;גוון עור כהה בינוני|יופי|מספרה|תספורת|תספורת: גוון עור כהה בינוני
	💇🏿;תספורת: גוון עור כהה;גוון עור כהה|יופי|מספרה|תספורת|תספורת: גוון עור כהה
💇‍♂️;גבר מסתפר;איש|גבר|גבר מסתפר|תספורת
	💇🏻‍♂️;גבר מסתפר: גוון עור בהיר;איש|גבר|גבר מסתפר|גבר מסתפר: גוון עור בהיר|גוון עור בהיר|תספורת
	💇🏼‍♂️;גבר מסתפר: גוון עור בהיר בינוני;איש|גבר|גבר מסתפר|גבר מסתפר: גוון עור בהיר בינוני|גוון עור בהיר בינוני|תספורת
	💇🏽‍♂️;גבר מסתפר: גוון עור בינוני;איש|גבר|גבר מסתפר|גבר מסתפר: גוון עור בינוני|גוון עור בינוני|תספורת
	💇🏾‍♂️;גבר מסתפר: גוון עור כהה בינוני;איש|גבר|גבר מסתפר|גבר מסתפר: גוון עור כהה בינוני|גוון עור כהה בינוני|תספורת
	💇🏿‍♂️;גבר מסתפר: גוון עור כהה;איש|גבר|גבר מסתפר|גבר מסתפר: גוון עור כהה|גוון עור כהה|תספורת
💇‍♀️;אישה מסתפרת;אישה|אישה מסתפרת|תספורת
	💇🏻‍♀️;אישה מסתפרת: גוון עור בהיר;אישה|אישה מסתפרת|אישה מסתפרת: גוון עור בהיר|גוון עור בהיר|תספורת
	💇🏼‍♀️;אישה מסתפרת: גוון עור בהיר בינוני;אישה|אישה מסתפרת|אישה מסתפרת: גוון עור בהיר בינוני|גוון עור בהיר בינוני|תספורת
	💇🏽‍♀️;אישה מסתפרת: גוון עור בינוני;אישה|אישה מסתפרת|אישה מסתפרת: גוון עור בינוני|גוון עור בינוני|תספורת
	💇🏾‍♀️;אישה מסתפרת: גוון עור כהה בינוני;אישה|אישה מסתפרת|אישה מסתפרת: גוון עור כהה בינוני|גוון עור כהה בינוני|תספורת
	💇🏿‍♀️;אישה מסתפרת: גוון עור כהה;אישה|אישה מסתפרת|אישה מסתפרת: גוון עור כהה|גוון עור כהה|תספורת
🚶;איש הולך;איש הולך|הולך|הליכה|טיול|צעידה
	🚶🏻;איש הולך: גוון עור בהיר;איש הולך|איש הולך: גוון עור בהיר|גוון עור בהיר|הולך|הליכה|טיול|צעידה
	🚶🏼;איש הולך: גוון עור בהיר בינוני;איש הולך|איש הולך: גוון עור בהיר בינוני|גוון עור בהיר בינוני|הולך|הליכה|טיול|צעידה
	🚶🏽;איש הולך: גוון עור בינוני;איש הולך|איש הולך: גוון עור בינוני|גוון עור בינוני|הולך|הליכה|טיול|צעידה
	🚶🏾;איש הולך: גוון עור כהה בינוני;איש הולך|איש הולך: גוון עור כהה בינוני|גוון עור כהה בינוני|הולך|הליכה|טיול|צעידה
	🚶🏿;איש הולך: גוון עור כהה;איש הולך|איש הולך: גוון עור כהה|גוון עור כהה|הולך|הליכה|טיול|צעידה
🚶‍♂️;גבר הולך;איש|גבר|הולך|הליכה
	🚶🏻‍♂️;גבר הולך: גוון עור בהיר;איש|גבר|גבר הולך: גוון עור בהיר|גוון עור בהיר|הולך|הליכה
	🚶🏼‍♂️;גבר הולך: גוון עור בהיר בינוני;איש|גבר|גבר הולך: גוון עור בהיר בינוני|גוון עור בהיר בינוני|הולך|הליכה
	🚶🏽‍♂️;גבר הולך: גוון עור בינוני;איש|גבר|גבר הולך: גוון עור בינוני|גוון עור בינוני|הולך|הליכה
	🚶🏾‍♂️;גבר הולך: גוון עור כהה בינוני;איש|גבר|גבר הולך: גוון עור כהה בינוני|גוון עור כהה בינוני|הולך|הליכה
	🚶🏿‍♂️;גבר הולך: גוון עור כהה;איש|גבר|גבר הולך: גוון עור כהה|גוון עור כהה|הולך|הליכה
🚶‍♀️;אישה הולכת;אישה|הולכת|הליכה
	🚶🏻‍♀️;אישה הולכת: גוון עור בהיר;אישה|אישה הולכת: גוון עור בהיר|גוון עור בהיר|הולכת|הליכה
	🚶🏼‍♀️;אישה הולכת: גוון עור בהיר בינוני;אישה|אישה הולכת: גוון עור בהיר בינוני|גוון עור בהיר בינוני|הולכת|הליכה
	🚶🏽‍♀️;אישה הולכת: גוון עור בינוני;אישה|אישה הולכת: גוון עור בינוני|גוון עור בינוני|הולכת|הליכה
	🚶🏾‍♀️;אישה הולכת: גוון עור כהה בינוני;אישה|אישה הולכת: גוון עור כהה בינוני|גוון עור כהה בינוני|הולכת|הליכה
	🚶🏿‍♀️;אישה הולכת: גוון עור כהה;אישה|אישה הולכת: גוון עור כהה|גוון עור כהה|הולכת|הליכה
🚶‍➡️;איש הולך פונה ימינה;איש הולך|איש הולך פונה ימינה|הולך|הליכה|טיול|צעידה
	🚶🏻‍➡️;איש הולך פונה ימינה;איש הולך|איש הולך פונה ימינה|הולך|הליכה|טיול|צעידה
	🚶🏼‍➡️;איש הולך פונה ימינה;איש הולך|איש הולך פונה ימינה|הולך|הליכה|טיול|צעידה
	🚶🏽‍➡️;איש הולך פונה ימינה;איש הולך|איש הולך פונה ימינה|הולך|הליכה|טיול|צעידה
	🚶🏾‍➡️;איש הולך פונה ימינה;איש הולך|איש הולך פונה ימינה|הולך|הליכה|טיול|צעידה
	🚶🏿‍➡️;איש הולך פונה ימינה;איש הולך|איש הולך פונה ימינה|הולך|הליכה|טיול|צעידה
🚶‍♀️‍➡️;אישה הולכת פונה ימינה;אישה|אישה הולכת פונה ימינה|הולכת|הליכה
	🚶🏻‍♀️‍➡️;אישה הולכת פונה ימינה;אישה|אישה הולכת פונה ימינה|הולכת|הליכה
	🚶🏼‍♀️‍➡️;אישה הולכת פונה ימינה;אישה|אישה הולכת פונה ימינה|הולכת|הליכה
	🚶🏽‍♀️‍➡️;אישה הולכת פונה ימינה;אישה|אישה הולכת פונה ימינה|הולכת|הליכה
	🚶🏾‍♀️‍➡️;אישה הולכת פונה ימינה;אישה|אישה הולכת פונה ימינה|הולכת|הליכה
	🚶🏿‍♀️‍➡️;אישה הולכת פונה ימינה;אישה|אישה הולכת פונה ימינה|הולכת|הליכה
🚶‍♂️‍➡️;גבר הולך פונה ימינה;איש|גבר|גבר הולך פונה ימינה|הולך|הליכה
	🚶🏻‍♂️‍➡️;גבר הולך פונה ימינה;איש|גבר|גבר הולך פונה ימינה|הולך|הליכה
	🚶🏼‍♂️‍➡️;גבר הולך פונה ימינה;איש|גבר|גבר הולך פונה ימינה|הולך|הליכה
	🚶🏽‍♂️‍➡️;גבר הולך פונה ימינה;איש|גבר|גבר הולך פונה ימינה|הולך|הליכה
	🚶🏾‍♂️‍➡️;גבר הולך פונה ימינה;איש|גבר|גבר הולך פונה ימינה|הולך|הליכה
	🚶🏿‍♂️‍➡️;גבר הולך פונה ימינה;איש|גבר|גבר הולך פונה ימינה|הולך|הליכה
🧍;אדם עומד;אדם עומד|עומד|עמידה
	🧍🏻;אדם עומד: גוון עור בהיר;אדם עומד|אדם עומד: גוון עור בהיר|גוון עור בהיר|עומד|עמידה
	🧍🏼;אדם עומד: גוון עור בהיר בינוני;אדם עומד|אדם עומד: גוון עור בהיר בינוני|גוון עור בהיר בינוני|עומד|עמידה
	🧍🏽;אדם עומד: גוון עור בינוני;אדם עומד|אדם עומד: גוון עור בינוני|גוון עור בינוני|עומד|עמידה
	🧍🏾;אדם עומד: גוון עור כהה בינוני;אדם עומד|אדם עומד: גוון עור כהה בינוני|גוון עור כהה בינוני|עומד|עמידה
	🧍🏿;אדם עומד: גוון עור כהה;אדם עומד|אדם עומד: גוון עור כהה|גוון עור כהה|עומד|עמידה
🧍‍♂️;איש עומד;איש|גבר|עומד|עמידה
